Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-27,52.24,56.12,49.69,54.68,5059200,0.0,0
2019-06-28,54.58,56.05,53.12,54.72,576200,0.0,0
2019-07-01,55.38,55.38,53.29,54.46,101800,0.0,0
2019-07-02,54.86,55.32,53.98,54.7,96400,0.0,0
2019-07-03,55.58,55.86,55.06,55.08,390700,0.0,0
2019-07-05,56.37,56.77,55.16,55.68,70000,0.0,0
2019-07-08,55.29,55.45,54.75,54.99,338900,0.0,0
2019-07-09,54.92,55.28,54.84,55.16,291700,0.0,0
2019-07-10,55.38,55.65,55.06,55.65,117300,0.0,0
2019-07-11,55.22,55.65,54.96,55.0,449600,0.0,0
2019-07-12,55.08,55.08,55.08,55.08,41700,0.0,0
2019-07-15,54.77,55.06,54.77,54.94,5500,0.0,0
2019-07-16,54.67,54.67,53.36,53.62,76400,0.0,0
2019-07-17,53.12,53.49,51.73,52.89,26100,0.0,0
2019-07-18,52.0,52.06,51.27,51.76,198200,0.0,0
2019-07-19,53.46,53.46,51.27,51.43,93300,0.0,0
2019-07-22,52.73,52.73,51.42,52.58,191300,0.0,0
2019-07-23,52.78,54.24,52.78,54.24,22300,0.0,0
2019-07-24,53.64,53.82,52.77,53.54,202200,0.0,0
2019-07-25,56.38,56.38,53.3,53.68,34100,0.0,0
2019-07-26,54.46,54.46,54.14,54.14,25600,0.0,0
2019-07-29,53.46,53.98,53.46,53.84,32800,0.0,0
2019-07-30,53.32,53.32,52.69,52.69,232000,0.0,0
2019-07-31,52.49,53.46,52.49,52.5,124200,0.0,0
2019-08-01,52.27,52.3,49.93,51.49,188900,0.0,0
2019-08-02,50.98,51.25,49.6,50.42,12900,0.0,0
2019-08-05,50.45,50.97,50.15,50.32,185800,0.0,0
2019-08-06,50.8,51.29,50.68,50.87,112800,0.0,0
2019-08-07,50.15,50.79,50.15,50.35,194600,0.0,0
2019-08-08,50.86,51.01,50.42,50.89,3900,0.0,0
2019-08-09,50.78,50.78,50.31,50.31,4500,0.0,0
2019-08-12,49.78,50.66,49.78,50.06,19300,0.0,0
2019-08-13,49.9,49.9,47.48,47.48,18700,0.0,0
2019-08-14,50.84,50.84,49.48,50.67,345500,0.0,0
2019-08-15,50.94,53.75,50.94,53.2,301400,0.0,0
2019-08-16,53.55,54.57,53.55,54.57,318600,0.0,0
2019-08-19,54.89,56.55,54.89,56.48,197300,0.0,0
2019-08-20,56.33,56.33,55.66,55.72,141100,0.0,0
2019-08-21,55.79,55.91,55.79,55.91,29600,0.0,0
2019-08-22,55.71,55.71,54.98,54.98,195600,0.0,0
2019-08-23,53.6,53.82,53.6,53.82,2500,0.0,0
2019-08-26,53.98,54.13,53.35,53.35,500,0.0,0
2019-08-27,51.86,51.86,51.86,51.86,300,0.0,0
2019-08-28,50.55,52.27,50.26,52.26,78100,0.0,0
2019-08-29,53.22,53.22,52.37,52.87,253800,0.0,0
2019-08-30,52.54,53.49,51.54,53.21,311600,0.0,0
2019-09-03,53.1,53.49,52.4,52.4,31000,0.0,0
