Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-22,10.05,10.09,10.03,10.05,3858800,0,0
2019-11-25,10.05,10.75,10.04,10.06,94200,0,0
2019-11-26,10.06,10.08,10.06,10.07,38300,0,0
2019-11-27,10.06,10.18,10.06,10.07,34100,0,0
2019-11-29,10.19,10.19,10.07,10.07,3400,0,0
2019-12-02,10.07,10.09,10.06,10.06,163100,0,0
2019-12-03,10.1,10.1,10.05,10.07,37700,0,0
2019-12-04,10.05,10.09,10.05,10.08,427400,0,0
2019-12-05,10.08,10.1,10.05,10.08,138400,0,0
2019-12-06,10.1,10.1,10.07,10.08,23000,0,0
2019-12-09,10.09,10.1,10.08,10.1,10500,0,0
2019-12-10,10.08,10.1,10.08,10.1,1300,0,0
2019-12-11,10.1,10.1,10.1,10.1,0,0,0
2019-12-12,10.1,10.1,10.07,10.1,68900,0,0
2019-12-13,10.1,10.12,10.1,10.11,557500,0,0
2019-12-16,10.15,10.16,10.14,10.14,15200,0,0
2019-12-17,10.14,10.15,10.12,10.15,20900,0,0
2019-12-18,10.11,10.16,10.11,10.16,800,0,0
2019-12-19,10.16,10.2,10.12,10.17,129200,0,0
2019-12-20,10.3,10.3,10.12,10.17,1600,0,0
2019-12-23,10.15,10.15,10.15,10.15,100,0,0
2019-12-24,10.15,10.15,10.15,10.15,0,0,0
2019-12-26,10.15,10.15,10.15,10.15,0,0,0
2019-12-27,10.14,10.16,10.14,10.16,11500,0,0
2019-12-30,10.16,10.18,10.16,10.18,3900,0,0
2019-12-31,10.12,10.25,10.12,10.17,153200,0,0
2020-01-02,10.17,10.2,10.17,10.18,7500,0,0
2020-01-03,10.18,10.18,10.18,10.18,0,0,0
2020-01-06,10.18,10.18,10.18,10.18,0,0,0
2020-01-07,10.23,10.23,10.18,10.18,1400,0,0
2020-01-08,10.18,10.2,10.17,10.2,11600,0,0
2020-01-09,10.19,10.21,10.19,10.2,10500,0,0
2020-01-10,10.25,10.4,10.25,10.35,456600,0,0
2020-01-13,10.31,10.31,10.31,10.31,100700,0,0
2020-01-14,10.22,10.25,10.21,10.25,1100,0,0
2020-01-15,10.3,10.38,10.3,10.3,9600,0,0
2020-01-16,10.39,10.39,10.39,10.39,10000,0,0
2020-01-17,10.36,10.45,10.36,10.45,403200,0,0
2020-01-21,10.45,10.49,10.41,10.49,300800,0,0
2020-01-22,10.49,10.49,10.49,10.49,0,0,0
2020-01-23,10.47,11.48,10.36,10.52,222400,0,0
2020-01-24,10.46,10.46,10.46,10.46,2000,0,0
2020-01-27,10.45,10.45,10.44,10.44,1300,0,0
2020-01-28,10.44,10.44,10.44,10.44,0,0,0
2020-01-29,10.44,10.44,10.44,10.44,0,0,0
2020-01-30,10.5,10.55,10.45,10.5,102900,0,0
2020-01-31,10.45,10.45,10.45,10.45,700,0,0
2020-02-03,10.4,10.45,10.4,10.44,2700,0,0
2020-02-04,10.5,10.5,10.45,10.5,1500,0,0
2020-02-05,10.48,10.48,10.48,10.48,800,0,0
2020-02-06,10.46,10.74,10.45,10.74,2500,0,0
2020-02-07,10.51,10.58,10.5,10.54,302500,0,0
2020-02-10,10.45,10.51,10.45,10.51,101000,0,0
2020-02-11,10.51,10.52,10.46,10.52,62400,0,0
2020-02-12,10.52,10.52,10.52,10.52,0,0,0
2020-02-13,10.49,10.5,10.49,10.49,1500,0,0
2020-02-14,10.49,10.49,10.49,10.49,6200,0,0
2020-02-18,10.38,10.91,10.35,10.91,4400,0,0
2020-02-19,10.54,10.54,10.37,10.37,2100,0,0
2020-02-20,10.51,11.57,10.51,10.57,14700,0,0
2020-02-21,10.57,10.57,10.57,10.57,0,0,0
2020-02-24,10.57,10.57,10.57,10.57,0,0,0
2020-02-25,10.57,10.57,10.57,10.57,150000,0,0
2020-02-26,10.57,10.57,10.57,10.57,0,0,0
2020-02-27,10.75,10.75,10.75,10.75,100,0,0
2020-02-28,10.45,11.03,10.4,10.45,415700,0,0
2020-03-02,10.47,10.47,10.4,10.4,150400,0,0
2020-03-03,10.46,10.46,10.46,10.46,61700,0,0
2020-03-04,10.46,10.46,10.46,10.46,0,0,0
2020-03-05,10.46,10.46,10.46,10.46,0,0,0
2020-03-06,10.4,10.4,10.4,10.4,21800,0,0
2020-03-09,10.3,10.3,10.2,10.25,1000,0,0
2020-03-09,10.3,10.3,10.2,10.3,1000,0,0
