Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-16,0.5,0.5,0.5,0.5,3800,0,0
2001-07-17,0.5,0.5,0.5,0.5,500,0,0
2001-07-27,0.5,0.5,0.5,0.5,600,0,0
2001-08-07,0.5,0.5,0.5,0.5,2000,0,0
2001-08-20,0.5,0.5,0.5,0.5,5300,0,0
2001-08-29,0.5,0.5,0.5,0.5,5000,0,0
2001-09-25,0.5,0.5,0.5,0.5,500,0,0
2001-10-10,0.5,0.51,0.51,0.51,2200,0,0
2001-10-11,0.51,0.51,0.51,0.51,900,0,0
2001-10-18,0.51,0.5,0.5,0.5,10000,0,0
2001-11-13,0.5,0.5,0.5,0.5,500,0,0
2001-11-28,0.51,0.51,0.51,0.51,1200,0,0
2002-01-04,0.51,0.51,0.51,0.51,900,0,0
2002-01-11,0.51,0.51,0.51,0.51,5000,0,0
2002-03-04,0.51,0.51,0.51,0.51,1000,0,0
2002-07-23,0.51,0.5,0.5,0.51,100,0,0
2003-02-18,0.51,0.5,0.5,0.51,1000,0,0
2003-03-06,0.51,0.5,0.5,0.51,500,0,0
2005-01-14,0.51,0.5,0.5,0.51,1600,0,0
2005-01-25,0.51,0.5,0.5,0.5,1447900,0,0
2005-01-27,0.5,0.5,0.5,0.52,900,0,0
2005-02-02,0.52,0.5,0.5,0.52,2300,0,0
2005-02-04,0.52,0.54,0.54,0.54,122800,0,0
2005-02-07,0.54,0.56,0.56,0.56,53900,0,0
2005-02-08,0.56,0.5,0.5,0.56,10300,0,0
2005-02-10,0.56,0.56,0.56,0.56,43900,0,0
2005-02-11,0.56,0.5,0.5,0.56,400,0,0
2005-02-15,0.56,0.5,0.5,0.56,60800,0,0
2005-02-18,0.56,0.5,0.5,0.56,300,0,0
2005-02-23,0.56,0.56,0.56,0.56,101100,0,0
2005-02-24,0.56,0.56,0.56,0.56,5800,0,0
2005-02-25,0.56,0.5,0.5,0.56,1300,0,0
2005-03-10,0.56,0.5,0.5,0.56,1000,0,0
2005-04-04,0.56,0.5,0.5,0.56,300,0,0
2005-05-05,0.56,0.5,0.5,0.56,200,0,0
2005-05-20,0.56,0.5,0.5,0.56,100,0,0
2005-06-08,0.56,0.5,0.5,0.56,8000,0,0
2005-06-10,0.56,0.5,0.5,0.56,1200,0,0
2005-06-16,0.56,0.5,0.5,0.56,3000,0,0
2005-08-25,0.56,0.5,0.5,0.56,3000,0,0
2005-08-29,0.56,0.5,0.5,0.56,600,0,0
2005-10-25,0.56,0.56,0.56,0.56,6273200,0,0
2005-10-26,0.56,0.5,0.5,0.56,18400,0,0
2005-11-07,0.56,0.5,0.5,0.56,100,0,0
2005-11-18,0.56,0.5,0.5,0.56,80,0,0
2005-11-22,0.56,0.5,0.5,0.56,65700,0,0
