Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-15,17.99,18.24,17.27,18.02,2556400,0.0,0
2015-01-16,17.96,21.03,17.96,18.25,1012000,0.0,0
2015-01-20,18.24,18.31,18.06,18.1,686600,0.0,0
2015-01-21,18.22,18.31,18.1,18.22,608600,0.0,0
2015-01-22,18.45,18.52,18.34,18.44,870800,0.0,0
2015-01-23,18.42,18.52,18.42,18.45,569700,0.0,0
2015-01-26,18.47,18.48,18.42,18.44,336200,0.0,0
2015-01-27,18.45,18.57,18.43,18.49,506000,0.0,0
2015-01-28,18.48,18.67,18.48,18.67,350300,0.0,0
2015-01-29,18.64,18.72,18.64,18.72,240100,0.0,0
2015-01-30,18.74,19.03,18.72,18.98,402500,0.0,0
2015-02-02,18.98,19.02,18.86,18.95,250700,0.0,0
2015-02-03,18.93,18.94,18.83,18.87,273400,0.0,0
2015-02-04,18.85,18.87,18.75,18.81,229900,0.0,0
2015-02-05,18.85,18.85,18.72,18.76,194200,0.0,0
2015-02-06,18.78,18.78,18.62,18.68,143800,0.0,0
2015-02-09,18.71,18.95,18.69,18.93,313300,0.0,0
2015-02-10,18.88,18.95,18.85,18.94,222700,0.0,0
2015-02-11,18.94,19.16,18.9,19.1,189600,0.0,0
2015-02-12,19.07,19.16,19.07,19.13,107200,0.0,0
2015-02-13,19.13,19.2,18.98,19.08,126400,0.0,0
2015-02-17,19.11,19.11,18.85,18.89,216600,0.0,0
2015-02-18,19.0,19.0,18.78,18.87,130200,0.0,0
2015-02-19,18.9,19.05,18.88,19.04,166700,0.0,0
2015-02-20,18.98,19.11,18.98,19.05,106700,0.0,0
2015-02-23,19.09,19.15,19.08,19.15,103900,0.0,0
2015-02-24,19.15,19.29,19.13,19.25,97600,0.0,0
2015-02-25,19.3,19.36,19.27,19.35,531100,0.0,0
2015-02-26,19.31,19.4,19.31,19.35,130500,0.0,0
2015-02-27,19.38,19.51,19.36,19.43,115500,0.0,0
2015-03-02,19.39,19.51,19.35,19.51,82400,0.0,0
2015-03-03,19.49,19.51,19.35,19.38,143500,0.0,0
2015-03-04,19.43,19.43,19.35,19.38,66200,0.0,0
2015-03-05,19.43,19.43,19.38,19.39,64100,0.0,0
2015-03-06,19.39,19.41,19.18,19.2,206300,0.0,0
2015-03-09,19.2,19.3,19.13,19.13,55200,0.0,0
2015-03-10,19.25,19.28,19.13,19.2,53500,0.0,0
2015-03-11,19.23,19.3,19.23,19.26,67600,0.0,0
2015-03-12,19.26,19.34,19.26,19.28,48500,0.0,0
2015-03-13,19.36,19.38,19.3,19.36,63400,0.37,0
2015-03-16,19.43,19.51,19.34,19.51,67200,0.0,0
2015-03-17,19.54,19.54,19.46,19.51,71600,0.0,0
2015-03-18,19.4,19.62,19.4,19.59,60600,0.0,0
2015-03-19,19.62,19.71,19.5,19.64,53000,0.0,0
2015-03-20,19.71,19.85,19.67,19.83,86700,0.0,0
2015-03-23,19.7,19.83,19.68,19.79,99100,0.0,0
2015-03-24,19.79,19.83,19.73,19.78,82700,0.0,0
2015-03-25,19.75,19.82,19.74,19.81,97000,0.0,0
2015-03-26,19.75,19.8,19.73,19.76,34100,0.0,0
2015-03-27,19.79,19.84,19.75,19.8,42800,0.0,0
2015-03-30,19.86,19.98,19.82,19.94,123000,0.0,0
2015-03-31,20.01,20.13,19.89,20.1,88900,0.0,0
2015-04-01,20.04,20.17,19.92,20.06,54300,0.0,0
2015-04-02,20.05,20.25,20.05,20.25,68300,0.0,0
2015-04-06,20.27,20.37,20.13,20.3,112700,0.0,0
2015-04-07,20.2,20.33,20.2,20.32,90100,0.0,0
2015-04-08,20.26,20.31,20.07,20.17,130400,0.0,0
2015-04-09,20.17,20.22,20.13,20.15,40900,0.0,0
2015-04-10,20.16,20.2,20.12,20.19,58800,0.0,0
2015-04-13,20.19,20.19,20.07,20.15,57600,0.0,0
2015-04-14,20.02,20.17,19.91,19.95,223200,0.0,0
2015-04-15,19.99,20.05,19.92,20.01,290800,0.0,0
2015-04-16,20.05,20.09,19.96,20.02,167900,0.0,0
