Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-03-24,7.79,7.79,7.7,7.7,10300,0.0,0
2003-03-25,7.77,7.77,7.7,7.73,17200,0.0,0
2003-03-26,7.7,7.79,7.7,7.79,14800,0.0,0
2003-03-27,7.76,8.0,7.75,8.0,7900,0.0,0
2003-03-28,7.85,7.85,7.82,7.82,2500,0.0,0
2003-03-31,7.85,7.91,7.8,7.85,27900,0.0,0
2003-04-01,7.88,7.88,7.85,7.86,6900,0.0,0
2003-04-02,7.86,7.86,7.85,7.85,3200,0.0,0
2003-04-03,7.87,7.87,7.84,7.84,3400,0.0,0
2003-04-04,7.86,7.87,7.82,7.87,8600,0.0,0
2003-04-07,7.87,7.87,7.84,7.84,3700,0.0,0
2003-04-08,7.87,7.87,7.87,7.87,800,0.0,0
2003-04-09,7.84,7.88,7.84,7.88,5900,0.0,0
2003-04-10,7.88,8.03,7.85,7.88,14800,0.0,0
2003-04-11,7.91,7.94,7.88,7.88,6400,0.0,0
2003-04-14,7.91,7.94,7.88,7.88,5200,0.0,0
2003-04-15,7.91,7.91,7.84,7.91,7600,0.0,0
2003-04-16,7.91,7.91,7.85,7.85,7000,0.0,0
2003-04-17,7.87,7.9,7.84,7.9,4200,0.0,0
2003-04-21,7.9,7.9,7.85,7.88,8500,0.0,0
2003-04-22,7.88,7.88,7.87,7.88,6600,0.0,0
2003-04-23,7.87,7.88,7.87,7.88,1800,0.0,0
2003-04-24,7.88,7.93,7.87,7.93,20000,0.0,0
2003-04-25,7.91,7.99,7.9,7.99,2600,0.0,0
2003-04-28,7.91,8.03,7.9,7.91,6700,0.0,0
2003-04-29,7.91,7.99,7.91,7.91,2000,0.0,0
2003-04-30,7.99,7.99,7.94,7.94,2000,0.0,0
2003-05-01,7.97,7.97,7.91,7.91,600,0.0,0
2003-05-02,7.91,7.99,7.91,7.97,1700,0.0,0
2003-05-05,7.99,7.99,7.93,7.96,11300,0.0,0
2003-05-06,7.94,8.03,7.94,8.03,6800,0.0,0
2003-05-07,7.99,8.03,7.97,8.02,12300,0.0,0
2003-05-08,7.94,8.02,7.93,8.0,4200,0.0,0
2003-05-09,7.99,7.99,7.99,7.99,100,0.0,0
2003-05-12,8.0,8.0,7.93,7.97,13200,0.0,0
2003-05-13,7.97,7.97,7.91,7.93,45500,0.0,0
2003-05-14,7.91,7.96,7.91,7.96,14300,0.0,0
2003-05-15,7.96,7.96,7.91,7.91,8200,0.0,0
2003-05-16,7.93,8.0,7.93,7.94,22100,0.0,0
2003-05-19,7.97,7.97,7.93,7.97,7200,0.0,0
2003-05-20,7.97,7.97,7.94,7.97,1800,0.0,0
2003-05-21,7.97,7.97,7.94,7.97,2900,0.0,0
2003-05-22,7.97,7.97,7.91,7.97,4500,0.0,0
2003-05-23,7.94,7.97,7.93,7.97,4100,0.0,0
2003-05-27,7.97,8.04,7.97,8.0,5900,0.0,0
2003-05-28,8.02,8.06,7.99,8.06,4400,0.0,0
2003-05-29,8.03,8.03,7.98,8.02,3500,0.0,0
2003-05-30,8.02,8.03,7.99,8.02,5700,0.0,0
2003-06-02,8.02,8.1,8.0,8.06,21900,0.0,0
2003-06-03,8.06,8.12,8.06,8.08,3200,0.0,0
2003-06-04,8.1,8.1,8.1,8.1,2000,0.0,0
2003-06-05,8.12,8.36,8.12,8.3,22700,0.0,0
2003-06-06,8.24,8.28,8.24,8.28,1500,0.0,0
2003-06-09,8.28,8.29,8.21,8.28,4500,0.0,0
2003-06-10,8.28,8.39,8.25,8.28,23700,0.0,0
2003-06-11,8.28,8.36,8.28,8.3,13400,0.0,0
2003-06-12,8.31,8.36,8.28,8.33,5400,0.0,0
2003-06-13,8.33,8.42,8.33,8.33,6400,0.5,0
2003-06-16,8.36,8.43,8.26,8.36,27800,0.0,0
2003-06-17,8.26,8.36,8.26,8.27,14800,0.0,0
2003-06-18,8.33,8.34,8.27,8.31,7000,0.0,0
2003-06-19,8.33,8.34,8.33,8.33,4500,0.0,0
2003-06-20,8.33,8.36,8.31,8.33,13000,0.0,0
2003-06-23,8.32,8.33,8.31,8.33,13200,0.0,0
2003-06-24,8.33,8.43,8.33,8.36,9000,0.0,0
2003-06-25,8.37,8.48,8.34,8.39,10700,0.0,0
2003-06-26,8.45,8.45,8.39,8.39,7600,0.0,0
2003-06-27,8.37,8.43,8.37,8.43,8300,0.0,0
2003-06-30,8.43,8.43,8.37,8.43,6200,0.0,0
2003-07-01,8.45,8.45,8.39,8.43,6300,0.0,0
2003-07-02,8.43,8.43,8.42,8.42,4700,0.0,0
2003-07-03,8.42,8.42,8.42,8.42,200,0.0,0
2003-07-07,8.4,8.42,8.4,8.4,5400,0.0,0
2003-07-08,8.4,8.43,8.39,8.42,8800,0.0,0
2003-07-09,8.5,8.5,8.42,8.45,7600,0.0,0
2003-07-10,8.43,8.5,8.42,8.47,9400,0.0,0
2003-07-11,8.46,8.46,8.44,8.44,1100,0.0,0
2003-07-14,8.43,8.47,8.43,8.43,3200,0.0,0
2003-07-15,8.43,8.51,8.43,8.47,12900,0.0,0
2003-07-16,8.43,8.48,8.43,8.45,4900,0.0,0
2003-07-17,8.46,8.48,8.39,8.47,16100,0.0,0
2003-07-18,8.43,8.47,8.33,8.45,6400,0.0,0
2003-07-21,8.45,8.45,8.33,8.34,11800,0.0,0
2003-07-22,8.31,8.34,8.31,8.31,10900,0.0,0
2003-07-23,8.31,8.42,8.31,8.39,1700,0.0,0
2003-07-24,8.33,8.39,8.33,8.39,4800,0.0,0
2003-07-25,8.35,8.39,8.34,8.39,5800,0.0,0
2003-07-28,8.36,8.39,8.33,8.33,2300,0.0,0
2003-07-29,8.39,8.39,8.33,8.39,800,0.0,0
2003-07-30,8.39,8.39,8.32,8.34,4500,0.0,0
2003-07-31,8.36,8.36,8.33,8.33,2500,0.0,0
2003-08-01,8.32,8.34,8.31,8.32,4100,0.0,0
2003-08-04,8.32,8.36,8.28,8.29,4700,0.0,0
2003-08-05,8.29,8.33,8.29,8.33,1200,0.0,0
2003-08-06,8.33,8.33,8.26,8.26,6100,0.0,0
2003-08-07,8.24,8.24,8.11,8.2,2500,0.0,0
2003-08-08,8.26,8.26,8.12,8.13,1500,0.0,0
2003-08-11,8.13,8.13,8.13,8.13,0,0.0,0
2003-08-12,8.13,8.19,8.13,8.16,7600,0.0,0
2003-08-13,8.16,8.19,8.15,8.15,6500,0.0,0
2003-08-14,8.16,8.19,8.15,8.15,2800,0.0,0
2003-08-15,8.19,8.19,8.15,8.15,1400,0.0,0
2003-08-18,8.15,8.19,8.14,8.15,5100,0.0,0
2003-08-19,8.19,8.19,8.15,8.19,1900,0.0,0
2003-08-20,8.19,8.19,8.16,8.16,2800,0.0,0
2003-08-21,8.19,8.36,8.16,8.33,9400,0.0,0
2003-08-22,8.2,8.27,8.2,8.27,2100,0.0,0
2003-08-25,8.23,8.23,8.21,8.22,1400,0.0,0
2003-08-26,8.22,8.22,8.2,8.22,3000,0.0,0
2003-08-27,8.21,8.21,8.21,8.21,600,0.0,0
2003-08-28,8.22,8.27,8.22,8.27,900,0.0,0
2003-08-29,8.37,8.37,8.37,8.37,500,0.0,0
2003-09-02,8.36,8.36,8.29,8.29,900,0.0,0
2003-09-03,8.3,8.36,8.3,8.36,1300,0.0,0
2003-09-04,8.32,8.36,8.32,8.36,1000,0.0,0
2003-09-05,8.32,8.37,8.32,8.33,3800,0.0,0
2003-09-08,8.36,8.36,8.33,8.33,1700,0.0,0
2003-09-09,8.33,8.33,8.33,8.33,400,0.0,0
2003-09-10,8.33,8.34,8.33,8.34,4700,0.0,0
2003-09-11,8.36,8.36,8.32,8.32,2300,0.0,0
2003-09-12,8.48,8.48,8.36,8.41,1700,0.5,0
2003-09-15,8.41,8.41,8.41,8.41,300,0.0,0
2003-09-16,8.45,8.47,8.41,8.46,5200,0.0,0
2003-09-17,8.46,8.46,8.46,8.46,900,0.0,0
2003-09-18,8.46,8.51,8.46,8.51,1600,0.0,0
2003-09-19,8.51,8.7,8.51,8.62,4200,0.0,0
2003-09-22,8.62,8.62,8.38,8.41,12100,0.0,0
2003-09-23,8.41,8.45,8.36,8.45,4100,0.0,0
2003-09-24,8.45,8.45,8.38,8.42,1500,0.0,0
2003-09-25,8.42,8.46,8.41,8.41,1600,0.0,0
2003-09-26,8.41,8.41,8.41,8.41,1200,0.0,0
2003-09-29,8.46,8.46,8.4,8.45,1000,0.0,0
2003-09-30,8.4,8.46,8.4,8.45,1800,0.0,0
2003-10-01,8.39,8.45,8.39,8.45,1700,0.0,0
2003-10-02,8.45,8.47,8.45,8.47,5100,0.0,0
2003-10-03,8.47,8.51,8.44,8.44,1200,0.0,0
2003-10-06,8.47,8.51,8.47,8.48,1800,0.0,0
2003-10-07,8.51,8.51,8.49,8.49,800,0.0,0
2003-10-08,8.48,8.51,8.44,8.44,3300,0.0,0
2003-10-09,8.5,8.5,8.44,8.44,800,0.0,0
2003-10-10,8.44,8.44,8.44,8.44,0,0.0,0
2003-10-13,8.47,8.48,8.44,8.44,1300,0.0,0
2003-10-14,8.48,8.48,8.48,8.48,3000,0.0,0
2003-10-15,8.48,8.48,8.48,8.48,2200,0.0,0
2003-10-16,8.48,8.48,8.48,8.48,3900,0.0,0
2003-10-17,8.48,8.48,8.48,8.48,3800,0.0,0
2003-10-20,8.48,8.48,8.44,8.48,1900,0.0,0
2003-10-21,8.48,8.48,8.48,8.48,900,0.0,0
2003-10-22,8.48,8.51,8.48,8.49,11200,0.0,0
2003-10-23,8.48,8.51,8.48,8.51,2400,0.0,0
2003-10-24,8.51,8.51,8.48,8.51,1900,0.0,0
2003-10-27,8.61,8.61,8.54,8.54,700,0.0,0
2003-10-28,8.54,8.61,8.54,8.61,400,0.0,0
2003-10-29,8.54,8.62,8.42,8.62,3900,0.0,0
2003-10-30,8.49,8.63,8.47,8.47,13500,0.0,0
2003-10-31,8.48,8.58,8.42,8.42,2600,0.0,0
2003-11-03,8.55,8.55,8.55,8.55,300,0.0,0
2003-11-04,8.55,8.55,8.48,8.48,2300,0.0,0
2003-11-05,8.44,8.47,8.44,8.47,3800,0.0,0
2003-11-06,8.45,8.5,8.45,8.5,3300,0.0,0
2003-11-07,8.49,8.5,8.4,8.4,10000,0.0,0
2003-11-10,8.5,8.5,8.43,8.43,3200,0.0,0
2003-11-11,8.46,8.46,8.46,8.46,3600,0.0,0
2003-11-12,8.49,8.49,8.49,8.49,2500,0.0,0
2003-11-13,8.45,8.46,8.45,8.46,1400,0.0,0
2003-11-14,8.45,8.47,8.42,8.43,2600,0.0,0
2003-11-17,8.45,8.45,8.45,8.45,100,0.0,0
2003-11-18,8.45,8.45,8.44,8.45,800,0.0,0
2003-11-19,8.45,8.45,8.42,8.45,6900,0.0,0
2003-11-20,8.45,8.45,8.42,8.45,4100,0.0,0
2003-11-21,8.45,8.45,8.42,8.42,1600,0.0,0
2003-11-24,8.45,8.45,8.45,8.45,1200,0.0,0
2003-11-25,8.45,8.45,8.43,8.45,3200,0.0,0
2003-11-26,8.42,8.64,8.39,8.45,9100,0.0,0
2003-11-28,8.45,8.45,8.45,8.45,1000,0.0,0
2003-12-01,8.45,8.45,8.42,8.45,2300,0.0,0
2003-12-02,8.45,8.45,8.38,8.45,4800,0.0,0
2003-12-03,8.45,8.45,8.44,8.45,3200,0.0,0
2003-12-04,8.62,8.64,8.48,8.56,39700,0.0,0
2003-12-05,8.58,8.73,8.53,8.64,4900,0.0,0
2003-12-08,8.65,8.82,8.59,8.79,9400,0.0,0
2003-12-09,8.76,8.79,8.73,8.77,1700,0.0,0
2003-12-10,8.67,8.7,8.61,8.61,1000,0.0,0
2003-12-11,8.67,9.13,8.67,8.8,9300,0.0,0
2003-12-12,8.89,8.89,8.85,8.85,700,0.0,0
2003-12-15,8.89,8.98,8.69,8.82,9600,0.5,0
2003-12-16,8.82,8.86,8.74,8.86,2000,0.0,0
2003-12-17,8.82,8.82,8.82,8.82,3000,0.0,0
2003-12-18,8.78,8.82,8.78,8.78,3500,0.0,0
2003-12-19,8.78,8.82,8.78,8.81,2700,0.0,0
2003-12-22,8.79,8.79,8.67,8.67,1800,0.0,0
2003-12-23,8.67,8.82,8.67,8.82,1500,0.0,0
2003-12-24,8.82,8.82,8.67,8.76,5000,0.0,0
2003-12-26,8.76,8.82,8.76,8.82,1400,0.0,0
2003-12-29,8.82,8.82,8.7,8.79,2200,0.0,0
2003-12-30,8.82,8.82,8.7,8.7,3900,0.0,0
2003-12-31,8.82,8.82,8.74,8.74,900,0.0,0
2004-01-02,8.68,8.79,8.68,8.79,2200,0.0,0
2004-01-05,8.72,8.79,8.68,8.73,3100,0.0,0
2004-01-06,8.79,8.82,8.79,8.82,1400,0.0,0
2004-01-07,8.94,8.94,8.83,8.87,4200,0.0,0
2004-01-08,8.92,8.92,8.9,8.92,900,0.0,0
2004-01-09,8.92,8.94,8.87,8.87,3200,0.0,0
2004-01-12,9.01,9.01,9.01,9.01,1100,0.0,0
2004-01-13,8.98,8.98,8.98,8.98,700,0.0,0
2004-01-14,8.92,8.98,8.92,8.98,3200,0.0,0
