Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-01-20,0.88,0.88,0.88,0.88,1700,0.0,0.0
1995-01-23,0.86,0.86,0.86,0.86,600,0.0,0.0
1995-01-24,0.86,0.86,0.86,0.86,1000,0.0,0.0
1995-01-25,0.86,0.86,0.86,0.86,0,0.0,0.0
1995-01-26,0.86,0.86,0.86,0.86,0,0.0,0.0
1995-01-27,0.88,0.88,0.88,0.88,3400,0.0,0.0
1995-01-30,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-01-31,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-01,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-02,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-03,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-06,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-07,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-08,0.88,0.88,0.88,0.88,300,0.0,0.0
1995-02-09,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-10,0.88,0.88,0.88,0.88,3400,0.0,0.0
1995-02-13,0.88,0.88,0.88,0.88,0,0.0,0.0
1995-02-14,0.85,0.85,0.85,0.85,300,0.0,0.0
1995-02-15,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-16,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-17,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-21,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-22,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-23,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-24,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-27,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-02-28,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-03-01,0.88,0.88,0.88,0.88,1700,0.0,0.0
1995-03-02,0.85,0.85,0.85,0.85,1700,0.0,0.0
1995-03-03,0.85,0.85,0.85,0.85,0,0.0,0.0
1995-03-06,0.82,0.82,0.82,0.82,3400,0.0,0.0
1995-03-07,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-08,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-09,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-10,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-13,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-14,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-15,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-16,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-17,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-20,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-21,0.82,0.82,0.82,0.82,0,0.0,0.0
1995-03-22,0.88,0.88,0.88,0.88,20500,0.0,0.0
1995-03-23,0.91,0.91,0.91,0.91,1300,0.0,0.0
1995-03-24,0.91,0.91,0.91,0.91,3400,0.0,0.0
1995-03-27,0.91,0.91,0.91,0.91,0,0.0,0.0
1995-03-28,0.94,0.99,0.94,0.99,15000,0.0,0.0
1995-03-29,1.02,1.02,1.02,1.02,3400,0.0,0.0
1995-03-30,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-03-31,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-04-03,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-04-04,1.05,1.05,1.05,1.05,1000,0.0,0.0
1995-04-05,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-04-06,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-04-07,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-04-10,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-04-11,1.14,1.14,1.14,1.14,1700,0.0,0.0
1995-04-12,1.14,1.15,1.14,1.15,14600,0.0,0.0
1995-04-13,1.11,1.11,1.11,1.11,17000,0.0,0.0
1995-04-17,1.21,1.21,1.16,1.16,6800,0.0,0.0
1995-04-18,1.16,1.16,1.16,1.16,0,0.0,0.0
1995-04-19,1.16,1.16,1.16,1.16,0,0.0,0.0
1995-04-20,1.16,1.16,1.16,1.16,0,0.0,0.0
1995-04-21,1.16,1.16,1.16,1.16,0,0.0,0.0
1995-04-24,1.16,1.16,1.16,1.16,0,0.0,0.0
1995-04-25,1.16,1.16,1.16,1.16,0,0.0,0.0
1995-04-26,1.14,1.14,1.14,1.14,5100,0.0,0.0
1995-04-27,1.14,1.14,1.14,1.14,0,0.0,0.0
1995-04-28,1.1,1.1,1.1,1.1,5100,0.0,0.0
1995-05-01,1.08,1.08,1.08,1.08,3400,0.0,0.0
1995-05-02,1.08,1.08,1.08,1.08,1700,0.0,0.0
1995-05-03,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-05-04,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-05-05,1.08,1.08,1.08,1.08,4700,0.0,0.0
1995-05-08,1.02,1.02,1.02,1.02,3400,0.0,0.0
1995-05-09,1.02,1.02,1.02,1.02,6800,0.0,0.0
1995-05-10,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-05-11,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-05-12,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-05-15,0.96,0.96,0.96,0.96,20500,0.0,0.0
1995-05-16,0.96,0.99,0.96,0.96,10200,0.0,0.0
1995-05-17,0.96,0.96,0.96,0.96,0,0.0,0.0
1995-05-18,0.96,0.96,0.96,0.96,0,0.0,0.0
1995-05-19,0.97,1.02,0.97,0.97,18100,0.0,0.0
1995-05-22,0.97,0.97,0.97,0.97,0,0.0,0.0
1995-05-23,0.97,0.97,0.97,0.97,0,0.0,0.0
1995-05-24,1.05,1.05,1.02,1.02,24200,0.0,0.0
1995-05-25,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-05-26,0.99,0.99,0.99,0.99,300,0.0,0.0
1995-05-30,1.02,1.02,1.02,1.02,2000,0.0,0.0
1995-05-31,0.93,0.93,0.92,0.92,6800,0.0,0.0
1995-06-01,0.92,0.92,0.92,0.92,0,0.0,0.0
1995-06-02,1.02,1.02,1.02,1.02,1700,0.0,0.0
1995-06-05,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-06-06,1.02,1.02,1.02,1.02,0,0.0,0.0
1995-06-07,1.02,1.02,1.02,1.02,10200,0.0,0.0
1995-06-08,1.14,1.14,1.04,1.05,12300,0.0,0.0
1995-06-09,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-06-12,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-06-13,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-06-14,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-06-15,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-06-16,1.05,1.05,1.04,1.04,19100,0.0,0.0
1995-06-19,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-06-20,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-06-21,0.99,0.99,0.99,0.99,600,0.0,0.0
1995-06-22,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-06-23,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-06-26,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-06-27,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-06-28,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-06-29,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-06-30,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-07-03,1.08,1.08,1.08,1.08,3400,0.0,0.0
1995-07-05,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-07-06,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-07-07,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-07-10,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-07-11,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-07-12,1.01,1.05,0.99,1.05,8200,0.0,0.0
1995-07-13,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-14,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-17,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-18,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-19,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-20,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-21,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-24,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-25,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-26,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-27,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-28,1.05,1.05,1.05,1.05,0,0.0,0.0
1995-07-31,1.05,1.05,1.0,1.0,20500,0.0,0.0
1995-08-01,1.0,1.0,1.0,1.0,0,0.0,0.0
1995-08-02,1.0,1.0,1.0,1.0,0,0.0,0.0
1995-08-03,1.05,1.07,1.05,1.05,23900,0.0,0.0
1995-08-04,1.05,1.05,1.05,1.05,3400,0.0,0.0
1995-08-07,0.99,0.99,0.99,0.99,2000,0.0,0.0
1995-08-08,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-08-09,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-08-10,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-08-11,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-08-14,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-08-15,1.08,1.08,1.08,1.08,300,0.0,0.0
1995-08-16,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-08-17,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-08-18,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-08-21,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-08-22,1.08,1.08,1.08,1.08,1700,0.0,0.0
1995-08-23,1.08,1.08,1.08,1.08,0,0.0,0.0
1995-08-24,1.04,1.04,1.04,1.04,2000,0.0,0.0
1995-08-25,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-08-28,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-08-29,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-08-30,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-08-31,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-01,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-05,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-06,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-07,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-08,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-11,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-12,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-13,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-14,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-15,1.04,1.04,1.04,1.04,0,0.0,0.0
1995-09-18,0.99,0.99,0.96,0.99,22200,0.0,0.0
1995-09-19,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-09-20,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-09-21,0.99,0.99,0.99,0.99,0,0.0,0.0
1995-09-22,0.95,0.95,0.95,0.95,1700,0.0,0.0
1995-09-25,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-09-26,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-09-27,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-09-28,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-09-29,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-02,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-03,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-04,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-05,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-06,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-09,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-10,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-11,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-12,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-13,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-16,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-17,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-18,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-19,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-20,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-23,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-24,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-25,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-26,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-27,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-30,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-10-31,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-01,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-02,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-03,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-06,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-07,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-08,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-09,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-10,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-13,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-14,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-15,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-16,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-17,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-20,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-21,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-22,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-24,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-27,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-28,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-29,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-11-30,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-12-01,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-12-04,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-12-05,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-12-06,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-12-07,0.95,0.95,0.95,0.95,0,0.0,0.0
1995-12-08,0.9,0.9,0.89,0.89,6800,0.0,0.0
1995-12-11,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-12,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-13,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-14,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-15,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-18,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-19,0.89,0.89,0.89,0.89,0,0.0,0.0
1995-12-20,0.9,0.9,0.9,0.9,3400,0.0,0.0
1995-12-21,0.9,0.9,0.9,0.9,0,0.0,0.0
1995-12-22,0.9,0.9,0.9,0.9,0,0.0,0.0
1995-12-26,0.9,0.9,0.9,0.9,0,0.0,0.0
1995-12-27,0.83,0.9,0.83,0.9,17000,0.0,0.0
1995-12-28,0.9,0.9,0.9,0.9,0,0.0,0.0
1995-12-29,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-02,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-03,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-04,1.02,1.02,1.02,1.02,1300,0.0,0.0
1996-01-05,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-08,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-09,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-10,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-11,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-12,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-15,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-16,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-17,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-18,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-19,1.02,1.02,1.02,1.02,0,0.0,0.0
1996-01-22,0.9,0.9,0.9,0.9,3400,0.0,0.0
1996-01-23,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-24,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-25,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-26,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-29,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-01-30,0.9,0.9,0.9,0.9,3400,0.0,0.0
1996-01-31,0.83,0.83,0.83,0.83,600,0.0,0.0
1996-02-01,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-02-02,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-02-05,0.87,0.87,0.87,0.87,6800,0.0,0.0
1996-02-06,0.87,0.87,0.87,0.87,0,0.0,0.0
1996-02-07,0.87,0.9,0.87,0.9,18700,0.0,0.0
1996-02-08,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-09,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-12,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-13,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-14,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-15,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-16,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-20,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-21,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-22,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-23,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-26,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-27,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-28,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-02-29,0.88,0.88,0.88,0.88,600,0.0,0.0
1996-03-01,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-04,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-05,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-06,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-07,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-08,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-11,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-12,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-13,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-14,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-15,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-18,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-19,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-20,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-21,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-22,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-25,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-26,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-27,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-28,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-03-29,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-01,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-02,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-03,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-04,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-08,0.83,0.83,0.83,0.83,3000,0.0,0.0
1996-04-09,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-10,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-11,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-12,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-15,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-16,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-17,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-18,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-19,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-04-22,0.8,0.91,0.8,0.91,519800,0.0,0.0
1996-04-23,0.8,0.85,0.8,0.85,10200,0.0,0.0
1996-04-24,0.88,0.88,0.88,0.88,2700,0.0,0.0
1996-04-25,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-26,0.88,0.88,0.88,0.88,0,0.0,0.0
1996-04-29,0.8,0.85,0.8,0.85,10200,0.0,0.0
1996-04-30,0.85,0.85,0.85,0.85,0,0.0,0.0
1996-05-01,0.8,0.87,0.8,0.87,4400,0.0,0.0
1996-05-02,0.87,0.87,0.87,0.87,0,0.0,0.0
1996-05-03,0.87,0.87,0.87,0.87,0,0.0,0.0
1996-05-06,0.83,0.83,0.83,0.83,3700,0.0,0.0
1996-05-07,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-05-08,0.87,0.87,0.83,0.83,21100,0.0,0.0
1996-05-09,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-05-10,0.83,0.83,0.83,0.83,1000,0.0,0.0
1996-05-13,0.83,0.83,0.83,0.83,9200,0.0,0.0
1996-05-14,0.83,0.83,0.83,0.83,4700,0.0,0.0
1996-05-15,0.83,0.9,0.83,0.87,37900,0.0,0.0
1996-05-16,0.87,0.91,0.87,0.91,12300,0.0,0.0
1996-05-17,0.9,0.9,0.9,0.9,2700,0.0,0.0
1996-05-20,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-05-21,0.96,0.96,0.96,0.96,10200,0.0,0.0
1996-05-22,0.96,0.96,0.96,0.96,2700,0.0,0.0
1996-05-23,0.96,0.96,0.96,0.96,0,0.0,0.0
1996-05-24,0.87,0.96,0.87,0.96,36900,0.0,0.0
1996-05-28,0.96,0.96,0.96,0.96,0,0.0,0.0
1996-05-29,0.9,0.96,0.9,0.96,22500,0.0,0.0
1996-05-30,0.96,0.96,0.96,0.96,0,0.0,0.0
1996-05-31,0.96,0.96,0.96,0.96,3400,0.0,0.0
1996-06-03,0.9,0.9,0.9,0.9,61100,0.0,0.0
1996-06-04,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-06-05,0.9,0.94,0.9,0.9,116200,0.0,0.0
1996-06-06,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-06-07,0.9,0.9,0.9,0.9,0,0.0,0.0
1996-06-10,0.93,0.94,0.9,0.9,46100,0.0,0.0
1996-06-11,0.9,0.9,0.9,0.9,600,0.0,0.0
1996-06-12,0.9,0.9,0.9,0.9,3400,0.0,0.0
1996-06-13,0.88,0.9,0.87,0.9,29000,0.0,0.0
1996-06-14,0.85,0.85,0.82,0.82,29300,0.0,0.0
1996-06-17,0.93,0.93,0.9,0.9,6800,0.0,0.0
1996-06-18,0.94,0.94,0.88,0.88,50200,0.0,0.0
1996-06-19,0.9,0.9,0.83,0.83,10900,0.0,0.0
1996-06-20,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-06-21,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-06-24,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-06-25,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-06-26,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-06-27,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-06-28,0.83,0.83,0.83,0.83,1300,0.0,0.0
1996-07-01,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-07-02,0.83,0.85,0.83,0.83,64200,0.0,0.0
1996-07-03,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-07-05,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-07-08,0.83,0.83,0.83,0.83,0,0.0,0.0
1996-07-09,0.83,0.96,0.83,0.83,18400,0.0,0.0
1996-07-10,0.83,0.83,0.83,0.83,0,0.0,0.0
