Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-03,9.95,9.95,9.95,9.95,110000,0,0
2020-02-04,9.94,9.94,9.93,9.94,161000,0,0
2020-02-05,9.94,9.94,9.94,9.94,39100,0,0
2020-02-06,9.94,9.95,9.94,9.94,165400,0,0
2020-02-07,9.94,9.94,9.92,9.92,100500,0,0
2020-02-10,9.92,9.92,9.92,9.92,0,0,0
2020-02-11,9.92,9.92,9.92,9.92,0,0,0
2020-02-12,9.95,9.95,9.92,9.95,400,0,0
2020-02-13,9.95,9.95,9.95,9.95,0,0,0
2020-02-14,9.95,9.95,9.95,9.95,0,0,0
2020-02-18,9.95,9.95,9.95,9.95,0,0,0
2020-02-19,9.94,9.95,9.94,9.95,51000,0,0
2020-02-20,9.9,9.9,9.9,9.9,5000,0,0
2020-02-21,9.9,9.9,9.9,9.9,116100,0,0
2020-02-24,9.9,9.9,9.9,9.9,100,0,0
2020-02-25,9.93,9.93,9.9,9.9,75100,0,0
2020-02-26,9.91,9.92,9.91,9.91,768000,0,0
2020-02-27,9.91,9.91,9.91,9.91,0,0,0
2020-02-28,9.9,9.9,9.88,9.9,59200,0,0
2020-03-02,9.92,9.92,9.9,9.9,2700,0,0
2020-03-03,9.92,9.92,9.9,9.9,57400,0,0
2020-03-04,9.9,9.92,9.9,9.9,569900,0,0
2020-03-05,9.9,9.9,9.9,9.9,175200,0,0
2020-03-06,9.9,9.9,9.9,9.9,700,0,0
2020-03-09,9.9,9.9,9.9,9.9,600,0,0
2020-03-09,9.9,9.92,9.9,9.9,599,0,0
