Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-13,10.02,10.23,10.02,10.18,5447816,0,0
2019-12-16,10.18,10.18,10.11,10.13,49796,0,0
2019-12-17,10.11,10.13,10.11,10.12,146485,0,0
2019-12-18,10.13,10.15,10.12,10.15,12138,0,0
2019-12-19,10.12,10.17,10.11,10.12,15654,0,0
2019-12-20,10.12,10.13,10.12,10.13,2219,0,0
2019-12-23,10.12,10.12,10.12,10.12,6005,0,0
2019-12-24,10.12,10.18,10.12,10.14,4952,0,0
2019-12-26,10.16,10.16,10.16,10.16,102,0,0
2019-12-27,10.16,10.18,10.13,10.18,4500,0,0
2019-12-30,10.13,10.15,10.13,10.15,8773,0,0
2019-12-31,10.14,10.16,10.14,10.16,7602,0,0
2020-01-02,10.14,10.16,10.14,10.16,60050,0,0
2020-01-03,10.13,10.13,10.13,10.13,5000,0,0
2020-01-06,10.13,10.15,10.13,10.15,16701,0,0
2020-01-07,10.14,10.15,10.14,10.15,111145,0,0
2020-01-08,10.18,10.18,10.16,10.16,1734,0,0
2020-01-09,10.15,10.25,10.15,10.23,103216,0,0
2020-01-10,10.16,10.35,10.16,10.22,53275,0,0
2020-01-13,10.24,10.28,10.24,10.28,59926,0,0
2020-01-14,10.31,10.32,10.25,10.26,20700,0,0
2020-01-15,10.25,10.28,10.25,10.28,16800,0,0
2020-01-16,10.3,10.3,10.25,10.25,76800,0,0
2020-01-17,10.31,10.31,10.31,10.31,301,0,0
2020-01-21,10.3,10.3,10.29,10.29,1040,0,0
2020-01-22,10.34,10.35,10.34,10.35,1100,0,0
2020-01-23,10.3,10.3,10.3,10.3,500,0,0
2020-01-24,10.28,10.3,10.26,10.3,20750,0,0
2020-01-27,10.25,10.28,10.25,10.28,10000,0,0
2020-01-28,10.28,10.28,10.28,10.28,0,0,0
2020-01-29,10.25,10.35,10.25,10.3,288100,0,0
2020-01-30,10.35,10.4,10.3,10.4,200400,0,0
2020-01-31,10.39,10.4,10.39,10.4,331583,0,0
2020-02-03,10.44,10.45,10.4,10.43,21361,0,0
2020-02-04,10.43,10.43,10.43,10.43,0,0,0
2020-02-05,10.43,10.43,10.43,10.43,0,0,0
2020-02-06,10.43,10.43,10.43,10.43,0,0,0
2020-02-07,10.26,11.0,10.25,10.35,54045,0,0
2020-02-10,10.3,10.4,10.28,10.4,15100,0,0
2020-02-11,10.39,10.42,10.28,10.28,3800,0,0
2020-02-12,10.28,10.28,10.28,10.28,0,0,0
2020-02-13,10.4,10.4,10.4,10.4,250000,0,0
2020-02-14,10.4,10.4,10.4,10.4,0,0,0
2020-02-18,10.3,10.37,10.26,10.36,2324,0,0
2020-02-19,10.36,10.36,10.36,10.36,0,0,0
2020-02-20,10.36,10.36,10.36,10.36,0,0,0
2020-02-21,10.36,10.36,10.36,10.36,0,0,0
2020-02-24,10.36,10.36,10.36,10.36,0,0,0
2020-02-25,10.37,10.37,10.37,10.37,1924,0,0
2020-02-26,10.37,10.37,10.37,10.37,0,0,0
2020-02-27,10.37,10.37,10.37,10.37,0,0,0
2020-02-28,10.2,10.45,10.2,10.35,27609,0,0
2020-03-02,10.31,10.4,10.31,10.4,4631,0,0
2020-03-03,10.41,10.41,10.35,10.35,883,0,0
2020-03-04,10.34,10.34,10.32,10.34,1920,0,0
2020-03-05,10.38,10.38,10.38,10.38,6900,0,0
2020-03-06,10.37,10.37,10.37,10.37,100000,0,0
2020-03-09,10.35,10.37,10.0,10.37,78350,0,0
2020-03-09,10.35,10.37,10.0,10.37,78350,0,0
