Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-10-01,3.54,3.54,3.54,3.54,0,0,0.0
2009-10-02,3.54,3.54,3.54,3.54,0,0,0.0
2009-10-05,4.7,4.7,4.7,4.7,100,0,0.0
2009-10-06,4.7,4.7,4.7,4.7,0,0,0.0
2009-10-07,4.7,4.7,4.7,4.7,0,0,0.0
2009-10-08,4.7,4.7,4.7,4.7,0,0,0.0
2009-10-09,4.7,4.7,4.7,4.7,0,0,0.0
2009-10-12,4.7,4.7,4.7,4.7,0,0,0.0
2009-10-13,5.0,5.0,5.0,5.0,200,0,0.0
2009-10-14,5.0,5.0,5.0,5.0,500,0,0.0
2009-10-15,5.1,5.2,5.0,5.2,1300,0,0.0
2009-10-16,5.2,5.4,5.2,5.4,100,0,0.0
2009-10-19,5.0,5.0,5.0,5.0,500,0,0.0
2009-10-20,5.0,5.0,5.0,5.0,0,0,0.0
2009-10-21,4.7,4.7,4.7,4.7,100,0,0.0
2009-10-22,5.4,5.4,5.4,5.4,300,0,0.0
2009-10-23,5.4,5.4,5.4,5.4,0,0,0.0
2009-10-26,5.5,5.6,5.5,5.6,1000,0,0.0
2009-10-27,5.6,5.6,5.6,5.6,0,0,0.0
2009-10-28,5.6,5.6,5.6,5.6,0,0,0.0
2009-10-29,5.6,5.6,5.6,5.6,0,0,0.0
2009-10-30,5.6,5.6,5.6,5.6,0,0,0.0
2009-11-02,5.6,5.6,5.6,5.6,0,0,0.0
2009-11-03,5.6,5.6,5.6,5.6,0,0,0.0
2009-11-04,5.6,5.6,5.6,5.6,0,0,0.0
2009-11-05,5.6,5.6,5.6,5.6,0,0,0.0
2009-11-06,5.0,5.0,4.72,4.72,1000,0,0.0
2009-11-09,4.72,4.72,4.72,4.72,0,0,0.0
2009-11-10,4.72,4.72,4.72,4.72,0,0,0.0
2009-11-11,4.72,4.72,4.72,4.72,0,0,0.0
2009-11-12,5.5,5.6,5.5,5.6,1000,0,0.0
2009-11-13,5.3,5.3,5.3,5.3,1100,0,0.0
2009-11-16,5.3,5.3,5.3,5.3,0,0,0.0
