Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-05-27,9.85,9.85,8.38,8.38,2330900,0.0,0
1998-05-28,8.44,8.44,7.94,7.94,126400,0.0,0
1998-05-29,8.13,8.13,7.76,7.88,241300,0.0,0
1998-06-01,8.01,8.01,7.51,7.51,64200,0.0,0
1998-06-02,7.57,7.94,7.39,7.71,183900,0.0,0
1998-06-03,8.01,8.5,8.01,8.25,95500,0.0,0
1998-06-04,8.38,8.44,8.25,8.38,50000,0.0,0
1998-06-05,8.38,8.38,8.25,8.38,20800,0.0,0
1998-06-08,8.38,8.38,8.19,8.38,72100,0.0,0
1998-06-09,8.38,8.38,8.25,8.31,63800,0.0,0
1998-06-10,8.38,8.44,8.25,8.44,20900,0.0,0
1998-06-11,8.25,8.38,8.25,8.25,3100,0.0,0
1998-06-12,8.31,8.31,7.64,7.7,65500,0.0,0
1998-06-15,7.64,7.88,7.64,7.76,16200,0.0,0
1998-06-16,7.64,7.82,7.64,7.76,18200,0.0,0
1998-06-17,7.88,8.07,7.88,8.01,309000,0.0,0
1998-06-18,8.13,8.13,8.01,8.01,6400,0.0,0
1998-06-19,8.13,8.13,7.88,8.07,10800,0.0,0
1998-06-22,8.25,8.62,8.25,8.62,38900,0.0,0
1998-06-23,8.62,9.05,8.38,8.44,382400,0.0,0
1998-06-24,8.5,8.5,8.13,8.31,175800,0.0,0
1998-06-25,8.31,8.44,8.31,8.38,11000,0.0,0
1998-06-26,8.38,8.87,8.31,8.62,131900,0.0,0
1998-06-29,8.87,9.05,8.87,8.87,55300,0.0,0
1998-06-30,8.93,9.11,8.87,8.99,16500,0.0,0
1998-07-01,8.99,9.11,8.62,8.62,47900,0.0,0
1998-07-02,8.99,9.11,8.62,8.62,17400,0.0,0
1998-07-06,8.99,9.11,8.62,8.62,39100,0.0,0
1998-07-07,8.93,8.93,8.62,8.74,7000,0.0,0
1998-07-08,8.81,8.87,8.74,8.81,39800,0.0,0
1998-07-09,8.81,8.87,8.74,8.81,21200,0.0,0
1998-07-10,8.87,8.87,8.74,8.74,10500,0.0,0
1998-07-13,8.81,8.81,8.68,8.74,3600,0.0,0
1998-07-14,8.74,8.74,8.62,8.62,6700,0.0,0
1998-07-15,8.74,8.87,8.62,8.74,25800,0.0,0
1998-07-16,8.62,8.99,8.62,8.99,40500,0.0,0
1998-07-17,8.62,9.11,8.62,8.99,16100,0.0,0
1998-07-20,8.99,8.99,8.93,8.99,9000,0.0,0
1998-07-21,9.11,9.67,8.99,9.48,48000,0.0,0
1998-07-22,9.61,9.73,8.87,8.99,115800,0.0,0
1998-07-23,9.05,9.05,8.87,8.99,24100,0.0,0
1998-07-24,9.36,9.36,9.05,9.11,24500,0.0,0
1998-07-27,9.24,9.24,9.11,9.11,5000,0.0,0
1998-07-28,9.11,9.24,8.62,8.99,20600,0.0,0
1998-07-29,8.93,8.99,8.62,8.62,6100,0.0,0
1998-07-30,8.62,8.99,8.62,8.99,4200,0.0,0
1998-07-31,8.99,8.99,8.25,8.44,31300,0.0,0
1998-08-03,8.44,8.74,7.39,7.39,45500,0.0,0
1998-08-04,7.64,7.64,6.96,7.39,20600,0.0,0
1998-08-05,7.51,7.64,7.27,7.39,124200,0.0,0
1998-08-06,7.45,7.45,7.33,7.39,4600,0.0,0
1998-08-07,7.39,7.88,7.33,7.33,54100,0.0,0
1998-08-10,7.39,7.39,7.39,7.39,400,0.0,0
1998-08-11,7.33,7.39,7.33,7.39,6200,0.0,0
1998-08-12,7.39,7.39,6.77,6.9,37900,0.0,0
1998-08-13,6.84,6.84,6.28,6.28,32600,0.0,0
1998-08-14,6.28,6.4,5.91,5.97,201600,0.0,0
1998-08-17,6.4,6.4,6.16,6.28,13800,0.0,0
1998-08-18,6.28,6.28,6.04,6.28,4700,0.0,0
1998-08-19,6.28,6.65,5.17,5.73,90500,0.0,0
1998-08-20,5.67,5.79,5.67,5.79,5400,0.0,0
1998-08-21,5.79,5.97,5.73,5.97,17600,0.0,0
1998-08-24,5.97,6.1,5.97,6.1,12400,0.0,0
1998-08-25,6.1,6.1,6.04,6.1,9800,0.0,0
1998-08-26,6.04,6.1,6.04,6.04,5100,0.0,0
1998-08-27,6.04,6.04,5.79,5.97,42000,0.0,0
1998-08-28,5.91,5.91,5.7,5.79,48200,0.0,0
1998-08-31,5.91,6.04,5.17,5.23,28200,0.0,0
1998-09-01,5.42,5.48,5.3,5.36,17400,0.0,0
1998-09-02,5.42,5.42,5.36,5.36,3700,0.0,0
1998-09-03,5.33,5.42,5.33,5.36,3100,0.0,0
1998-09-04,5.42,5.42,5.3,5.36,4400,0.0,0
1998-09-08,5.42,5.42,5.3,5.36,5600,0.0,0
1998-09-09,5.3,5.42,5.3,5.3,4800,0.0,0
1998-09-10,5.17,5.17,4.43,4.68,29600,0.0,0
1998-09-11,4.68,4.68,4.56,4.56,15400,0.0,0
1998-09-14,4.62,4.62,4.06,4.06,16700,0.0,0
1998-09-15,4.06,4.06,4.0,4.0,35400,0.0,0
1998-09-16,4.06,4.06,4.0,4.0,13900,0.0,0
1998-09-17,4.0,4.0,4.0,4.0,200,0.0,0
1998-09-18,4.03,4.03,3.94,3.94,17700,0.0,0
1998-09-21,3.7,3.82,3.7,3.82,5100,0.0,0
1998-09-22,3.82,3.82,3.7,3.7,49800,0.0,0
1998-09-23,3.82,3.82,3.7,3.7,17000,0.0,0
1998-09-24,3.82,3.82,3.57,3.57,39900,0.0,0
1998-09-25,3.57,3.57,3.45,3.54,38300,0.0,0
1998-09-28,3.57,3.7,3.45,3.51,17500,0.0,0
1998-09-29,3.57,3.57,3.45,3.51,10800,0.0,0
1998-09-30,3.51,3.51,3.48,3.48,3300,0.0,0
1998-10-01,3.51,3.7,3.39,3.45,55300,0.0,0
1998-10-02,3.39,3.45,3.39,3.42,7600,0.0,0
1998-10-05,3.45,3.45,3.39,3.39,3500,0.0,0
1998-10-06,3.39,3.39,3.39,3.39,0,0.0,0
1998-10-07,3.45,3.45,3.33,3.39,6800,0.0,0
1998-10-08,3.45,3.51,2.49,2.71,56100,0.0,0
1998-10-09,3.33,3.94,3.2,3.76,217200,0.0,0
1998-10-12,4.68,4.68,3.51,3.79,69600,0.0,0
1998-10-13,3.7,3.82,3.7,3.76,53700,0.0,0
1998-10-14,3.7,3.88,3.57,3.82,90500,0.0,0
1998-10-15,3.88,4.56,3.82,4.56,84000,0.0,0
1998-10-16,4.56,5.73,4.56,4.93,48200,0.0,0
1998-10-19,6.4,6.4,5.42,5.79,290700,0.0,0
1998-10-20,6.28,6.71,5.67,5.7,171500,0.0,0
1998-10-21,5.91,6.04,5.36,5.67,27900,0.0,0
1998-10-22,5.67,5.91,5.48,5.79,27500,0.0,0
1998-10-23,5.91,5.91,5.54,5.54,49400,0.0,0
1998-10-26,5.79,5.79,5.54,5.6,25100,0.0,0
1998-10-27,5.54,5.79,5.54,5.54,63900,0.0,0
1998-10-28,5.67,5.67,5.36,5.36,18500,0.0,0
1998-10-29,5.42,5.54,5.36,5.48,11600,0.0,0
1998-10-30,5.48,5.67,5.42,5.6,79500,0.0,0
1998-11-02,5.79,5.79,5.54,5.54,14300,0.0,0
1998-11-03,5.6,5.6,5.54,5.6,80700,0.0,0
1998-11-04,5.6,5.6,5.3,5.3,20000,0.0,0
1998-11-05,5.54,5.67,5.17,5.67,15300,0.0,0
1998-11-06,5.67,5.67,5.42,5.42,11700,0.0,0
1998-11-09,5.17,5.67,5.17,5.67,25200,0.0,0
1998-11-10,5.67,5.79,5.54,5.67,37400,0.0,0
1998-11-11,5.67,5.79,5.6,5.79,19300,0.0,0
1998-11-12,5.79,5.79,5.42,5.79,4200,0.0,0
1998-11-13,5.79,5.79,5.42,5.54,34700,0.0,0
1998-11-16,5.67,5.67,5.42,5.42,12100,0.0,0
1998-11-17,5.17,5.67,5.17,5.48,24100,0.0,0
1998-11-18,5.42,5.54,5.05,5.17,13900,0.0,0
1998-11-19,5.54,5.63,4.37,4.5,53500,0.0,0
1998-11-20,4.5,4.93,4.43,4.8,28000,0.0,0
1998-11-23,4.8,4.99,4.71,4.99,250600,0.0,0
1998-11-24,5.05,5.3,4.93,5.17,168300,0.0,0
1998-11-25,4.99,5.11,4.68,4.99,203300,0.0,0
1998-11-27,4.93,5.17,4.93,5.17,2800,0.0,0
1998-11-30,5.42,6.16,5.42,5.91,95900,0.0,0
1998-12-01,5.97,8.25,5.91,7.39,81700,0.0,0
1998-12-02,7.51,7.51,6.9,7.08,33900,0.0,0
1998-12-03,7.27,8.13,7.02,7.51,78700,0.0,0
1998-12-04,7.51,8.38,7.51,8.38,48700,0.0,0
1998-12-07,8.44,8.74,8.44,8.5,101400,0.0,0
1998-12-08,8.56,8.99,8.5,8.5,32700,0.0,0
1998-12-09,8.74,8.74,8.25,8.44,30400,0.0,0
1998-12-10,8.38,8.5,6.65,6.84,29300,0.0,0
1998-12-11,7.02,7.14,6.65,7.08,27300,0.0,0
1998-12-14,7.08,7.08,6.04,6.22,32900,0.0,0
1998-12-15,6.4,6.65,5.91,6.53,29100,0.0,0
1998-12-16,6.53,6.9,6.53,6.9,15900,0.0,0
1998-12-17,6.96,7.45,6.9,7.45,129700,0.0,0
1998-12-18,7.39,7.39,7.02,7.02,18500,0.0,0
1998-12-21,6.9,7.14,6.9,6.9,8500,0.0,0
1998-12-22,6.9,7.14,6.65,6.9,35900,0.0,0
1998-12-23,6.4,6.65,5.91,6.07,27800,0.0,0
1998-12-24,5.97,6.4,5.91,6.4,12700,0.0,0
1998-12-28,6.65,6.71,5.91,6.16,31500,0.0,0
1998-12-29,6.04,6.28,5.91,5.97,29000,0.0,0
1998-12-30,5.7,5.97,5.54,5.91,46800,0.0,0
1998-12-31,5.91,6.1,5.79,5.91,26600,0.0,0
1999-01-04,5.42,5.91,3.88,3.97,433900,0.0,0
1999-01-05,4.0,4.0,3.82,3.91,213400,0.0,0
1999-01-06,4.0,4.0,3.57,3.63,127900,0.0,0
1999-01-07,3.63,3.63,3.17,3.26,447500,0.0,0
1999-01-08,3.26,3.45,3.2,3.39,352900,0.0,0
1999-01-11,3.45,3.7,3.36,3.42,105600,0.0,0
1999-01-12,3.57,3.7,3.36,3.36,84900,0.0,0
1999-01-13,3.36,3.66,3.36,3.39,43200,0.0,0
1999-01-14,3.45,3.57,3.39,3.45,50600,0.0,0
1999-01-15,3.45,3.51,3.36,3.45,49600,0.0,0
1999-01-19,3.63,3.82,3.57,3.7,170400,0.0,0
1999-01-20,3.7,3.76,3.57,3.57,75600,0.0,0
1999-01-21,3.66,3.7,3.57,3.57,12800,0.0,0
1999-01-22,3.63,3.63,3.45,3.48,28600,0.0,0
1999-01-25,3.48,3.63,3.45,3.45,11500,0.0,0
1999-01-26,3.63,3.63,3.45,3.45,93100,0.0,0
1999-01-27,3.57,3.57,3.39,3.45,61200,0.0,0
1999-01-28,3.51,3.51,3.39,3.51,41400,0.0,0
1999-01-29,3.51,3.51,3.45,3.45,40900,0.0,0
1999-02-01,3.45,3.54,3.45,3.51,44700,0.0,0
1999-02-02,3.45,3.45,3.33,3.45,29600,0.0,0
1999-02-03,3.45,3.51,3.39,3.39,39900,0.0,0
1999-02-04,3.39,3.51,3.36,3.39,41700,0.0,0
1999-02-05,3.45,3.45,3.33,3.36,43700,0.0,0
1999-02-08,3.39,3.51,3.26,3.39,88100,0.0,0
1999-02-09,3.39,3.45,3.39,3.39,79700,0.0,0
1999-02-10,3.33,3.48,3.33,3.39,49800,0.0,0
1999-02-11,3.39,3.45,3.39,3.39,45800,0.0,0
1999-02-12,3.39,3.45,3.33,3.39,49500,0.0,0
1999-02-16,3.39,3.45,3.33,3.33,219500,0.0,0
1999-02-17,3.33,3.48,3.33,3.48,34600,0.0,0
1999-02-18,3.45,3.57,3.45,3.57,47500,0.0,0
1999-02-19,3.45,3.51,3.45,3.45,57200,0.0,0
1999-02-22,3.45,4.06,3.45,3.88,129600,0.0,0
1999-02-23,3.88,4.19,3.51,4.06,67700,0.0,0
1999-02-24,4.16,4.43,4.0,4.25,38100,0.0,0
1999-02-25,4.25,4.56,4.25,4.31,27000,0.0,0
1999-02-26,4.43,4.53,4.37,4.43,23700,0.0,0
1999-03-01,4.43,4.99,4.43,4.93,79900,0.0,0
1999-03-02,4.93,5.36,4.68,4.68,102600,0.0,0
1999-03-03,5.05,5.17,4.93,4.99,40100,0.0,0
1999-03-04,4.99,6.34,4.93,5.91,344300,0.0,0
1999-03-05,6.04,6.53,5.76,5.91,165200,0.0,0
1999-03-08,6.04,6.1,5.67,5.79,51200,0.0,0
1999-03-09,5.91,5.91,4.93,4.99,44100,0.0,0
1999-03-10,5.17,5.17,4.31,4.56,60700,0.0,0
1999-03-11,4.68,5.3,4.68,5.11,47500,0.0,0
1999-03-12,5.17,5.79,4.96,5.79,75400,0.0,0
1999-03-15,5.85,6.04,5.73,5.91,108300,0.0,0
1999-03-16,5.91,5.91,5.42,5.79,76900,0.0,0
1999-03-17,5.85,5.85,5.17,5.17,12300,0.0,0
1999-03-18,5.11,5.17,4.93,4.93,17400,0.0,0
1999-03-19,5.17,5.85,5.11,5.67,41000,0.0,0
1999-03-22,5.48,6.28,5.48,6.04,89100,0.0,0
1999-03-23,5.79,5.91,5.36,5.42,12300,0.0,0
1999-03-24,5.23,5.67,5.23,5.67,24800,0.0,0
1999-03-25,5.91,6.04,5.54,5.67,16300,0.0,0
1999-03-26,5.91,5.91,5.54,5.67,60700,0.0,0
1999-03-29,5.67,5.97,5.3,5.91,29900,0.0,0
