Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-05,24.9,24.96,24.84,24.96,181500,0,0
2017-07-06,24.95,24.98,24.86,24.93,124200,0,0
2017-07-07,24.94,24.98,24.79,24.93,341100,0,0
2017-07-10,24.93,24.98,24.87,24.93,178500,0,0
2017-07-11,24.93,24.95,24.85,24.95,108200,0,0
2017-07-12,24.96,24.99,24.871,24.92,363000,0,0
2017-07-20,9.5,11.88,9.26,11.25,1406100,0,0
2017-07-21,11.47,11.47,10.55,10.81,207200,0,0
2017-07-24,11.24,11.24,10.25,10.815,112500,0,0
2017-07-25,11.46,11.46,10.25,10.75,240300,0,0
2017-07-26,10.7,11.154,10.263,10.44,45400,0,0
2017-07-27,10.5,10.973,10.343,10.69,56400,0,0
2017-07-28,10.67,10.85,10.56,10.75,32700,0,0
2017-07-31,10.8,10.988,10.61,10.78,38300,0,0
2017-08-01,10.7,11.0,10.591,10.84,28800,0,0
2017-08-02,10.7,11.28,10.651,11.22,34300,0,0
2017-08-03,11.3,11.3,10.7,10.9,20800,0,0
2017-08-04,10.61,11.25,10.61,11.25,12600,0,0
2017-08-07,11.25,11.25,11.01,11.19,7400,0,0
2017-08-08,11.05,11.15,10.97,11.04,17900,0,0
2017-08-09,11.0,11.172,11.0,11.14,17700,0,0
2017-08-10,11.11,12.565,11.0,12.14,32900,0,0
2017-08-11,12.0,12.165,11.135,11.82,18000,0,0
2017-08-14,11.7,12.38,11.7,12.25,61400,0,0
2017-08-15,12.58,12.966,12.33,12.5,43500,0,0
2017-08-16,13.0,13.0,11.78,12.07,39700,0,0
2017-08-17,11.61,12.2,11.49,11.82,75600,0,0
2017-08-18,11.8,12.5,11.8,12.46,19500,0,0
2017-08-21,12.77,13.57,12.151,13.57,50300,0,0
2017-08-22,13.74,15.22,13.51,14.78,77500,0,0
2017-08-23,14.99,16.36,14.99,15.78,132400,0,0
2017-08-24,16.5,16.8,15.18,15.61,76600,0,0
2017-08-25,15.7,15.825,13.41,14.74,55800,0,0
2017-08-28,14.01,16.0,14.01,15.67,48500,0,0
2017-08-29,15.48,16.5,15.19,15.92,54400,0,0
2017-08-30,15.86,16.3,15.06,16.02,53600,0,0
2017-08-31,16.35,16.35,15.17,15.2,73400,0,0
2017-09-01,15.24,17.41,15.01,17.41,86000,0,0
2017-09-05,17.5,19.26,16.81,19.21,197600,0,0
2017-09-06,19.69,20.93,18.7,20.28,226200,0,0
2017-09-07,20.28,22.0,19.772,22.0,252400,0,0
2017-09-08,22.38,24.75,21.93,23.31,312300,0,0
2017-09-11,23.3,24.71,22.5,24.04,190300,0,0
2017-09-12,26.0,27.04,23.5,26.0,196800,0,0
2017-09-13,25.53,26.89,25.035,26.39,138500,0,0
2017-09-14,26.8,29.394,26.5,28.31,231500,0,0
2017-09-15,28.55,29.455,23.955,24.68,1139000,0,0
2017-09-18,24.64,25.496,21.07,21.87,319100,0,0
2017-09-19,21.95,24.645,21.875,24.3,134700,0,0
2017-09-20,24.3,24.3,23.21,23.94,56700,0,0
2017-09-21,24.02,26.85,23.85,26.67,96500,0,0
2017-09-22,26.46,26.7,25.111,25.72,57300,0,0
2017-09-25,25.76,26.59,24.4,26.54,38500,0,0
2017-09-26,26.66,26.8,25.822,26.47,37500,0,0
2017-09-27,24.54,25.76,23.62,24.64,114800,0,0
2017-09-28,24.61,24.62,23.75,24.38,42300,0,0
2017-09-29,24.74,24.74,24.1,24.49,41000,0,0
2017-10-02,24.75,26.45,24.296,26.4,58400,0,0
2017-10-03,26.55,27.94,25.991,26.79,50300,0,0
2017-10-04,26.5,26.78,24.78,25.83,65200,0,0
2017-10-05,25.97,26.66,25.46,26.49,29200,0,0
2017-10-06,26.67,26.76,25.845,26.44,45400,0,0
2017-10-09,26.36,26.62,25.24,25.97,30000,0,0
2017-10-10,26.25,29.5,25.71,29.09,121600,0,0
2017-10-11,29.11,31.89,28.41,31.48,97500,0,0
2017-10-12,31.5,31.5,28.75,29.08,63700,0,0
2017-10-13,29.0,30.125,27.57,27.83,40400,0,0
2017-10-16,28.23,28.3,27.561,27.93,50600,0,0
2017-10-17,27.87,27.982,27.11,27.28,23100,0,0
2017-10-18,27.28,27.28,25.17,25.37,39900,0,0
2017-10-19,25.08,25.49,24.67,25.16,48900,0,0
2017-10-20,25.33,25.98,25.0,25.3,38800,0,0
2017-10-23,24.98,25.0,22.9,22.92,55400,0,0
2017-10-24,23.29,24.49,23.0,23.29,68700,0,0
2017-10-25,23.3,24.24,23.29,23.4,35100,0,0
2017-10-26,23.41,24.0,23.2,23.76,16100,0,0
2017-10-27,24.25,24.25,22.31,22.47,36900,0,0
2017-10-30,22.49,24.56,22.49,23.94,54300,0,0
2017-10-31,24.35,24.35,20.48,20.48,49200,0,0
2017-11-01,20.84,24.06,20.84,23.15,67200,0,0
2017-11-02,23.23,23.23,21.18,21.81,40700,0,0
2017-11-03,21.45,22.76,20.9,22.2,42500,0,0
2017-11-06,22.2,22.25,21.32,21.79,23000,0,0
2017-11-07,21.83,22.45,20.31,20.62,28800,0,0
2017-11-08,20.5,21.49,20.5,21.27,21500,0,0
2017-11-09,21.35,22.0,20.74,21.81,21000,0,0
2017-11-10,21.37,22.149,21.02,21.23,32400,0,0
2017-11-13,21.25,21.25,20.36,21.16,23100,0,0
2017-11-14,20.26,20.71,19.071,19.18,75900,0,0
2017-11-15,19.34,19.647,17.66,17.94,53500,0,0
2017-11-16,17.94,19.759,17.94,18.86,40500,0,0
2017-11-17,18.7,19.175,18.21,18.34,41000,0,0
2017-11-20,18.38,18.86,18.145,18.75,27000,0,0
2017-11-21,18.93,19.5,18.45,18.72,25400,0,0
2017-11-22,18.97,19.49,18.7,19.46,24900,0,0
2017-11-24,20.0,20.24,19.59,19.9,16000,0,0
2017-11-27,20.05,20.52,19.53,19.75,45200,0,0
2017-11-28,19.43,20.35,19.01,19.8,55700,0,0
2017-11-29,19.69,20.17,19.16,19.83,53200,0,0
2017-11-30,20.03,20.03,18.87,19.14,44000,0,0
2017-12-01,19.0,19.11,18.38,18.73,28800,0,0
2017-12-04,18.58,19.879,17.015,17.13,93200,0,0
2017-12-05,17.18,18.05,17.11,17.9,42300,0,0
2017-12-06,18.13,19.05,17.611,18.97,23900,0,0
2017-12-07,19.17,19.99,18.94,19.85,41900,0,0
2017-12-08,20.0,20.89,19.5,20.5,57400,0,0
2017-12-11,20.82,23.21,20.65,22.75,147100,0,0
2017-12-12,22.9,24.24,22.505,23.94,107000,0,0
2017-12-13,23.94,24.96,23.32,23.94,179200,0,0
2017-12-14,24.31,24.57,23.19,23.98,133900,0,0
2017-12-15,23.91,24.515,22.35,22.65,577100,0,0
2017-12-18,22.95,23.765,21.53,22.71,92300,0,0
2017-12-19,22.85,22.9,20.89,21.12,51400,0,0
2017-12-20,21.3,24.39,21.3,23.94,82800,0,0
2017-12-21,24.09,24.39,23.452,23.92,43300,0,0
2017-12-22,24.04,24.04,22.425,22.96,30300,0,0
2017-12-26,22.99,23.05,22.52,22.91,29200,0,0
2017-12-27,23.0,23.24,22.5,22.84,41800,0,0
2017-12-28,23.0,23.0,22.28,22.71,32500,0,0
2017-12-29,23.0,23.0,21.6,22.03,30600,0,0
2018-01-02,22.4,23.45,22.4,23.45,50500,0,0
2018-01-03,24.0,25.0,23.56,24.04,41000,0,0
2018-01-04,23.99,25.41,23.99,25.25,35200,0,0
2018-01-05,25.53,26.59,25.08,26.18,112200,0,0
2018-01-08,26.26,27.23,22.59,23.09,126300,0,0
2018-01-09,23.07,24.695,23.07,23.37,40200,0,0
2018-01-10,23.19,23.55,22.1,22.61,67400,0,0
2018-01-11,22.59,23.96,22.06,23.12,29500,0,0
2018-01-12,23.12,23.999,22.53,23.39,33200,0,0
2018-01-16,23.93,24.91,21.9,22.0,71000,0,0
2018-01-17,21.9,23.345,21.9,23.11,73900,0,0
2018-01-18,23.07,23.56,22.605,23.0,33500,0,0
2018-01-19,23.17,23.33,22.85,23.07,114300,0,0
2018-01-22,23.1,24.27,22.808,24.16,107200,0,0
2018-01-23,24.69,26.2,24.06,25.8,126000,0,0
2018-01-24,26.0,26.59,25.51,26.42,38800,0,0
2018-01-25,26.6,26.6,25.525,26.0,40000,0,0
2018-01-26,25.94,25.94,24.42,24.51,30600,0,0
2018-01-29,24.5,25.025,23.804,24.88,20500,0,0
2018-01-30,24.82,26.22,23.882,25.75,29100,0,0
2018-01-31,25.98,26.5,25.52,26.05,53500,0,0
2018-02-01,25.95,26.16,23.0,23.01,53300,0,0
2018-02-02,23.0,23.09,22.06,22.71,25800,0,0
2018-02-05,22.32,22.941,21.047,21.11,36500,0,0
2018-02-06,20.99,21.32,20.1,20.67,55700,0,0
2018-02-07,20.52,22.44,20.52,22.43,29400,0,0
2018-02-08,22.31,22.31,20.975,21.5,26500,0,0
2018-02-09,21.72,21.75,20.0,21.32,50400,0,0
2018-02-12,21.35,21.35,19.83,20.02,29000,0,0
2018-02-13,20.01,20.95,19.88,20.53,26700,0,0
2018-02-14,20.29,22.81,19.945,22.22,29000,0,0
2018-02-15,22.5,23.009,21.475,21.95,29000,0,0
2018-02-16,21.61,23.046,21.29,22.21,20800,0,0
2018-02-20,22.05,22.05,19.77,19.81,59000,0,0
2018-02-21,19.81,19.82,18.83,18.89,65700,0,0
2018-02-22,19.0,19.9,18.41,19.48,46500,0,0
2018-02-23,19.72,19.931,18.916,19.52,59000,0,0
2018-02-26,19.46,19.759,18.69,19.36,45700,0,0
2018-02-27,19.35,19.6,18.71,18.82,23700,0,0
2018-02-28,18.7,19.21,18.05,18.37,48600,0,0
2018-03-01,18.54,18.76,17.63,17.87,123100,0,0
2018-03-02,17.46,18.97,17.3,18.79,72100,0,0
2018-03-05,18.79,20.11,18.0,19.32,51300,0,0
2018-03-06,19.55,19.55,18.404,18.84,50000,0,0
2018-03-07,18.66,18.97,18.33,18.52,46400,0,0
2018-03-08,18.05,18.61,17.69,18.09,72500,0,0
2018-03-09,18.72,19.5,17.86,19.35,94100,0,0
2018-03-12,19.0,19.46,18.56,19.1,49600,0,0
2018-03-13,19.202,19.5,18.03,18.82,66300,0,0
2018-03-14,18.43,19.3,18.11,18.99,52800,0,0
2018-03-15,19.18,19.18,18.19,18.34,75900,0,0
2018-03-16,18.46,18.99,18.0,18.77,337200,0,0
2018-03-19,18.38,18.64,17.68,18.14,42300,0,0
2018-03-20,18.04,18.763,17.395,17.46,67700,0,0
2018-03-21,17.54,17.85,17.49,17.54,46800,0,0
2018-03-22,17.53,17.862,17.0,17.02,33000,0,0
2018-03-23,17.0,17.24,15.33,15.35,69700,0,0
