Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-31,23.3,23.3,23.3,23.3,100,0.0,0
2018-11-01,24.14,24.14,24.14,24.14,100,0.0,0
2018-11-02,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-05,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-06,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-07,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-08,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-09,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-12,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-13,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-14,24.14,24.14,24.14,24.14,0,0.0,0
2018-11-15,23.21,23.21,23.21,23.21,2100,0.0,0
2018-11-16,23.21,23.21,23.21,23.21,0,0.0,0
2018-11-19,23.21,23.21,23.21,23.21,0,0.0,0
2018-11-20,23.21,23.21,23.21,23.21,0,0.0,0
2018-11-21,23.21,23.21,23.21,23.21,0,0.0,0
2018-11-23,23.21,23.21,23.21,23.21,0,0.0,0
2018-11-26,23.21,23.21,23.21,23.21,0,0.0,0
2018-11-27,22.98,23.01,22.98,23.01,200,0.0,0
2018-11-28,23.01,23.01,23.01,23.01,0,0.0,0
2018-11-29,23.01,23.01,23.01,23.01,0,0.0,0
2018-11-30,23.62,23.62,23.62,23.62,500,0.0,0
2018-12-03,23.58,23.58,23.58,23.58,400,0.0,0
2018-12-04,23.58,23.58,23.21,23.21,4400,0.0,0
2018-12-06,23.21,23.21,22.98,22.98,1100,0.0,0
2018-12-07,22.98,22.98,22.98,22.98,100,0.0,0
2018-12-10,22.5,23.21,22.5,23.21,900,0.0,0
2018-12-11,22.98,22.98,22.69,22.98,2700,0.0,0
2018-12-12,22.98,22.98,22.98,22.98,0,0.0,0
2018-12-13,22.98,22.98,22.98,22.98,0,0.0,0
2018-12-14,22.98,22.98,22.98,22.98,0,0.0,0
2018-12-17,23.21,24.14,23.21,24.14,900,0.0,0
2018-12-18,24.14,24.14,24.14,24.14,0,0.0,0
2018-12-19,22.51,22.51,21.56,22.28,800,0.0,0
2018-12-20,22.28,22.28,22.28,22.28,0,0.0,0
2018-12-21,21.35,21.35,21.35,21.35,600,0.0,0
2018-12-24,21.35,21.35,21.35,21.35,0,0.0,0
2018-12-26,21.35,21.35,21.35,21.35,0,0.0,0
2018-12-27,21.35,21.35,21.35,21.35,0,0.0,0
2018-12-28,21.35,21.35,21.35,21.35,0,0.0,0
2018-12-31,18.57,19.53,18.34,19.5,16800,0.0,0
2019-01-02,20.19,20.19,20.19,20.19,2000,0.0,0
2019-01-03,20.19,20.19,20.19,20.19,0,0.0,0
2019-01-04,20.19,20.19,20.19,20.19,0,0.0,0
2019-01-07,20.19,20.19,20.19,20.19,0,0.0,0
2019-01-08,23.18,23.21,23.18,23.21,400,0.0,0
2019-01-09,23.21,23.21,23.21,23.21,0,0.0,0
2019-01-10,23.21,23.21,23.21,23.21,0,0.0,0
