Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-08-20,11000.0,11000.0,11000.0,11000.0,100,0,0
2014-08-26,8800.0,8800.0,8800.0,8800.0,500,0,0
2014-09-02,9500.0,9500.0,9500.0,9500.0,500,0,0
2014-09-03,11400.0,11400.0,11000.0,11400.0,300,0,0
2014-09-05,13675.0,13675.0,13000.0,13675.0,500,0,0
2014-10-17,16975.0,16975.0,16975.0,16975.0,100,0,0
2014-10-21,17500.0,17500.0,17500.0,17500.0,100,0,0
2015-01-05,17475.0,17475.0,17475.0,17475.0,100,0,0
2015-01-06,17475.0,17475.0,17475.0,17475.0,100,0,0
2015-02-13,17225.0,17225.0,17225.0,17225.0,100,0,0
2015-02-23,17225.0,17225.0,17225.0,17225.0,100,0,0
2015-03-10,17100.0,17100.0,17100.0,17100.0,100,0,0
2015-03-11,17425.0,17425.0,17425.0,17425.0,100,0,0
2015-03-13,17200.0,17200.0,17200.0,17200.0,100,0,0
2015-03-17,17100.0,17100.0,17100.0,17100.0,100,0,0
2016-06-07,14550.0,14550.0,14550.0,14550.0,100,0,0
2016-06-23,14550.0,16900.0,14550.0,16900.0,100,0,0
2018-05-29,2.0,2.0,2.0,2.0,0,0,0
2018-05-31,2.0,2.0,2.0,2.0,0,0,0
2018-06-01,2.0,2.0,2.0,2.0,0,0,0
2018-06-04,2.0,2.0,2.0,2.0,0,0,0
2018-06-05,2.0,2.0,2.0,2.0,0,0,0
2018-06-06,2.0,2.0,2.0,2.0,0,0,0
2018-06-07,2.0,2.0,2.0,2.0,0,0,0
2018-06-08,2.0,2.0,2.0,2.0,0,0,0
2018-06-11,2.0,2.0,2.0,2.0,0,0,0
2018-06-12,2.0,2.0,2.0,2.0,0,0,0
2018-06-13,2.0,2.0,2.0,2.0,0,0,0
2018-06-14,2.0,2.0,2.0,2.0,0,0,0
2018-06-15,2.0,2.0,2.0,2.0,0,0,0
2018-06-18,2.0,2.0,2.0,2.0,0,0,0
2018-06-19,2.0,2.0,2.0,2.0,0,0,0
2018-06-20,2.0,2.0,2.0,2.0,0,0,0
2018-06-21,2.0,2.0,2.0,2.0,0,0,0
2018-06-22,2.0,2.0,2.0,2.0,0,0,0
2018-06-25,2.0,2.0,2.0,2.0,0,0,0
2018-06-26,2.0,2.0,2.0,2.0,0,0,0
2018-06-27,2.0,2.0,2.0,2.0,0,0,0
2018-06-28,2.0,2.0,2.0,2.0,0,0,0
2018-06-29,2.0,2.0,2.0,2.0,0,0,0
2018-07-02,2.0,2.0,2.0,2.0,0,0,0
2018-07-03,2.0,2.0,2.0,2.0,0,0,0
2018-07-05,2.0,2.0,2.0,2.0,0,0,0
2018-07-06,2.0,2.0,2.0,2.0,0,0,0
2018-07-09,2.0,2.0,2.0,2.0,0,0,0
2018-07-10,2.0,2.0,2.0,2.0,0,0,0
2018-07-11,2.0,2.0,2.0,2.0,0,0,0
2018-07-12,2.0,2.0,2.0,2.0,0,0,0
2018-07-13,2.0,2.0,2.0,2.0,0,0,0
2018-07-16,2.0,2.0,2.0,2.0,0,0,0
2018-07-17,2.0,2.0,2.0,2.0,0,0,0
2018-07-18,2.0,2.0,2.0,2.0,0,0,0
2018-07-19,2.0,2.0,2.0,2.0,0,0,0
2018-07-20,2.0,2.0,2.0,2.0,0,0,0
2018-07-23,2.0,2.0,2.0,2.0,0,0,0
2018-07-24,2.0,2.0,2.0,2.0,0,0,0
2018-07-25,2.0,2.0,2.0,2.0,0,0,0
2018-07-26,2.0,2.0,2.0,2.0,0,0,0
2018-07-27,2.0,2.0,2.0,2.0,0,0,0
2018-07-30,2.0,2.0,2.0,2.0,0,0,0
2018-07-31,2.0,2.0,2.0,2.0,0,0,0
2018-08-01,2.0,2.0,2.0,2.0,0,0,0
2018-08-02,2.0,2.0,2.0,2.0,0,0,0
2018-08-03,2.0,2.0,2.0,2.0,0,0,0
2018-08-06,2.0,2.0,2.0,2.0,0,0,0
2018-08-07,2.0,2.0,2.0,2.0,0,0,0
2018-08-08,2.0,2.0,2.0,2.0,0,0,0
