Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-02-22,75.0,75.0,75.0,75.0,0,0,0.0
2012-02-23,75.0,75.0,75.0,75.0,0,0,0.0
2012-02-24,75.0,75.0,75.0,75.0,0,0,0.0
2012-02-27,89.7,110.7,89.7,110.7,0,0,0.0
2012-02-28,110.7,110.7,110.7,110.7,0,0,0.0
2012-02-29,108.0,110.7,108.0,110.7,0,0,0.0
2012-03-01,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-02,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-05,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-06,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-07,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-08,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-09,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-12,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-13,110.7,110.7,110.7,110.7,0,0,0.0
2012-03-14,61.5,105.6,48.0,105.6,0,0,0.0
2012-03-15,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-16,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-19,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-20,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-21,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-22,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-23,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-26,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-27,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-28,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-29,105.6,105.6,105.6,105.6,0,0,0.0
2012-03-30,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-02,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-03,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-04,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-05,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-09,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-10,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-11,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-12,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-13,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-16,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-17,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-18,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-19,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-20,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-23,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-24,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-25,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-26,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-27,105.6,105.6,105.6,105.6,0,0,0.0
2012-04-30,105.6,105.6,105.6,105.6,0,0,0.0
2012-05-01,67.5,114.9,31.8,114.9,100,0,0.0
2012-05-02,114.9,114.9,114.9,114.9,0,0,0.0
2012-05-03,31.5,115.2,31.5,115.2,200,0,0.0
2012-05-04,45.6,45.6,38.1,38.1,100,0,0.0
2012-05-07,37.5,53.7,37.5,50.4,0,0,0.0
2012-05-08,50.4,50.4,50.4,50.4,0,0,0.0
2012-05-09,50.4,50.4,50.4,50.4,0,0,0.0
2012-05-10,50.4,50.4,50.4,50.4,0,0,0.0
2012-05-11,50.4,50.4,50.4,50.4,0,0,0.0
