Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-07-15,17.0,17.0,16.1,16.25,2200,0,0.0
2003-07-16,16.25,16.25,16.25,16.25,0,0,0.0
2003-07-17,15.5,15.5,15.5,15.5,200,0,0.0
2003-07-18,15.85,15.85,15.7,15.85,2400,0,0.0
2003-07-21,15.85,15.85,15.85,15.85,0,0,0.0
2003-07-22,15.85,15.85,15.85,15.85,100,0,0.0
2003-07-23,16.0,16.2,16.0,16.2,1600,0,0.0
2003-07-24,16.2,17.5,16.2,17.15,11400,0,0.0
2003-07-25,17.5,17.5,16.5,16.5,800,0,0.0
2003-07-28,18.75,18.75,17.5,18.15,200,0,0.0
2003-07-29,18.75,19.25,18.75,19.25,1100,0,0.0
2003-07-30,19.75,19.75,18.5,18.5,3200,0,0.0
2003-07-31,19.75,20.0,18.0,20.0,100,0,0.0
2003-08-01,19.5,20.0,18.0,19.5,3900,0,0.0
2003-08-04,19.5,19.5,19.5,19.5,0,0,0.0
2003-08-05,19.5,19.5,19.5,19.5,0,0,0.0
2003-08-06,18.5,18.5,18.25,18.25,1200,0,0.0
2003-08-07,18.0,20.0,18.0,20.0,5800,0,0.0
2003-08-08,20.0,20.0,20.0,20.0,0,0,0.0
2003-08-11,17.5,17.5,17.5,17.5,0,0,0.0
2003-08-12,17.5,17.5,17.5,17.5,0,0,0.0
2003-08-13,17.5,17.5,17.5,17.5,0,0,0.0
2003-08-14,17.5,18.15,17.5,17.5,1300,0,0.0
2003-08-15,17.5,19.0,17.5,19.0,0,0,0.0
2003-08-18,19.0,19.0,19.0,19.0,0,0,0.0
2003-08-19,19.0,19.0,17.75,17.75,900,0,0.0
2003-08-20,19.0,19.0,18.05,18.05,500,0,0.0
2003-08-21,19.0,19.0,17.75,17.85,1300,0,0.0
2003-08-22,18.15,18.15,18.0,18.0,900,0,0.0
2003-08-25,17.75,19.0,17.75,19.0,200,0,0.0
2003-08-26,19.0,19.75,19.0,19.75,300,0,0.0
2003-08-27,19.25,19.25,19.25,19.25,0,0,0.0
2003-08-28,19.75,21.25,19.25,20.0,3700,0,0.0
2003-08-29,19.75,20.0,19.75,19.75,1900,0,0.0
2003-09-02,19.75,19.75,19.75,19.75,0,0,0.0
2003-09-03,20.5,20.5,19.95,20.0,500,0,0.0
2003-09-04,21.0,21.0,20.75,20.75,200,0,0.0
2003-09-05,19.05,19.45,18.3,18.3,1400,0,0.0
2003-09-08,20.9,20.9,20.9,20.9,0,0,0.0
2003-09-09,20.9,20.9,20.9,20.9,0,0,0.0
2003-09-10,19.5,19.5,19.5,19.5,400,0,0.0
2003-09-11,20.9,20.9,20.9,20.9,100,0,0.0
2003-09-12,18.3,20.9,18.3,19.45,1000,0,0.0
2003-09-15,20.0,20.9,18.3,18.3,100,0,0.0
2003-09-16,20.9,20.9,20.0,20.0,200,0,0.0
2003-09-17,20.45,20.45,20.45,20.45,0,0,0.0
2003-09-18,20.45,20.45,20.45,20.45,0,0,0.0
2003-09-19,20.45,20.45,19.5,19.75,3600,0,0.0
2003-09-22,17.25,20.45,17.25,19.6,3000,0,0.0
2003-09-23,20.25,20.25,20.25,20.25,0,0,0.0
2003-09-24,20.25,20.25,17.25,18.85,900,0,0.0
2003-09-25,20.0,20.0,18.0,18.0,1100,0,0.0
2003-09-26,20.0,20.0,15.5,17.0,2500,0,0.0
2003-09-29,17.5,17.5,17.2,17.2,1900,0,0.0
2003-09-30,17.5,18.0,17.5,17.5,300,0,0.0
2003-10-01,17.5,17.5,17.5,17.5,0,0,0.0
2003-10-02,16.55,17.85,16.55,17.35,3400,0,0.0
2003-10-03,17.5,18.75,16.55,18.75,3500,0,0.0
2003-10-06,18.75,19.25,18.75,19.25,200,0,0.0
2003-10-07,17.85,19.65,17.85,19.65,2500,0,0.0
2003-10-08,20.0,20.15,19.5,20.15,200,0,0.0
2003-10-09,18.5,19.35,18.0,19.35,1000,0,0.0
2003-10-10,20.25,20.25,20.25,20.25,0,0,0.0
2003-10-13,20.25,20.25,20.25,20.25,0,0,0.0
2003-10-14,20.25,20.25,20.25,20.25,0,0,0.0
2003-10-15,20.25,20.25,20.25,20.25,100,0,0.0
2003-10-16,20.25,22.5,19.0,19.5,2400,0,0.0
2003-10-17,19.35,19.45,19.25,19.35,5800,0,0.0
2003-10-20,17.5,19.0,17.5,17.5,1300,0,0.0
2003-10-21,17.5,17.5,17.5,17.5,0,0,0.0
2003-10-22,18.25,18.8,18.25,18.8,1000,0,0.0
2003-10-23,17.5,18.45,17.5,18.45,200,0,0.0
2003-10-24,19.0,19.0,18.0,18.5,500,0,0.0
2003-10-27,19.25,19.25,19.25,19.25,200,0,0.0
2003-10-28,19.25,19.25,19.25,19.25,0,0,0.0
2003-10-29,19.25,19.25,17.55,17.55,1100,0,0.0
2003-10-30,19.25,19.25,16.75,16.75,5600,0,0.0
2003-10-31,16.75,17.5,16.5,17.5,1600,0,0.0
2003-11-03,16.5,16.6,16.5,16.6,1100,0,0.0
2003-11-04,16.5,16.5,15.0,16.25,4700,0,0.0
2003-11-05,16.25,16.7,16.25,16.5,16100,0,0.0
2003-11-06,16.25,17.0,16.25,16.25,300,0,0.0
2003-11-07,16.25,17.5,16.25,17.5,200,0,0.0
2003-11-10,18.0,18.0,18.0,18.0,200,0,0.0
2003-11-11,17.5,17.5,17.5,17.5,100,0,0.0
2003-11-12,18.0,18.25,17.5,17.5,700,0,0.0
2003-11-13,17.5,17.5,17.5,17.5,1600,0,0.0
2003-11-14,18.25,18.25,17.55,17.55,200,0,0.0
2003-11-17,17.0,17.0,17.0,17.0,100,0,0.0
2003-11-18,16.25,17.15,16.25,16.5,1000,0,0.0
2003-11-19,18.75,19.0,18.75,19.0,0,0,0.0
2003-11-20,19.0,19.0,19.0,19.0,0,0,0.0
2003-11-21,15.0,15.0,15.0,15.0,700,0,0.0
2003-11-24,15.6,15.6,15.6,15.6,0,0,0.0
2003-11-25,15.6,15.6,15.6,15.6,0,0,0.0
2003-11-26,16.15,16.15,16.15,16.15,200,0,0.0
2003-11-28,17.0,17.0,17.0,17.0,0,0,0.0
2003-12-01,17.0,17.0,17.0,17.0,0,0,0.0
2003-12-02,16.6,18.75,16.6,16.95,8900,0,0.0
2003-12-03,16.95,16.95,16.95,16.95,0,0,0.0
2003-12-04,16.95,16.95,16.95,16.95,0,0,0.0
2003-12-05,16.95,16.95,16.95,16.95,0,0,0.0
2003-12-08,16.0,16.0,16.0,16.0,100,0,0.0
2003-12-09,16.0,16.0,16.0,16.0,0,0,0.0
2003-12-10,18.75,18.75,18.75,18.75,100,0,0.0
2003-12-11,16.0,16.45,15.5,16.0,600,0,0.0
2003-12-12,16.0,16.0,16.0,16.0,0,0,0.0
2003-12-15,16.0,16.0,16.0,16.0,400,0,0.0
2003-12-16,16.0,16.0,16.0,16.0,0,0,0.0
2003-12-17,16.0,16.0,16.0,16.0,0,0,0.0
2003-12-18,15.25,15.25,15.25,15.25,0,0,0.0
2003-12-19,15.0,15.25,14.5,14.5,5100,0,0.0
2003-12-22,14.5,14.5,14.5,14.5,0,0,0.0
2003-12-23,14.25,14.25,14.25,14.25,100,0,0.0
2003-12-24,14.25,14.25,14.25,14.25,0,0,0.0
2003-12-26,15.0,15.0,15.0,15.0,0,0,0.0
2003-12-29,15.0,17.75,15.0,17.75,500,0,0.0
2003-12-30,16.75,17.45,16.75,17.25,2400,0,0.0
2003-12-31,17.3,17.3,17.3,17.3,300,0,0.0
2004-01-02,18.25,18.25,17.75,18.0,2500,0,0.0
2004-01-05,18.0,19.0,17.5,17.75,3400,0,0.0
2004-01-06,17.75,17.75,17.75,17.75,200,0,0.0
2004-01-07,19.0,19.0,19.0,19.0,200,0,0.0
2004-01-08,19.0,19.0,19.0,19.0,0,0,0.0
2004-01-09,17.5,19.0,17.5,19.0,0,0,0.0
2004-01-12,19.0,19.0,19.0,19.0,0,0,0.0
2004-01-13,18.45,18.45,18.25,18.3,6100,0,0.0
2004-01-14,18.25,18.25,17.75,17.8,1800,0,0.0
2004-01-15,17.5,17.75,17.5,17.75,300,0,0.0
2004-01-16,17.5,17.75,17.5,17.75,200,0,0.0
