Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.79,8.07,7.7,8.02,1116800,0.0,0.0
1986-07-10,8.07,8.11,7.79,7.98,595600,0.0,0.0
1986-07-11,7.93,7.98,7.7,7.7,800400,0.0,0.0
1986-07-14,7.75,7.75,7.38,7.47,738000,0.0,0.0
1986-07-15,7.43,7.43,6.79,7.25,2059200,0.0,0.0
1986-07-16,7.25,7.66,7.25,7.38,1160400,0.0,0.0
1986-07-17,7.38,7.47,7.29,7.43,1046000,0.0,0.0
1986-07-18,7.43,7.54,7.29,7.47,1420000,0.0,0.0
1986-07-21,7.47,7.52,7.43,7.47,322800,0.0,0.0
1986-07-22,7.47,7.5,7.43,7.43,390800,0.0,0.0
1986-07-23,7.47,7.47,7.29,7.34,1004000,0.0,0.0
1986-07-24,7.34,7.38,7.16,7.25,1071600,0.0,0.0
1986-07-25,7.25,7.38,7.2,7.34,688400,0.0,0.0
1986-07-28,7.34,7.47,7.27,7.38,414800,0.0,0.0
1986-07-29,7.29,7.43,7.29,7.43,278400,0.0,0.0
1986-07-30,7.34,7.38,7.2,7.38,459200,0.0,0.0
1986-07-31,7.38,7.47,7.29,7.34,1213600,0.0,0.0
1986-08-01,7.29,7.38,7.11,7.11,1118000,0.0,0.0
1986-08-04,7.16,7.16,6.95,7.11,892400,0.0,0.0
1986-08-05,7.11,7.11,6.93,6.97,868800,0.0,0.0
1986-08-06,6.97,7.02,6.65,6.65,550400,0.0,0.0
1986-08-07,6.56,6.61,5.92,6.11,7560000,0.0,0.0
1986-08-08,6.15,6.52,6.11,6.47,2802000,0.0,0.0
1986-08-11,6.56,6.65,6.47,6.65,1428000,0.0,0.0
1986-08-12,6.65,6.88,6.65,6.84,1155200,0.0,0.0
1986-08-13,6.88,7.36,6.84,7.06,865600,0.0,0.0
1986-08-14,7.11,7.16,6.84,6.93,762000,0.0,0.0
1986-08-15,6.93,6.93,6.7,6.84,654400,0.0,0.0
1986-08-18,6.88,7.2,6.75,7.06,606800,0.0,0.0
1986-08-19,7.11,7.11,6.93,6.97,2744000,0.0,0.0
1986-08-20,6.97,6.97,6.84,6.93,500000,0.0,0.0
1986-08-21,6.93,6.97,6.88,6.88,353200,0.0,0.0
1986-08-22,6.93,6.97,6.84,6.84,286000,0.0,0.0
1986-08-25,6.93,6.93,6.65,6.75,766400,0.0,0.0
1986-08-26,6.7,6.84,6.7,6.84,408800,0.0,0.0
1986-08-27,6.84,6.84,6.7,6.79,686400,0.0,0.0
1986-08-28,6.79,6.79,6.65,6.7,286000,0.0,0.0
1986-08-29,6.65,6.75,6.61,6.65,1128800,0.0,0.0
1986-09-02,6.7,6.7,6.33,6.38,916800,0.0,0.0
1986-09-03,6.38,6.52,6.33,6.52,684400,0.0,0.0
1986-09-04,6.56,6.79,6.47,6.79,576800,0.0,0.0
1986-09-05,6.79,6.88,6.56,6.56,961600,0.0,0.0
1986-09-08,6.65,6.65,6.29,6.38,1793200,0.0,0.0
1986-09-09,6.33,6.38,6.2,6.29,388000,0.0,0.0
1986-09-10,6.29,6.29,6.2,6.2,802400,0.0,0.0
1986-09-11,6.24,6.24,5.65,5.79,6240000,0.0,0.0
1986-09-12,5.74,5.79,5.51,5.56,2066800,0.0,0.0
1986-09-15,5.56,5.65,5.42,5.56,1746800,0.0,0.0
1986-09-16,5.51,5.56,5.33,5.42,1547200,0.0,0.0
1986-09-17,5.47,5.47,5.15,5.38,997600,0.0,0.0
1986-09-18,5.38,6.38,5.38,6.38,833200,0.0,0.0
1986-09-19,6.38,6.38,5.97,6.24,928000,0.0,0.0
1986-09-22,6.24,6.33,6.11,6.2,464000,0.0,0.0
1986-09-23,6.24,6.24,5.88,6.02,436400,0.0,0.0
1986-09-24,6.02,6.24,5.92,6.2,649600,0.0,0.0
1986-09-25,6.2,6.2,6.06,6.06,305600,0.0,0.0
1986-09-26,6.06,6.15,6.02,6.06,278400,0.0,0.0
1986-09-29,6.11,6.11,5.88,6.02,724800,0.0,0.0
1986-09-30,5.97,6.38,5.97,6.24,773200,0.0,0.0
1986-10-01,6.33,6.38,6.24,6.24,668400,0.0,0.0
1986-10-02,6.24,6.29,6.24,6.24,592000,0.0,0.0
1986-10-03,6.29,6.29,6.02,6.11,228000,0.0,0.0
1986-10-06,6.2,6.2,6.06,6.15,467600,0.0,0.0
1986-10-07,6.11,6.2,6.11,6.15,176000,0.0,0.0
1986-10-08,6.2,6.29,6.15,6.29,558800,0.0,0.0
1986-10-09,6.29,6.29,6.11,6.15,243200,0.0,0.0
1986-10-10,6.15,6.15,6.02,6.06,238400,0.0,0.0
1986-10-13,6.11,6.11,5.88,5.88,362800,0.0,0.0
1986-10-14,5.88,6.29,5.88,6.2,612000,0.0,0.0
1986-10-15,6.24,6.43,6.2,6.38,606800,0.0,0.0
1986-10-16,6.38,6.43,6.33,6.33,269200,0.0,0.0
1986-10-17,6.38,6.38,6.15,6.2,216000,0.0,0.0
1986-10-20,6.15,6.2,5.88,6.06,595200,0.0,0.0
1986-10-21,6.06,6.06,5.97,5.97,327200,0.0,0.0
1986-10-22,6.06,6.06,5.97,6.02,396000,0.0,0.0
1986-10-23,6.06,6.06,6.02,6.04,1358400,0.0,0.0
1986-10-24,6.06,6.11,6.02,6.06,809600,0.0,0.0
1986-10-27,6.11,6.11,6.02,6.06,305200,0.0,0.0
1986-10-28,6.02,6.2,6.02,6.2,329200,0.0,0.0
1986-10-29,6.2,6.56,6.2,6.47,835600,0.0,0.0
1986-10-30,6.47,6.7,6.43,6.61,973200,0.0,0.0
1986-10-31,6.61,6.61,6.47,6.56,632400,0.0,0.0
1986-11-03,6.47,6.61,6.47,6.56,408800,0.0,0.0
1986-11-04,6.52,6.61,6.52,6.52,283200,0.0,0.0
1986-11-05,6.56,6.56,6.47,6.47,231200,0.0,0.0
1986-11-06,6.47,6.52,6.24,6.43,434000,0.0,0.0
1986-11-07,6.43,6.52,6.38,6.4,517200,0.0,0.0
1986-11-10,6.43,6.43,6.29,6.38,503200,0.0,0.0
1986-11-11,6.43,6.52,6.33,6.52,142000,0.0,0.0
1986-11-12,6.52,6.59,6.47,6.54,669600,0.0,0.0
1986-11-13,6.52,6.56,6.11,6.11,578800,0.0,0.0
1986-11-14,6.06,6.15,5.97,6.11,806000,0.0,0.0
1986-11-17,6.11,6.15,6.02,6.11,734400,0.0,0.0
1986-11-18,6.15,6.15,5.97,6.02,605600,0.0,0.0
1986-11-19,6.06,6.11,5.97,6.06,495600,0.0,0.0
1986-11-20,6.06,6.2,6.06,6.2,828400,0.0,0.0
1986-11-21,6.24,6.56,6.2,6.52,666800,0.0,0.0
1986-11-24,6.43,6.75,6.43,6.65,715600,0.0,0.0
1986-11-25,6.56,6.65,6.52,6.56,424000,0.0,0.0
1986-11-26,6.52,6.61,6.52,6.61,171600,0.0,0.0
1986-11-28,6.61,6.61,6.47,6.56,236000,0.0,0.0
1986-12-01,6.56,6.61,6.43,6.47,596000,0.0,0.0
1986-12-02,6.52,6.54,6.45,6.52,845600,0.0,0.0
1986-12-03,6.47,6.61,6.47,6.61,1016800,0.0,0.0
1986-12-04,6.56,6.7,6.43,6.52,643200,0.0,0.0
1986-12-05,6.47,6.52,6.2,6.24,636400,0.0,0.0
1986-12-08,6.2,6.29,6.06,6.2,712000,0.0,0.0
1986-12-09,6.15,6.24,6.15,6.15,302400,0.0,0.0
1986-12-10,6.2,6.2,6.06,6.11,341200,0.0,0.0
1986-12-11,6.15,6.15,5.79,5.88,1172000,0.0,0.0
1986-12-12,5.97,5.97,5.88,5.88,332000,0.0,0.0
1986-12-15,5.88,6.29,5.83,6.29,768400,0.0,0.0
1986-12-16,6.24,6.33,6.24,6.33,770000,0.0,0.0
1986-12-17,6.33,6.38,6.2,6.2,345200,0.0,0.0
1986-12-18,6.2,6.29,6.06,6.15,349200,0.0,0.0
1986-12-19,6.15,6.2,6.11,6.11,883600,0.0,0.0
1986-12-22,6.15,6.29,6.11,6.2,371600,0.0,0.0
1986-12-23,6.24,6.29,6.06,6.11,282800,0.0,0.0
1986-12-24,6.11,6.11,6.06,6.06,189200,0.0,0.0
1986-12-26,6.06,6.11,6.02,6.11,180000,0.0,0.0
1986-12-29,6.06,6.11,5.92,6.11,462000,0.0,0.0
1986-12-30,6.06,6.11,5.92,5.97,485200,0.0,0.0
1986-12-31,6.04,6.11,5.97,5.97,378400,0.0,0.0
1987-01-02,5.97,6.11,5.92,6.08,363600,0.0,0.0
1987-01-05,6.11,6.7,6.11,6.65,1222000,0.0,0.0
1987-01-06,6.65,6.65,6.43,6.47,1120000,0.0,0.0
1987-01-07,6.56,6.84,6.56,6.84,976800,0.0,0.0
1987-01-08,6.84,7.11,6.79,7.06,1178800,0.0,0.0
1987-01-09,7.06,7.2,7.02,7.11,659600,0.0,0.0
1987-01-12,7.06,7.11,6.88,6.88,1713600,0.0,0.0
1987-01-13,6.88,6.88,6.7,6.88,1000000,0.0,0.0
1987-01-14,6.88,6.93,6.75,6.84,1237600,0.0,0.0
1987-01-15,6.79,6.84,6.52,6.61,2141600,0.0,0.0
1987-01-16,6.61,6.61,6.43,6.47,722400,0.0,0.0
1987-01-19,6.47,6.7,6.47,6.65,1030000,0.0,0.0
1987-01-20,6.7,6.84,6.65,6.79,895200,0.0,0.0
1987-01-21,6.7,6.75,6.56,6.65,923200,0.0,0.0
1987-01-22,6.7,6.84,6.65,6.84,372800,0.0,0.0
1987-01-23,6.84,7.2,6.75,6.88,1741600,0.0,0.0
1987-01-26,6.93,6.93,6.7,6.75,456800,0.0,0.0
1987-01-27,6.75,7.06,6.75,7.06,666400,0.0,0.0
1987-01-28,7.06,7.25,6.97,7.25,937200,0.0,0.0
1987-01-29,7.29,7.34,7.02,7.06,712000,0.0,0.0
1987-01-30,7.11,7.11,6.88,7.09,445200,0.0,0.0
1987-02-02,7.11,7.16,7.02,7.06,483600,0.0,0.0
1987-02-03,7.06,7.06,6.88,6.88,739200,0.0,0.0
1987-02-04,6.93,7.16,6.88,7.11,1103600,0.0,0.0
1987-02-05,7.11,7.43,7.06,7.43,904000,0.0,0.0
1987-02-06,7.38,7.47,7.16,7.16,1008800,0.0,0.0
1987-02-09,7.2,7.2,6.93,6.97,663200,0.0,0.0
1987-02-10,7.06,7.06,6.93,6.97,423600,0.0,0.0
1987-02-11,7.02,7.25,7.02,7.16,394000,0.0,0.0
1987-02-12,7.2,7.75,7.16,7.38,1348800,0.0,0.0
1987-02-13,7.38,7.52,7.2,7.47,1257600,0.0,0.0
1987-02-17,7.52,7.75,7.47,7.7,1275200,0.0,0.0
1987-02-18,7.75,7.98,7.66,7.75,1346000,0.0,0.0
1987-02-19,7.75,7.93,7.75,7.93,432800,0.0,0.0
1987-02-20,7.84,7.98,7.84,7.88,350000,0.0,0.0
1987-02-23,7.88,7.93,7.79,7.82,479200,0.0,0.0
1987-02-24,7.79,7.84,7.75,7.84,934800,0.0,0.0
1987-02-25,7.84,8.02,7.79,8.0,831600,0.0,0.0
1987-02-26,8.02,8.25,8.02,8.16,720000,0.0,0.0
1987-02-27,8.09,8.16,7.98,8.07,314000,0.0,0.0
1987-03-02,8.07,8.07,7.84,7.93,560400,0.0,0.0
1987-03-03,7.88,7.93,7.79,7.88,411200,0.0,0.0
1987-03-04,7.79,8.11,7.79,8.09,508000,0.0,0.0
1987-03-05,8.11,8.25,8.07,8.16,684400,0.0,0.0
1987-03-06,8.16,8.34,8.11,8.16,741200,0.0,0.0
1987-03-09,8.16,8.2,8.04,8.11,481600,0.0,0.0
1987-03-10,8.11,8.25,8.11,8.2,206000,0.0,0.0
1987-03-11,8.2,8.39,8.2,8.34,837600,0.0,0.0
