Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-07-13,9.28,9.49,8.8,9.21,1924200,0.0,0.0
2006-07-14,9.14,9.31,8.99,9.28,428800,0.0,0.0
2006-07-17,9.25,9.34,9.17,9.17,62000,0.0,0.0
2006-07-18,9.17,9.25,9.14,9.17,49000,0.0,0.0
2006-07-19,9.2,9.2,8.99,9.0,39200,0.0,0.0
2006-07-20,8.99,9.1,8.99,9.1,57200,0.0,0.0
2006-07-21,9.03,9.1,8.85,9.02,67200,0.0,0.0
2006-07-24,9.02,9.28,8.99,9.05,27100,0.0,0.0
2006-07-25,9.0,9.28,8.99,9.28,38900,0.0,0.0
2006-07-26,9.28,9.28,9.07,9.11,13500,0.0,0.0
2006-07-27,9.13,9.23,9.02,9.11,26500,0.0,0.0
2006-07-28,9.06,9.17,8.85,8.88,53400,0.0,0.0
2006-07-31,8.99,8.99,8.88,8.92,6000,0.0,0.0
2006-08-01,8.91,8.99,8.79,8.87,31800,0.0,0.0
2006-08-02,8.85,8.96,8.79,8.8,26800,0.0,0.0
2006-08-03,8.79,9.23,8.79,9.06,22800,0.0,0.0
2006-08-04,8.97,9.19,8.97,9.07,20600,0.0,0.0
2006-08-07,8.91,9.09,8.81,8.88,19900,0.0,0.0
2006-08-08,8.82,8.93,8.18,8.34,62400,0.0,0.0
2006-08-09,8.31,8.43,8.27,8.29,28400,0.0,0.0
2006-08-10,8.18,8.26,7.72,7.95,141600,0.0,0.0
2006-08-11,7.95,8.47,7.95,8.27,79100,0.0,0.0
2006-08-14,8.38,8.39,8.27,8.36,9600,0.0,0.0
2006-08-15,8.4,8.53,8.16,8.18,23400,0.0,0.0
2006-08-16,8.18,8.4,8.12,8.38,28800,0.0,0.0
2006-08-17,8.41,8.7,8.2,8.7,21700,0.0,0.0
2006-08-18,8.56,8.56,8.24,8.47,12400,0.0,0.0
2006-08-21,8.41,8.47,8.22,8.23,7700,0.0,0.0
2006-08-22,8.33,8.46,8.3,8.34,27200,0.0,0.0
2006-08-23,8.34,8.56,8.21,8.3,35300,0.0,0.0
2006-08-24,8.18,8.23,8.0,8.05,45500,0.0,0.0
2006-08-25,7.9,8.0,7.72,7.77,44100,0.0,0.0
2006-08-28,7.82,8.0,7.75,8.0,27000,0.0,0.0
2006-08-29,8.01,8.31,8.01,8.13,16100,0.0,0.0
2006-08-30,8.06,8.2,8.06,8.18,22800,0.0,0.0
2006-08-31,8.24,8.31,8.11,8.17,33900,0.0,0.0
2006-09-01,8.18,8.26,8.06,8.06,16100,0.0,0.0
2006-09-05,8.12,8.24,8.11,8.2,35900,0.0,0.0
2006-09-06,8.16,8.21,8.13,8.2,68800,0.0,0.0
2006-09-07,8.15,8.19,8.07,8.09,21000,0.0,0.0
2006-09-08,8.12,8.12,8.04,8.09,24600,0.0,0.0
2006-09-11,8.02,8.26,8.02,8.26,37400,0.0,0.0
2006-09-12,8.23,8.56,8.15,8.55,19400,0.0,0.0
2006-09-13,8.57,9.03,8.49,8.89,62600,0.0,0.0
2006-09-14,9.02,9.05,8.86,9.05,27100,0.0,0.0
2006-09-15,8.99,9.42,8.99,9.28,141800,0.0,0.0
