Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-14,23.63,23.63,23.56,23.6,96400,0.0,0
2018-06-15,23.6,23.73,23.56,23.72,227000,0.0,0
2018-06-18,23.72,23.72,23.66,23.66,67100,0.0,0
2018-06-19,23.57,23.69,23.57,23.69,141800,0.0,0
2018-06-20,23.67,23.67,23.61,23.65,90600,0.0,0
2018-06-21,23.66,23.67,23.55,23.55,96000,0.0,0
2018-06-22,23.63,23.74,23.6,23.62,33600,0.0,0
2018-06-25,23.66,23.72,23.65,23.66,63100,0.0,0
2018-06-26,23.67,23.67,23.65,23.67,22500,0.0,0
2018-06-27,23.67,23.72,23.67,23.68,35100,0.0,0
2018-06-28,23.69,23.69,23.68,23.69,13800,0.0,0
2018-06-29,23.67,23.74,23.67,23.74,14100,0.0,0
2018-07-02,23.74,23.88,23.71,23.82,25800,0.0,0
2018-07-03,23.82,23.86,23.75,23.86,14400,0.0,0
2018-07-05,23.86,23.86,23.78,23.86,24500,0.0,0
2018-07-06,23.85,23.9,23.81,23.9,33200,0.0,0
2018-07-09,23.91,23.91,23.82,23.82,16600,0.0,0
2018-07-10,23.82,23.85,23.78,23.83,9000,0.0,0
2018-07-11,23.81,23.82,23.78,23.8,11900,0.0,0
2018-07-12,23.81,23.81,23.74,23.76,30700,0.0,0
2018-07-13,23.76,23.8,23.7,23.72,72300,0.0,0
2018-07-16,23.77,23.79,23.72,23.72,29900,0.0,0
2018-07-17,23.76,23.86,23.65,23.82,43800,0.0,0
2018-07-18,23.74,23.84,23.74,23.84,9100,0.0,0
2018-07-19,23.8,23.84,23.77,23.84,15900,0.0,0
2018-07-20,23.81,23.84,23.8,23.84,16600,0.0,0
2018-07-23,23.84,23.84,23.78,23.84,17600,0.0,0
2018-07-24,23.84,23.84,23.77,23.83,18900,0.0,0
2018-07-25,23.8,23.82,23.73,23.81,14900,0.0,0
2018-07-26,23.82,23.83,23.8,23.82,34100,0.0,0
2018-07-27,23.82,23.9,23.8,23.9,8900,0.0,0
2018-07-30,23.91,23.91,23.81,23.85,8200,0.0,0
2018-07-31,23.91,23.91,23.8,23.84,12500,0.0,0
2018-08-01,23.81,23.81,23.78,23.81,13100,0.0,0
2018-08-02,23.86,23.91,23.84,23.86,8700,0.0,0
2018-08-03,23.91,23.91,23.79,23.79,20100,0.0,0
2018-08-06,23.91,23.91,23.78,23.84,19700,0.0,0
2018-08-07,23.82,23.89,23.79,23.81,23000,0.0,0
2018-08-08,23.87,23.91,23.82,23.82,18400,0.0,0
2018-08-09,23.89,23.9,23.81,23.81,12300,0.0,0
2018-08-10,23.82,23.86,23.81,23.81,6400,0.0,0
2018-08-13,23.84,23.87,23.81,23.81,11000,0.0,0
2018-08-14,23.83,23.85,23.8,23.83,6300,0.0,0
2018-08-15,23.81,23.83,23.79,23.82,7500,0.0,0
2018-08-16,23.82,23.9,23.81,23.83,22600,0.0,0
2018-08-17,23.81,23.88,23.81,23.82,26900,0.0,0
2018-08-20,23.83,23.88,23.82,23.86,19300,0.0,0
2018-08-21,23.89,23.91,23.84,23.91,19500,0.0,0
2018-08-22,23.88,23.96,23.88,23.96,14600,0.0,0
2018-08-23,23.96,24.02,23.95,24.02,16900,0.0,0
2018-08-24,24.02,24.09,23.96,24.09,8700,0.0,0
2018-08-27,24.05,24.11,24.02,24.11,26700,0.0,0
2018-08-28,24.09,24.13,24.02,24.11,37400,0.0,0
2018-08-29,24.1,24.14,24.06,24.12,34000,0.0,0
2018-08-30,23.76,23.77,23.7,23.75,31100,0.0,0
2018-08-31,23.75,23.82,23.75,23.81,22000,0.0,0
2018-09-04,23.81,23.81,23.7,23.72,23700,0.0,0
2018-09-05,23.72,23.77,23.64,23.7,19800,0.0,0
2018-09-06,23.66,23.69,23.65,23.67,19800,0.0,0
2018-09-07,23.66,23.71,23.63,23.71,18500,0.0,0
2018-09-10,23.71,23.75,23.63,23.75,11900,0.0,0
2018-09-11,23.72,23.75,23.64,23.74,18700,0.0,0
2018-09-12,23.7,23.8,23.64,23.77,37100,0.0,0
2018-09-13,23.81,23.81,23.72,23.77,17800,0.0,0
2018-09-14,23.8,23.89,23.77,23.88,13600,0.0,0
2018-09-17,23.88,23.88,23.82,23.83,44500,0.0,0
2018-09-18,23.88,23.88,23.79,23.86,16200,0.0,0
2018-09-19,23.86,23.86,23.82,23.82,16700,0.0,0
2018-09-20,23.82,23.84,23.82,23.82,24500,0.0,0
2018-09-21,23.85,23.85,23.82,23.82,5100,0.0,0
2018-09-24,23.85,23.85,23.82,23.83,5000,0.0,0
2018-09-25,23.87,23.92,23.87,23.91,34100,0.0,0
2018-09-26,23.92,23.92,23.91,23.91,10400,0.0,0
2018-09-27,23.93,23.96,23.86,23.86,20100,0.0,0
2018-09-28,23.88,23.9,23.85,23.9,10900,0.0,0
2018-10-01,23.96,23.96,23.82,23.86,10700,0.0,0
2018-10-02,23.91,23.92,23.88,23.92,9400,0.0,0
2018-10-03,23.89,23.93,23.86,23.91,25700,0.0,0
