Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-15,21.43,21.6,21.42,21.51,384600,0.0,0
2017-12-18,21.44,21.55,21.42,21.46,298300,0.0,0
2017-12-19,21.43,21.47,21.33,21.35,198200,0.0,0
2017-12-20,21.34,21.53,21.32,21.43,251000,0.0,0
2017-12-21,21.41,21.55,21.36,21.52,136600,0.0,0
2017-12-22,21.47,21.56,21.47,21.55,62700,0.0,0
2017-12-26,21.55,21.68,21.51,21.68,39500,0.0,0
2017-12-27,21.53,22.31,21.53,21.69,63400,0.0,0
2017-12-28,21.78,21.89,21.72,21.85,25600,0.0,0
2017-12-29,21.89,21.89,21.78,21.85,19700,0.0,0
2018-01-02,21.94,21.94,21.62,21.67,31800,0.0,0
2018-01-03,21.68,21.74,21.53,21.58,41400,0.0,0
2018-01-04,21.64,21.64,21.54,21.59,56600,0.0,0
2018-01-05,21.68,21.72,21.6,21.66,27100,0.0,0
2018-01-08,21.67,21.68,21.52,21.56,127400,0.0,0
2018-01-09,21.67,21.67,21.51,21.56,168300,0.0,0
2018-01-10,21.64,21.64,21.3,21.55,116300,0.0,0
2018-01-11,21.56,21.67,21.49,21.56,131500,0.0,0
2018-01-12,21.67,21.67,21.42,21.47,75700,0.0,0
2018-01-16,21.5,21.51,21.41,21.47,59300,0.0,0
2018-01-17,21.46,21.55,21.41,21.5,71900,0.0,0
2018-01-18,21.49,21.58,21.39,21.51,40600,0.0,0
2018-01-19,21.51,21.56,21.44,21.44,65000,0.0,0
2018-01-22,21.51,21.6,21.45,21.45,30200,0.0,0
2018-01-23,21.54,21.54,21.44,21.5,38200,0.0,0
2018-01-24,21.51,21.55,21.42,21.43,36200,0.0,0
2018-01-25,21.49,21.5,21.39,21.43,51500,0.0,0
2018-01-26,21.47,21.49,21.37,21.43,95200,0.0,0
2018-01-29,21.43,21.43,21.32,21.33,77100,0.0,0
2018-01-30,21.41,21.49,21.3,21.34,32100,0.0,0
2018-01-31,21.36,21.42,21.34,21.34,9600,0.0,0
2018-02-01,21.39,21.39,21.31,21.36,25500,0.0,0
2018-02-02,21.3,21.34,21.26,21.26,28400,0.0,0
2018-02-05,21.05,21.39,21.05,21.34,23900,0.0,0
2018-02-06,21.31,21.39,21.1,21.38,21200,0.0,0
2018-02-07,21.38,21.45,21.37,21.43,25500,0.0,0
2018-02-08,21.45,21.5,21.39,21.39,20200,0.0,0
2018-02-09,21.47,21.47,21.22,21.3,21400,0.0,0
2018-02-12,21.42,21.46,21.24,21.26,10000,0.0,0
2018-02-13,21.43,21.43,21.32,21.4,15300,0.0,0
2018-02-14,21.44,21.55,21.39,21.47,62900,0.0,0
2018-02-15,21.5,21.5,21.28,21.46,25600,0.0,0
2018-02-16,21.39,21.71,21.39,21.6,16600,0.0,0
2018-02-20,21.5,21.67,21.5,21.56,11400,0.0,0
2018-02-21,21.56,21.62,21.5,21.61,28300,0.0,0
2018-02-22,21.47,22.11,21.47,21.65,57200,0.0,0
2018-02-23,21.64,21.73,21.6,21.62,17900,0.0,0
2018-02-26,21.76,21.81,21.61,21.77,23800,0.0,0
2018-02-27,21.74,21.79,21.64,21.73,13900,0.0,0
2018-02-28,21.87,21.87,21.72,21.87,40900,0.459,0
2018-03-01,21.86,21.87,21.77,21.87,32700,0.0,0
2018-03-02,21.86,21.96,21.86,21.96,10300,0.0,0
2018-03-05,21.92,21.97,21.8,21.91,15900,0.0,0
2018-03-06,21.95,21.97,21.83,21.83,24100,0.0,0
2018-03-07,21.89,21.94,21.81,21.84,14100,0.0,0
2018-03-08,21.84,21.94,21.81,21.89,11300,0.0,0
2018-03-09,21.88,21.89,21.66,21.73,23400,0.0,0
2018-03-12,21.88,21.94,21.8,21.94,20200,0.0,0
2018-03-13,21.96,21.96,21.92,21.95,2800,0.0,0
2018-03-14,21.91,21.95,21.89,21.92,7000,0.0,0
2018-03-15,21.91,21.96,21.89,21.96,5900,0.0,0
2018-03-16,21.97,21.97,21.9,21.9,7100,0.0,0
