Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-09,9.9,9.9,9.9,9.9,100000,0,0
2019-09-10,9.9,9.9,9.9,9.9,0,0,0
2019-09-11,10.15,10.15,9.91,9.91,1800,0,0
2019-09-12,9.91,9.91,9.91,9.91,0,0,0
2019-09-13,9.92,10.48,9.92,9.92,5400,0,0
2019-09-16,9.92,9.92,9.92,9.92,0,0,0
2019-09-17,9.92,9.92,9.92,9.92,0,0,0
2019-09-18,9.92,9.92,9.92,9.92,0,0,0
2019-09-19,9.92,9.92,9.92,9.92,0,0,0
2019-09-20,9.95,9.95,9.95,9.95,50000,0,0
2019-09-23,9.95,9.95,9.95,9.95,0,0,0
2019-09-24,9.95,9.95,9.95,9.95,0,0,0
2019-09-25,9.95,9.95,9.95,9.95,0,0,0
2019-09-26,9.95,9.95,9.95,9.95,0,0,0
2019-09-27,9.95,9.95,9.95,9.95,0,0,0
2019-09-30,9.95,9.95,9.95,9.95,0,0,0
2019-10-01,9.95,9.95,9.95,9.95,0,0,0
2019-10-02,10.15,10.15,10.15,10.15,5000,0,0
2019-10-03,10.15,10.15,10.15,10.15,0,0,0
2019-10-04,10.15,10.15,10.15,10.15,0,0,0
2019-10-07,10.05,10.05,10.05,10.05,800000,0,0
2019-10-08,10.1,10.1,10.1,10.1,1000,0,0
2019-10-09,10.1,10.12,10.1,10.11,64400,0,0
2019-10-10,10.11,10.11,10.11,10.11,0,0,0
2019-10-11,10.11,10.11,10.11,10.11,0,0,0
2019-10-14,10.11,10.11,10.11,10.11,0,0,0
2019-10-15,10.11,10.11,10.11,10.11,0,0,0
2019-10-16,10.0,10.0,10.0,10.0,150000,0,0
2019-10-17,10.0,10.0,10.0,10.0,0,0,0
2019-10-18,10.0,10.1,10.0,10.1,979100,0,0
2019-10-21,10.1,10.1,10.1,10.1,0,0,0
2019-10-22,10.15,10.15,10.15,10.15,500,0,0
2019-10-23,10.15,10.15,10.15,10.15,0,0,0
2019-10-24,10.2,10.2,10.15,10.16,5700,0,0
2019-10-25,10.16,10.16,10.16,10.16,0,0,0
2019-10-28,10.16,10.16,10.16,10.16,100,0,0
2019-10-29,10.39,10.39,10.13,10.13,3100,0,0
2019-10-30,10.15,10.15,10.15,10.15,70000,0,0
2019-10-31,10.28,10.38,10.28,10.38,1000,0,0
2019-11-01,10.38,10.38,10.38,10.38,0,0,0
2019-11-04,10.38,10.38,10.38,10.38,0,0,0
