Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-03-30,40.44,41.95,39.66,41.61,1197600,0.0,0.0
2007-04-02,40.52,41.9,39.03,41.28,114800,0.0,0.0
2007-04-03,40.7,41.61,40.61,41.06,58600,0.0,0.0
2007-04-04,40.64,41.12,40.05,40.75,58200,0.0,0.0
2007-04-05,41.06,41.06,40.05,40.72,32300,0.0,0.0
2007-04-09,41.05,41.05,40.53,40.75,12100,0.0,0.0
2007-04-10,40.6,41.03,40.52,40.75,11500,0.0,0.0
2007-04-11,40.75,41.61,40.75,40.94,11600,0.0,0.0
2007-04-12,41.05,41.3,40.7,40.86,12000,0.0,0.0
2007-04-13,41.03,41.05,40.7,40.75,7600,0.0,0.0
2007-04-16,40.6,41.08,39.96,40.67,51300,0.0,0.0
2007-04-17,40.49,40.74,40.44,40.5,24700,0.0,0.0
2007-04-18,40.7,41.05,40.24,40.72,23200,0.0,0.0
2007-04-19,40.3,40.72,40.08,40.72,28900,0.0,0.0
2007-04-20,40.69,40.69,40.19,40.22,13600,0.0,0.0
2007-04-23,40.53,40.83,40.18,40.44,9600,0.0,0.0
2007-04-24,40.75,41.0,40.44,40.66,12600,0.0,0.0
2007-04-25,40.64,41.12,40.53,40.91,3600,0.0,0.0
2007-04-26,41.14,41.14,40.6,40.7,6000,0.0,0.0
2007-04-27,41.14,41.14,40.46,40.89,4200,0.0,0.0
2007-04-30,40.83,40.84,40.55,40.7,12000,0.0,0.0
2007-05-01,40.67,41.22,40.36,41.08,43900,0.0,0.0
2007-05-02,40.49,40.75,40.44,40.66,17600,0.0,0.0
2007-05-03,40.5,40.8,40.25,40.44,20400,0.0,0.0
2007-05-04,40.44,40.83,39.99,40.41,82900,0.0,0.0
2007-05-07,40.27,41.86,40.27,41.72,8000,0.0,0.0
2007-05-08,41.61,41.84,40.53,41.06,13700,0.0,0.0
2007-05-09,41.86,41.9,40.28,41.17,20100,0.0,0.0
2007-05-10,42.07,42.74,40.36,41.37,20800,0.0,0.0
2007-05-11,42.37,42.37,40.77,41.06,8900,0.0,0.0
2007-05-14,41.9,41.9,40.44,41.33,8500,0.0,0.0
2007-05-15,41.3,41.95,40.47,41.34,5300,0.0,0.0
2007-05-16,40.22,41.22,40.22,41.06,7200,0.0,0.0
2007-05-17,41.3,41.3,40.47,41.23,7900,0.0,0.0
2007-05-18,41.17,41.17,40.55,41.14,7900,0.0,0.0
2007-05-21,41.14,41.14,40.28,40.98,7000,0.0,0.0
2007-05-22,40.47,41.08,40.47,40.52,4900,0.0,0.0
2007-05-23,40.5,40.83,39.45,40.21,12800,0.0,0.0
2007-05-24,40.28,40.81,39.66,40.39,8300,0.0,0.0
2007-05-25,39.76,40.13,39.38,40.13,10500,0.0,0.0
2007-05-29,39.71,40.44,39.06,40.02,15000,0.0,0.0
2007-05-30,39.4,39.97,39.24,39.97,11900,0.0,0.0
2007-05-31,39.24,39.74,39.24,39.66,13500,0.0,0.0
2007-06-01,40.44,40.44,39.65,39.74,5400,0.0,0.0
2007-06-04,39.04,40.42,39.04,39.8,4400,0.0,0.0
2007-06-05,38.92,39.99,38.9,39.68,13500,0.0,0.0
2007-06-06,38.93,39.66,38.93,39.54,9100,0.0,0.0
2007-06-07,39.06,39.32,37.45,38.79,18700,0.0,0.0
2007-06-08,38.42,38.76,38.08,38.42,12400,0.0,0.0
2007-06-11,38.11,38.57,38.11,38.43,8000,0.0,0.0
2007-06-12,38.73,38.96,38.09,38.93,9300,0.0,0.0
2007-06-13,38.19,38.98,38.12,38.73,6000,0.0,0.0
2007-06-14,38.26,39.41,38.12,39.27,3900,0.0,0.0
2007-06-15,39.12,40.74,38.89,39.97,4300,0.0,0.0
2007-06-18,40.3,42.06,40.05,41.84,15100,0.0,0.0
2007-06-19,41.22,41.84,41.22,41.67,2500,0.0,0.0
2007-06-20,42.09,42.45,41.14,41.5,6700,0.0,0.0
2007-06-21,41.48,43.78,41.48,42.82,28100,0.0,0.0
2007-06-22,42.98,44.95,42.14,44.41,12700,0.0,0.0
2007-06-25,44.7,44.7,43.5,44.33,15500,0.0,0.0
2007-06-26,42.7,44.33,42.7,43.55,6900,0.0,0.0
2007-06-27,44.33,44.33,42.48,43.55,4900,0.0,0.0
2007-06-28,43.68,43.89,43.18,43.89,4800,0.0,0.0
2007-06-29,43.02,44.72,43.02,44.36,2800,0.0,0.0
2007-07-02,43.52,44.7,43.27,44.66,7500,0.0,0.0
2007-07-03,43.71,44.98,43.71,44.84,1300,0.0,0.0
2007-07-05,44.98,45.11,44.33,45.03,2300,0.0,0.0
2007-07-06,45.12,45.73,43.52,44.98,16300,0.0,0.0
2007-07-09,45.53,45.53,43.07,44.33,43700,0.0,0.0
2007-07-10,44.64,45.39,43.4,45.01,9800,0.0,0.0
2007-07-11,45.11,46.51,44.2,46.35,12400,0.0,0.0
2007-07-12,46.55,47.98,44.98,47.74,6400,0.0,0.0
2007-07-13,46.91,48.14,46.71,48.14,11900,0.0,0.0
2007-07-16,48.61,48.96,47.46,48.61,12500,0.0,0.0
2007-07-17,48.96,50.07,48.45,48.93,26800,0.0,0.0
2007-07-18,48.64,49.2,48.3,49.0,4600,0.0,0.0
2007-07-19,49.0,49.96,48.96,49.28,13500,0.0,0.0
2007-07-20,48.87,49.38,48.84,49.38,1300,0.0,0.0
2007-07-23,50.08,50.08,48.44,49.2,1200,0.0,0.0
2007-07-24,48.64,49.29,48.61,49.15,1700,0.0,0.0
2007-07-25,48.84,49.6,47.77,48.84,9000,0.0,0.0
2007-07-26,49.28,49.51,47.41,48.48,22100,0.0,0.0
2007-07-27,48.9,48.96,48.06,48.93,2700,0.0,0.0
2007-07-30,49.68,49.76,46.66,48.06,14700,0.0,0.0
2007-07-31,47.56,50.55,47.5,50.29,122400,0.0,0.0
2007-08-01,47.83,47.83,45.11,46.32,36300,0.0,0.0
2007-08-02,47.55,48.18,43.9,45.29,26200,2.541,0.0
2007-08-03,47.74,47.74,43.07,44.61,20200,0.0,0.0
2007-08-06,46.06,47.46,40.23,43.66,27800,0.0,0.0
2007-08-07,44.34,46.61,42.15,44.42,16200,0.0,0.0
2007-08-08,43.36,45.29,43.36,44.72,10900,0.0,0.0
2007-08-09,44.09,45.3,42.53,44.58,15300,0.0,0.0
2007-08-10,44.09,45.3,41.73,44.84,20400,0.0,0.0
2007-08-13,44.48,45.27,43.05,44.48,20700,0.0,0.0
2007-08-14,44.45,45.03,42.17,44.15,24600,0.0,0.0
2007-08-15,43.58,43.93,40.78,43.16,26000,0.0,0.0
2007-08-16,42.51,42.51,36.74,40.14,30300,0.0,0.0
2007-08-17,41.3,41.7,40.15,40.53,12200,0.0,0.0
2007-08-20,40.75,41.59,39.36,40.15,6000,0.0,0.0
2007-08-21,39.93,41.0,39.52,41.0,10800,0.0,0.0
2007-08-22,41.27,43.29,40.96,42.84,8700,0.0,0.0
2007-08-23,39.9,44.83,39.4,43.85,5800,0.0,0.0
2007-08-24,43.7,44.42,43.7,43.93,3400,0.0,0.0
2007-08-27,44.37,44.37,42.33,44.09,5800,0.0,0.0
2007-08-28,43.6,45.47,42.4,45.27,11900,0.0,0.0
2007-08-29,44.99,44.99,42.91,44.72,6200,0.0,0.0
2007-08-30,42.33,44.97,42.33,44.84,12900,0.0,0.0
2007-08-31,45.18,45.66,43.66,45.62,27600,0.0,0.0
2007-09-04,45.66,45.66,43.57,43.99,5300,0.0,0.0
2007-09-05,43.3,45.11,42.36,44.53,7800,0.0,0.0
