Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-05,23.79,23.8,23.73,23.8,1000,0.0,0
2017-07-06,23.8,23.8,23.6,23.6,300,0.0,0
2017-07-07,23.75,23.75,23.73,23.73,300,0.0,0
2017-07-10,23.73,23.73,23.73,23.73,100,0.0,0
2017-07-11,23.73,23.73,23.73,23.73,100,0.0,0
2017-07-12,23.77,23.77,23.77,23.77,800,0.0,0
2017-07-17,21.74,21.74,21.74,21.74,6100,0.0,0
2017-07-18,21.87,21.87,21.74,21.78,3400,0.0,0
2017-07-19,21.74,21.91,21.74,21.87,38400,0.0,0
2017-07-20,21.83,21.83,21.71,21.71,8500,0.0,0
2017-07-21,21.74,21.81,21.74,21.74,4600,0.0,0
2017-07-24,21.86,21.86,21.74,21.86,1300,0.0,0
2017-07-25,21.74,21.74,21.53,21.53,18200,0.0,0
2017-07-26,21.61,21.65,21.42,21.61,9600,0.0,0
2017-07-27,21.58,21.63,21.58,21.63,1900,0.0,0
2017-07-28,21.65,21.71,21.61,21.71,4300,0.0,0
2017-07-31,21.71,21.71,21.61,21.71,1800,0.0,0
2017-08-01,21.66,21.74,21.66,21.74,2900,0.0,0
2017-08-02,21.74,21.78,21.74,21.78,1400,0.0,0
2017-08-03,21.74,21.74,21.64,21.74,3000,0.0,0
2017-08-04,21.74,21.74,21.61,21.7,7200,0.0,0
2017-08-07,21.74,21.74,21.65,21.74,5700,0.0,0
2017-08-08,21.62,21.62,21.42,21.52,25900,0.0,0
2017-08-09,21.45,21.57,21.19,21.31,17900,0.0,0
2017-08-10,21.28,21.31,21.17,21.19,13200,0.0,0
2017-08-11,21.49,21.49,21.15,21.41,25200,0.359,0
2017-08-14,21.47,21.47,21.41,21.44,5600,0.0,0
2017-08-15,21.44,21.83,21.25,21.75,8300,0.0,0
2017-08-16,21.62,21.8,21.53,21.63,8600,0.0,0
2017-08-17,21.68,21.75,21.67,21.69,5800,0.0,0
2017-08-18,21.78,21.78,21.64,21.71,4400,0.0,0
2017-08-21,21.66,21.7,21.47,21.65,5800,0.0,0
2017-08-22,21.63,21.69,21.63,21.67,10400,0.0,0
2017-08-23,21.61,21.71,21.51,21.69,2400,0.0,0
2017-08-24,21.57,21.63,21.39,21.45,4400,0.0,0
2017-08-25,21.55,21.65,21.42,21.45,10800,0.0,0
2017-08-28,21.62,21.62,21.6,21.6,900,0.0,0
2017-08-29,21.58,21.58,21.35,21.57,3300,0.0,0
2017-08-30,21.57,21.63,21.38,21.54,10900,0.0,0
2017-08-31,21.61,21.67,21.54,21.63,5400,0.0,0
2017-09-01,21.63,21.63,21.54,21.58,3200,0.0,0
2017-09-05,21.48,21.49,21.43,21.45,4800,0.0,0
2017-09-06,21.41,21.41,21.34,21.41,12500,0.0,0
2017-09-07,21.52,21.52,21.41,21.41,1300,0.0,0
2017-09-08,21.51,21.51,21.36,21.37,1900,0.0,0
2017-09-11,21.45,21.53,21.45,21.45,6400,0.0,0
2017-09-12,21.45,21.45,21.31,21.38,5200,0.0,0
2017-09-13,21.49,21.49,21.35,21.39,7500,0.0,0
2017-09-14,21.41,21.41,21.35,21.37,3000,0.0,0
2017-09-15,21.35,21.44,21.35,21.37,8000,0.0,0
2017-09-18,21.44,21.44,21.32,21.35,1400,0.0,0
2017-09-19,21.41,21.54,21.21,21.45,3800,0.0,0
2017-09-20,21.45,21.45,21.29,21.45,7300,0.0,0
2017-09-21,21.45,21.45,21.44,21.45,2100,0.0,0
2017-09-22,21.45,21.54,21.45,21.54,2400,0.0,0
2017-09-25,21.58,21.58,21.55,21.57,2000,0.0,0
2017-09-26,21.56,21.62,21.54,21.62,2600,0.0,0
2017-09-27,21.58,21.58,21.5,21.56,3000,0.0,0
2017-09-28,21.56,21.61,21.33,21.35,7700,0.0,0
2017-09-29,21.5,21.59,21.5,21.58,6600,0.0,0
2017-10-02,21.62,21.62,21.54,21.62,4300,0.0,0
2017-10-03,21.58,21.58,21.58,21.58,100,0.0,0
2017-10-04,21.61,21.67,21.61,21.61,2400,0.0,0
2017-10-05,21.61,21.61,21.61,21.61,0,0.0,0
2017-10-06,21.4,21.63,21.37,21.63,3600,0.0,0
2017-10-09,21.63,21.67,21.42,21.61,2200,0.0,0
2017-10-10,21.63,21.63,21.63,21.63,1500,0.0,0
2017-10-11,21.51,21.67,21.51,21.67,2500,0.0,0
2017-10-12,21.67,21.67,21.67,21.67,400,0.0,0
2017-10-13,21.67,21.67,21.66,21.66,500,0.0,0
2017-10-16,21.67,21.67,21.58,21.67,6400,0.0,0
2017-10-17,21.66,21.66,21.58,21.63,7800,0.0,0
2017-10-18,21.54,21.67,21.54,21.67,500,0.0,0
2017-10-19,21.63,21.67,21.63,21.67,1000,0.0,0
2017-10-20,21.63,21.67,21.63,21.63,2400,0.0,0
2017-10-23,21.67,21.67,21.63,21.63,3300,0.0,0
2017-10-24,21.67,21.71,21.63,21.7,7700,0.0,0
2017-10-25,21.7,21.7,21.63,21.67,4100,0.0,0
2017-10-26,21.7,21.7,21.58,21.67,700,0.0,0
2017-10-27,21.7,21.71,21.67,21.71,2900,0.0,0
2017-10-30,21.76,21.76,21.63,21.7,3900,0.0,0
2017-10-31,21.71,21.71,21.67,21.71,4400,0.0,0
2017-11-01,21.71,21.71,21.63,21.7,3700,0.0,0
2017-11-02,21.71,21.71,21.63,21.71,3400,0.0,0
2017-11-03,21.71,21.71,21.63,21.71,9100,0.0,0
2017-11-06,21.71,21.71,21.67,21.71,4000,0.0,0
2017-11-07,21.58,21.71,21.5,21.7,16600,0.0,0
2017-11-08,21.71,21.71,21.56,21.63,8800,0.0,0
2017-11-09,21.56,21.7,21.56,21.63,4500,0.0,0
2017-11-10,21.69,21.69,21.63,21.63,3000,0.0,0
2017-11-13,21.62,21.63,21.57,21.62,1400,0.0,0
2017-11-14,21.75,21.77,21.75,21.77,2700,0.359,0
2017-11-15,21.77,21.77,21.72,21.77,2500,0.0,0
2017-11-16,21.77,21.77,21.32,21.54,12200,0.0,0
2017-11-17,21.52,21.56,21.28,21.56,3100,0.0,0
2017-11-20,21.5,21.88,21.5,21.77,2500,0.0,0
2017-11-21,21.59,21.85,21.59,21.85,2300,0.0,0
2017-11-22,21.72,21.77,21.63,21.63,1500,0.0,0
