Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-04-24,23.38,23.85,20.54,21.84,3292600,0.0,0
1998-04-27,20.78,21.72,19.6,21.61,773600,0.0,0
1998-04-28,22.2,22.55,21.49,22.2,190600,0.0,0
1998-04-29,22.2,22.9,21.84,22.31,199000,0.0,0
1998-04-30,21.72,23.14,21.37,22.67,195300,0.0,0
1998-05-01,23.14,23.49,22.43,23.14,66000,0.0,0
1998-05-04,23.61,23.61,22.49,23.38,126100,0.0,0
1998-05-05,23.02,23.61,23.02,23.49,57500,0.0,0
1998-05-06,23.14,24.2,23.14,23.73,92300,0.0,0
1998-05-07,24.08,24.08,23.49,23.73,35000,0.0,0
1998-05-08,23.38,23.85,23.38,23.49,64900,0.0,0
1998-05-11,23.85,24.56,23.49,24.56,73000,0.0,0
1998-05-12,24.67,24.67,24.08,24.56,12000,0.0,0
1998-05-13,24.56,24.67,24.08,24.08,32800,0.0,0
1998-05-14,23.61,24.2,23.61,23.85,11000,0.0,0
1998-05-15,23.85,25.15,23.85,24.56,26900,0.0,0
1998-05-18,25.15,25.62,24.56,25.62,19700,0.0,0
1998-05-19,25.03,25.74,24.79,25.38,69300,0.0,0
1998-05-20,24.79,25.27,24.56,25.27,17700,0.0,0
1998-05-21,24.79,25.03,23.26,23.49,28400,0.0,0
1998-05-22,23.61,23.85,22.67,22.79,51200,0.0,0
1998-05-26,23.02,23.61,23.02,23.38,29200,0.0,0
1998-05-27,22.67,22.9,21.72,22.67,51200,0.0,0
1998-05-28,23.05,23.26,23.05,23.26,1000,0.0,0
1998-05-29,23.38,24.08,23.26,23.97,9300,0.0,0
1998-06-01,23.97,24.03,23.38,23.61,32100,0.0,0
1998-06-02,23.38,23.73,23.14,23.73,26700,0.0,0
1998-06-03,23.14,23.73,23.14,23.14,51900,0.0,0
1998-06-04,23.14,23.38,23.14,23.14,4200,0.0,0
1998-06-05,23.38,23.85,23.38,23.85,10100,0.0,0
1998-06-08,23.38,24.2,23.38,24.2,5300,0.0,0
1998-06-09,24.56,26.33,24.56,25.97,78300,0.0,0
1998-06-10,25.97,26.21,25.03,25.03,67300,0.0,0
1998-06-11,25.03,25.27,24.91,24.91,16200,0.0,0
1998-06-12,25.5,25.62,24.79,25.62,41700,0.0,0
1998-06-15,25.5,25.5,25.03,25.03,2400,0.0,0
1998-06-16,25.74,25.74,25.03,25.5,10300,0.0,0
1998-06-17,25.5,25.5,24.67,24.67,16000,0.0,0
1998-06-18,24.67,25.03,24.08,24.08,37900,0.0,0
1998-06-19,23.61,23.61,23.49,23.61,75100,0.0,0
1998-06-22,23.67,23.67,23.49,23.49,6700,0.0,0
1998-06-23,24.2,24.2,24.2,24.2,900,0.0,0
1998-06-24,23.49,24.2,23.49,24.2,1200,0.0,0
1998-06-25,23.49,24.2,23.49,23.61,25800,0.0,0
1998-06-26,23.61,24.08,23.49,24.08,11400,0.0,0
1998-06-29,23.61,24.08,23.61,23.61,1000,0.0,0
1998-06-30,23.61,24.08,23.49,23.61,50900,0.0,0
1998-07-01,23.61,25.27,23.61,25.27,8200,0.0,0
1998-07-02,24.56,25.62,24.56,24.91,27600,0.0,0
1998-07-06,24.79,25.62,24.79,25.15,3400,0.0,0
1998-07-07,25.38,25.62,24.91,25.38,10500,0.0,0
1998-07-08,25.62,25.62,24.67,24.67,80600,0.0,0
1998-07-09,24.67,25.38,24.67,25.38,11900,0.0,0
1998-07-10,24.67,24.79,24.67,24.79,2800,0.0,0
1998-07-13,25.27,25.62,24.56,24.56,42400,0.0,0
1998-07-14,25.62,26.33,25.5,26.33,3200,0.0,0
1998-07-15,26.21,26.45,25.74,25.74,3200,0.0,0
1998-07-16,25.74,26.68,25.74,26.68,15600,0.0,0
1998-07-17,26.68,26.68,25.74,26.45,4000,0.0,0
1998-07-20,25.74,26.68,25.74,26.68,1000,0.0,0
1998-07-21,26.68,26.68,25.97,26.68,6400,0.0,0
1998-07-22,25.97,27.39,25.97,27.39,14200,0.0,0
1998-07-23,26.56,26.56,26.56,26.56,1000,0.0,0
1998-07-24,27.51,27.51,26.56,27.51,10100,0.0,0
1998-07-27,27.39,27.74,26.56,27.74,40200,0.0,0
1998-07-28,27.39,27.74,26.8,27.74,48900,0.0,0
1998-07-29,27.98,28.1,27.74,27.98,19600,0.0,0
1998-07-30,27.74,27.74,26.45,27.04,49100,0.0,0
1998-07-31,27.27,27.27,26.33,26.56,1500,0.0,0
1998-08-03,26.33,27.27,26.33,26.33,1200,0.0,0
1998-08-04,26.45,26.45,26.33,26.33,53700,0.0,0
1998-08-05,26.33,27.04,26.33,26.45,6100,0.0,0
1998-08-06,26.33,26.45,26.33,26.45,120200,0.0,0
1998-08-07,26.09,27.04,26.09,26.21,44800,0.0,0
1998-08-10,26.09,27.04,26.09,26.21,1100,0.0,0
1998-08-11,26.8,26.8,25.5,26.45,16500,0.0,0
1998-08-12,26.03,26.68,25.97,26.15,15200,0.0,0
1998-08-13,25.74,26.68,25.74,26.68,200,0.0,0
1998-08-14,25.97,26.45,25.97,26.03,4200,0.0,0
1998-08-17,25.74,26.03,25.74,26.03,2300,0.0,0
1998-08-18,25.86,26.45,25.86,25.86,1400,0.0,0
1998-08-19,25.97,25.97,25.97,25.97,300,0.0,0
1998-08-20,25.97,26.45,25.97,25.97,2200,0.0,0
1998-08-21,25.97,26.09,25.74,26.09,13300,0.0,0
1998-08-24,25.74,26.45,25.5,26.45,7000,0.0,0
1998-08-25,25.5,25.5,24.67,25.03,235700,0.0,0
1998-08-26,25.03,25.03,25.03,25.03,5100,0.0,0
1998-08-27,24.79,24.79,23.61,23.61,12500,0.0,0
1998-08-28,23.61,24.56,21.49,22.67,29900,0.0,0
1998-08-31,22.43,23.14,22.43,23.14,26200,0.0,0
1998-09-01,22.55,23.14,22.55,22.67,44300,0.0,0
1998-09-02,22.67,22.73,22.43,22.43,8300,0.0,0
1998-09-03,23.14,23.14,22.43,23.14,22000,0.0,0
1998-09-04,23.14,23.14,23.14,23.14,0,0.0,0
1998-09-08,23.14,23.14,22.43,22.43,2200,0.0,0
1998-09-09,22.43,22.55,22.43,22.55,2900,0.0,0
1998-09-10,23.14,23.14,22.43,22.43,12900,0.0,0
1998-09-11,23.14,23.14,23.14,23.14,400,0.0,0
1998-09-14,22.43,22.43,22.43,22.43,1500,0.0,0
1998-09-15,22.55,22.55,22.55,22.55,700,0.0,0
1998-09-16,22.55,22.9,22.55,22.9,2000,0.0,0
1998-09-17,22.55,22.79,22.2,22.2,48200,0.0,0
1998-09-18,22.9,22.9,22.2,22.2,500,0.0,0
1998-09-21,22.2,22.67,22.2,22.2,6000,0.0,0
1998-09-22,22.2,22.79,22.2,22.79,4900,0.0,0
1998-09-23,22.2,23.14,22.2,23.14,2000,0.0,0
1998-09-24,23.14,23.85,22.67,23.85,10600,0.0,0
1998-09-25,22.9,23.73,22.9,23.73,1900,0.0,0
1998-09-28,23.73,23.73,23.73,23.73,0,0.0,0
1998-09-29,23.14,23.14,23.14,23.14,2800,0.0,0
1998-09-30,23.14,23.14,22.43,22.43,11500,0.0,0
1998-10-01,22.2,23.38,22.2,23.38,8800,0.0,0
1998-10-02,23.61,23.61,23.61,23.61,1500,0.0,0
1998-10-05,22.43,22.55,22.43,22.55,75100,0.0,0
1998-10-06,22.2,22.31,22.2,22.2,4100,0.0,0
1998-10-07,22.2,22.31,19.36,19.36,22800,0.0,0
1998-10-08,18.42,19.36,18.42,18.65,3000,0.0,0
1998-10-09,18.89,19.95,18.89,19.13,2200,0.0,0
1998-10-12,19.13,19.13,18.89,18.89,1300,0.0,0
1998-10-13,18.18,21.25,17.95,20.54,23400,0.0,0
1998-10-14,21.72,21.72,20.78,20.78,1200,0.0,0
1998-10-15,20.78,21.72,20.78,20.78,800,0.0,0
1998-10-16,21.01,21.84,21.01,21.72,15500,0.0,0
1998-10-19,22.43,22.43,21.25,21.96,5000,0.0,0
1998-10-20,21.25,21.72,21.25,21.37,24000,0.0,0
1998-10-21,22.2,22.2,21.25,22.2,50700,0.0,0
1998-10-22,21.84,21.84,21.72,21.72,4900,0.0,0
1998-10-23,22.43,22.43,21.72,22.43,11500,0.0,0
1998-10-26,22.9,22.9,21.72,22.9,6200,0.0,0
1998-10-27,23.61,23.61,23.61,23.61,500,0.0,0
1998-10-28,23.14,23.55,23.14,23.55,2100,0.0,0
1998-10-29,23.55,23.55,23.55,23.55,0,0.0,0
1998-10-30,23.14,23.61,23.14,23.61,2200,0.0,0
1998-11-02,23.14,23.61,23.14,23.49,4900,0.0,0
1998-11-03,23.61,23.61,23.61,23.61,700,0.0,0
1998-11-04,23.14,24.32,23.14,23.14,2100,0.0,0
1998-11-05,23.14,23.26,23.14,23.26,2600,0.0,0
1998-11-06,23.14,23.26,23.14,23.26,4500,0.0,0
1998-11-09,23.26,23.26,23.26,23.26,0,0.0,0
1998-11-10,23.14,23.14,23.14,23.14,100,0.0,0
1998-11-11,23.14,23.26,23.14,23.14,8100,0.0,0
1998-11-12,23.14,23.14,23.14,23.14,400,0.0,0
1998-11-13,23.14,23.14,23.14,23.14,0,0.0,0
1998-11-16,23.91,24.08,23.14,23.26,5300,0.0,0
1998-11-17,23.14,23.26,22.67,22.67,18600,0.0,0
