Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-10-27,3.0,3.0,3.0,3.0,500,0,0
2014-10-28,3.0,3.0,3.0,3.0,0,0,0
2014-10-29,3.0,3.0,3.0,3.0,1000,0,0
2014-10-30,3.0,3.0,3.0,3.0,1000,0,0
2014-10-31,3.0,3.0,3.0,3.0,0,0,0
2014-11-03,3.0,3.0,3.0,3.0,0,0,0
2014-11-04,3.0,3.0,3.0,3.0,100,0,0
2014-11-05,3.0,3.0,3.0,3.0,0,0,0
2014-11-06,3.0,3.0,3.0,3.0,0,0,0
2014-11-07,3.0,3.0,3.0,3.0,0,0,0
2014-11-10,3.0,3.0,3.0,3.0,0,0,0
2014-11-11,3.0,3.0,3.0,3.0,400,0,0
2014-11-12,3.0,3.0,3.0,3.0,2000,0,0
2014-11-13,3.5,4.5,3.5,4.5,3200,0,0
2014-11-14,4.5,4.65,3.5,3.5,8800,0,0
2014-11-17,3.25,3.25,3.25,3.25,5500,0,0
2014-11-18,3.2,3.25,3.01,3.25,5400,0,0
2014-11-19,3.25,3.25,3.01,3.15,6000,0,0
2014-11-20,3.3,3.3,3.3,3.3,2100,0,0
2014-11-21,3.15,3.15,3.1,3.1,4600,0,0
2014-11-24,3.3,3.3,2.95,2.95,3300,0,0
2014-11-25,3.0,3.1,3.0,3.0,16500,0,0
2014-11-26,3.05,3.05,3.0,3.05,16300,0,0
2014-11-28,3.0,3.0,3.0,3.0,19900,0,0
2014-12-01,3.0,4.0,3.0,4.0,18400,0,0
2014-12-02,4.02,4.02,3.01,3.59,7600,0,0
2014-12-03,3.15,3.4,3.06,3.4,7400,0,0
2014-12-04,3.3,3.3,3.0,3.15,30000,0,0
2014-12-05,3.15,4.95,3.15,4.95,13400,0,0
2014-12-08,4.0,4.0,3.5,3.99,19100,0,0
2014-12-09,3.99,4.0,3.85,4.0,9700,0,0
2014-12-10,4.0,4.0,3.85,3.9,10600,0,0
2014-12-11,3.98,3.98,3.75,3.9,10900,0,0
2014-12-12,3.85,3.85,3.7,3.7,11400,0,0
2014-12-15,3.7,3.7,3.7,3.7,5000,0,0
2014-12-16,3.65,3.65,3.5,3.6,4600,0,0
2014-12-17,3.65,3.65,3.3,3.38,9100,0,0
2014-12-18,3.3,3.6,3.21,3.6,33000,0,0
2014-12-19,3.45,3.45,3.05,3.3,9300,0,0
2014-12-22,3.12,3.15,2.87,3.0,7300,0,0
2014-12-23,3.04,3.04,2.85,3.0,15500,0,0
2014-12-24,2.96,2.96,2.75,2.75,4600,0,0
2014-12-26,2.89,3.0,2.71,2.72,1500,0,0
2014-12-29,2.99,2.99,2.79,2.79,2200,0,0
2014-12-30,2.99,2.99,2.76,2.85,900,0,0
2014-12-31,2.85,3.2,2.72,2.99,15100,0,0
2015-01-02,2.84,2.89,2.84,2.84,1100,0,0
2015-01-05,2.84,2.84,2.71,2.71,4600,0,0
2015-01-06,2.74,3.04,2.58,2.8,17000,0,0
2015-01-07,2.83,3.0,2.83,2.9,4700,0,0
2015-01-08,2.85,2.9,2.82,2.9,7100,0,0
2015-01-09,3.0,3.15,3.0,3.01,41100,0,0
2015-01-12,3.01,3.01,2.56,2.75,4700,0,0
2015-01-13,2.62,2.69,2.62,2.69,13000,0,0
2015-01-14,2.55,2.56,2.51,2.55,13200,0,0
2015-01-15,2.63,2.78,2.39,2.65,8800,0,0
2015-01-16,2.38,2.45,2.38,2.45,5000,0,0
2015-01-20,2.26,2.26,2.25,2.25,2600,0,0
2015-01-21,2.5,2.5,2.0,2.0,8500,0,0
2015-01-22,2.46,2.46,2.2,2.2,5600,0,0
2015-01-23,2.3,2.3,2.2,2.24,3400,0,0
2015-01-26,2.3,2.3,2.2,2.2,19200,0,0
2015-01-27,2.2,2.45,2.2,2.45,500,0,0
2015-01-28,2.3,2.3,2.21,2.21,1200,0,0
2015-01-29,2.27,2.27,2.03,2.187,3500,0,0
2015-01-30,2.18,2.24,2.06,2.1,2300,0,0
2015-02-02,2.1,2.1,2.09,2.09,4900,0,0
2015-02-03,2.02,2.02,2.01,2.02,25700,0,0
2015-02-04,2.05,2.15,2.01,2.15,7100,0,0
2015-02-05,2.15,2.15,2.01,2.047,2400,0,0
2015-02-06,2.2,2.2,2.05,2.054,3400,0,0
2015-02-09,2.1,2.11,2.1,2.11,2800,0,0
2015-02-10,2.1,2.1,2.05,2.1,1500,0,0
2015-02-11,2.11,2.15,2.034,2.1,14100,0,0
2015-02-12,2.1,2.22,2.1,2.2,14400,0,0
2015-02-13,2.15,2.22,2.1,2.12,7400,0,0
2015-02-17,2.12,2.22,2.12,2.18,22000,0,0
2015-02-18,2.18,2.18,2.1,2.1,7600,0,0
2015-02-19,2.18,2.18,2.18,2.18,500,0,0
2015-02-20,2.1,2.17,2.1,2.15,18600,0,0
2015-02-23,2.17,2.17,2.17,2.17,600,0,0
2015-02-24,2.2,2.2,2.075,2.12,33600,0,0
2015-02-25,2.1,2.1,2.02,2.02,22500,0,0
2015-02-26,2.01,2.5,2.0,2.5,90400,0,0
2015-02-27,2.5,2.55,2.26,2.5,15700,0,0
2015-03-02,2.55,2.56,2.32,2.49,11700,0,0
2015-03-03,2.3,2.65,2.3,2.65,8700,0,0
2015-03-04,2.65,2.9,2.55,2.9,15100,0,0
2015-03-05,2.9,3.1,2.9,3.1,2700,0,0
2015-03-06,3.02,3.1,3.0,3.0,18900,0,0
2015-03-09,3.05,3.25,2.99,3.086,46500,0,0
2015-03-10,3.05,3.05,3.04,3.05,5200,0,0
2015-03-11,3.05,3.05,2.9,3.05,20800,0,0
2015-03-12,2.95,3.0,2.95,3.0,2500,0,0
2015-03-13,3.08,3.08,3.08,3.08,200,0,0
2015-03-16,3.1,3.1,2.954,3.05,5600,0,0
2015-03-17,2.95,3.0,2.95,3.0,1600,0,0
2015-03-18,2.988,2.988,2.988,2.988,1100,0,0
2015-03-19,3.0,3.0,2.85,2.99,3200,0,0
2015-03-20,2.99,3.0,2.99,2.99,3400,0,0
2015-03-23,2.9,2.9,2.75,2.75,8700,0,0
2015-03-24,2.85,2.85,2.75,2.776,6900,0,0
2015-03-25,2.8,2.8,2.75,2.788,6100,0,0
2015-03-26,2.8,2.8,2.75,2.77,31600,0,0
2015-03-27,2.89,2.89,2.77,2.77,1100,0,0
2015-03-30,2.9,2.9,2.8,2.88,2300,0,0
2015-03-31,2.89,2.89,2.63,2.81,9100,0,0
2015-04-01,2.82,2.9,2.811,2.9,37800,0,0
2015-04-02,2.89,2.9,2.89,2.9,1000,0,0
2015-04-06,2.9,3.0,2.85,2.95,46700,0,0
2015-04-07,2.95,2.95,2.87,2.9,10900,0,0
2015-04-08,2.86,2.86,2.86,2.86,1000,0,0
2015-04-09,2.86,3.0,2.85,3.0,15400,0,0
2015-04-10,2.84,2.9,2.75,2.9,61200,0,0
2015-04-13,2.8,3.43,2.63,3.39,72600,0,0
2015-04-14,3.38,3.4,2.98,3.18,111000,0,0
2015-04-15,3.29,3.535,3.26,3.4,51100,0,0
2015-04-16,3.2,3.88,2.75,3.1,278400,0,0
2015-04-17,3.0,3.2,2.75,3.17,48400,0,0
2015-04-20,3.03,3.16,2.63,2.75,22600,0,0
2015-04-21,2.771,2.8,2.75,2.77,22600,0,0
2015-04-22,2.95,3.35,2.95,3.25,123200,0,0
2015-04-23,3.35,3.35,3.11,3.18,36600,0,0
2015-04-24,3.33,3.75,3.24,3.5,261100,0,0
2015-04-27,3.5,3.5,2.81,3.02,169700,0,0
2015-04-28,3.15,3.15,2.8,3.03,34700,0,0
2015-04-29,3.2,3.2,2.9,3.01,34400,0,0
2015-04-30,3.195,3.195,3.0,3.15,18000,0,0
2015-05-01,3.25,3.25,2.98,3.16,70100,0,0
2015-05-04,3.26,3.26,2.85,3.05,16000,0,0
2015-05-05,3.1,3.3,3.1,3.3,68000,0,0
2015-05-06,3.3,3.65,3.1,3.62,77900,0,0
2015-05-07,3.42,3.619,3.24,3.454,67600,0,0
2015-05-08,3.51,3.85,3.5,3.63,272700,0,0
2015-05-11,3.67,3.85,3.5,3.84,57500,0,0
2015-05-12,3.75,4.15,3.4,4.0,174600,0,0
2015-05-13,4.15,4.15,3.81,4.0,36600,0,0
2015-05-14,3.94,4.1,3.76,3.9,30800,0,0
2015-05-15,4.1,4.14,3.9,4.0,26400,0,0
2015-05-18,4.1,4.31,3.97,4.15,135000,0,0
2015-05-19,4.26,4.31,4.0,4.05,97700,0,0
2015-05-20,4.05,4.05,3.85,3.86,54000,0,0
2015-05-21,4.05,4.05,3.77,3.89,44500,0,0
2015-05-22,3.9,4.0,3.77,3.85,34100,0,0
2015-05-26,3.84,3.88,3.76,3.8,21900,0,0
2015-05-27,3.83,3.83,3.25,3.435,113900,0,0
2015-05-28,3.41,3.5,3.11,3.3,95500,0,0
2015-05-29,3.4,3.4,3.11,3.31,34600,0,0
2015-06-01,3.29,3.44,3.12,3.215,53300,0,0
2015-06-02,3.32,3.32,3.12,3.18,32800,0,0
2015-06-03,3.154,3.25,2.92,2.99,151800,0,0
2015-06-04,2.99,3.04,2.76,3.01,185000,0,0
2015-06-05,2.9,3.14,2.85,3.14,152600,0,0
2015-06-08,3.15,3.25,3.01,3.03,130000,0,0
2015-06-09,3.105,3.19,2.94,3.03,69100,0,0
2015-06-10,3.04,3.1,2.98,3.03,150200,0,0
2015-06-11,3.12,3.75,3.04,3.56,742200,0,0
2015-06-12,3.63,3.66,2.9,3.15,519000,0,0
2015-06-15,3.18,3.48,3.18,3.37,286500,0,0
2015-06-16,3.35,3.64,3.3,3.45,193100,0,0
2015-06-17,3.5,3.59,3.2,3.27,232500,0,0
2015-06-18,3.21,3.43,3.17,3.24,113300,0,0
2015-06-19,3.21,3.26,3.06,3.17,442500,0,0
2015-06-22,3.2,3.33,3.07,3.24,102800,0,0
2015-06-23,3.21,3.23,3.11,3.16,87100,0,0
2015-06-24,3.22,3.27,3.12,3.16,64500,0,0
2015-06-25,3.18,3.25,3.11,3.2,64300,0,0
2015-06-26,3.2,3.27,3.13,3.25,212700,0,0
2015-06-29,3.24,3.24,3.16,3.19,75800,0,0
2015-06-30,3.14,3.21,2.965,3.08,94200,0,0
2015-07-01,3.1,3.115,3.0,3.06,34600,0,0
2015-07-02,3.09,3.19,2.9,3.04,19300,0,0
2015-07-06,2.98,3.07,2.92,3.05,28200,0,0
2015-07-07,3.05,3.1,2.96,3.07,25100,0,0
2015-07-08,3.09,3.12,3.0,3.03,15600,0,0
2015-07-09,3.03,3.07,3.0,3.0,7900,0,0
2015-07-10,3.0,3.04,2.95,2.99,41400,0,0
2015-07-13,3.0,3.0,2.88,2.94,49400,0,0
2015-07-14,2.979,3.0,2.9,2.93,112600,0,0
2015-07-15,2.9,2.9,2.76,2.835,93300,0,0
2015-07-16,2.83,2.93,2.81,2.86,31300,0,0
2015-07-17,2.91,2.91,2.78,2.9,22100,0,0
2015-07-20,2.88,2.97,2.85,2.86,42400,0,0
2015-07-21,2.875,2.95,2.81,2.86,40700,0,0
2015-07-22,2.897,2.9,2.74,2.814,18500,0,0
2015-07-23,2.79,2.83,2.78,2.82,9600,0,0
2015-07-24,2.8,2.81,2.55,2.58,103100,0,0
2015-07-27,2.56,2.56,1.95,2.05,221500,0,0
2015-07-28,2.1,2.34,1.88,1.93,599600,0,0
2015-07-29,1.99,2.09,1.91,1.97,273400,0,0
2015-07-30,2.06,2.06,1.92,2.02,276300,0,0
2015-07-31,2.02,2.08,1.95,1.95,113700,0,0
2015-08-03,2.0,2.2,2.0,2.023,258900,0,0
2015-08-04,2.07,2.125,1.95,2.02,170900,0,0
2015-08-05,2.05,2.26,2.0,2.19,130300,0,0
2015-08-06,2.22,2.22,1.99,2.0,164800,0,0
2015-08-07,2.05,2.06,1.84,1.87,144200,0,0
2015-08-10,1.84,2.0,1.84,1.9,42700,0,0
2015-08-11,1.82,2.101,1.82,2.0,249400,0,0
2015-08-12,2.03,2.03,1.91,1.97,85500,0,0
2015-08-13,1.878,1.99,1.82,1.82,109400,0,0
2015-08-14,1.85,1.87,1.8,1.85,61500,0,0
2015-08-17,1.9,1.98,1.87,1.92,62000,0,0
2015-08-18,1.94,1.944,1.86,1.86,95700,0,0
2015-08-19,2.8,4.22,2.45,2.5,43027600,0,0
2015-08-20,2.45,2.45,2.05,2.05,2074300,0,0
2015-08-21,2.04,2.34,1.99,2.05,1513900,0,0
2015-08-24,2.03,2.03,1.79,1.92,630800,0,0
2015-08-25,2.01,2.01,1.77,1.91,780700,0,0
2015-08-26,1.93,1.935,1.8,1.85,421000,0,0
2015-08-27,1.93,1.99,1.88,1.93,400600,0,0
2015-08-28,1.96,1.99,1.88,1.92,190900,0,0
2015-08-31,2.02,2.02,1.89,1.91,165200,0,0
2015-09-01,1.93,1.93,1.84,1.92,246100,0,0
2015-09-02,1.91,1.95,1.84,1.91,252200,0,0
2015-09-03,1.91,1.954,1.79,1.81,177500,0,0
2015-09-04,1.79,1.88,1.79,1.86,85800,0,0
2015-09-08,1.98,1.98,1.81,1.82,131400,0,0
2015-09-09,1.9,1.98,1.83,1.841,305000,0,0
2015-09-10,1.85,1.9,1.8,1.85,243500,0,0
2015-09-11,1.8,1.99,1.79,1.99,970800,0,0
2015-09-14,2.01,2.17,1.95,2.13,534300,0,0
2015-09-15,2.16,2.245,2.01,2.09,422400,0,0
2015-09-16,2.08,2.195,2.06,2.065,119800,0,0
2015-09-17,2.07,2.13,2.06,2.075,85700,0,0
2015-09-18,2.07,2.27,2.07,2.24,274800,0,0
2015-09-21,2.29,2.29,2.1,2.24,270500,0,0
2015-09-22,2.25,2.25,2.11,2.18,150700,0,0
2015-09-23,2.15,2.211,2.05,2.09,94200,0,0
2015-09-24,2.12,2.12,1.94,1.99,131200,0,0
2015-09-25,1.99,2.07,1.88,1.98,195300,0,0
2015-09-28,1.99,1.99,1.7,1.79,330600,0,0
2015-09-29,1.76,1.76,1.54,1.573,339600,0,0
2015-09-30,1.6,1.6,1.449,1.57,206500,0,0
2015-10-01,1.59,1.65,1.5,1.65,107700,0,0
2015-10-02,1.66,1.86,1.63,1.63,325000,0,0
2015-10-05,1.65,1.79,1.65,1.76,76500,0,0
2015-10-06,1.76,1.8,1.71,1.75,28700,0,0
2015-10-07,1.74,1.85,1.73,1.8,93100,0,0
2015-10-08,1.82,1.88,1.77,1.88,111200,0,0
2015-10-09,1.88,1.88,1.82,1.88,37600,0,0
2015-10-12,1.89,1.89,1.74,1.76,40100,0,0
2015-10-13,1.77,1.779,1.72,1.73,51100,0,0
2015-10-14,1.737,1.76,1.65,1.74,86900,0,0
2015-10-15,1.75,1.85,1.67,1.82,44300,0,0
2015-10-16,1.85,1.91,1.76,1.76,109800,0,0
2015-10-19,1.75,1.77,1.69,1.76,55200,0,0
2015-10-20,2.2,2.55,1.86,1.9,3947000,0,0
2015-10-21,1.86,1.95,1.78,1.82,298700,0,0
2015-10-22,1.81,1.85,1.72,1.79,181700,0,0
2015-10-23,1.77,1.82,1.69,1.71,120700,0,0
2015-10-26,1.72,1.77,1.657,1.69,115000,0,0
2015-10-27,1.69,1.77,1.68,1.68,112100,0,0
2015-10-28,1.72,1.78,1.68,1.72,125200,0,0
2015-10-29,1.72,1.74,1.67,1.68,114500,0,0
2015-10-30,1.69,1.69,1.62,1.63,75800,0,0
2015-11-02,1.71,1.727,1.65,1.66,79600,0,0
2015-11-03,1.69,1.81,1.62,1.75,152300,0,0
2015-11-04,1.78,1.79,1.73,1.78,29100,0,0
2015-11-05,1.77,1.77,1.64,1.67,47400,0,0
2015-11-06,1.65,1.71,1.65,1.68,35500,0,0
2015-11-09,1.7,1.78,1.65,1.68,62800,0,0
2015-11-10,1.66,1.67,1.645,1.65,37900,0,0
2015-11-11,1.66,1.7,1.64,1.65,62500,0,0
2015-11-12,1.65,1.78,1.64,1.71,191000,0,0
2015-11-13,1.73,1.737,1.66,1.7,49500,0,0
2015-11-16,1.69,1.7,1.67,1.7,22300,0,0
2015-11-17,1.7,1.75,1.676,1.71,47500,0,0
2015-11-18,1.73,1.73,1.68,1.68,49700,0,0
2015-11-19,1.7,1.7,1.65,1.68,33300,0,0
2015-11-20,1.67,1.71,1.67,1.7,41300,0,0
2015-11-23,1.7,1.79,1.665,1.75,130800,0,0
2015-11-24,1.77,1.82,1.72,1.77,189800,0,0
2015-11-25,1.762,1.8,1.751,1.76,126900,0,0
2015-11-27,1.76,1.86,1.76,1.8,225700,0,0
2015-11-30,1.8,1.88,1.78,1.78,159200,0,0
2015-12-01,1.8,1.85,1.74,1.79,82000,0,0
2015-12-02,1.76,1.79,1.75,1.76,58300,0,0
2015-12-03,1.76,1.76,1.67,1.69,86000,0,0
2015-12-04,1.72,1.72,1.65,1.69,43400,0,0
2015-12-07,1.7,1.75,1.66,1.69,105900,0,0
2015-12-08,1.7,1.82,1.64,1.65,211300,0,0
2015-12-09,1.65,1.73,1.64,1.65,124600,0,0
2015-12-10,1.64,1.68,1.6,1.61,251500,0,0
2015-12-11,1.55,1.649,1.52,1.58,181900,0,0
2015-12-14,1.58,1.59,1.5,1.5,117800,0,0
2015-12-15,1.51,1.65,1.5,1.6,59200,0,0
2015-12-16,1.63,1.64,1.59,1.59,39200,0,0
2015-12-17,1.58,1.64,1.54,1.58,37700,0,0
2015-12-18,1.578,1.62,1.56,1.56,62000,0,0
2015-12-21,1.59,1.63,1.52,1.58,41000,0,0
2015-12-22,1.6,1.68,1.6,1.61,63300,0,0
2015-12-23,1.61,1.68,1.61,1.63,97100,0,0
2015-12-24,1.61,1.65,1.61,1.62,72200,0,0
2015-12-28,1.64,1.67,1.627,1.63,175000,0,0
2015-12-29,1.65,1.67,1.61,1.61,136300,0,0
2015-12-30,1.62,1.62,1.58,1.61,45200,0,0
2015-12-31,1.58,1.67,1.58,1.65,56700,0,0
2016-01-04,1.66,1.66,1.57,1.61,49400,0,0
2016-01-05,1.61,1.62,1.5,1.536,74400,0,0
2016-01-06,1.54,1.55,1.34,1.418,199100,0,0
2016-01-07,1.37,1.436,1.33,1.4,87600,0,0
2016-01-08,1.45,1.49,1.35,1.44,56600,0,0
2016-01-11,1.44,1.53,1.44,1.49,69800,0,0
2016-01-12,1.52,1.53,1.43,1.48,76100,0,0
2016-01-13,1.43,1.45,1.351,1.36,62300,0,0
2016-01-14,1.35,1.35,1.08,1.24,133900,0,0
2016-01-15,1.18,1.22,1.11,1.11,24200,0,0
2016-01-19,1.12,1.123,1.01,1.08,110700,0,0
2016-01-20,1.04,1.22,1.04,1.21,53100,0,0
2016-01-21,1.21,1.48,1.21,1.412,121200,0,0
2016-01-22,1.51,1.56,1.47,1.5,116500,0,0
2016-01-25,1.5,1.5,1.42,1.42,94000,0,0
2016-01-26,1.43,1.49,1.41,1.41,47500,0,0
2016-01-27,1.42,1.452,1.4,1.42,17400,0,0
2016-01-28,1.46,1.47,1.24,1.3,99300,0,0
2016-01-29,1.31,1.5,1.3,1.41,154000,0,0
2016-02-01,1.42,1.585,1.28,1.33,217400,0,0
2016-02-02,1.32,1.41,1.29,1.3,18200,0,0
2016-02-03,1.295,1.295,1.207,1.218,15000,0,0
2016-02-04,1.23,1.3,1.21,1.24,38400,0,0
2016-02-05,1.24,1.33,1.24,1.25,3700,0,0
2016-02-08,1.26,1.263,1.2,1.21,27500,0,0
2016-02-09,1.2,1.21,1.04,1.17,36200,0,0
2016-02-10,1.19,1.22,1.02,1.05,49100,0,0
2016-02-11,1.09,1.23,1.01,1.2,95900,0,0
2016-02-12,1.2,1.3,1.02,1.16,100100,0,0
2016-02-16,1.2,1.22,1.07,1.21,112700,0,0
2016-02-17,1.27,1.34,1.23,1.28,37500,0,0
2016-02-18,1.28,1.28,1.18,1.19,26700,0,0
2016-02-19,1.22,1.47,1.22,1.38,134200,0,0
2016-02-22,1.6,1.6,1.38,1.41,139400,0,0
2016-02-23,1.461,1.49,1.23,1.3,74600,0,0
2016-02-24,1.3,1.43,1.24,1.3,60600,0,0
2016-02-25,1.33,1.49,1.31,1.47,80800,0,0
2016-02-26,1.5,1.51,1.33,1.36,70700,0,0
2016-02-29,1.39,1.48,1.33,1.35,21300,0,0
2016-03-01,1.38,1.47,1.3,1.34,20400,0,0
2016-03-02,1.32,1.46,1.21,1.46,126400,0,0
2016-03-03,1.48,1.55,1.45,1.5,56600,0,0
2016-03-04,1.52,1.71,1.49,1.65,99800,0,0
2016-03-07,1.71,1.95,1.66,1.82,281500,0,0
2016-03-08,1.85,1.85,1.63,1.7,123600,0,0
2016-03-09,1.73,1.73,1.64,1.72,32700,0,0
2016-03-10,1.73,1.82,1.68,1.69,33300,0,0
2016-03-11,1.71,1.78,1.71,1.75,38500,0,0
2016-03-14,1.76,1.85,1.71,1.75,39400,0,0
2016-03-15,1.77,1.84,1.736,1.83,71700,0,0
2016-03-16,1.8,1.84,1.75,1.8,38700,0,0
2016-03-17,1.76,1.84,1.75,1.75,46500,0,0
2016-03-18,1.79,1.81,1.74,1.77,35700,0,0
2016-03-21,1.8,1.82,1.783,1.8,27200,0,0
2016-03-22,1.8,1.84,1.79,1.82,30100,0,0
2016-03-23,1.83,1.87,1.82,1.87,79000,0,0
2016-03-24,1.8,1.88,1.75,1.86,26000,0,0
2016-03-28,1.85,1.86,1.75,1.8,36900,0,0
2016-03-29,1.8,1.83,1.79,1.79,16300,0,0
2016-03-30,1.843,1.88,1.79,1.8,30700,0,0
2016-03-31,1.76,1.87,1.76,1.81,31000,0,0
2016-04-01,1.81,1.86,1.8,1.8,42200,0,0
2016-04-04,1.78,1.84,1.78,1.84,34200,0,0
2016-04-05,1.85,1.91,1.82,1.91,57200,0,0
2016-04-06,1.93,2.01,1.91,2.0,155500,0,0
2016-04-07,2.01,2.01,1.91,2.0,61800,0,0
2016-04-08,1.997,2.18,1.985,2.14,320500,0,0
2016-04-11,2.18,2.39,2.15,2.37,355300,0,0
2016-04-12,2.49,2.73,2.45,2.59,557100,0,0
2016-04-13,2.63,2.668,2.33,2.36,333200,0,0
2016-04-14,2.41,2.436,2.3,2.35,94000,0,0
2016-04-15,2.37,2.37,2.13,2.23,128700,0,0
2016-04-18,2.25,2.3,2.08,2.26,78000,0,0
2016-04-19,2.32,2.32,2.2,2.21,91800,0,0
2016-04-20,2.25,2.25,2.14,2.24,52100,0,0
2016-04-21,2.26,2.37,2.25,2.36,135500,0,0
2016-04-22,2.36,2.44,2.36,2.38,95200,0,0
2016-04-25,2.41,2.41,2.21,2.25,87000,0,0
2016-04-26,2.25,2.25,2.22,2.25,46300,0,0
2016-04-27,2.25,2.36,2.224,2.27,102700,0,0
2016-04-28,2.25,2.43,2.239,2.32,125300,0,0
2016-04-29,2.31,2.34,2.24,2.24,77000,0,0
2016-05-02,2.23,2.28,2.2,2.22,51200,0,0
2016-05-03,2.2,2.29,2.16,2.16,23100,0,0
2016-05-04,2.17,2.2,2.13,2.13,44900,0,0
2016-05-05,2.13,2.19,2.1,2.15,73800,0,0
2016-05-06,2.12,2.3,2.1,2.26,88500,0,0
2016-05-09,2.3,2.5,2.29,2.49,199500,0,0
2016-05-10,2.5,2.5,2.31,2.45,158200,0,0
2016-05-11,2.49,2.49,2.27,2.43,81900,0,0
2016-05-12,2.42,2.5,2.36,2.4,204700,0,0
2016-05-13,2.44,2.479,2.245,2.31,81500,0,0
2016-05-16,2.289,2.43,2.26,2.34,75000,0,0
2016-05-17,2.35,2.41,2.29,2.41,117100,0,0
2016-05-18,2.4,2.41,2.33,2.4,132800,0,0
2016-05-19,2.4,2.6,2.33,2.55,621700,0,0
2016-05-20,2.55,2.8,2.513,2.71,615700,0,0
2016-05-23,2.62,2.71,2.48,2.51,160600,0,0
2016-05-24,2.55,2.59,2.38,2.54,128900,0,0
2016-05-25,2.58,2.63,2.51,2.63,123700,0,0
2016-05-26,2.7,3.01,2.66,3.0,602600,0,0
2016-05-27,3.01,3.12,2.91,3.0,247900,0,0
2016-05-31,2.94,3.3,2.92,3.26,396500,0,0
2016-06-01,3.26,3.68,3.21,3.64,869800,0,0
2016-06-02,3.7,3.82,3.43,3.78,555000,0,0
2016-06-03,3.75,3.85,3.55,3.75,414200,0,0
2016-06-06,3.75,3.75,2.92,3.28,1061900,0,0
2016-06-07,3.28,3.28,2.98,3.2,439300,0,0
2016-06-08,3.2,3.21,3.1,3.16,207800,0,0
2016-06-09,3.21,3.21,2.88,2.95,396200,0,0
2016-06-10,2.71,3.15,2.7,2.98,428700,0,0
2016-06-13,2.95,3.14,2.84,3.05,237600,0,0
2016-06-14,3.01,3.05,2.94,2.99,114900,0,0
2016-06-15,3.0,3.06,2.965,3.0,128700,0,0
2016-06-16,3.0,3.0,2.87,2.98,78200,0,0
2016-06-17,2.98,2.99,2.89,2.93,104800,0,0
2016-06-20,2.93,2.98,2.62,2.98,343100,0,0
2016-06-21,2.97,2.98,2.85,2.97,122300,0,0
2016-06-22,2.99,3.11,2.9,3.02,179900,0,0
2016-06-23,3.0,3.01,2.9,3.01,109400,0,0
2016-06-24,2.86,3.01,2.85,2.99,247900,0,0
