Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-03-19,10.6509,10.8653,10.6509,10.7224,375600,0.0,0.0
1997-03-20,10.7938,10.7938,10.7224,10.7224,41100,0.0,0.0
1997-03-21,10.7938,10.9011,10.7224,10.8653,72500,0.0,0.0
1997-03-24,10.7224,10.7224,10.7224,10.7224,31100,0.0,0.0
1997-03-25,10.8653,10.8653,10.7224,10.8653,58100,0.0,0.0
1997-03-26,10.7938,10.8653,10.7849,10.8653,144100,0.0,0.0
1997-03-27,10.7938,10.8653,10.7938,10.8385,24200,0.0,0.0
1997-03-31,10.7224,10.7224,10.7224,10.7224,15800,0.0,0.0
1997-04-01,10.7224,10.7224,10.7224,10.7224,0,0.0,0.0
1997-04-02,10.6509,10.6509,10.6509,10.6509,2400,0.0,0.0
1997-04-03,10.7938,10.7938,10.7492,10.7492,4400,0.0,0.0
1997-04-04,10.8653,10.8653,10.8653,10.8653,2200,0.0,0.0
1997-04-07,10.8653,10.8653,10.8653,10.8653,1000,0.0,0.0
1997-04-08,10.7224,10.7224,10.7224,10.7224,66000,0.0,0.0
1997-04-09,10.8653,10.8653,10.8653,10.8653,42300,0.0,0.0
1997-04-10,10.8653,10.8653,10.5794,10.7224,86700,0.0,0.0
1997-04-11,10.6509,10.6509,10.6509,10.6509,2200,0.0,0.0
1997-04-14,10.4364,10.5079,10.4364,10.4364,3800,0.0,0.0
1997-04-15,10.5794,10.6509,10.5794,10.5794,34300,0.0,0.0
1997-04-16,10.5079,10.5079,10.5079,10.5079,56700,0.0,0.0
1997-04-17,10.4364,10.5794,10.4364,10.5794,10600,0.0,0.0
1997-04-18,10.6509,10.6509,10.5794,10.5794,22900,0.0,0.0
1997-04-21,10.6509,10.6509,10.5794,10.5794,23900,0.0,0.0
1997-04-22,10.5079,10.5079,10.5079,10.5079,6400,0.0,0.0
1997-04-23,10.6509,10.6509,10.5794,10.5794,23500,0.0,0.0
1997-04-24,10.6509,10.6509,10.6062,10.6241,6900,0.0,0.0
1997-04-25,10.5079,10.5794,10.5079,10.5794,6800,0.0,0.0
1997-04-28,10.5794,10.5794,10.5794,10.5794,0,0.0,0.0
1997-04-29,10.5794,10.5794,10.5794,10.5794,0,0.0,0.0
1997-04-30,10.5079,10.5079,10.5079,10.5079,56700,0.0,0.0
1997-05-01,10.5079,10.5079,10.5079,10.5079,0,0.0,0.0
1997-05-02,10.4364,10.4364,10.4364,10.4364,9500,0.0,0.0
1997-05-05,10.5079,10.5168,10.499,10.5168,3300,0.0,0.0
1997-05-06,10.4364,10.5168,10.4364,10.5168,5300,0.0,0.0
1997-05-07,10.5794,10.5794,10.4364,10.4364,2600,0.0,0.0
1997-05-08,10.4364,10.4364,10.4364,10.4364,56700,0.0,0.0
1997-05-09,10.5168,10.5794,10.499,10.5794,11400,0.0,0.0
1997-05-12,10.5794,10.5794,10.5794,10.5794,6200,0.0,0.0
1997-05-13,10.4364,10.5168,10.4275,10.4364,124200,0.0,0.0
1997-05-14,10.5079,10.5794,10.5079,10.5794,57000,0.0,0.0
1997-05-15,10.5079,10.5079,10.5079,10.5079,33900,0.0,0.0
1997-05-16,10.5079,10.5079,10.5079,10.5079,0,0.0,0.0
1997-05-19,10.5079,10.5079,10.5079,10.5079,0,0.0,0.0
1997-05-20,10.5079,10.5079,10.5079,10.5079,0,0.0,0.0
1997-05-21,10.6509,10.6509,10.5079,10.6509,120000,0.0,0.0
1997-05-22,10.5794,11.1512,10.5079,11.1512,157100,0.0,0.0
1997-05-23,11.2942,11.2942,11.0798,11.1512,46200,0.0,0.0
1997-05-27,11.2942,11.2942,11.2942,11.2942,5500,0.0,0.0
1997-05-28,11.2942,11.5801,11.1512,11.1512,76300,0.0,0.0
1997-05-29,11.1512,11.1512,11.0798,11.0798,3800,0.0,0.0
1997-05-30,10.9368,11.0083,10.9368,11.0083,40800,0.0,0.0
1997-06-02,11.1155,11.5801,11.1155,11.5801,70300,0.0,0.0
1997-06-03,11.5801,12.5094,11.5801,12.152,124600,0.0,0.0
1997-06-04,12.152,12.3665,12.152,12.2235,21000,0.0,0.0
1997-06-05,12.295,12.295,12.295,12.295,200,0.0,0.0
1997-06-06,12.3665,12.4379,12.3665,12.4379,1100,0.0,0.0
1997-06-09,12.4379,12.4379,12.4379,12.4379,300,0.0,0.0
1997-06-10,12.3665,12.4379,12.295,12.4379,23500,0.0,0.0
1997-06-11,12.4379,12.4379,12.295,12.3039,23900,0.0,0.0
1997-06-12,12.2235,12.3665,12.2235,12.3665,700,0.0,0.0
1997-06-13,12.2235,12.2235,12.2235,12.2235,9700,0.0,0.0
1997-06-16,12.2235,12.2235,12.2235,12.2235,0,0.0,0.0
1997-06-17,12.3664,12.3664,12.0805,12.0805,61300,0.0,0.0
1997-06-18,12.0448,12.0448,12.0448,12.0448,5500,0.0,0.0
1997-06-19,12.0805,12.2235,12.0805,12.2235,16000,0.0,0.0
1997-06-20,12.152,12.152,12.152,12.152,1600,0.0,0.0
1997-06-23,12.2235,12.2235,12.2235,12.2235,25400,0.0,0.0
