Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-16,29.36,29.36,25.5,25.5,300,0,0
2019-09-17,23.07,23.07,21.26,21.87,600,0,0
2019-09-18,21.87,21.87,21.87,21.87,0,0,0
2019-09-19,19.8,19.8,18.83,18.83,400,0,0
2019-09-20,18.0,18.1,17.5,17.5,2500,0,0
2019-09-23,17.73,17.73,17.73,17.73,300,0,0
2019-09-24,18.0,18.0,18.0,18.0,2500,0,0
2019-09-25,17.89,17.95,17.72,17.72,1700,0,0
2019-09-26,17.5,17.5,17.5,17.5,100,0,0
2019-09-27,17.5,17.5,17.5,17.5,0,0,0
2019-09-30,17.25,17.25,17.25,17.25,1900,0,0
2019-10-01,17.35,19.65,17.3,17.75,659100,0,0
2019-10-02,17.19,18.5,13.56,15.35,2336100,0,0
2019-10-03,15.5,16.6,15.01,15.7,949900,0,0
2019-10-04,15.9,15.94,13.39,13.85,2023000,0,0
2019-10-07,14.25,14.4,12.89,13.95,1977500,0,0
2019-10-08,13.93,14.82,13.36,14.03,1642200,0,0
2019-10-09,14.05,15.33,13.81,15.31,1021600,0,0
2019-10-10,15.51,16.2,15.51,16.02,712500,0,0
2019-10-11,16.07,16.73,15.73,16.26,433500,0,0
2019-10-14,16.19,16.87,16.01,16.78,772600,0,0
2019-10-15,16.71,16.84,15.77,15.95,399600,0,0
2019-10-16,15.99,16.2,15.06,15.74,258900,0,0
2019-10-17,15.88,16.34,14.84,15.11,513100,0,0
2019-10-18,15.05,15.72,15.0,15.05,352700,0,0
2019-10-21,15.49,16.48,15.23,15.78,977400,0,0
2019-10-22,15.84,16.7,15.75,15.98,570700,0,0
2019-10-23,16.05,16.14,15.55,15.72,570800,0,0
2019-10-24,15.97,15.97,14.99,15.39,452100,0,0
2019-10-25,15.38,15.81,15.32,15.54,416400,0,0
2019-10-28,15.6,15.75,15.27,15.45,303100,0,0
2019-10-29,15.31,15.67,15.12,15.58,470900,0,0
2019-10-30,15.46,16.05,15.31,15.77,334600,0,0
2019-10-31,15.63,15.88,15.45,15.5,342900,0,0
2019-11-01,15.64,16.01,15.5,15.8,467200,0,0
2019-11-04,15.99,16.03,15.74,15.94,321100,0,0
2019-11-05,15.95,16.0,15.75,15.9,357100,0,0
2019-11-06,15.89,15.99,15.75,15.83,282400,0,0
2019-11-07,15.85,16.58,15.85,16.2,923700,0,0
2019-11-08,16.33,16.4,15.98,16.1,434400,0,0
2019-11-11,16.01,16.2,15.76,15.91,321300,0,0
2019-11-12,15.92,16.1,15.5,15.55,373100,0,0
2019-11-13,15.54,15.63,15.11,15.16,491600,0,0
2019-11-14,15.11,15.44,14.41,15.27,472900,0,0
2019-11-15,15.25,15.56,14.85,15.52,231900,0,0
2019-11-18,15.54,15.69,14.65,14.9,426300,0,0
2019-11-19,14.89,15.16,14.7,14.86,437600,0,0
2019-11-20,14.74,15.22,14.69,14.88,365700,0,0
2019-11-21,14.9,15.14,14.72,14.8,376800,0,0
2019-11-22,14.81,15.28,14.7,15.04,350100,0,0
2019-11-25,15.05,15.45,14.85,15.19,205800,0,0
2019-11-26,15.15,15.26,14.53,14.59,416100,0,0
2019-11-27,14.64,15.23,14.56,15.03,288000,0,0
2019-11-29,14.97,15.69,14.97,15.56,178000,0,0
2019-12-02,15.69,15.84,15.39,15.58,299100,0,0
2019-12-03,15.36,15.92,15.28,15.74,321900,0,0
2019-12-04,16.03,16.03,15.05,15.09,198800,0,0
2019-12-05,15.24,15.77,14.93,15.23,200200,0,0
2019-12-06,15.43,15.43,15.01,15.21,281300,0,0
2019-12-09,15.15,15.5,14.92,15.4,233500,0,0
2019-12-10,15.49,16.27,15.27,15.68,589400,0,0
2019-12-11,15.65,15.77,15.21,15.6,387400,0,0
2019-12-12,15.6,16.21,15.43,15.98,616300,0,0
2019-12-13,16.0,16.64,15.7,16.52,767100,0,0
2019-12-16,16.5,18.0,16.5,17.86,1688600,0,0
2019-12-17,18.07,18.95,17.27,18.91,1275800,0,0
2019-12-18,19.49,20.66,19.02,20.63,1078300,0,0
2019-12-19,21.0,21.37,19.55,20.73,787800,0,0
2019-12-20,20.83,22.19,20.83,21.63,974400,0,0
2019-12-23,21.78,22.21,21.28,21.58,568800,0,0
2019-12-24,21.56,21.78,21.16,21.44,143200,0,0
2019-12-26,21.75,21.95,20.96,21.26,314800,0,0
2019-12-27,21.69,22.0,20.85,20.97,462400,0,0
2019-12-30,21.0,22.14,21.0,21.93,819200,0,0
2019-12-31,21.99,23.01,21.92,22.63,581800,0,0
2020-01-02,22.47,23.0,22.35,22.7,860200,0,0
2020-01-03,22.56,23.42,22.46,22.9,754200,0,0
2020-01-06,23.25,23.46,21.9,21.98,987600,0,0
2020-01-07,20.81,21.15,19.3,20.63,1338600,0,0
2020-01-08,20.6,21.87,20.03,20.32,629100,0,0
2020-01-09,20.49,21.16,20.09,20.56,465300,0,0
2020-01-10,20.63,20.86,19.81,19.99,451200,0,0
2020-01-13,20.01,20.92,19.92,20.37,337500,0,0
2020-01-14,20.33,21.89,20.33,21.7,662100,0,0
2020-01-15,21.7,22.04,21.31,21.52,371300,0,0
2020-01-16,21.68,22.0,21.31,21.61,414100,0,0
2020-01-17,21.92,21.92,21.36,21.57,431400,0,0
2020-01-21,21.57,21.89,21.43,21.7,316100,0,0
2020-01-22,21.71,23.04,21.71,22.84,472900,0,0
2020-01-23,22.59,22.84,22.39,22.75,394500,0,0
2020-01-24,22.75,23.0,22.42,22.58,381600,0,0
2020-01-27,22.19,22.32,21.56,22.05,289000,0,0
2020-01-28,22.19,23.6,22.0,23.44,932600,0,0
2020-01-29,23.6,24.18,23.29,23.72,802100,0,0
2020-01-30,23.6,24.08,21.85,22.08,796100,0,0
2020-01-31,22.15,22.41,21.2,21.35,445500,0,0
2020-02-03,21.53,22.18,20.93,21.09,535700,0,0
2020-02-04,21.44,21.52,20.62,20.88,629800,0,0
2020-02-05,20.82,21.09,20.24,20.58,682300,0,0
2020-02-06,20.6,21.75,20.38,21.66,410800,0,0
2020-02-07,21.55,22.79,21.34,22.34,545100,0,0
2020-02-10,22.34,23.13,21.71,23.13,659500,0,0
2020-02-11,23.8,23.85,21.81,22.16,938000,0,0
2020-02-12,22.49,23.73,22.05,23.7,640200,0,0
2020-02-13,23.6,25.24,23.47,24.44,827600,0,0
2020-02-14,24.45,24.74,24.18,24.49,418900,0,0
2020-02-18,24.33,24.87,22.96,24.3,715600,0,0
2020-02-19,24.45,24.5,23.65,24.35,637700,0,0
2020-02-20,24.36,25.52,24.18,25.51,641800,0,0
2020-02-21,25.5,26.81,24.42,26.53,670600,0,0
2020-02-24,25.39,26.74,24.65,26.65,769400,0,0
2020-02-25,26.76,27.28,26.07,26.46,623600,0,0
2020-02-26,26.32,26.77,23.94,24.0,1066000,0,0
2020-02-27,23.26,24.35,21.6,23.18,812100,0,0
2020-02-28,22.48,22.92,21.49,21.71,593700,0,0
2020-03-02,21.91,22.87,20.9,22.86,428300,0,0
2020-03-03,22.86,24.15,22.59,23.26,306100,0,0
2020-03-04,23.82,25.01,23.7,24.89,461600,0,0
2020-03-05,24.51,24.97,21.97,22.14,617400,0,0
2020-03-06,21.68,22.03,20.5,20.51,628400,0,0
2020-03-09,18.98,19.74,17.5,18.22,794000,0,0
2020-03-10,18.96,19.84,18.61,19.16,681262,0,0
