Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-18,19.25,25.5,19.23,24.51,3602200,0,0
2018-07-19,23.52,24.49,22.55,22.66,248400,0,0
2018-07-20,22.78,23.6,22.75,23.0,109500,0,0
2018-07-23,23.06,25.13,22.63,25.13,177100,0,0
2018-07-24,25.22,26.17,24.16,25.11,60800,0,0
2018-07-25,25.02,25.5,24.0,25.35,47900,0,0
2018-07-26,25.2,25.87,24.04,24.9,23800,0,0
2018-07-27,25.69,25.78,23.5,24.39,14200,0,0
2018-07-30,24.01,26.43,23.11,25.58,32100,0,0
2018-07-31,25.44,25.44,24.15,24.61,39500,0,0
2018-08-01,24.77,26.25,24.15,25.4,149800,0,0
2018-08-02,25.4,27.25,24.3,26.3,105500,0,0
2018-08-03,25.4,28.6,25.4,25.84,40400,0,0
2018-08-06,26.28,26.89,25.02,26.62,25100,0,0
2018-08-07,26.69,29.83,25.13,26.2,109000,0,0
2018-08-08,26.66,28.12,26.3,28.0,135500,0,0
2018-08-09,27.76,30.25,27.76,29.84,60900,0,0
2018-08-10,30.0,32.79,30.0,30.68,70600,0,0
2018-08-13,30.38,32.44,28.06,31.38,336700,0,0
2018-08-14,31.09,31.12,28.29,30.65,52100,0,0
2018-08-15,30.68,30.68,29.0,29.97,144200,0,0
2018-08-16,30.38,31.04,27.88,30.81,159300,0,0
2018-08-17,31.01,34.0,30.55,32.7,166100,0,0
2018-08-20,32.39,33.45,31.38,31.99,160000,0,0
2018-08-21,32.35,32.35,30.13,31.65,315500,0,0
2018-08-22,31.75,33.13,30.07,31.93,266100,0,0
2018-08-23,31.8,33.86,31.3,33.07,143100,0,0
2018-08-24,33.94,34.5,31.88,32.74,43300,0,0
2018-08-27,32.39,32.97,31.48,32.02,86300,0,0
2018-08-28,31.79,32.94,31.77,32.76,16400,0,0
2018-08-29,32.98,33.47,30.46,30.87,23900,0,0
2018-08-30,30.46,35.04,29.97,30.32,199500,0,0
2018-08-31,29.96,30.46,29.5,29.99,21200,0,0
2018-09-04,29.95,31.16,29.26,30.1,91200,0,0
2018-09-05,30.29,30.99,29.11,30.21,44500,0,0
