Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-08,10.0,10.01,9.99,10.0,5495671,0,0
2019-03-11,10.0,10.03,10.0,10.0,177039,0,0
2019-03-12,10.0,10.01,9.98,10.0,160097,0,0
2019-03-13,10.0,10.0,9.97,9.99,386669,0,0
2019-03-14,10.0,10.0,9.96,10.0,46101,0,0
2019-03-15,10.0,10.0,9.96,10.0,23426,0,0
2019-03-18,9.97,10.0,9.96,10.0,85387,0,0
2019-03-19,9.98,10.0,9.96,10.0,20057,0,0
2019-03-20,9.96,10.0,9.96,10.0,38900,0,0
2019-03-21,9.97,9.97,9.96,9.96,31203,0,0
2019-03-22,9.96,9.96,9.96,9.96,43579,0,0
2019-03-25,9.96,9.97,9.96,9.97,12441,0,0
2019-03-26,9.97,9.99,9.95,9.97,32991,0,0
2019-03-27,9.96,10.0,9.95,9.98,389050,0,0
2019-03-28,9.98,10.0,9.98,10.0,62300,0,0
2019-03-29,9.98,10.0,9.98,10.0,15899,0,0
2019-04-01,10.0,10.0,9.96,10.0,695364,0,0
2019-04-02,10.01,10.04,9.96,10.03,468793,0,0
2019-04-03,10.03,10.03,10.01,10.03,71848,0,0
2019-04-04,10.01,10.03,10.01,10.02,27400,0,0
2019-04-05,10.03,10.03,10.01,10.01,16000,0,0
2019-04-08,10.01,10.01,10.01,10.01,0,0,0
2019-04-09,10.02,10.03,10.01,10.03,20068,0,0
2019-04-10,10.01,10.04,10.01,10.04,10484,0,0
2019-04-11,10.04,10.04,10.02,10.03,3360,0,0
2019-04-12,10.03,10.04,10.03,10.04,52050,0,0
2019-04-15,10.03,10.07,10.03,10.05,16775,0,0
2019-04-16,10.03,10.03,10.03,10.03,1501,0,0
2019-04-17,10.03,10.1,10.03,10.09,37637,0,0
2019-04-18,10.08,10.08,10.06,10.06,699,0,0
2019-04-22,10.06,10.08,10.05,10.05,5902,0,0
2019-04-23,10.06,10.06,10.06,10.06,948,0,0
2019-04-24,10.06,10.06,10.06,10.06,0,0,0
2019-04-25,10.08,10.08,10.06,10.08,54400,0,0
2019-04-26,10.08,10.08,10.07,10.07,28020,0,0
2019-04-29,10.07,10.08,10.07,10.08,6780,0,0
2019-04-30,10.07,10.07,10.03,10.03,9300,0,0
2019-05-01,10.02,10.08,10.02,10.08,44010,0,0
2019-05-02,10.08,10.1,10.07,10.1,31400,0,0
2019-05-03,10.09,10.1,10.09,10.1,3004,0,0
2019-05-06,10.1,10.11,10.1,10.1,2074,0,0
2019-05-07,10.01,10.09,10.01,10.08,19871,0,0
2019-05-08,10.02,10.1,10.02,10.1,20996,0,0
2019-05-09,10.01,10.1,10.01,10.1,37980,0,0
2019-05-10,10.1,10.1,10.1,10.1,0,0,0
2019-05-13,10.09,10.09,10.07,10.07,266825,0,0
2019-05-14,10.07,10.07,10.05,10.05,260400,0,0
2019-05-15,10.05,10.05,10.02,10.02,8729,0,0
2019-05-16,10.07,10.09,10.02,10.09,21801,0,0
2019-05-17,10.08,10.11,10.02,10.03,17300,0,0
2019-05-20,10.07,10.07,10.07,10.07,44061,0,0
2019-05-21,10.07,10.07,10.07,10.07,0,0,0
2019-05-22,10.07,10.07,10.07,10.07,0,0,0
2019-05-23,10.07,10.07,10.07,10.07,0,0,0
2019-05-24,10.05,10.07,10.05,10.07,17771,0,0
2019-05-28,10.07,10.07,10.07,10.07,2273,0,0
2019-05-29,10.07,10.07,10.07,10.07,0,0,0
2019-05-30,10.07,10.07,10.07,10.07,0,0,0
2019-05-31,10.07,10.07,10.07,10.07,0,0,0
2019-06-03,10.07,10.07,10.07,10.07,4005,0,0
2019-06-04,10.07,10.07,10.07,10.07,0,0,0
2019-06-05,10.09,10.1,10.09,10.1,19997,0,0
2019-06-06,10.1,10.1,10.09,10.1,18825,0,0
2019-06-07,10.01,10.1,10.01,10.1,37300,0,0
2019-06-10,10.07,10.1,10.07,10.1,17035,0,0
2019-06-11,10.09,10.09,10.07,10.09,8031,0,0
2019-06-12,10.08,10.08,10.08,10.08,2000,0,0
2019-06-13,10.09,10.09,10.09,10.09,10000,0,0
2019-06-14,10.09,10.09,10.09,10.09,0,0,0
2019-06-17,10.07,10.07,10.05,10.07,5762,0,0
2019-06-18,10.07,10.07,10.07,10.07,0,0,0
2019-06-19,10.07,10.07,10.01,10.07,13689,0,0
2019-06-20,10.07,10.1,10.07,10.1,15320,0,0
2019-06-21,10.05,10.05,10.05,10.05,6200,0,0
2019-06-24,10.05,10.05,10.05,10.05,0,0,0
2019-06-25,10.06,10.07,10.02,10.02,1824,0,0
2019-06-26,10.01,10.01,10.01,10.01,200,0,0
2019-06-27,10.01,10.01,10.01,10.01,0,0,0
2019-06-28,10.05,10.05,10.05,10.05,1000,0,0
2019-07-01,10.08,10.08,10.08,10.08,15600,0,0
2019-07-02,10.09,10.12,10.09,10.1,802852,0,0
2019-07-03,10.1,10.1,10.1,10.1,0,0,0
2019-07-05,10.11,10.12,10.11,10.12,151678,0,0
2019-07-08,10.11,10.11,10.11,10.11,5050,0,0
2019-07-09,10.13,10.13,10.13,10.13,394,0,0
2019-07-10,10.13,10.13,10.13,10.13,0,0,0
2019-07-11,10.13,10.13,10.13,10.13,0,0,0
2019-07-12,10.13,10.13,10.13,10.13,10025,0,0
2019-07-15,10.13,10.13,10.13,10.13,0,0,0
2019-07-16,10.11,10.14,10.1,10.12,630500,0,0
2019-07-17,10.12,10.12,10.12,10.12,100,0,0
2019-07-18,10.12,10.12,10.12,10.12,0,0,0
2019-07-19,10.12,10.12,10.12,10.12,0,0,0
2019-07-22,10.12,10.12,10.12,10.12,0,0,0
2019-07-23,10.12,10.12,10.12,10.12,0,0,0
2019-07-24,10.12,10.12,10.12,10.12,0,0,0
2019-07-25,10.11,10.12,10.11,10.11,1117,0,0
2019-07-26,10.11,10.11,10.06,10.06,3000,0,0
2019-07-29,10.14,10.14,10.12,10.13,124000,0,0
2019-07-30,10.13,10.13,10.13,10.13,100,0,0
2019-07-31,10.13,10.14,10.12,10.14,6336,0,0
2019-08-01,10.13,10.13,10.13,10.13,1000,0,0
2019-08-02,10.12,10.12,10.03,10.03,1356,0,0
2019-08-05,10.03,10.03,10.03,10.03,0,0,0
2019-08-06,10.12,10.12,10.12,10.12,4900,0,0
2019-08-07,10.13,10.15,10.13,10.15,10200,0,0
2019-08-08,10.13,10.13,10.13,10.13,500,0,0
2019-08-09,10.13,10.13,10.13,10.13,0,0,0
2019-08-12,10.13,10.13,10.13,10.13,0,0,0
2019-08-13,10.13,10.13,10.13,10.13,0,0,0
2019-08-14,10.13,10.17,10.13,10.17,50000,0,0
2019-08-15,10.17,10.17,10.17,10.17,0,0,0
2019-08-16,10.12,10.17,10.12,10.17,1948,0,0
2019-08-19,10.17,10.17,10.17,10.17,0,0,0
2019-08-20,10.17,10.17,10.17,10.17,0,0,0
2019-08-21,10.17,10.17,10.16,10.17,32990,0,0
2019-08-22,10.17,10.17,10.17,10.17,0,0,0
2019-08-23,10.15,10.16,10.15,10.15,3300,0,0
2019-08-26,10.15,10.15,10.15,10.15,0,0,0
2019-08-27,10.17,10.17,10.17,10.17,305,0,0
2019-08-28,10.17,10.17,10.17,10.17,0,0,0
2019-08-29,10.17,10.17,10.17,10.17,0,0,0
