Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-06-28,0.97,1.17,0.97,1.01,13370400,0,0.0
1991-07-01,1.06,1.14,1.03,1.08,803600,0,0.0
1991-07-02,1.11,1.14,1.08,1.11,630800,0,0.0
1991-07-03,1.08,1.11,1.08,1.11,1090800,0,0.0
1991-07-05,1.08,1.11,1.08,1.11,93600,0,0.0
1991-07-08,1.06,1.14,1.06,1.08,197000,0,0.0
1991-07-09,1.08,1.14,1.08,1.08,552600,0,0.0
1991-07-10,1.12,1.14,1.08,1.11,827000,0,0.0
1991-07-11,1.08,1.17,1.08,1.11,922400,0,0.0
1991-07-12,1.14,1.17,1.08,1.14,697400,0,0.0
1991-07-15,1.14,1.17,1.12,1.14,298800,0,0.0
1991-07-16,1.17,1.19,1.14,1.17,1152000,0,0.0
1991-07-17,1.15,1.25,1.15,1.25,706400,0,0.0
1991-07-18,1.25,1.33,1.22,1.33,1806200,0,0.0
1991-07-19,1.38,1.42,1.32,1.39,1992600,0,0.0
1991-07-22,1.4,1.4,1.36,1.39,881000,0,0.0
1991-07-23,1.36,1.4,1.31,1.35,417600,0,0.0
1991-07-24,1.33,1.36,1.31,1.36,330200,0,0.0
1991-07-25,1.31,1.39,1.31,1.39,234800,0,0.0
1991-07-26,1.39,1.44,1.36,1.42,1436400,0,0.0
1991-07-29,1.44,1.5,1.39,1.44,257400,0,0.0
1991-07-30,1.47,1.58,1.44,1.54,614600,0,0.0
1991-07-31,1.56,1.56,1.5,1.56,1418400,0,0.0
1991-08-01,1.58,1.69,1.56,1.69,510200,0,0.0
1991-08-02,1.69,1.75,1.64,1.69,1211400,0,0.0
1991-08-05,1.69,1.69,1.61,1.64,336600,0,0.0
1991-08-06,1.58,1.69,1.56,1.69,690200,0,0.0
1991-08-07,1.69,1.75,1.67,1.72,575000,0,0.0
1991-08-08,1.72,1.81,1.67,1.79,620000,0,0.0
1991-08-09,1.78,1.81,1.75,1.78,1175400,0,0.0
1991-08-12,1.78,1.78,1.72,1.72,550800,0,0.0
1991-08-13,1.78,1.78,1.67,1.72,450800,0,0.0
1991-08-14,1.68,1.68,1.58,1.61,393200,0,0.0
1991-08-15,1.58,1.61,1.53,1.56,264600,0,0.0
1991-08-16,1.56,1.56,1.5,1.53,82800,0,0.0
1991-08-19,1.44,1.61,1.42,1.58,632600,0,0.0
1991-08-20,1.58,1.75,1.57,1.74,513000,0,0.0
1991-08-21,1.81,1.83,1.72,1.83,401400,0,0.0
1991-08-22,1.81,1.82,1.72,1.78,359000,0,0.0
1991-08-23,1.75,1.89,1.75,1.81,416600,0,0.0
1991-08-26,1.86,1.86,1.69,1.78,266400,0,0.0
1991-08-27,1.78,1.78,1.72,1.72,121400,0,0.0
1991-08-28,1.78,1.81,1.75,1.78,165600,0,0.0
1991-08-29,1.75,1.83,1.69,1.83,432000,0,0.0
1991-08-30,1.78,1.83,1.75,1.78,131400,0,0.0
1991-09-03,1.83,1.83,1.75,1.75,69200,0,0.0
1991-09-04,1.75,1.75,1.67,1.67,250200,0,0.0
1991-09-05,1.72,1.72,1.64,1.64,454400,0,0.0
1991-09-06,1.69,1.69,1.64,1.67,141200,0,0.0
1991-09-09,1.69,1.69,1.64,1.64,27000,0,0.0
1991-09-10,1.67,1.67,1.58,1.64,114200,0,0.0
1991-09-11,1.64,1.64,1.58,1.62,84600,0,0.0
1991-09-12,1.67,1.69,1.64,1.68,146600,0,0.0
1991-09-13,1.69,1.69,1.65,1.65,64800,0,0.0
1991-09-16,1.64,1.64,1.58,1.61,45000,0,0.0
1991-09-17,1.64,1.67,1.56,1.58,66600,0,0.0
1991-09-18,1.58,1.64,1.56,1.64,235800,0,0.0
1991-09-19,1.64,1.89,1.64,1.86,531800,0,0.0
1991-09-20,1.86,1.89,1.81,1.86,195200,0,0.0
1991-09-23,1.81,1.86,1.81,1.81,549000,0,0.0
1991-09-24,1.82,1.86,1.81,1.86,2303000,0,0.0
1991-09-25,1.89,2.14,1.89,2.03,1251000,0,0.0
1991-09-26,2.06,2.1,1.94,2.06,405800,0,0.0
1991-09-27,2.06,2.06,1.78,1.81,916200,0,0.0
1991-09-30,1.81,1.89,1.81,1.89,324800,0,0.0
1991-10-01,1.86,1.89,1.82,1.88,404000,0,0.0
1991-10-02,1.86,1.89,1.81,1.81,122400,0,0.0
1991-10-03,1.78,1.83,1.75,1.81,382400,0,0.0
1991-10-04,1.78,1.92,1.78,1.85,163800,0,0.0
1991-10-07,1.92,2.01,1.92,1.93,550800,0,0.0
1991-10-08,1.97,2.06,1.89,2.03,271800,0,0.0
1991-10-09,2.0,2.19,2.0,2.11,649800,0,0.0
1991-10-10,2.14,2.25,2.14,2.22,304200,0,0.0
1991-10-11,2.17,2.22,2.08,2.11,243000,0,0.0
1991-10-14,2.17,2.17,2.06,2.08,277200,0,0.0
1991-10-15,2.08,2.14,2.08,2.08,28800,0,0.0
1991-10-16,2.14,2.19,2.14,2.17,108000,0,0.0
1991-10-17,2.17,2.17,2.08,2.14,80000,0,0.0
1991-10-18,2.19,2.25,2.19,2.19,406800,0,0.0
1991-10-21,2.19,2.25,2.19,2.19,191600,0,0.0
1991-10-22,2.28,2.28,2.08,2.17,362600,0,0.0
1991-10-23,2.11,2.14,2.06,2.14,71000,0,0.0
1991-10-24,2.06,2.14,2.0,2.06,94400,0,0.0
1991-10-25,2.08,2.08,2.0,2.0,9800,0,0.0
1991-10-28,2.08,2.17,2.03,2.06,116000,0,0.0
1991-10-29,2.17,2.31,2.17,2.28,276200,0,0.0
1991-10-30,2.28,2.64,2.28,2.56,1037600,0,0.0
1991-10-31,2.58,2.58,2.39,2.42,708200,0,0.0
1991-11-01,2.44,2.44,2.31,2.33,233000,0,0.0
1991-11-04,2.36,2.36,2.31,2.33,37800,0,0.0
1991-11-05,2.36,2.39,2.31,2.31,116000,0,0.0
1991-11-06,2.39,2.44,2.36,2.36,93600,0,0.0
1991-11-07,2.44,2.5,2.36,2.5,29600,0,0.0
1991-11-08,2.5,2.5,2.33,2.36,123200,0,0.0
1991-11-11,2.39,2.44,2.31,2.44,119600,0,0.0
1991-11-12,2.44,2.5,2.39,2.5,207800,0,0.0
1991-11-13,2.47,2.56,2.47,2.47,154800,0,0.0
1991-11-14,2.47,2.56,2.33,2.42,348200,0,0.0
1991-11-15,2.42,2.42,2.22,2.28,144800,0,0.0
1991-11-18,2.19,2.22,2.08,2.11,540800,0,0.0
1991-11-19,2.0,2.1,1.86,2.1,343800,0,0.0
1991-11-20,2.18,2.22,2.08,2.14,515600,0,0.0
1991-11-21,2.14,2.14,2.06,2.14,33200,0,0.0
1991-11-22,2.11,2.18,2.06,2.15,418400,0,0.0
1991-11-25,2.11,2.19,2.08,2.14,48600,0,0.0
1991-11-26,2.11,2.17,2.08,2.17,13400,0,0.0
1991-11-27,2.17,2.17,2.17,2.17,1800,0,0.0
1991-11-29,2.17,2.17,2.06,2.11,46800,0,0.0
1991-12-02,2.06,2.06,2.06,2.06,18000,0,0.0
1991-12-03,2.06,2.14,2.03,2.11,79200,0,0.0
1991-12-04,2.11,2.17,2.06,2.11,61200,0,0.0
1991-12-05,2.17,2.17,2.17,2.17,18800,0,0.0
1991-12-06,2.11,2.11,2.11,2.11,2600,0,0.0
1991-12-09,2.17,2.19,2.11,2.11,24200,0,0.0
1991-12-10,2.11,2.17,2.08,2.11,197000,0,0.0
1991-12-11,2.08,2.08,2.03,2.06,48600,0,0.0
1991-12-12,2.08,2.11,2.08,2.11,117000,0,0.0
1991-12-13,2.11,2.17,2.11,2.11,63800,0,0.0
1991-12-16,2.11,2.17,2.11,2.17,31400,0,0.0
1991-12-17,2.17,2.17,2.14,2.17,218600,0,0.0
1991-12-18,2.15,2.28,2.11,2.25,597600,0,0.0
1991-12-19,2.31,2.31,2.19,2.19,306800,0,0.0
1991-12-20,2.28,2.28,2.22,2.25,150200,0,0.0
1991-12-23,2.25,2.28,2.25,2.28,54000,0,0.0
1991-12-24,2.28,2.44,2.28,2.44,180000,0,0.0
1991-12-26,2.47,2.67,2.42,2.58,365400,0,0.0
1991-12-27,2.69,2.78,2.58,2.78,234800,0,0.0
1991-12-30,2.81,2.81,2.44,2.58,614600,0,0.0
1991-12-31,2.58,2.72,2.5,2.61,129600,0,0.0
1992-01-02,2.61,2.69,2.61,2.69,98000,0,0.0
1992-01-03,2.67,2.72,2.64,2.69,111600,0,0.0
1992-01-06,2.69,2.92,2.67,2.83,380600,0,0.0
1992-01-07,2.83,2.83,2.69,2.78,180000,0,0.0
1992-01-08,2.69,2.83,2.69,2.78,385200,0,0.0
1992-01-09,2.83,2.83,2.75,2.75,122400,0,0.0
1992-01-10,2.61,2.67,2.36,2.53,348200,0,0.0
1992-01-13,2.47,2.67,2.47,2.58,126800,0,0.0
1992-01-14,2.5,2.56,2.39,2.44,151200,0,0.0
1992-01-15,2.44,2.58,2.44,2.53,234000,0,0.0
1992-01-16,2.47,2.58,2.44,2.56,183600,0,0.0
1992-01-17,2.64,2.64,2.47,2.47,176400,0,0.0
1992-01-20,2.44,2.53,2.44,2.53,121400,0,0.0
1992-01-21,2.53,2.53,2.19,2.31,378000,0,0.0
1992-01-22,2.28,2.61,2.28,2.61,711000,0,0.0
1992-01-23,2.64,2.67,2.47,2.47,500400,0,0.0
1992-01-24,2.44,2.5,2.39,2.42,389600,0,0.0
1992-01-27,2.39,2.42,2.28,2.28,597600,0,0.0
1992-01-28,2.39,2.44,2.26,2.36,480600,0,0.0
1992-01-29,2.36,2.53,2.31,2.4,1183400,0,0.0
1992-01-30,2.42,2.42,2.33,2.39,119600,0,0.0
1992-01-31,2.36,2.36,2.28,2.31,92600,0,0.0
1992-02-03,2.31,2.33,2.26,2.33,180800,0,0.0
1992-02-04,2.33,2.33,2.28,2.31,274400,0,0.0
1992-02-05,2.39,2.39,2.25,2.25,54800,0,0.0
1992-02-06,2.28,2.42,2.25,2.42,158400,0,0.0
1992-02-07,2.39,2.39,2.19,2.28,369800,0,0.0
1992-02-10,2.31,2.31,2.17,2.17,85400,0,0.0
1992-02-11,2.17,2.25,2.06,2.14,305000,0,0.0
1992-02-12,2.14,2.14,1.89,1.92,529200,0,0.0
1992-02-13,1.86,2.06,1.69,1.97,1504800,0,0.0
1992-02-14,1.97,2.06,1.81,1.81,295200,0,0.0
1992-02-18,1.75,1.94,1.75,1.86,372600,0,0.0
1992-02-19,1.86,1.92,1.72,1.83,2393000,0,0.0
1992-02-20,1.89,2.0,1.89,1.92,114200,0,0.0
1992-02-21,2.0,2.0,1.89,1.89,172800,0,0.0
1992-02-24,1.89,1.97,1.72,1.72,452600,0,0.0
1992-02-25,1.81,1.89,1.72,1.89,649800,0,0.0
1992-02-26,1.85,1.89,1.81,1.89,274400,0,0.0
1992-02-27,1.92,1.92,1.81,1.89,104400,0,0.0
1992-02-28,1.92,1.92,1.86,1.86,45800,0,0.0
1992-03-02,1.92,1.92,1.83,1.92,330200,0,0.0
1992-03-03,1.92,2.0,1.89,1.89,145800,0,0.0
1992-03-04,2.0,2.06,1.97,2.03,73800,0,0.0
1992-03-05,1.97,1.97,1.89,1.89,104400,0,0.0
1992-03-06,1.89,1.92,1.86,1.89,69200,0,0.0
1992-03-09,1.83,1.89,1.83,1.83,189800,0,0.0
1992-03-10,1.83,1.94,1.83,1.94,14400,0,0.0
1992-03-11,1.94,1.94,1.83,1.83,80000,0,0.0
1992-03-12,1.81,1.83,1.81,1.81,170000,0,0.0
1992-03-13,1.82,1.83,1.81,1.81,37800,0,0.0
1992-03-16,1.92,1.92,1.92,1.92,2600,0,0.0
1992-03-17,1.86,1.86,1.81,1.81,93600,0,0.0
1992-03-18,1.81,1.86,1.81,1.86,32400,0,0.0
1992-03-19,1.81,1.86,1.81,1.86,216000,0,0.0
