Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-02-28,9.08,10.27,8.86,9.95,6837600,0.0,0.0
1996-02-29,10.27,10.27,9.4,9.51,1587200,0.0,0.0
1996-03-01,9.51,9.73,9.3,9.35,452600,0.0,0.0
1996-03-04,9.3,9.51,8.97,8.97,546800,0.0,0.0
1996-03-05,8.97,9.51,8.97,9.46,520400,0.0,0.0
1996-03-06,9.46,9.73,9.3,9.57,265200,0.0,0.0
1996-03-07,9.73,9.84,9.51,9.73,388400,0.0,0.0
1996-03-08,9.51,9.62,9.19,9.19,184000,0.0,0.0
1996-03-11,9.08,9.3,9.08,9.3,493400,0.0,0.0
1996-03-12,9.19,10.05,9.19,10.05,124000,0.0,0.0
1996-03-13,10.05,10.38,10.05,10.05,176200,0.0,0.0
1996-03-14,10.16,10.27,10.05,10.05,44000,0.0,0.0
1996-03-15,10.16,10.7,10.16,10.7,72600,0.0,0.0
1996-03-18,10.7,11.03,10.49,10.92,426600,0.0,0.0
1996-03-19,10.92,11.03,10.49,10.54,199000,0.0,0.0
1996-03-20,10.49,10.7,10.49,10.7,115600,0.0,0.0
1996-03-21,10.49,10.81,10.49,10.59,64600,0.0,0.0
1996-03-22,10.59,10.7,10.49,10.49,25600,0.0,0.0
1996-03-25,10.49,10.7,10.49,10.51,28400,0.0,0.0
1996-03-26,10.38,10.38,9.84,9.84,75000,0.0,0.0
1996-03-27,9.84,9.89,9.73,9.73,178600,0.0,0.0
1996-03-28,9.95,10.05,9.73,10.0,44200,0.0,0.0
1996-03-29,9.95,10.16,9.95,9.95,253000,0.0,0.0
1996-04-01,10.05,10.16,10.05,10.05,99000,0.0,0.0
1996-04-02,10.16,10.27,10.16,10.16,49200,0.0,0.0
1996-04-03,10.27,10.38,10.16,10.16,9000,0.0,0.0
1996-04-04,10.38,10.38,10.16,10.16,3400,0.0,0.0
1996-04-08,10.16,10.16,9.95,10.05,56000,0.0,0.0
1996-04-09,10.38,10.49,10.27,10.27,17200,0.0,0.0
1996-04-10,10.38,11.03,10.38,10.86,137200,0.0,0.0
1996-04-11,11.03,11.24,10.7,10.92,135200,0.0,0.0
1996-04-12,11.24,11.24,10.92,10.92,22400,0.0,0.0
1996-04-15,11.35,11.35,11.13,11.24,33400,0.0,0.0
1996-04-16,11.35,11.89,11.24,11.57,30800,0.0,0.0
1996-04-17,11.89,12.0,11.78,12.0,30800,0.0,0.0
1996-04-18,12.22,12.22,11.89,12.22,7800,0.0,0.0
1996-04-19,12.11,12.32,12.11,12.32,24800,0.0,0.0
1996-04-22,12.11,12.32,12.11,12.11,16200,0.0,0.0
1996-04-23,12.22,12.54,12.22,12.43,71600,0.0,0.0
1996-04-24,12.54,12.54,12.32,12.54,10600,0.0,0.0
1996-04-25,12.49,12.76,12.43,12.76,73800,0.0,0.0
1996-04-26,12.43,12.76,12.43,12.54,8000,0.0,0.0
1996-04-29,12.76,13.08,12.54,12.92,71200,0.0,0.0
1996-04-30,12.76,13.84,12.65,13.84,108400,0.0,0.0
1996-05-01,14.05,14.38,13.73,13.95,105200,0.0,0.0
1996-05-02,14.27,14.38,13.95,14.16,122600,0.0,0.0
1996-05-03,13.95,14.27,13.95,14.27,176400,0.0,0.0
1996-05-06,14.27,14.27,14.05,14.05,229200,0.0,0.0
1996-05-07,13.73,13.95,13.62,13.62,47800,0.0,0.0
1996-05-08,13.51,14.05,13.4,14.05,21000,0.0,0.0
1996-05-09,14.27,14.27,13.84,14.05,43200,0.0,0.0
1996-05-10,14.27,14.81,14.27,14.81,15000,0.0,0.0
1996-05-13,14.49,14.81,14.49,14.81,14800,0.0,0.0
1996-05-14,14.49,16.0,14.49,15.78,24200,0.0,0.0
1996-05-15,16.11,16.11,15.57,15.59,28600,0.0,0.0
1996-05-16,15.67,15.67,14.92,14.92,27200,0.0,0.0
1996-05-17,14.7,15.13,14.7,14.7,4400,0.0,0.0
1996-05-20,14.59,15.03,14.59,14.7,29600,0.0,0.0
1996-05-21,15.03,16.0,15.03,16.0,30400,0.0,0.0
1996-05-22,16.0,16.0,15.67,15.67,800,0.0,0.0
1996-05-23,15.67,16.0,15.57,15.57,2200,0.0,0.0
1996-05-24,16.0,16.0,15.57,15.59,18400,0.0,0.0
1996-05-28,16.0,16.0,14.59,14.92,101000,0.0,0.0
1996-05-29,14.81,14.86,13.73,14.05,168200,0.0,0.0
1996-05-30,13.51,13.62,13.4,13.51,32800,0.0,0.0
1996-05-31,13.73,13.73,13.57,13.73,13000,0.0,0.0
1996-06-03,13.51,13.62,12.86,12.92,104400,0.0,0.0
1996-06-04,12.65,13.08,12.32,12.32,155600,0.0,0.0
1996-06-05,12.32,12.65,12.11,12.32,33400,0.0,0.0
1996-06-06,12.11,12.86,11.89,12.86,124800,0.0,0.0
1996-06-07,12.65,12.76,12.54,12.54,64200,0.0,0.0
1996-06-10,12.76,13.08,12.65,13.08,14800,0.0,0.0
1996-06-11,13.3,13.51,13.08,13.4,59000,0.0,0.0
1996-06-12,13.4,13.4,12.11,12.32,53800,0.0,0.0
1996-06-13,12.43,12.43,10.76,10.81,89400,0.0,0.0
1996-06-14,11.19,11.3,11.19,11.3,13000,0.0,0.0
1996-06-17,11.46,11.46,11.08,11.46,2800,0.0,0.0
1996-06-18,10.97,11.4,10.11,10.54,109600,0.0,0.0
1996-06-19,10.49,10.49,10.11,10.49,2200,0.0,0.0
1996-06-20,10.11,10.43,9.68,10.11,15400,0.0,0.0
1996-06-21,10.05,10.05,10.05,10.05,400,0.0,0.0
1996-06-24,9.68,10.05,9.68,10.05,9000,0.0,0.0
1996-06-25,10.05,10.7,10.05,10.7,245000,0.0,0.0
1996-06-26,10.49,10.81,10.49,10.49,15800,0.0,0.0
1996-06-27,10.59,10.76,10.54,10.65,80200,0.0,0.0
1996-06-28,10.76,11.24,10.65,11.24,107400,0.0,0.0
1996-07-01,11.35,11.35,10.92,11.24,7800,0.0,0.0
1996-07-02,11.24,11.24,10.81,10.92,16600,0.0,0.0
1996-07-03,11.24,11.24,10.92,10.92,36400,0.0,0.0
1996-07-05,11.24,11.24,11.24,11.24,1000,0.0,0.0
