Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-01-29,0.0,3.99,3.93,3.93,50400,0.0,0.0
1982-02-01,0.0,3.93,3.87,3.87,36400,0.0,0.0
1982-02-02,0.0,3.93,3.87,3.87,14000,0.0,0.0
1982-02-03,0.0,3.99,3.87,3.87,8900,0.0,0.0
1982-02-04,0.0,3.99,3.87,3.87,3900,0.0,0.0
1982-02-05,0.0,3.99,3.87,3.87,1800,0.0,0.0
1982-02-08,0.0,4.1,3.93,3.93,1900,0.0,0.0
1982-02-09,0.0,3.99,3.87,3.87,3900,0.0,0.0
1982-02-10,0.0,3.99,3.87,3.87,800,0.0,0.0
1982-02-11,0.0,3.99,3.87,3.87,300,0.0,0.0
1982-02-12,0.0,3.99,3.87,3.87,1800,0.0,0.0
1982-02-16,0.0,3.99,3.87,3.87,2900,0.0,0.0
1982-02-17,0.0,3.99,3.87,3.87,800,0.0,0.0
1982-02-18,0.0,3.99,3.87,3.87,1700,0.0,0.0
1982-02-19,0.0,3.99,3.87,3.87,300,0.0,0.0
1982-02-22,0.0,3.99,3.87,3.87,700,0.0,0.0
1982-02-23,0.0,3.99,3.87,3.87,500,0.0,0.0
1982-02-24,0.0,3.99,3.87,3.87,300,0.0,0.0
1982-02-25,0.0,3.93,3.87,3.87,3000,0.0,0.0
1982-02-26,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-01,0.0,3.93,3.87,3.87,1500,0.0,0.0
1982-03-02,0.0,3.93,3.87,3.87,500,0.0,0.0
1982-03-03,0.0,3.93,3.87,3.87,4900,0.0,0.0
1982-03-04,0.0,3.93,3.87,3.87,4100,0.0,0.0
1982-03-05,0.0,3.93,3.87,3.87,2200,0.0,0.0
1982-03-08,0.0,3.93,3.87,3.87,800,0.0,0.0
1982-03-09,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-10,0.0,3.93,3.87,3.87,1300,0.0,0.0
1982-03-11,0.0,3.93,3.87,3.87,1800,0.0,0.0
1982-03-12,0.0,3.93,3.87,3.87,300,0.0,0.0
1982-03-15,0.0,3.93,3.87,3.87,800,0.0,0.0
1982-03-16,0.0,3.93,3.87,3.87,500,0.0,0.0
1982-03-17,0.0,3.93,3.87,3.87,700,0.0,0.0
1982-03-18,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-19,0.0,3.93,3.87,3.87,700,0.0,0.0
1982-03-22,0.0,3.93,3.87,3.87,100,0.0,0.0
1982-03-23,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-24,0.0,3.93,3.87,3.87,800,0.0,0.0
1982-03-25,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-26,0.0,3.93,3.87,3.87,500,0.0,0.0
1982-03-29,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-30,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-03-31,0.0,3.93,3.87,3.87,700,0.0,0.0
1982-04-01,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-04-02,0.0,3.93,3.87,3.87,100,0.0,0.0
1982-04-05,3.87,3.87,3.87,3.87,0,0.0,0.0
1982-04-06,0.0,3.93,3.87,3.87,200,0.0,0.0
1982-04-07,0.0,3.87,3.75,3.75,3700,0.0,0.0
1982-04-08,0.0,3.87,3.75,3.75,100,0.0,0.0
1982-04-12,0.0,3.87,3.75,3.75,400,0.0,0.0
1982-04-13,3.75,3.75,3.75,3.75,0,0.0,0.0
1982-04-14,3.75,3.75,3.75,3.75,0,0.0,0.0
1982-04-15,0.0,3.93,3.75,3.75,800,0.0,0.0
1982-04-16,0.0,3.99,3.81,3.81,33900,0.0,0.0
1982-04-19,0.0,4.34,4.1,4.1,8000,0.0,0.0
1982-04-20,0.0,4.34,4.1,4.1,14900,0.0,0.0
1982-04-21,0.0,4.34,4.1,4.1,2400,0.0,0.0
1982-04-22,0.0,4.34,4.1,4.1,5500,0.0,0.0
1982-04-23,0.0,4.34,4.16,4.16,1600,0.0,0.0
1982-04-26,0.0,4.34,4.16,4.16,1800,0.0,0.0
1982-04-27,0.0,4.46,4.28,4.28,14800,0.0,0.0
1982-04-28,0.0,4.46,4.28,4.28,5300,0.0,0.0
1982-04-29,0.0,4.57,4.34,4.34,16500,0.0,0.0
1982-04-30,0.0,4.69,4.46,4.46,9300,0.0,0.0
1982-05-03,0.0,4.69,4.46,4.46,2800,0.0,0.0
1982-05-04,0.0,4.75,4.57,4.57,5700,0.0,0.0
1982-05-05,0.0,4.92,4.81,4.81,12600,0.0,0.0
1982-05-06,0.0,4.92,4.81,4.81,10200,0.0,0.0
1982-05-07,0.0,4.87,4.69,4.69,6700,0.0,0.0
1982-05-10,0.0,4.63,4.51,4.51,6700,0.0,0.0
1982-05-11,0.0,4.51,4.34,4.34,11500,0.0,0.0
1982-05-12,0.0,4.51,4.34,4.34,1600,0.0,0.0
1982-05-13,0.0,4.57,4.4,4.4,4100,0.0,0.0
1982-05-14,0.0,4.57,4.4,4.4,100,0.0,0.0
1982-05-17,0.0,4.57,4.4,4.4,2200,0.0,0.0
1982-05-18,0.0,4.46,4.28,4.28,2800,0.0,0.0
1982-05-19,0.0,4.46,4.28,4.28,300,0.0,0.0
1982-05-20,0.0,4.46,4.28,4.28,3300,0.0,0.0
1982-05-21,4.28,4.28,4.28,4.28,0,0.0,0.0
1982-05-24,0.0,4.4,4.28,4.28,1600,0.0,0.0
1982-05-25,0.0,4.4,4.28,4.28,4400,0.0,0.0
1982-05-26,0.0,4.34,4.16,4.16,2200,0.0,0.0
1982-05-27,0.0,4.1,3.99,3.99,4200,0.0,0.0
1982-05-28,0.0,4.1,3.99,3.99,300,0.0,0.0
