Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-04-01,3.85,3.89,3.84,3.89,169100,0.0,0
2004-04-02,3.89,3.9,3.85,3.88,116600,0.0,0
2004-04-05,3.89,3.89,3.85,3.87,123800,0.0,0
2004-04-06,3.85,3.86,3.84,3.84,126000,0.0,0
2004-04-07,3.84,3.87,3.84,3.86,127700,0.0,0
2004-04-08,3.86,3.87,3.84,3.86,108200,0.0,0
2004-04-12,3.86,3.86,3.84,3.85,122100,0.0,0
2004-04-13,3.85,3.85,3.84,3.84,209300,0.0,0
2004-04-14,3.84,3.84,3.84,3.84,375200,0.0,0
2004-04-15,3.84,3.84,3.84,3.84,416700,0.0,0
2004-04-16,3.84,3.84,3.84,3.84,194400,0.0,0
2004-04-19,3.84,3.84,3.84,3.84,168300,0.0,0
2004-04-20,3.84,3.84,3.84,3.84,218900,0.0,0
2004-04-21,3.84,3.84,3.79,3.79,1570700,0.0,0
2004-04-22,3.79,3.79,3.79,3.79,292100,0.0,0
2004-04-23,3.79,3.79,3.79,3.79,276000,0.0,0
2004-04-26,3.79,3.79,3.77,3.78,876900,0.0,0
2004-04-27,3.77,3.78,3.77,3.77,409800,0.0,0
2004-04-28,3.77,3.78,3.77,3.77,330800,0.0,0
2004-04-29,3.76,3.76,3.76,3.76,387400,0.0,0
2004-04-30,3.76,3.76,3.72,3.72,325300,0.0,0
2004-05-03,3.72,3.73,3.72,3.72,233000,0.0,0
2004-05-04,3.71,3.71,3.49,3.58,588900,0.0,0
2004-05-05,3.58,3.58,3.53,3.58,190800,0.0,0
2004-05-06,3.56,3.57,3.4,3.44,329500,0.0,0
2004-05-07,3.42,3.48,3.36,3.46,352800,0.0,0
2004-05-10,3.29,3.3,3.07,3.22,949700,0.0,0
2004-05-11,3.26,3.45,3.26,3.38,350200,0.0,0
2004-05-12,3.37,3.45,3.29,3.45,261100,0.0,0
2004-05-13,3.47,3.48,3.39,3.45,170300,0.0,0
2004-05-14,3.48,3.56,3.42,3.49,171900,0.0,0
2004-05-17,3.47,3.47,3.33,3.35,268300,0.0,0
2004-05-18,3.33,3.42,3.33,3.39,256600,0.0,0
2004-05-19,3.38,3.53,3.33,3.36,335900,0.0,0
2004-05-20,3.37,3.39,3.25,3.34,368500,0.0,0
2004-05-21,3.34,3.39,3.33,3.37,267700,0.0,0
2004-05-24,3.28,3.38,3.27,3.31,475400,0.0,0
2004-05-25,3.28,3.42,3.27,3.38,426000,0.0,0
2004-05-26,3.37,3.45,3.34,3.45,264800,0.0,0
2004-05-27,3.43,3.49,3.39,3.47,217800,0.0,0
2004-05-28,3.47,3.53,3.44,3.53,154700,0.0,0
2004-06-01,3.53,3.58,3.47,3.58,188500,0.0,0
2004-06-02,3.58,3.58,3.5,3.54,168500,0.0,0
2004-06-03,3.56,3.6,3.51,3.57,211000,0.0,0
2004-06-04,3.58,3.62,3.57,3.59,148300,0.0,0
2004-06-07,3.61,3.62,3.53,3.58,207300,0.0,0
2004-06-08,3.59,3.61,3.53,3.58,183000,0.0,0
2004-06-09,3.59,3.61,3.49,3.52,191300,0.075,0
2004-06-10,3.49,3.55,3.45,3.49,211400,0.0,0
2004-06-14,3.5,3.5,3.42,3.45,206900,0.0,0
2004-06-15,3.45,3.51,3.42,3.45,259100,0.0,0
2004-06-16,3.42,3.47,3.4,3.45,275900,0.0,0
2004-06-17,3.42,3.46,3.38,3.43,262400,0.0,0
2004-06-18,3.45,3.47,3.39,3.43,243100,0.0,0
2004-06-21,3.46,3.46,3.39,3.42,248000,0.0,0
2004-06-22,3.39,3.46,3.32,3.38,427700,0.0,0
2004-06-23,3.39,3.39,3.31,3.34,385000,0.0,0
2004-06-24,3.35,3.45,3.33,3.42,412000,0.0,0
2004-06-25,3.42,3.44,3.34,3.42,453500,0.0,0
2004-06-28,3.4,3.43,3.36,3.41,412000,0.0,0
2004-06-29,3.42,3.42,3.34,3.39,317400,0.0,0
2004-06-30,3.37,3.41,3.34,3.4,280800,0.0,0
2004-07-01,3.4,3.42,3.37,3.41,225400,0.0,0
2004-07-02,3.4,3.42,3.39,3.39,195500,0.0,0
2004-07-06,3.41,3.41,3.37,3.39,237000,0.0,0
2004-07-07,3.38,3.42,3.36,3.4,309600,0.0,0
2004-07-08,3.38,3.39,3.37,3.38,234800,0.0,0
2004-07-09,3.36,3.39,3.36,3.36,200900,0.0,0
2004-07-12,3.36,3.38,3.36,3.38,236600,0.0,0
2004-07-13,3.4,3.4,3.36,3.38,262200,0.075,0
2004-07-14,3.37,3.39,3.35,3.36,321400,0.0,0
2004-07-15,3.35,3.37,3.32,3.33,320800,0.0,0
2004-07-16,3.35,3.36,3.32,3.35,304400,0.0,0
2004-07-19,3.32,3.35,3.32,3.32,307200,0.0,0
2004-07-20,3.32,3.35,3.32,3.34,307900,0.0,0
