Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.34,0.32,0.32,48000,0.0,0.0
1980-03-18,0.0,0.33,0.32,0.32,11200,0.0,0.0
1980-03-19,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-03-20,0.0,0.33,0.32,0.32,6400,0.0,0.0
1980-03-21,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-03-24,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-03-25,0.0,0.31,0.3,0.3,11200,0.0,0.0
1980-03-26,0.0,0.31,0.3,0.3,1600,0.0,0.0
1980-03-27,0.0,0.31,0.29,0.29,8000,0.0,0.0
1980-03-28,0.0,0.31,0.29,0.29,33600,0.0,0.0
1980-03-31,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-01,0.0,0.31,0.3,0.3,16000,0.0,0.0
1980-04-02,0.3,0.3,0.3,0.3,0,0.0,0.0
1980-04-03,0.3,0.3,0.3,0.3,0,0.0,0.0
1980-04-07,0.0,0.31,0.3,0.3,3200,0.0,0.0
1980-04-08,0.0,0.3,0.29,0.29,17600,0.0,0.0
1980-04-09,0.0,0.3,0.29,0.29,4800,0.0,0.0
1980-04-10,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-11,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-14,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-15,0.0,0.3,0.29,0.29,3200,0.0,0.0
1980-04-16,0.0,0.3,0.29,0.29,11200,0.0,0.0
1980-04-17,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-18,0.0,0.3,0.29,0.29,24000,0.0,0.0
1980-04-21,0.0,0.3,0.29,0.29,11200,0.0,0.0
1980-04-22,0.0,0.3,0.29,0.29,4800,0.0,0.0
1980-04-23,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-24,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-25,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-28,0.29,0.29,0.29,0.29,0,0.0,0.0
1980-04-29,0.0,0.31,0.3,0.3,16000,0.0,0.0
1980-04-30,0.3,0.3,0.3,0.3,0,0.0,0.0
1980-05-01,0.3,0.3,0.3,0.3,0,0.0,0.0
1980-05-02,0.3,0.3,0.3,0.3,0,0.0,0.0
1980-05-05,0.3,0.3,0.3,0.3,0,0.0,0.0
1980-05-06,0.0,0.31,0.3,0.3,1600,0.0,0.0
1980-05-07,0.0,0.32,0.31,0.31,9600,0.0,0.0
1980-05-08,0.31,0.31,0.31,0.31,0,0.0,0.0
1980-05-09,0.0,0.33,0.32,0.32,9600,0.0,0.0
1980-05-12,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-05-13,0.0,0.33,0.32,0.32,1600,0.0,0.0
1980-05-14,0.0,0.33,0.32,0.32,1600,0.0,0.0
1980-05-15,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-05-16,0.0,0.33,0.32,0.32,1600,0.0,0.0
1980-05-19,0.0,0.33,0.32,0.32,9600,0.0,0.0
1980-05-20,0.0,0.33,0.32,0.32,3200,0.0,0.0
1980-05-21,0.0,0.33,0.32,0.32,1600,0.0,0.0
1980-05-22,0.0,0.33,0.32,0.32,1600,0.0,0.0
1980-05-23,0.0,0.33,0.32,0.32,16000,0.0,0.0
1980-05-27,0.0,0.33,0.32,0.32,4800,0.0,0.0
1980-05-28,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-05-29,0.0,0.33,0.32,0.32,1600,0.0,0.0
