Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-19,22.54,22.72,22.54,22.71,36000,0.0,0
2017-12-20,22.67,22.85,22.56,22.67,53800,0.0,0
2017-12-21,22.67,22.81,22.61,22.8,16700,0.0,0
2017-12-22,22.81,22.81,22.7,22.81,51800,0.0,0
2017-12-26,22.8,23.83,22.71,22.94,26800,0.0,0
2017-12-27,23.12,23.25,22.97,23.21,3300,0.0,0
2017-12-28,25.22,27.74,22.98,22.98,4000,0.0,0
2017-12-29,22.91,23.21,22.91,23.21,2500,0.0,0
2018-01-02,23.13,23.13,23.13,23.13,200,0.0,0
2018-01-03,23.12,23.12,22.81,22.98,5500,0.0,0
2018-01-04,23.06,23.16,22.89,22.89,5800,0.0,0
2018-01-05,22.9,22.97,22.85,22.91,11100,0.0,0
2018-01-08,22.85,22.92,22.72,22.87,3600,0.0,0
2018-01-09,22.93,22.93,22.76,22.93,4100,0.0,0
2018-01-10,22.81,22.85,22.72,22.81,9100,0.0,0
2018-01-11,22.76,22.91,22.73,22.83,12800,0.0,0
2018-01-12,22.74,22.94,22.72,22.94,39200,0.0,0
2018-01-16,22.72,22.89,22.72,22.72,14300,0.0,0
2018-01-17,22.72,22.85,22.7,22.8,27500,0.0,0
2018-01-18,22.83,23.0,22.61,22.87,26200,0.0,0
2018-01-19,22.68,23.1,22.67,23.07,14500,0.0,0
2018-01-22,23.3,23.3,22.86,23.07,5600,0.0,0
2018-01-23,22.89,23.09,22.89,23.09,2000,0.0,0
2018-01-24,22.9,23.06,22.81,22.88,12600,0.0,0
2018-01-25,23.02,23.02,22.87,22.87,2500,0.0,0
2018-01-26,22.73,22.95,22.72,22.74,5200,0.0,0
2018-01-29,22.72,22.77,22.69,22.69,2900,0.0,0
2018-01-30,22.59,22.75,22.59,22.75,7500,0.0,0
2018-01-31,22.78,23.3,22.59,22.59,5600,0.0,0
2018-02-01,22.75,22.75,22.67,22.67,3300,0.0,0
2018-02-02,22.71,22.99,22.64,22.67,35900,0.0,0
2018-02-05,22.67,22.82,22.67,22.67,2200,0.0,0
2018-02-06,22.58,22.89,22.54,22.83,2600,0.0,0
2018-02-07,22.85,23.06,22.85,23.06,1600,0.0,0
2018-02-08,23.06,23.22,23.03,23.03,5200,0.0,0
2018-02-09,22.94,22.95,22.66,22.68,4400,0.0,0
2018-02-12,22.63,22.94,22.63,22.94,8000,0.0,0
2018-02-13,23.27,23.59,22.73,23.16,1800,0.0,0
2018-02-14,23.15,23.39,22.94,23.16,6200,0.0,0
2018-02-15,22.94,22.94,22.72,22.72,4500,0.0,0
2018-02-16,22.67,22.86,22.67,22.75,1500,0.0,0
2018-02-20,22.85,22.85,22.85,22.85,400,0.0,0
2018-02-21,22.81,22.83,22.74,22.76,2400,0.0,0
2018-02-22,22.84,22.85,22.81,22.81,3600,0.0,0
2018-02-23,22.92,23.15,22.72,23.14,6400,0.0,0
2018-02-26,23.0,23.16,23.0,23.16,2400,0.0,0
2018-02-27,23.16,23.16,22.92,23.02,5100,0.0,0
2018-02-28,22.93,23.38,22.92,23.37,6500,0.0,0
2018-03-01,23.19,23.35,23.04,23.35,2500,0.0,0
2018-03-02,23.38,23.38,23.27,23.27,1300,0.0,0
2018-03-05,23.08,23.38,22.81,23.38,3300,0.0,0
2018-03-06,23.39,23.39,22.89,23.24,3000,0.0,0
2018-03-07,22.9,23.18,22.9,23.18,4000,0.0,0
2018-03-08,23.11,23.43,22.94,23.43,3900,0.0,0
2018-03-09,22.99,22.99,22.99,22.99,400,0.0,0
2018-03-12,23.27,23.27,22.93,22.93,2000,0.0,0
2018-03-13,22.89,23.05,22.86,23.05,5400,0.0,0
2018-03-14,22.94,23.13,22.86,22.98,6000,0.0,0
2018-03-15,22.82,22.92,22.82,22.87,1300,0.0,0
2018-03-16,22.81,23.11,22.79,22.98,3300,0.0,0
2018-03-19,22.95,23.01,22.81,22.81,1800,0.0,0
2018-03-20,22.8,22.97,22.8,22.97,3600,0.0,0
2018-03-21,22.73,22.8,22.73,22.8,400,0.0,0
2018-03-22,22.96,22.96,22.96,22.96,1500,0.0,0
2018-03-23,22.85,22.87,22.72,22.72,900,0.0,0
2018-03-26,22.74,22.86,22.72,22.74,1000,0.0,0
2018-03-27,22.67,22.77,22.65,22.72,11500,0.0,0
2018-03-28,22.89,22.89,22.79,22.83,1400,0.0,0
2018-03-29,22.65,22.86,22.63,22.63,14200,0.0,0
2018-04-02,22.67,22.67,22.28,22.38,7600,0.0,0
2018-04-03,22.49,22.57,22.33,22.53,10800,0.0,0
2018-04-04,22.36,22.59,22.36,22.41,8700,0.0,0
2018-04-05,22.46,22.57,22.4,22.4,5200,0.0,0
2018-04-06,22.53,22.71,22.4,22.4,10600,0.0,0
2018-04-09,22.49,22.6,22.48,22.6,4900,0.0,0
2018-04-10,22.55,22.63,22.55,22.63,1900,0.0,0
2018-04-11,22.47,22.59,22.46,22.59,2400,0.0,0
2018-04-12,22.51,22.72,22.51,22.72,3600,0.0,0
2018-04-13,22.72,22.72,22.63,22.63,1600,0.0,0
2018-04-16,22.64,22.73,22.61,22.63,1400,0.0,0
2018-04-17,22.64,22.69,22.55,22.59,3300,0.0,0
2018-04-18,22.54,22.66,22.54,22.58,9100,0.0,0
2018-04-19,22.58,22.67,22.54,22.66,5300,0.0,0
2018-04-20,22.6,22.6,22.58,22.58,1000,0.0,0
2018-04-23,22.6,22.6,22.56,22.56,1300,0.0,0
2018-04-24,22.72,22.72,22.62,22.64,2100,0.0,0
2018-04-25,22.66,22.73,22.66,22.7,2600,0.0,0
2018-04-26,22.9,22.9,22.8,22.8,600,0.0,0
2018-04-27,22.89,22.89,22.72,22.72,3200,0.0,0
2018-04-30,22.72,22.91,22.72,22.75,6100,0.0,0
2018-05-01,22.89,22.89,22.76,22.84,800,0.0,0
2018-05-02,22.78,22.94,22.72,22.94,3900,0.0,0
2018-05-03,23.12,23.12,22.76,22.76,500,0.0,0
2018-05-04,22.92,22.92,22.72,22.89,1100,0.0,0
2018-05-07,22.93,23.0,22.93,23.0,400,0.0,0
2018-05-08,23.03,23.03,22.81,22.81,2100,0.0,0
2018-05-09,22.87,23.03,22.83,22.98,3100,0.0,0
2018-05-10,22.93,22.94,22.72,22.73,4200,0.0,0
2018-05-11,22.76,22.8,22.64,22.79,5400,0.0,0
2018-05-14,22.72,22.72,22.65,22.72,2600,0.0,0
2018-05-15,22.65,22.65,22.46,22.6,8200,0.0,0
2018-05-16,22.61,22.62,22.59,22.62,1800,0.0,0
2018-05-17,22.62,22.62,22.51,22.56,3600,0.0,0
