Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-08,16.0,17.02,12.76,12.9,1000400,0,0
2015-10-09,12.95,13.23,12.25,12.4,72300,0,0
2015-10-12,12.95,13.01,12.21,12.58,68300,0,0
2015-10-13,12.4,12.77,12.25,12.33,45100,0,0
2015-10-14,12.25,13.85,12.25,13.26,96700,0,0
2015-10-15,13.61,13.61,12.66,13.22,61600,0,0
2015-10-16,13.4,13.4,12.51,12.66,25400,0,0
2015-10-19,12.95,12.95,10.14,10.85,85300,0,0
2015-10-20,10.67,11.38,10.53,10.64,54900,0,0
2015-10-21,11.29,11.29,9.01,9.58,71200,0,0
2015-10-22,9.29,9.98,9.19,9.3,47300,0,0
2015-10-23,9.25,10.31,9.25,9.7,52700,0,0
2015-10-26,9.7,11.24,9.7,10.81,59800,0,0
2015-10-27,11.95,11.95,10.0,10.0,122900,0,0
2015-10-28,9.88,10.99,9.77,10.5,21700,0,0
2015-10-29,10.22,10.7,10.06,10.2,69600,0,0
2015-10-30,10.08,10.44,10.01,10.4,14900,0,0
2015-11-02,10.84,11.47,10.75,11.19,56800,0,0
2015-11-03,11.4,12.89,11.3,12.3,66500,0,0
2015-11-04,12.65,12.65,11.04,11.44,27100,0,0
2015-11-05,11.19,11.58,10.53,10.62,36600,0,0
2015-11-06,10.48,11.84,10.48,11.42,27800,0,0
2015-11-09,12.87,12.87,11.2,12.26,41600,0,0
2015-11-10,12.44,12.6,12.0,12.39,33100,0,0
2015-11-11,12.26,12.4,12.0,12.07,19800,0,0
2015-11-12,11.8,12.49,11.8,12.48,29000,0,0
2015-11-13,12.21,12.68,12.17,12.45,19200,0,0
2015-11-16,12.36,12.75,12.19,12.74,38900,0,0
2015-11-17,12.5,13.97,12.5,13.89,56200,0,0
2015-11-18,14.09,14.68,13.3,14.64,44100,0,0
2015-11-19,14.28,15.19,14.1,15.19,29000,0,0
2015-11-20,15.31,15.4,14.74,14.81,21700,0,0
2015-11-23,14.71,16.0,14.63,16.0,33400,0,0
2015-11-24,15.5,17.86,15.5,17.83,73300,0,0
2015-11-25,17.5,19.26,17.5,18.74,62800,0,0
2015-11-27,18.78,20.49,18.78,19.2,36400,0,0
2015-11-30,19.2,19.25,18.75,19.21,23200,0,0
2015-12-01,19.1,21.89,19.1,21.89,52300,0,0
2015-12-02,21.72,24.68,21.64,22.1,314800,0,0
2015-12-03,21.83,23.5,21.22,21.67,94100,0,0
2015-12-04,22.67,23.67,22.21,23.66,33100,0,0
2015-12-07,23.93,23.93,22.05,22.22,81400,0,0
2015-12-08,22.9,22.9,21.48,21.94,52700,0,0
2015-12-09,21.7,23.78,21.2,21.51,104500,0,0
2015-12-10,21.39,21.72,18.01,19.43,55700,0,0
2015-12-11,18.79,19.95,18.11,19.13,72000,0,0
2015-12-14,19.23,19.27,16.56,17.14,67600,0,0
2015-12-15,16.89,19.08,16.75,18.3,196700,0,0
2015-12-16,18.2,21.56,17.76,20.58,235100,0,0
2015-12-17,20.37,22.5,20.28,20.69,169700,0,0
2015-12-18,21.31,23.0,19.2,20.65,1168400,0,0
2015-12-21,21.27,21.46,19.83,20.24,185900,0,0
2015-12-22,21.0,21.21,19.96,19.96,78200,0,0
2015-12-23,20.36,23.0,20.36,22.49,88000,0,0
2015-12-24,22.19,22.95,22.16,22.54,32300,0,0
2015-12-28,22.56,22.89,21.29,21.89,62000,0,0
2015-12-29,22.27,22.27,21.52,21.67,57400,0,0
2015-12-30,21.54,21.72,20.39,20.8,43400,0,0
2015-12-31,20.72,21.5,20.0,20.87,63800,0,0
2016-01-04,20.34,20.94,19.15,20.46,110400,0,0
2016-01-05,20.48,20.56,19.07,19.43,73400,0,0
2016-01-06,19.03,19.67,16.8,16.97,82800,0,0
2016-01-07,16.8,17.64,15.27,15.52,99400,0,0
2016-01-08,15.69,16.0,13.69,14.21,90700,0,0
2016-01-11,14.17,15.1,13.71,14.32,93900,0,0
2016-01-12,14.72,15.69,14.35,15.5,74100,0,0
2016-01-13,15.53,17.2,14.21,14.36,113900,0,0
2016-01-14,14.54,15.2,13.38,14.05,45300,0,0
2016-01-15,13.59,14.45,12.81,13.25,24900,0,0
2016-01-19,13.5,15.39,12.25,12.61,47100,0,0
2016-01-20,12.13,15.44,12.13,14.84,116100,0,0
2016-01-21,14.59,15.58,14.39,14.46,79400,0,0
2016-01-22,14.97,15.41,13.11,14.0,38200,0,0
2016-01-25,13.98,14.99,13.84,14.65,144000,0,0
2016-01-26,14.9,16.65,14.54,16.23,69600,0,0
2016-01-27,16.16,16.88,14.43,15.1,112000,0,0
2016-01-28,15.12,15.67,14.26,15.18,45600,0,0
2016-01-29,15.22,16.01,14.51,15.71,84500,0,0
2016-02-01,15.4,16.45,14.61,15.86,61000,0,0
2016-02-02,15.64,16.0,14.51,16.0,86900,0,0
2016-02-03,16.08,16.93,15.31,15.68,81000,0,0
2016-02-04,15.59,16.7,15.19,15.45,23300,0,0
2016-02-05,15.28,16.42,14.28,14.72,47800,0,0
2016-02-08,14.55,15.97,12.89,13.45,39200,0,0
2016-02-09,13.21,13.58,12.56,13.4,68200,0,0
2016-02-10,13.35,13.98,12.86,13.03,20500,0,0
2016-02-11,12.71,13.0,11.95,11.98,62100,0,0
2016-02-12,12.02,12.97,11.48,12.05,83400,0,0
2016-02-16,12.19,15.01,11.78,12.5,87300,0,0
2016-02-17,12.64,13.24,11.48,12.72,143400,0,0
2016-02-18,12.68,13.03,12.16,12.73,35900,0,0
2016-02-19,12.69,12.99,11.91,12.91,27900,0,0
2016-02-22,13.02,13.83,12.67,13.17,31400,0,0
2016-02-23,13.21,13.4,12.56,12.69,50700,0,0
2016-02-24,12.5,12.93,12.21,12.75,28400,0,0
2016-02-25,13.28,13.35,12.49,13.35,14800,0,0
