Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-08,70.0,82.5,70.0,76.25,3400,0,0.0
2006-08-09,88.75,98.75,87.5,95.25,21000,0,0.0
2006-08-10,97.5,98.75,92.5,92.5,5600,0,0.0
2006-08-11,98.25,98.25,86.25,90.0,1800,0,0.0
2006-08-14,93.75,95.0,85.0,85.5,500,0,0.0
2006-08-15,87.0,87.0,62.5,70.0,4200,0,0.0
2006-08-16,72.25,72.5,57.5,62.5,1500,0,0.0
2006-08-17,62.5,81.25,62.5,63.75,500,0,0.0
2006-08-18,75.0,75.0,62.5,75.0,500,0,0.0
2006-08-21,77.5,77.5,57.75,65.0,2700,0,0.0
2006-08-22,81.25,81.25,61.25,72.5,2300,0,0.0
2006-08-23,75.0,75.0,50.0,61.25,3300,0,0.0
2006-08-24,61.25,61.25,45.0,52.5,6300,0,0.0
2006-08-25,62.5,63.75,53.75,63.47,2200,0,0.0
2006-08-28,68.75,70.0,56.25,57.5,3300,0,0.0
2006-08-29,61.25,61.25,52.5,56.25,2500,0,0.0
2006-08-30,56.25,57.5,50.0,50.0,2000,0,0.0
2006-08-31,53.75,53.75,50.0,53.75,2000,0,0.0
2006-09-01,53.75,58.75,50.0,51.25,1700,0,0.0
2006-09-05,57.5,61.25,51.25,55.0,3700,0,0.0
2006-09-06,56.25,56.25,50.0,50.0,2800,0,0.0
2006-09-07,51.25,52.5,48.75,50.0,300,0,0.0
2006-09-08,50.0,50.0,47.5,49.75,400,0,0.0
2006-09-11,56.25,57.5,45.0,46.5,5000,0,0.0
2006-09-12,46.5,53.75,45.25,50.0,1200,0,0.0
2006-09-13,52.5,55.0,45.25,48.75,900,0,0.0
2006-09-14,53.75,53.75,37.5,43.75,2000,0,0.0
2006-09-15,41.25,43.75,37.5,41.25,1200,0,0.0
2006-09-18,38.0,45.0,38.0,43.75,3300,0,0.0
2006-09-19,46.25,48.75,38.75,39.5,5500,0,0.0
2006-09-20,39.75,43.75,37.5,40.0,6100,0,0.0
2006-09-21,40.0,40.0,31.25,37.5,2700,0,0.0
2006-09-22,37.5,45.0,36.25,40.0,900,0,0.0
2006-09-25,45.0,45.0,36.25,36.25,1900,0,0.0
2006-09-26,37.5,40.0,36.5,37.5,700,0,0.0
2006-09-27,40.0,40.0,37.5,38.75,700,0,0.0
2006-09-28,40.0,42.5,37.5,42.5,6400,0,0.0
2006-09-29,42.5,43.25,38.75,42.5,500,0,0.0
2006-10-02,42.5,42.5,33.75,41.25,900,0,0.0
2006-10-03,37.5,42.5,31.25,36.5,400,0,0.0
2006-10-04,37.5,37.5,32.25,33.75,1100,0,0.0
2006-10-05,32.5,41.25,30.0,41.25,800,0,0.0
2006-10-06,39.75,40.75,35.0,40.75,1100,0,0.0
2006-10-09,40.0,41.25,33.75,35.0,1000,0,0.0
2006-10-10,37.5,37.5,33.75,35.0,400,0,0.0
2006-10-11,35.0,37.5,35.0,37.5,700,0,0.0
2006-10-12,37.5,37.5,35.0,35.0,200,0,0.0
2006-10-13,32.75,37.5,32.5,37.5,400,0,0.0
2006-10-16,36.25,36.25,33.25,36.25,400,0,0.0
2006-10-17,32.5,35.0,32.5,35.0,0,0,0.0
2006-10-18,32.5,37.25,31.25,37.25,500,0,0.0
2006-10-19,32.5,37.25,31.25,37.25,200,0,0.0
2006-10-20,35.0,36.75,35.0,36.75,300,0,0.0
2006-10-23,36.5,36.5,32.5,33.75,700,0,0.0
2006-10-24,33.75,34.5,31.25,34.5,1100,0,0.0
2006-10-25,33.75,35.0,30.0,30.0,400,0,0.0
2006-10-26,33.0,33.0,31.25,31.25,200,0,0.0
2006-10-27,33.0,37.0,33.0,36.0,1100,0,0.0
2006-10-30,35.0,36.25,31.75,33.75,200,0,0.0
2006-10-31,32.25,32.5,30.0,32.5,400,0,0.0
2006-11-01,28.75,32.5,28.75,31.25,800,0,0.0
2006-11-02,30.75,36.75,30.75,33.75,300,0,0.0
2006-11-03,36.75,36.75,27.5,34.0,2100,0,0.0
2006-11-06,30.0,30.0,27.25,29.75,1500,0,0.0
2006-11-07,30.25,30.25,27.25,27.5,2700,0,0.0
2006-11-08,26.75,27.5,26.0,27.5,900,0,0.0
2006-11-09,27.75,28.0,25.5,27.75,2500,0,0.0
2006-11-10,27.5,27.5,25.25,25.5,1000,0,0.0
2006-11-13,25.5,31.0,25.5,31.0,700,0,0.0
2006-11-14,29.75,30.0,27.5,28.75,1300,0,0.0
2006-11-15,28.5,28.75,26.25,28.0,800,0,0.0
2006-11-16,26.25,27.0,25.25,26.5,1700,0,0.0
