Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,11.17,12.47,11.1,11.63,354500,0,0
2018-01-03,11.88,12.94,11.88,12.75,207400,0,0
2018-01-04,13.08,14.0,13.05,13.75,311000,0,0
2018-01-05,15.5,15.5,14.5,15.0,304600,0,0
2018-01-08,15.0,15.0,13.8,14.6,173300,0,0
2018-01-09,14.72,15.0,14.53,14.99,92200,0,0
2018-01-10,14.99,15.5,14.5,14.76,90000,0,0
2018-01-11,15.35,15.44,14.92,15.21,85300,0,0
2018-01-12,15.11,15.5,15.11,15.5,71500,0,0
2018-01-16,15.9,16.56,14.76,15.53,105400,0,0
2018-01-17,15.69,15.76,15.22,15.37,59200,0,0
2018-01-18,15.15,15.19,14.01,14.66,73400,0,0
2018-01-19,14.86,14.86,14.32,14.45,48600,0,0
2018-01-22,14.5,15.62,14.5,15.48,93800,0,0
2018-01-23,15.63,16.0,15.32,15.6,66900,0,0
2018-01-24,15.75,15.89,15.29,15.7,48800,0,0
2018-01-25,15.99,16.0,15.37,15.83,71300,0,0
2018-01-26,15.91,15.91,15.3,15.49,73100,0,0
2018-01-29,15.5,15.8,15.35,15.55,63700,0,0
2018-01-30,15.42,15.54,14.64,15.08,35800,0,0
2018-01-31,15.22,15.4,14.89,15.15,41200,0,0
2018-02-01,15.01,15.24,14.55,14.95,44200,0,0
2018-02-02,14.88,15.18,14.66,14.95,51100,0,0
2018-02-05,15.0,15.05,14.01,14.74,57200,0,0
2018-02-06,14.5,14.75,14.2,14.42,40200,0,0
2018-02-07,14.34,14.9,13.74,14.49,54500,0,0
2018-02-08,14.3,14.58,14.02,14.16,33600,0,0
2018-02-09,14.27,14.86,13.84,14.18,55100,0,0
2018-02-12,14.81,14.81,13.23,13.69,59100,0,0
2018-02-13,13.5,13.95,13.45,13.76,51500,0,0
2018-02-14,13.59,14.62,13.52,14.35,36200,0,0
2018-02-15,14.47,14.95,14.11,14.34,20300,0,0
2018-02-16,14.5,14.95,14.3,14.9,39000,0,0
2018-02-20,14.59,14.75,14.47,14.72,10900,0,0
2018-02-21,14.67,15.75,14.42,15.24,67300,0,0
2018-02-22,14.95,15.56,14.66,15.02,24300,0,0
2018-02-23,15.0,15.5,14.26,15.0,51100,0,0
2018-02-26,15.01,15.38,14.9,15.24,24800,0,0
2018-02-27,14.99,15.18,14.5,15.11,22800,0,0
2018-02-28,15.09,15.24,14.51,15.15,21000,0,0
2018-03-01,15.13,15.13,14.65,14.81,30600,0,0
2018-03-02,14.71,15.49,14.71,15.1,48100,0,0
2018-03-05,15.1,16.43,14.71,16.14,186600,0,0
2018-03-06,16.25,16.45,15.35,16.4,90500,0,0
2018-03-07,16.24,16.5,16.0,16.3,90500,0,0
2018-03-08,16.5,17.5,16.3,17.25,145800,0,0
2018-03-09,17.25,17.5,16.25,16.89,96100,0,0
2018-03-12,16.88,17.37,16.31,16.69,95600,0,0
2018-03-13,16.69,17.4,16.55,17.01,137500,0,0
2018-03-14,17.05,17.99,16.63,17.09,239600,0,0
2018-03-15,17.17,17.65,16.91,17.09,223800,0,0
2018-03-16,17.04,17.2,16.4,16.65,1038200,0,0
2018-03-19,16.55,16.9,16.48,16.69,89500,0,0
2018-03-20,16.98,17.34,16.38,16.56,209100,0,0
2018-03-21,16.79,16.96,16.49,16.94,47900,0,0
2018-03-22,16.8,16.92,16.39,16.47,52400,0,0
2018-03-23,16.55,16.55,15.23,15.93,119500,0,0
2018-03-26,16.19,16.25,14.07,14.9,69400,0,0
2018-03-27,14.96,15.06,12.62,13.54,158400,0,0
2018-03-28,13.44,14.38,13.44,13.84,141700,0,0
2018-03-29,13.88,14.13,13.6,14.05,103100,0,0
2018-04-02,13.97,14.13,13.7,13.91,25600,0,0
2018-04-03,13.95,14.0,13.6,14.0,36900,0,0
2018-04-04,13.81,13.88,12.28,13.62,98300,0,0
2018-04-05,13.63,13.9,13.63,13.87,22500,0,0
2018-04-06,13.86,13.91,12.57,12.86,81600,0,0
2018-04-09,12.95,13.66,12.95,13.66,36100,0,0
2018-04-10,13.8,13.8,13.19,13.53,12400,0,0
2018-04-11,13.45,13.59,13.03,13.4,11500,0,0
2018-04-12,13.53,13.85,13.28,13.8,29700,0,0
2018-04-13,13.84,14.09,13.58,14.0,34400,0,0
2018-04-16,14.15,14.43,13.69,14.13,45600,0,0
2018-04-17,14.22,14.22,13.73,13.82,24000,0,0
2018-04-18,13.83,13.87,13.39,13.77,22900,0,0
2018-04-19,13.74,13.74,13.25,13.31,21600,0,0
2018-04-20,13.18,13.47,13.18,13.36,11800,0,0
2018-04-23,13.39,13.56,13.35,13.55,26700,0,0
2018-04-24,13.64,13.75,13.43,13.43,11700,0,0
2018-04-25,13.47,13.55,13.4,13.45,11600,0,0
2018-04-26,13.53,13.53,13.24,13.31,27600,0,0
2018-04-27,13.02,13.26,11.96,11.97,136500,0,0
2018-04-30,11.96,12.19,10.87,11.04,125400,0,0
2018-05-01,10.93,11.45,10.3,10.93,69500,0,0
2018-05-02,10.96,11.65,10.96,11.49,26700,0,0
2018-05-03,11.5,11.99,11.5,11.57,22000,0,0
2018-05-04,11.57,12.0,11.57,11.95,21600,0,0
2018-05-07,11.95,12.23,11.81,12.16,24300,0,0
2018-05-08,12.2,12.2,11.87,11.99,27400,0,0
2018-05-09,12.0,12.2,11.89,12.03,35400,0,0
2018-05-10,12.6,13.5,12.6,13.47,199800,0,0
2018-05-11,13.6,14.43,13.59,14.31,64200,0,0
2018-05-14,14.34,14.5,14.04,14.32,66300,0,0
2018-05-15,14.42,14.58,14.03,14.22,72700,0,0
2018-05-16,14.32,14.57,14.25,14.31,36000,0,0
2018-05-17,14.33,14.75,14.17,14.2,125400,0,0
2018-05-18,14.4,14.8,14.01,14.4,113600,0,0
2018-05-21,14.53,14.56,14.16,14.28,126000,0,0
2018-05-22,14.24,14.37,14.05,14.05,9000,0,0
2018-05-23,14.01,14.01,13.53,13.7,157100,0,0
2018-05-24,13.76,13.76,12.71,13.19,28400,0,0
2018-05-25,13.17,13.92,13.0,13.67,23600,0,0
2018-05-29,13.61,13.85,13.23,13.33,14300,0,0
2018-05-30,13.7,13.7,12.92,13.06,17200,0,0
2018-05-31,13.64,13.64,12.63,12.81,23500,0,0
2018-06-01,13.1,13.75,12.89,13.6,28400,0,0
