Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-04-04,0.0,0.09,0.08,0.08,24800,0.0,0.0
1983-04-05,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-06,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-07,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-08,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-11,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-12,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-13,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-14,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-15,0.0,0.09,0.08,0.08,21000,0.0,0.0
1983-04-18,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-19,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-20,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-21,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-22,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-25,0.0,0.09,0.08,0.08,24800,0.0,0.0
1983-04-26,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-27,0.0,0.09,0.08,0.08,24800,0.0,0.0
1983-04-28,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-04-29,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-05-02,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-05-03,0.0,0.09,0.08,0.08,24800,0.0,0.0
1983-05-04,0.08,0.08,0.08,0.08,0,0.0,0.0
1983-05-05,0.0,0.09,0.09,0.09,10400,0.0,0.0
1983-05-06,0.09,0.09,0.09,0.09,0,0.0,0.0
1983-05-09,0.0,0.1,0.09,0.09,24800,0.0,0.0
1983-05-10,0.0,0.11,0.1,0.1,1700,0.0,0.0
1983-05-11,0.0,0.11,0.11,0.11,300,0.0,0.0
1983-05-12,0.0,0.12,0.11,0.11,1700,0.0,0.0
1983-05-13,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-16,0.0,0.12,0.11,0.11,47400,0.0,0.0
1983-05-17,0.0,0.12,0.11,0.11,1700,0.0,0.0
1983-05-18,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-19,0.0,0.12,0.11,0.11,24800,0.0,0.0
1983-05-20,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-23,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-24,0.0,0.12,0.11,0.11,35900,0.0,0.0
1983-05-25,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-26,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-27,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-05-31,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-01,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-02,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-03,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-06,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-07,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-08,0.0,0.12,0.11,0.11,1700,0.0,0.0
1983-06-09,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-10,0.0,0.12,0.11,0.11,3000,0.0,0.0
1983-06-13,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-14,0.0,0.12,0.11,0.11,10400,0.0,0.0
1983-06-15,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-16,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-17,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-20,0.0,0.12,0.11,0.11,16500,0.0,0.0
1983-06-21,0.0,0.12,0.11,0.11,300,0.0,0.0
1983-06-22,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-23,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-24,0.0,0.12,0.11,0.11,300,0.0,0.0
1983-06-27,0.0,0.12,0.11,0.11,9500,0.0,0.0
1983-06-28,0.0,0.12,0.11,0.11,300,0.0,0.0
1983-06-29,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-06-30,0.0,0.12,0.11,0.11,300,0.0,0.0
1983-07-01,0.0,0.12,0.11,0.11,300,0.0,0.0
1983-07-05,0.0,0.12,0.11,0.11,3000,0.0,0.0
1983-07-06,0.0,0.12,0.11,0.11,1700,0.0,0.0
1983-07-07,0.0,0.12,0.11,0.11,1700,0.0,0.0
1983-07-08,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-11,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-12,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-13,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-14,0.0,0.12,0.11,0.11,16500,0.0,0.0
1983-07-15,0.0,0.12,0.11,0.11,10400,0.0,0.0
1983-07-18,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-19,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-20,0.0,0.12,0.11,0.11,24800,0.0,0.0
1983-07-21,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-22,0.0,0.12,0.11,0.11,82600,0.0,0.0
1983-07-25,0.0,0.12,0.11,0.11,10400,0.0,0.0
1983-07-26,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-27,0.0,0.12,0.11,0.11,10400,0.0,0.0
1983-07-28,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-07-29,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-01,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-02,0.0,0.12,0.11,0.11,9500,0.0,0.0
1983-08-03,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-04,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-05,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-08,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-09,0.11,0.11,0.11,0.11,0,0.0,0.0
1983-08-10,0.11,0.11,0.11,0.11,0,0.0,0.0
