Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-07-01,9.5,10.19,9.26,10.0,424600,0,0.0
2003-07-02,9.88,11.25,9.75,10.75,590200,0,0.0
2003-07-03,11.2,11.2,10.0,10.0,221200,0,0.0
2003-07-07,10.0,10.25,9.05,9.07,335800,0,0.0
2003-07-08,9.0,9.95,8.85,9.3,295000,0,0.0
2003-07-09,9.05,9.43,9.01,9.06,430600,0,0.0
2003-07-10,9.01,9.22,9.0,9.06,204400,0,0.0
2003-07-11,9.05,9.48,8.98,8.98,238800,0,0.0
2003-07-14,8.92,10.69,8.63,10.27,376000,0,0.0
2003-07-15,10.5,10.69,9.88,10.32,483200,0,0.0
2003-07-16,10.0,10.15,9.55,9.73,158000,0,0.0
2003-07-17,9.56,9.85,9.5,9.62,185600,0,0.0
2003-07-18,9.62,10.0,9.25,9.28,99400,0,0.0
2003-07-21,10.18,10.18,9.12,9.23,288800,0,0.0
2003-07-22,9.63,9.7,9.25,9.5,170400,0,0.0
2003-07-23,9.57,9.94,9.4,9.57,99400,0,0.0
2003-07-24,9.38,9.67,9.38,9.55,109200,0,0.0
2003-07-25,9.55,9.75,9.5,9.57,77400,0,0.0
2003-07-28,9.6,9.83,9.57,9.64,40200,0,0.0
2003-07-29,9.83,9.95,9.35,9.5,350600,0,0.0
2003-07-30,9.7,9.7,9.5,9.51,104000,0,0.0
2003-07-31,9.5,9.77,9.35,9.6,83800,0,0.0
2003-08-01,9.3,9.56,9.02,9.3,98600,0,0.0
2003-08-04,9.86,9.86,9.35,9.65,28000,0,0.0
2003-08-05,9.4,10.0,9.4,9.62,101200,0,0.0
2003-08-06,9.07,9.82,9.07,9.55,54400,0,0.0
2003-08-07,9.56,9.99,9.3,9.9,64600,0,0.0
2003-08-08,10.12,10.12,9.73,9.82,65200,0,0.0
2003-08-11,9.85,10.23,9.85,10.2,42000,0,0.0
2003-08-12,10.06,10.25,9.99,10.15,86200,0,0.0
2003-08-13,10.2,10.65,10.15,10.35,86600,0,0.0
2003-08-14,10.3,10.3,9.75,9.84,78800,0,0.0
2003-08-15,9.8,10.15,9.8,9.85,10200,0,0.0
2003-08-18,10.25,10.25,9.85,9.95,6600,0,0.0
2003-08-19,9.85,10.12,9.85,9.97,6600,0,0.0
2003-08-20,9.9,10.15,9.8,9.84,34000,0,0.0
2003-08-21,9.9,9.9,9.45,9.62,72400,0,0.0
2003-08-22,9.5,9.88,9.5,9.52,31000,0,0.0
2003-08-25,9.6,9.6,9.55,9.6,21800,0,0.0
2003-08-26,9.69,9.8,9.45,9.65,51200,0,0.0
2003-08-27,9.53,9.65,9.5,9.65,55600,0,0.0
2003-08-28,9.6,9.7,9.6,9.65,15000,0,0.0
2003-08-29,9.5,9.7,9.5,9.53,139400,0,0.0
2003-09-02,9.82,9.82,9.62,9.7,89400,0,0.0
2003-09-03,9.75,9.84,9.62,9.68,17400,0,0.0
2003-09-04,9.62,9.88,9.62,9.75,26400,0,0.0
2003-09-05,9.5,9.9,9.5,9.77,21200,0,0.0
2003-09-08,9.9,10.18,9.8,9.85,10400,0,0.0
2003-09-09,9.99,9.99,9.77,9.98,994600,0,0.0
2003-09-10,9.95,9.95,9.5,9.85,25800,0,0.0
2003-09-11,9.77,9.8,9.5,9.6,40200,0,0.0
2003-09-12,9.62,9.75,9.55,9.55,21200,0,0.0
2003-09-15,9.62,9.72,9.62,9.69,57000,0,0.0
2003-09-16,9.7,9.75,9.7,9.75,1600,0,0.0
2003-09-17,9.86,10.2,9.86,10.12,8600,0,0.0
2003-09-18,10.1,10.22,9.96,10.0,17600,0,0.0
2003-09-19,9.85,10.02,9.8,9.98,100800,0,0.0
2003-09-22,10.0,10.0,9.85,9.98,14600,0,0.0
2003-09-23,10.0,10.15,10.0,10.05,4800,0,0.0
2003-09-24,10.12,10.34,10.12,10.34,21000,0,0.0
2003-09-25,10.07,10.2,10.07,10.15,15400,0,0.0
2003-09-26,10.2,10.28,10.12,10.23,34800,0,0.0
2003-09-29,10.02,10.34,10.02,10.23,43200,0,0.0
2003-09-30,10.25,10.75,10.15,10.72,28400,0,0.0
2003-10-01,10.9,11.0,10.5,10.85,22200,0,0.0
2003-10-02,10.68,10.76,10.68,10.76,25000,0,0.0
2003-10-03,10.73,11.49,10.73,11.24,23600,0,0.0
2003-10-06,11.49,11.5,10.63,10.77,53800,0,0.0
2003-10-07,10.76,11.25,10.75,10.9,14400,0,0.0
2003-10-08,11.25,11.25,10.85,10.85,18200,0,0.0
2003-10-09,10.91,11.0,10.75,11.0,8400,0,0.0
2003-10-10,10.93,11.5,10.93,11.5,7800,0,0.0
2003-10-13,11.52,11.52,11.3,11.35,9000,0,0.0
2003-10-14,11.12,11.57,10.75,11.57,16000,0,0.0
2003-10-15,10.88,11.52,10.88,11.38,38200,0,0.0
2003-10-16,11.38,11.38,11.12,11.23,11600,0,0.0
2003-10-17,11.22,11.5,11.22,11.35,17400,0,0.0
2003-10-20,11.5,11.5,11.25,11.5,31000,0,0.0
2003-10-21,11.45,11.55,11.3,11.38,12600,0,0.0
2003-10-22,11.15,11.74,11.15,11.74,23400,0,0.0
2003-10-23,11.77,11.95,11.73,11.88,79800,0,0.0
2003-10-24,11.9,11.95,11.88,11.9,178800,0,0.0
2003-10-27,11.88,11.98,11.88,11.98,7800,0,0.0
2003-10-28,11.88,11.96,11.88,11.88,7800,0,0.0
2003-10-29,11.88,12.12,11.85,11.98,25800,0,0.0
2003-10-30,12.1,12.18,11.82,12.05,54600,0,0.0
2003-10-31,12.07,12.1,11.88,12.1,5400,0,0.0
2003-11-03,12.24,12.25,11.85,12.05,8800,0,0.0
2003-11-04,12.05,12.05,11.98,12.05,8600,0,0.0
2003-11-05,12.02,12.06,11.95,12.05,27600,0,0.0
2003-11-06,12.0,12.05,11.69,11.75,57200,0,0.0
2003-11-07,12.0,12.02,11.93,12.0,2800,0,0.0
2003-11-10,11.77,12.02,11.77,11.85,3800,0,0.0
2003-11-11,11.75,12.02,11.75,12.0,20800,0,0.0
2003-11-12,12.01,12.02,11.8,11.8,5200,0,0.0
2003-11-13,11.75,11.88,11.7,11.88,18000,0,0.0
2003-11-14,11.56,11.98,11.39,11.5,56400,0,0.0
2003-11-17,11.35,11.45,11.03,11.3,150000,0,0.0
2003-11-18,11.4,11.48,11.4,11.48,1000,0,0.0
2003-11-19,11.5,11.65,11.48,11.6,1200,0,0.0
2003-11-20,11.65,11.75,11.65,11.65,3800,0,0.0
2003-11-21,11.59,11.7,11.38,11.7,9400,0,0.0
2003-11-24,11.67,11.75,11.48,11.59,8000,0,0.0
2003-11-25,11.55,11.79,11.55,11.65,11000,0,0.0
2003-11-26,11.5,11.75,11.5,11.6,11000,0,0.0
2003-11-28,11.6,11.75,11.6,11.75,600,0,0.0
2003-12-01,11.48,11.62,11.48,11.55,30600,0,0.0
2003-12-02,11.5,11.6,11.5,11.5,49800,0,0.0
2003-12-03,11.52,11.55,11.5,11.52,7000,0,0.0
2003-12-04,11.55,11.55,11.52,11.52,22000,0,0.0
2003-12-05,11.52,11.55,11.52,11.52,1400,0,0.0
2003-12-08,11.5,11.74,11.49,11.74,5800,0,0.0
2003-12-09,11.52,11.75,11.52,11.64,4600,0,0.0
2003-12-10,11.6,11.7,11.6,11.65,5000,0,0.0
2003-12-11,11.62,11.65,11.52,11.6,6200,0,0.0
2003-12-12,11.52,11.6,11.52,11.55,11600,0,0.0
2003-12-15,11.5,11.55,11.25,11.48,27200,0,0.0
2003-12-16,11.4,11.73,11.4,11.61,40800,0,0.0
2003-12-17,11.61,11.61,11.54,11.55,22400,0,0.0
2003-12-18,11.55,11.9,11.5,11.62,10600,0,0.0
2003-12-19,11.6,11.7,11.5,11.5,22600,0,0.0
2003-12-22,11.55,11.69,11.55,11.69,9400,0,0.0
2003-12-23,11.55,11.9,11.55,11.66,18400,0,0.0
2003-12-24,11.73,11.95,11.62,11.69,18200,0,0.0
2003-12-26,11.8,11.8,11.7,11.7,3000,0,0.0
2003-12-29,11.98,11.98,11.62,11.98,12600,0,0.0
2003-12-30,11.65,11.82,11.65,11.75,11200,0,0.0
2003-12-31,11.65,12.09,11.62,12.0,38200,0,0.0
2004-01-02,11.69,12.0,11.69,11.8,110800,0,0.0
2004-01-05,11.8,12.12,11.75,11.93,9800,0,0.0
2004-01-06,11.99,12.3,11.75,12.3,8600,0,0.0
2004-01-07,12.31,12.55,12.23,12.5,4600,0,0.0
2004-01-08,12.0,13.0,12.0,13.0,16200,0,0.0
2004-01-09,12.78,12.92,12.45,12.75,23800,0,0.0
2004-01-12,13.94,14.51,13.8,14.0,123200,0,0.0
2004-01-13,14.25,14.25,13.88,13.91,19200,0,0.0
2004-01-14,14.24,14.24,13.93,14.24,59200,0,0.0
2004-01-15,14.25,14.34,14.1,14.3,7000,0,0.0
2004-01-16,14.3,15.0,14.12,15.0,46600,0,0.0
2004-01-20,14.99,15.0,14.12,14.78,47200,0,0.0
2004-01-21,14.91,14.91,14.51,14.51,12800,0,0.0
2004-01-22,14.62,14.74,14.5,14.5,13800,0,0.0
2004-01-23,14.98,16.17,14.98,15.6,78600,0,0.0
2004-01-26,15.54,16.56,15.35,16.47,48800,0,0.0
2004-01-27,16.55,16.61,15.82,16.27,10800,0,0.0
2004-01-28,16.62,16.77,15.6,15.6,29800,0,0.0
2004-01-29,15.91,15.91,15.23,15.59,83200,0,0.0
2004-01-30,15.62,15.75,15.62,15.75,3000,0,0.0
2004-02-02,15.05,16.35,15.05,16.35,8600,0,0.0
2004-02-03,16.45,16.97,16.22,16.75,7200,0,0.0
2004-02-04,16.75,18.01,16.62,17.8,29800,0,0.0
2004-02-05,17.85,17.92,17.64,17.74,6600,0,0.0
2004-02-06,17.68,17.74,17.6,17.7,6200,0,0.0
2004-02-09,17.51,17.97,17.5,17.95,25600,0,0.0
2004-02-10,18.01,20.3,17.55,19.9,194200,0,0.0
2004-02-11,20.0,20.0,19.0,19.0,91600,0,0.0
2004-02-12,19.88,19.88,18.89,18.95,56400,0,0.0
2004-02-13,19.1,19.42,18.62,18.65,10400,0,0.0
2004-02-17,18.63,18.74,18.55,18.55,3000,0,0.0
2004-02-18,18.5,19.89,18.14,19.62,33400,0,0.0
2004-02-19,19.75,20.48,19.23,19.5,40000,0,0.0
2004-02-20,20.0,20.0,19.34,19.35,2600,0,0.0
2004-02-23,20.4,20.4,19.0,19.03,12000,0,0.0
2004-02-24,19.0,19.05,18.75,18.75,20000,0,0.0
2004-02-25,18.7,19.0,18.7,18.8,19200,0,0.0
2004-02-26,19.0,19.07,18.73,18.77,9200,0,0.0
2004-02-27,19.25,19.25,18.69,18.88,62600,0,0.0
2004-03-01,19.5,19.5,18.62,18.62,19200,0,0.0
2004-03-02,18.9,18.97,18.54,18.54,20400,0,0.0
2004-03-03,18.62,18.9,18.4,18.42,21400,0,0.0
2004-03-04,18.39,18.59,18.11,18.48,20400,0,0.0
2004-03-05,18.5,18.91,18.45,18.54,75800,0,0.0
2004-03-08,18.27,18.89,18.27,18.8,11400,0,0.0
2004-03-09,18.77,19.1,18.77,19.0,6600,0,0.0
2004-03-10,18.75,19.12,18.75,18.98,44000,0,0.0
2004-03-11,19.0,19.04,18.85,19.03,28200,0,0.0
2004-03-12,19.05,19.09,18.98,19.09,5200,0,0.0
2004-03-15,19.09,19.09,19.0,19.02,2200,0,0.0
2004-03-16,18.98,19.02,18.85,19.02,5600,0,0.0
2004-03-17,18.85,19.17,18.85,19.0,31600,0,0.0
2004-03-18,19.0,19.05,18.85,19.05,4000,0,0.0
2004-03-19,19.05,19.05,18.91,18.94,9600,0,0.0
2004-03-22,18.95,18.95,18.5,18.73,71600,0,0.0
2004-03-23,18.72,18.9,18.62,18.62,48200,0,0.0
2004-03-24,18.55,18.55,18.5,18.5,1400,0,0.0
2004-03-25,18.6,18.7,18.5,18.5,13200,0,0.0
2004-03-26,18.7,18.7,18.27,18.27,12400,0,0.0
2004-03-29,18.28,18.6,18.23,18.23,82800,0,0.0
2004-03-30,18.39,18.5,17.65,17.75,101000,0,0.0
2004-03-31,17.8,18.5,17.6,18.42,62800,0,0.0
2004-04-01,18.3,18.8,18.3,18.7,44000,0,0.0
2004-04-02,18.75,18.75,18.38,18.5,21600,0,0.0
2004-04-05,17.9,19.25,17.9,18.81,27800,0,0.0
2004-04-06,18.83,18.92,18.5,18.7,19000,0,0.0
2004-04-07,18.62,18.97,18.62,18.75,9800,0,0.0
2004-04-08,19.0,19.1,18.92,19.1,5600,0,0.0
2004-04-12,19.0,19.0,18.75,18.75,2000,0,0.0
2004-04-13,18.58,19.3,18.58,19.23,6800,0,0.0
2004-04-14,19.1,19.25,19.1,19.1,3000,0,0.0
2004-04-15,19.44,19.48,19.44,19.48,7600,0,0.0
2004-04-16,19.5,20.0,19.3,20.0,19600,0,0.0
2004-04-19,20.0,20.0,19.72,19.98,21200,0,0.0
2004-04-20,19.95,20.0,19.95,19.98,12000,0,0.0
2004-04-21,20.0,20.02,19.84,20.0,381600,0,0.0
2004-04-22,20.0,20.03,19.97,20.0,97200,0,0.0
2004-04-23,20.0,20.01,19.89,20.0,48200,0,0.0
2004-04-26,20.0,20.5,20.0,20.2,120000,0,0.0
2004-04-27,20.25,20.25,20.03,20.15,32800,0,0.0
2004-04-28,20.12,20.12,19.87,20.0,23400,0,0.0
2004-04-29,20.6,20.6,20.03,20.03,27800,0,0.0
2004-04-30,19.95,20.0,19.51,19.77,62600,0,0.0
2004-05-03,19.7,19.92,19.7,19.92,14800,0,0.0
2004-05-04,19.94,20.0,19.8,20.0,11200,0,0.0
2004-05-05,20.02,20.05,19.97,20.02,30600,0,0.0
2004-05-06,19.95,20.0,19.66,19.81,12800,0,0.0
