Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-04-05,1.49,1.55,1.49,1.49,4000,0.0,0.0
1994-04-06,1.54,1.54,1.54,1.54,1900,0.0,0.0
1994-04-07,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-08,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-11,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-12,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-13,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-14,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-15,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-18,1.54,1.54,1.54,1.54,0,0.0,0.0
1994-04-19,1.62,1.62,1.62,1.62,200,0.0,0.0
1994-04-20,1.65,1.65,1.65,1.65,0,0.13,0.0
1994-04-21,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-04-22,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-04-25,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-04-26,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-04-28,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-04-29,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-05-02,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-05-03,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-05-04,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-05-05,1.65,1.65,1.65,1.65,0,0.0,0.0
1994-05-06,1.54,1.58,1.54,1.58,1300,0.0,0.0
1994-05-09,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-10,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-11,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-12,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-13,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-16,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-17,1.58,1.58,1.58,1.58,0,0.0,0.0
1994-05-18,1.63,1.63,1.63,1.63,200,0.0,0.0
1994-05-19,1.63,1.63,1.63,1.63,0,0.0,0.0
1994-05-20,1.63,1.63,1.63,1.63,0,0.0,0.0
1994-05-23,1.63,1.63,1.63,1.63,0,0.0,0.0
1994-05-24,1.63,1.63,1.63,1.63,0,0.0,0.0
1994-05-25,1.63,1.63,1.63,1.63,0,0.0,0.0
1994-05-26,1.63,1.63,1.63,1.63,0,0.0,0.0
