Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-11-19,3.77,3.77,3.77,3.77,1000,0.0,0.0
1996-11-20,3.77,3.77,3.77,3.77,5000,0.0,0.0
1996-11-21,3.98,3.98,3.98,3.98,4800,0.0,0.0
1996-11-22,3.98,4.08,3.98,4.08,10800,0.0,0.0
1996-11-25,4.08,4.18,4.08,4.18,2400,0.0,0.0
1996-11-26,4.03,4.23,4.03,4.08,15800,0.0,0.0
1996-11-27,4.08,4.08,4.08,4.08,0,0.0,0.0
1996-11-29,4.34,4.34,4.34,4.34,1200,0.0,0.0
1996-12-02,4.34,4.34,4.34,4.34,200,0.0,0.0
1996-12-03,4.03,4.39,4.03,4.39,14400,0.0,0.0
1996-12-04,4.18,4.28,4.18,4.28,3000,0.0,0.0
1996-12-05,4.39,4.39,4.23,4.39,33000,0.0,0.0
1996-12-06,4.39,4.39,4.39,4.39,12800,0.0,0.0
1996-12-09,4.39,4.39,4.08,4.08,3200,0.0,0.0
1996-12-10,4.39,4.39,4.18,4.18,2200,0.0,0.0
1996-12-11,4.18,4.18,4.18,4.18,0,0.0,0.0
1996-12-12,4.18,4.18,4.18,4.18,0,0.0,0.0
1996-12-13,4.39,4.39,4.39,4.39,600,0.0,0.0
1996-12-16,4.39,4.39,4.28,4.28,3200,0.0,0.0
1996-12-17,4.18,4.39,4.18,4.18,10600,0.0,0.0
1996-12-18,4.18,4.18,4.18,4.18,2000,0.0,0.0
1996-12-19,4.18,4.18,4.18,4.18,0,0.0,0.0
1996-12-20,4.08,4.08,4.08,4.08,200,0.0,0.0
1996-12-23,4.08,4.08,4.08,4.08,800,0.0,0.0
1996-12-24,4.08,4.08,4.08,4.08,0,0.0,0.0
1996-12-26,4.08,4.08,4.08,4.08,0,0.0,0.0
1996-12-27,4.08,4.08,4.08,4.08,0,0.0,0.0
1996-12-30,4.08,4.08,4.08,4.08,0,0.0,0.0
1996-12-31,4.08,4.08,4.08,4.08,0,0.0,0.0
1997-01-02,4.39,4.39,4.39,4.39,2000,0.0,0.0
1997-01-03,4.49,4.49,4.39,4.49,4400,0.0,0.0
1997-01-06,4.49,4.49,4.39,4.39,4000,0.0,0.0
1997-01-07,4.28,4.28,4.28,4.28,1000,0.0,0.0
1997-01-08,4.49,4.49,4.39,4.39,5000,0.0,0.0
1997-01-09,4.59,4.59,4.39,4.54,11000,0.0,0.0
1997-01-10,4.69,4.79,4.49,4.49,10400,0.0,0.0
1997-01-13,4.64,4.79,4.64,4.79,8000,0.0,0.0
1997-01-14,4.9,5.0,4.9,4.9,4200,0.0,0.0
1997-01-15,5.0,5.2,4.79,4.9,10800,0.0,0.0
1997-01-16,5.3,5.3,5.3,5.3,2800,0.0,0.0
1997-01-17,5.3,5.3,5.0,5.0,9000,0.0,0.0
1997-01-20,5.3,5.3,5.3,5.3,1200,0.0,0.0
1997-01-21,5.3,5.3,4.9,4.9,5400,0.0,0.0
1997-01-22,5.3,5.3,5.1,5.1,5600,0.0,0.0
1997-01-23,5.0,5.0,5.0,5.0,400,0.0,0.0
1997-01-24,5.3,5.3,5.3,5.3,200,0.0,0.0
1997-01-27,5.3,5.3,5.3,5.3,0,0.0,0.0
1997-01-28,5.3,5.3,5.3,5.3,1000,0.0,0.0
1997-01-29,5.3,5.3,5.3,5.3,8000,0.0,0.0
1997-01-30,5.3,5.3,5.3,5.3,8400,0.0,0.0
1997-01-31,5.3,5.3,5.3,5.3,4000,0.0,0.0
1997-02-03,5.51,5.66,5.51,5.66,2200,0.0,0.0
1997-02-04,5.66,5.66,5.66,5.66,0,0.0,0.0
1997-02-05,5.66,5.66,5.66,5.66,200,0.0,0.0
1997-02-06,5.3,5.61,5.3,5.61,25200,0.0,0.0
1997-02-07,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-02-10,5.66,5.66,5.51,5.66,9400,0.0,0.0
1997-02-11,5.3,5.66,5.3,5.66,1400,0.0,0.0
1997-02-12,5.66,5.66,5.66,5.66,1600,0.0,0.0
1997-02-13,5.66,5.71,5.66,5.71,12000,0.0,0.0
1997-02-14,5.36,5.36,5.36,5.36,1600,0.0,0.0
1997-02-18,5.36,5.36,5.36,5.36,0,0.0,0.0
1997-02-19,5.76,5.76,5.46,5.76,8000,0.0,0.0
1997-02-20,5.76,5.97,5.71,5.81,20800,0.0,0.0
1997-02-21,6.12,6.12,6.12,6.12,2600,0.0,0.0
1997-02-24,6.17,6.17,6.17,6.17,1800,0.0,0.0
1997-02-25,6.17,6.17,6.17,6.17,200,0.0,0.0
1997-02-26,6.17,6.17,5.71,5.71,4600,0.0,0.0
1997-02-27,5.92,5.92,5.71,5.71,4200,0.0,0.0
1997-02-28,5.66,5.92,5.66,5.92,3200,0.0,0.0
1997-03-03,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-03-04,5.56,5.92,5.56,5.56,13600,0.0,0.0
1997-03-05,5.56,5.56,5.56,5.56,0,0.0,0.0
1997-03-06,5.56,5.56,5.56,5.56,0,0.0,0.0
1997-03-07,5.81,5.81,5.81,5.81,2800,0.0,0.0
1997-03-10,5.81,5.81,5.81,5.81,200,0.0,0.0
1997-03-11,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-03-12,5.61,5.81,5.61,5.81,1600,0.0,0.0
1997-03-13,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-03-14,5.51,5.61,5.51,5.61,1600,0.0,0.0
1997-03-17,5.51,5.56,5.51,5.56,8800,0.0,0.0
1997-03-18,5.51,5.51,5.51,5.51,2000,0.0,0.0
1997-03-19,5.92,5.92,5.51,5.51,3400,0.0,0.0
1997-03-20,5.97,6.32,5.71,5.71,28800,0.0,0.0
1997-03-21,5.71,5.71,5.71,5.71,0,0.0,0.0
1997-03-24,6.32,6.32,6.12,6.12,400,0.0,0.0
1997-03-25,6.32,6.32,6.22,6.32,2000,0.0,0.0
1997-03-26,6.32,6.73,6.12,6.73,14600,0.0,0.0
1997-03-27,6.73,6.73,5.92,6.73,3000,0.0,0.0
1997-03-31,5.92,5.92,5.92,5.92,4000,0.0,0.0
1997-04-01,5.71,5.71,5.71,5.71,1000,0.0,0.0
1997-04-02,5.92,6.12,5.92,6.02,10600,0.0,0.0
1997-04-03,5.92,5.92,5.92,5.92,1200,0.0,0.0
1997-04-04,6.22,6.22,5.92,5.92,75800,0.0,0.0
1997-04-07,5.81,6.22,5.81,5.81,14200,0.0,0.0
1997-04-08,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-04-09,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-04-10,5.81,5.81,5.81,5.81,200,0.0,0.0
1997-04-11,6.02,6.02,6.02,6.02,800,0.0,0.0
1997-04-14,5.81,5.81,5.81,5.81,600,0.0,0.0
1997-04-15,5.71,6.12,5.71,6.12,1000,0.0,0.0
1997-04-16,6.12,6.12,6.12,6.12,400,0.0,0.0
1997-04-17,6.12,6.12,6.12,6.12,0,0.0,0.0
1997-04-18,6.12,6.12,6.12,6.12,0,0.0,0.0
1997-04-21,6.12,6.12,6.12,6.12,0,0.0,0.0
1997-04-22,5.71,5.71,5.71,5.71,4000,0.0,0.0
1997-04-23,5.71,5.71,5.71,5.71,3000,0.0,0.0
1997-04-24,6.02,6.02,6.02,6.02,1000,0.0,0.0
1997-04-25,6.02,6.02,6.02,6.02,0,0.0,0.0
1997-04-28,6.02,6.02,6.02,6.02,0,0.0,0.0
1997-04-29,6.02,6.02,6.02,6.02,0,0.0,0.0
1997-04-30,6.02,6.02,6.02,6.02,0,0.0,0.0
1997-05-01,5.51,5.71,5.51,5.71,4200,0.0,0.0
1997-05-02,5.81,5.81,5.81,5.81,200,0.0,0.0
1997-05-05,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-05-06,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-05-07,5.81,5.81,5.81,5.81,0,0.0,0.0
1997-05-08,5.51,5.51,5.51,5.51,3200,0.0,0.0
1997-05-09,5.51,5.51,5.51,5.51,0,0.0,0.0
1997-05-12,5.71,5.71,5.71,5.71,1400,0.0,0.0
1997-05-13,5.71,5.71,5.71,5.71,0,0.0,0.0
1997-05-14,5.92,5.92,5.92,5.92,400,0.0,0.0
1997-05-15,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-16,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-19,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-20,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-21,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-22,5.92,5.92,5.92,5.92,200,0.0,0.0
1997-05-23,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-27,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-28,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-29,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-05-30,5.92,5.92,5.92,5.92,0,0.0,0.0
1997-06-02,5.92,5.92,5.92,5.92,200,0.0,0.0
1997-06-03,5.51,5.51,5.51,5.51,4400,0.0,0.0
1997-06-04,5.51,5.51,5.51,5.51,0,0.0,0.0
1997-06-05,5.51,5.51,5.51,5.51,0,0.0,0.0
1997-06-06,5.71,5.71,5.71,5.71,400,0.0,0.0
1997-06-09,5.76,5.76,5.76,5.76,400,0.0,0.0
1997-06-10,5.71,5.71,5.71,5.71,600,0.0,0.0
1997-06-11,5.71,5.71,5.71,5.71,600,0.0,0.0
1997-06-12,5.41,5.41,5.41,5.41,1000,0.0,0.0
1997-06-13,5.61,5.61,5.61,5.61,800,0.0,0.0
1997-06-16,5.61,5.61,5.61,5.61,400,0.0,0.0
1997-06-17,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-06-18,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-06-19,5.41,5.41,5.41,5.41,600,0.0,0.0
1997-06-20,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-06-23,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-06-24,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-06-25,5.61,5.61,5.61,5.61,800,0.0,0.0
1997-06-26,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-06-27,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-06-30,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-07-01,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-07-02,5.41,5.51,5.41,5.41,10000,0.0,0.0
1997-07-03,5.51,5.51,5.51,5.51,400,0.0,0.0
1997-07-07,5.61,5.61,5.61,5.61,200,0.0,0.0
1997-07-08,5.61,5.61,5.61,5.61,600,0.0,0.0
1997-07-09,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-07-10,5.41,5.61,5.41,5.41,2400,0.0,0.0
1997-07-11,5.61,5.61,5.61,5.61,200,0.0,0.0
1997-07-14,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-07-15,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-07-16,5.61,5.61,5.61,5.61,0,0.0,0.0
1997-07-17,5.71,5.71,5.41,5.51,17200,0.0,0.0
1997-07-18,5.51,5.51,5.51,5.51,0,0.0,0.0
1997-07-21,5.51,5.51,5.51,5.51,1000,0.0,0.0
1997-07-22,5.51,5.61,5.3,5.61,13800,0.0,0.0
1997-07-23,5.61,5.61,5.3,5.3,4200,0.0,0.0
1997-07-24,5.61,5.61,5.61,5.61,1600,0.0,0.0
1997-07-25,5.3,5.3,5.3,5.3,4200,0.0,0.0
1997-07-28,5.51,5.51,5.51,5.51,800,0.0,0.0
1997-07-29,5.2,5.3,5.2,5.2,3600,0.0,0.0
1997-07-30,5.2,5.2,5.2,5.2,0,0.0,0.0
1997-07-31,5.41,5.41,5.41,5.41,400,0.0,0.0
1997-08-01,5.51,5.51,5.51,5.51,200,0.0,0.0
1997-08-04,5.3,5.3,5.3,5.3,12000,0.0,0.0
1997-08-05,5.15,5.15,5.15,5.15,200,0.0,0.0
1997-08-06,5.15,5.3,5.15,5.3,3000,0.0,0.0
1997-08-07,5.2,5.3,5.2,5.3,2000,0.0,0.0
1997-08-08,5.3,5.3,5.3,5.3,0,0.0,0.0
1997-08-11,5.3,5.3,5.3,5.3,0,0.0,0.0
1997-08-12,5.41,5.41,5.1,5.1,1400,0.0,0.0
1997-08-13,5.1,5.1,5.1,5.1,0,0.0,0.0
1997-08-14,5.1,5.1,5.1,5.1,1000,0.0,0.0
1997-08-15,5.1,5.1,5.1,5.1,0,0.0,0.0
1997-08-18,5.1,5.1,5.1,5.1,0,0.0,0.0
1997-08-19,5.1,5.1,5.1,5.1,0,0.0,0.0
1997-08-20,5.41,5.41,5.41,5.41,2000,0.0,0.0
1997-08-21,5.41,5.41,5.41,5.41,2000,0.0,0.0
1997-08-22,5.3,5.3,5.3,5.3,2000,0.0,0.0
1997-08-25,5.3,5.3,5.3,5.3,4000,0.0,0.0
1997-08-26,5.3,5.3,5.3,5.3,0,0.0,0.0
1997-08-27,5.41,5.41,5.41,5.41,11000,0.0,0.0
1997-08-28,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-08-29,5.61,5.61,5.3,5.3,3800,0.0,0.0
1997-09-02,5.3,5.3,5.3,5.3,0,0.0,0.0
1997-09-03,5.61,5.61,5.41,5.41,7200,0.0,0.0
1997-09-04,5.51,5.51,5.41,5.41,4200,0.0,0.0
1997-09-05,5.41,5.41,5.41,5.41,1800,0.0,0.0
1997-09-08,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-09-09,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-09-10,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-09-11,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-09-12,5.41,5.41,5.41,5.41,0,0.0,0.0
1997-09-15,5.51,5.51,5.51,5.51,600,0.0,0.0
1997-09-16,5.3,5.3,5.3,5.3,3200,0.0,0.0
1997-09-17,5.3,5.3,5.3,5.3,1000,0.0,0.0
1997-09-18,5.3,5.3,5.3,5.3,0,0.0,0.0
1997-09-19,5.56,5.56,5.36,5.56,4200,0.0,0.0
1997-09-22,5.41,5.41,5.41,5.41,400,0.0,0.0
1997-09-23,5.3,5.3,5.3,5.3,1400,0.0,0.0
1997-09-24,5.2,5.2,5.2,5.2,2000,0.0,0.0
1997-09-25,5.2,5.2,5.2,5.2,0,0.0,0.0
1997-09-26,5.3,5.3,5.2,5.2,2200,0.0,0.0
1997-09-29,5.3,5.51,5.3,5.51,10000,0.0,0.0
1997-09-30,5.41,5.71,5.41,5.41,13000,0.0,0.0
1997-10-01,5.71,6.83,5.51,6.63,57400,0.0,0.0
1997-10-02,6.12,6.73,6.12,6.73,3600,0.0,0.0
1997-10-03,6.22,6.83,6.22,6.83,3000,0.0,0.0
1997-10-06,6.43,6.81,6.43,6.53,6000,0.0,0.0
