Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-28,1.395,1.395,1.395,1.395,1200,0,0
2015-01-29,1.355,1.355,1.345,1.345,4000,0,0
2015-01-30,1.345,1.345,1.345,1.345,0,0,0
2015-02-02,1.345,1.345,1.345,1.345,0,0,0
2015-02-03,1.345,1.345,1.345,1.345,0,0,0
2015-02-04,1.345,1.345,1.345,1.345,0,0,0
2015-02-05,1.345,1.345,1.345,1.345,0,0,0
2015-02-06,1.345,1.345,1.345,1.345,0,0,0
2015-02-09,1.345,1.345,1.345,1.345,0,0,0
2015-02-10,1.345,1.345,1.345,1.345,0,0,0
2015-02-11,1.455,1.455,1.455,1.455,100,0,0
2015-02-12,1.455,1.455,1.455,1.455,0,0,0
2015-02-13,1.455,1.455,1.455,1.455,0,0,0
2015-02-17,1.455,1.455,1.455,1.455,0,0,0
2015-02-18,1.455,1.455,1.455,1.455,0,0,0
2015-02-19,1.455,1.455,1.455,1.455,0,0,0
2015-02-20,1.455,1.455,1.455,1.455,0,0,0
2015-02-23,1.455,1.455,1.455,1.455,0,0,0
2015-02-24,1.455,1.455,1.455,1.455,0,0,0
2015-02-25,1.443,1.443,1.443,1.443,1020,0,0
2015-02-26,1.443,1.443,1.443,1.443,0,0,0
2015-02-27,1.403,1.403,1.393,1.393,6000,0,0
2015-03-02,1.393,1.393,1.393,1.393,0,0,0
2015-03-03,1.393,1.393,1.393,1.393,0,0,0
2015-03-04,1.505,1.553,1.505,1.515,2200,0,0
2015-03-05,1.515,1.515,1.515,1.515,0,0,0
2015-03-06,1.46,1.46,1.46,1.46,1750,0,0
2015-03-09,1.46,1.46,1.46,1.46,0,0,0
2015-03-10,1.453,1.453,1.453,1.453,2100,0,0
2015-03-11,1.453,1.453,1.3257,1.453,2250,0,0
2015-03-12,1.453,1.453,1.453,1.453,0,0,0
2015-03-13,1.453,1.453,1.453,1.453,0,0,0
2015-03-16,1.453,1.453,1.453,1.453,0,0,0
