Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-01-25,0.0,0.83,0.81,0.81,8000.0,0.0,0.0
1995-01-26,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-01-27,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-01-30,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-01-31,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-02-01,0.0,0.83,0.83,0.83,200.0,0.0,0.0
1995-02-02,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-03,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-06,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-07,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-08,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-09,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-10,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-13,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-14,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-15,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-16,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-17,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-21,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-22,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-23,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-24,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-27,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-02-28,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-03-01,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-03-02,0.83,0.83,0.83,0.83,0.0,0.0,0.0
1995-03-03,0.0,0.83,0.81,0.81,20000.0,0.0,0.0
1995-03-06,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-07,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-08,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-09,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-10,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-13,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-14,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-15,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-16,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-17,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-20,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-21,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-22,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-23,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-24,0.81,0.81,0.81,0.81,0.0,0.0,0.0
1995-03-27,0.0,0.89,0.87,0.87,4200.0,0.0,0.0
1995-03-28,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-03-29,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-03-30,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-03-31,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-03,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-04,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-05,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-06,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-07,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-10,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-11,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-12,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-13,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-17,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-18,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-19,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-20,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-21,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-24,0.87,0.87,0.87,0.87,0.0,0.0,0.0
1995-04-25,0.0,0.95,0.95,0.95,2000.0,0.0,0.0
1995-04-26,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-04-27,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-04-28,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-05-01,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-05-02,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-05-03,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-05-04,0.95,0.95,0.95,0.95,0.0,0.0,0.0
1995-05-05,0.0,1.07,1.02,1.02,6000.0,0.0,0.0
1995-05-08,1.02,1.02,1.02,1.02,0.0,0.0,0.0
