Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-03-16,7140.0,7140.0,5913.6001,6140.3999,2000,0,0.0
2004-03-17,6132.0,6300.0,5468.3999,5812.7998,400,0,0.0
2004-03-18,6090.0,6090.0,5552.3999,5703.6001,200,0,0.0
2004-03-19,5888.3999,5997.6001,5510.3999,5964.0,200,0,0.0
2004-03-22,5964.0,6014.3999,5796.0,5880.0,0,0,0.0
2004-03-23,5947.2002,6300.0,5880.0,6090.0,100,0,0.0
2004-03-24,6300.0,6375.6001,6098.3999,6375.6001,0,0,0.0
2004-03-25,6728.3999,6728.3999,6098.3999,6174.0,0,0,0.0
2004-03-26,6300.0,6300.0,6090.0,6090.0,0,0,0.0
2004-03-29,6300.0,6300.0,5796.0,5888.3999,0,0,0.0
2004-03-30,5905.2002,5980.7998,5796.0,5888.3999,0,0,0.0
2004-03-31,6300.0,6468.0,5888.3999,6291.6001,600,0,0.0
2004-04-01,6258.0,6258.0,5972.3999,6048.0,0,0,0.0
2004-04-02,6090.0,6090.0,5628.0,5670.0,300,0,0.0
2004-04-05,5804.3999,5863.2002,5485.2002,5493.6001,0,0,0.0
2004-04-06,5476.7998,5544.0,4746.0,5292.0,100,0,0.0
2004-04-07,5132.3999,5350.7998,5040.0,5325.6001,0,0,0.0
2004-04-08,5560.7998,5560.7998,5258.3999,5317.2002,0,0,0.0
2004-04-12,5544.0,5544.0,4981.2002,5040.0,100,0,0.0
2004-04-13,4972.7998,5174.3999,4956.0,5166.0,0,0,0.0
2004-04-14,5208.0,5208.0,5040.0,5166.0,0,0,0.0
2004-04-15,5040.0,5166.0,5040.0,5166.0,0,0,0.0
2004-04-16,5300.3999,5443.2002,5124.0,5308.7998,100,0,0.0
2004-04-19,5376.0,5779.2002,5292.0,5460.0,0,0,0.0
2004-04-20,5712.0,5712.0,5292.0,5292.0,0,0,0.0
2004-04-21,5460.0,5762.3999,5376.0,5476.7998,0,0,0.0
2004-04-22,5476.7998,5476.7998,5208.0,5367.6001,0,0,0.0
2004-04-23,5367.6001,5451.6001,5040.0,5140.7998,0,0,0.0
2004-04-26,5628.0,5670.0,5283.6001,5359.2002,100,0,0.0
2004-04-27,5460.0,5460.0,5342.3999,5460.0,0,0,0.0
2004-04-28,5695.2002,5695.2002,5350.7998,5350.7998,0,0,0.0
2004-04-29,5502.0,5628.0,5250.0,5283.6001,0,0,0.0
2004-04-30,5460.0,5544.0,4872.0,5166.0,0,0,0.0
2004-05-03,5208.0,5502.0,5082.0,5317.2002,0,0,0.0
2004-05-04,5502.0,5527.2002,4972.7998,5308.7998,100,0,0.0
2004-05-05,5040.0,5460.0,5040.0,5132.3999,0,0,0.0
2004-05-06,5493.6001,5493.6001,5040.0,5166.0,0,0,0.0
2004-05-07,5124.0,5367.6001,5124.0,5367.6001,0,0,0.0
2004-05-10,5040.0,5367.6001,5040.0,5090.3999,0,0,0.0
2004-05-11,4964.3999,5191.2002,4964.3999,5040.0,0,0,0.0
2004-05-12,5040.0,5166.0,4922.3999,5040.0,0,0,0.0
2004-05-13,5082.0,5166.0,5040.0,5040.0,0,0,0.0
2004-05-14,5040.0,5040.0,4956.0,5023.2002,0,0,0.0
2004-05-17,4956.0,5040.0,4956.0,4956.0,0,0,0.0
2004-05-18,4956.0,5014.7998,4956.0,4956.0,0,0,0.0
2004-05-19,4956.0,5040.0,4956.0,4964.3999,0,0,0.0
2004-05-20,4956.0,4956.0,4830.0,4830.0,0,0,0.0
2004-05-21,4796.3999,4796.3999,4788.0,4788.0,0,0,0.0
2004-05-24,4704.0,4788.0,4704.0,4704.0,0,0,0.0
2004-05-25,4704.0,5023.2002,4510.7998,4712.3999,0,0,0.0
2004-05-26,4620.0,5014.7998,4620.0,4872.0,0,0,0.0
2004-05-27,4872.0,4872.0,4620.0,4704.0,0,0,0.0
2004-05-28,4704.0,4754.3999,4250.3999,4410.0,0,0,0.0
2004-06-01,4368.0,4771.2002,4368.0,4410.0,0,0,0.0
2004-06-02,4452.0,4830.0,4384.7998,4788.0,0,0,0.0
2004-06-03,4872.0,4872.0,4410.0,4468.7998,0,0,0.0
2004-06-04,4620.0,4620.0,4435.2002,4510.7998,0,0,0.0
2004-06-07,4620.0,4788.0,4384.7998,4384.7998,0,0,0.0
2004-06-08,4435.2002,4435.2002,4132.7998,4284.0,0,0,0.0
2004-06-09,4200.0,4200.0,3729.6001,3948.0,0,0,0.0
2004-06-10,3948.0,4048.8,3536.3999,3544.8,0,0,0.0
2004-06-14,3519.6001,3780.0,3360.0,3444.0,0,0,0.0
2004-06-15,3402.0,3670.8,3402.0,3561.6001,0,0,0.0
2004-06-16,3612.0,3612.0,3460.8,3511.2,0,0,0.0
2004-06-17,3444.0,3444.0,3444.0,3444.0,0,0,0.0
2004-06-18,3696.0,3696.0,3444.0,3444.0,0,0,0.0
2004-06-21,3452.3999,3670.8,3452.3999,3486.0,0,0,0.0
2004-06-22,3494.3999,3570.0,3486.0,3570.0,0,0,0.0
2004-06-23,3645.6001,3645.6001,3444.0,3486.0,0,0,0.0
2004-06-24,3570.0,3570.0,3444.0,3570.0,0,0,0.0
2004-06-25,3612.0,3780.0,3570.0,3628.8,0,0,0.0
