Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-04-02,6.16,6.71,5.61,5.61,8945000,0.0,0
2009-04-03,5.48,5.76,5.4,5.44,1473000,0.0,0
2009-04-06,5.52,6.09,5.32,6.06,1195600,0.0,0
2009-04-07,6.11,6.78,6.06,6.68,1719200,0.0,0
2009-04-08,6.87,6.99,6.32,6.52,760500,0.0,0
2009-04-09,6.73,7.01,6.55,7.01,631400,0.0,0
2009-04-13,7.03,8.27,6.86,7.85,1565700,0.0,0
2009-04-14,8.21,8.21,7.29,7.55,817000,0.0,0
2009-04-15,7.36,8.13,7.36,7.65,605800,0.0,0
2009-04-16,7.92,7.98,7.34,7.65,576700,0.0,0
2009-04-17,7.73,8.15,7.36,7.54,684700,0.0,0
2009-04-20,7.4,7.48,6.69,6.95,738000,0.0,0
2009-04-21,6.76,7.21,6.72,6.94,402100,0.0,0
2009-04-22,6.91,7.85,6.88,7.34,595300,0.0,0
2009-04-23,7.47,7.55,7.1,7.26,275400,0.0,0
2009-04-24,7.45,7.85,7.31,7.46,495900,0.0,0
2009-04-27,7.29,8.06,7.2,7.51,462400,0.0,0
2009-04-28,7.43,8.62,7.37,7.85,1682600,0.0,0
2009-04-29,8.08,8.76,7.99,8.7,1227600,0.0,0
2009-04-30,8.91,9.38,8.41,8.62,1122400,0.0,0
2009-05-01,8.83,9.05,8.45,9.01,825500,0.0,0
2009-05-04,10.49,10.57,9.08,9.14,2936400,0.0,0
2009-05-05,9.34,9.47,8.93,8.97,660500,0.0,0
2009-05-06,8.94,9.38,8.73,9.08,513400,0.0,0
2009-05-07,9.13,9.16,8.39,8.68,802400,0.0,0
2009-05-08,8.69,8.89,8.41,8.41,491500,0.0,0
2009-05-11,8.27,8.53,8.13,8.35,489700,0.0,0
2009-05-12,8.67,8.67,8.28,8.28,506100,0.0,0
2009-05-13,8.25,8.31,7.58,7.64,663900,0.0,0
2009-05-14,7.77,8.48,7.57,8.24,759500,0.0,0
2009-05-15,8.4,8.5,8.08,8.32,345200,0.0,0
2009-05-18,8.46,8.54,8.03,8.47,345600,0.0,0
2009-05-19,8.48,8.9,8.31,8.53,545500,0.0,0
2009-05-20,8.64,8.67,8.18,8.24,359000,0.0,0
2009-05-21,8.26,8.26,7.59,7.8,464900,0.0,0
2009-05-22,7.9,8.18,7.75,8.13,153200,0.0,0
2009-05-26,8.39,9.53,8.37,9.43,1404100,0.0,0
2009-05-27,9.51,9.84,8.89,8.96,1036000,0.0,0
2009-05-28,9.11,9.22,8.92,8.97,631900,0.0,0
2009-05-29,9.0,9.22,8.83,9.22,411400,0.0,0
2009-06-01,9.5,10.15,9.42,10.02,979700,0.0,0
2009-06-02,10.02,10.85,9.86,10.55,991900,0.0,0
2009-06-03,10.37,11.14,10.32,10.79,948700,0.0,0
2009-06-04,10.79,11.07,10.32,11.02,711700,0.0,0
2009-06-05,11.21,11.41,10.79,10.87,708600,0.0,0
2009-06-08,10.57,11.02,10.33,10.84,531500,0.0,0
2009-06-09,10.96,11.84,10.8,11.73,921600,0.0,0
2009-06-10,11.88,12.4,11.18,12.29,1039600,0.0,0
2009-06-11,12.25,12.57,11.97,12.01,523700,0.0,0
2009-06-12,12.01,12.33,11.43,11.61,771400,0.0,0
2009-06-15,11.45,11.73,10.69,10.82,741400,0.0,0
2009-06-16,11.0,11.19,9.93,9.97,1195600,0.0,0
2009-06-17,10.01,10.08,9.29,9.81,1342000,0.0,0
2009-06-18,9.93,10.62,9.73,10.44,855200,0.0,0
2009-06-19,10.65,10.96,10.62,10.8,665200,0.0,0
2009-06-22,10.72,10.72,9.81,9.91,546600,0.0,0
2009-06-23,9.93,10.33,9.53,10.25,590500,0.0,0
2009-06-24,10.5,10.98,10.46,10.94,603500,0.0,0
2009-06-25,10.9,12.19,10.59,12.07,1134300,0.0,0
2009-06-26,12.14,12.88,11.91,12.76,1342400,0.0,0
2009-06-29,13.1,13.13,11.44,11.76,1805400,0.0,0
2009-06-30,11.71,11.75,10.73,10.75,1705600,0.0,0
2009-07-01,10.82,11.79,10.82,11.47,1100000,0.0,0
2009-07-02,11.01,11.27,10.7,11.15,804800,0.0,0
2009-07-06,10.93,11.46,10.82,11.16,650400,0.0,0
2009-07-07,11.19,11.88,10.7,10.77,1268800,0.0,0
2009-07-08,10.9,11.07,10.12,10.44,1150200,0.0,0
2009-07-09,10.55,11.1,10.42,11.07,748500,0.0,0
2009-07-10,10.88,11.14,10.54,10.77,410600,0.0,0
2009-07-13,11.02,11.08,10.37,10.54,498400,0.0,0
2009-07-14,10.65,10.93,10.45,10.82,425700,0.0,0
2009-07-15,11.07,12.02,11.01,11.96,1354500,0.0,0
2009-07-16,11.77,12.17,11.57,12.01,723800,0.0,0
2009-07-17,12.03,12.03,11.49,11.58,522000,0.0,0
2009-07-20,11.77,12.88,11.68,12.69,1517600,0.0,0
2009-07-21,12.89,12.93,12.12,12.34,733700,0.0,0
2009-07-22,12.26,13.55,12.11,12.54,2022100,0.0,0
2009-07-23,12.4,12.92,11.49,11.54,3428500,0.0,0
2009-07-24,11.2,12.04,11.1,11.67,1817000,0.0,0
2009-07-27,11.58,11.95,10.45,10.7,3558100,0.0,0
2009-07-28,10.55,11.07,10.51,10.84,1153900,0.0,0
2009-07-29,10.65,10.76,10.38,10.44,952400,0.0,0
2009-07-30,10.63,10.72,10.03,10.11,1158700,0.0,0
2009-07-31,10.02,10.63,9.95,10.3,835600,0.0,0
2009-08-03,10.45,10.63,10.18,10.36,738100,0.0,0
2009-08-04,10.36,10.75,10.28,10.59,577600,0.0,0
2009-08-05,10.56,11.21,10.54,11.21,1284400,0.0,0
2009-08-06,11.49,11.49,10.73,11.01,570900,0.0,0
2009-08-07,11.21,11.21,10.81,10.91,429600,0.0,0
2009-08-10,10.86,11.04,10.79,11.03,555200,0.0,0
2009-08-11,11.01,11.07,10.65,10.68,532100,0.0,0
2009-08-12,10.65,10.87,10.51,10.74,689100,0.0,0
2009-08-13,10.93,11.16,10.65,11.13,556500,0.0,0
2009-08-14,11.11,11.11,10.58,10.59,347800,0.0,0
2009-08-17,10.16,10.71,10.09,10.47,541700,0.0,0
2009-08-18,10.64,10.65,10.33,10.38,281800,0.0,0
2009-08-19,10.23,10.47,10.16,10.28,318200,0.0,0
2009-08-20,10.17,10.74,10.16,10.5,479400,0.0,0
2009-08-21,10.73,10.86,10.57,10.83,467300,0.0,0
2009-08-24,10.94,11.01,10.54,10.67,331100,0.0,0
2009-08-25,10.68,10.76,10.37,10.46,255900,0.0,0
2009-08-26,10.54,10.76,10.45,10.74,265600,0.0,0
2009-08-27,10.69,10.86,10.43,10.8,185900,0.0,0
2009-08-28,10.75,10.87,10.54,10.63,172500,0.0,0
2009-08-31,10.55,10.67,10.45,10.58,249700,0.0,0
2009-09-01,10.59,11.26,10.53,10.82,1029300,0.0,0
2009-09-02,10.79,10.86,10.45,10.55,255700,0.0,0
2009-09-03,10.64,10.76,10.57,10.68,112500,0.0,0
2009-09-04,10.65,11.03,10.65,10.94,393700,0.0,0
2009-09-08,11.14,11.7,11.04,11.53,1038200,0.0,0
2009-09-09,11.74,11.81,11.21,11.36,473200,0.0,0
2009-09-10,11.53,11.72,11.23,11.68,490700,0.0,0
2009-09-11,11.73,12.0,11.19,11.36,317100,0.0,0
2009-09-14,11.21,11.61,10.96,11.36,244500,0.0,0
2009-09-15,11.5,11.66,11.34,11.57,311600,0.0,0
2009-09-16,11.57,11.95,11.4,11.5,480000,0.0,0
2009-09-17,11.6,11.69,11.03,11.08,653800,0.0,0
