Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-03-30,11.04,11.04,9.9,10.12,271500,0.0,0.0
2004-03-31,10.06,10.22,10.06,10.22,86300,0.0,0.0
2004-04-01,10.22,10.43,10.1,10.43,50800,0.0,0.0
2004-04-02,10.23,10.6,10.23,10.36,35600,0.0,0.0
2004-04-05,10.39,10.84,10.39,10.84,26400,0.0,0.0
2004-04-06,10.43,10.55,10.43,10.43,3300,0.0,0.0
2004-04-07,10.51,10.73,10.51,10.71,7500,0.0,0.0
2004-04-08,10.59,10.63,10.27,10.55,21000,0.0,0.0
2004-04-12,10.47,10.47,10.44,10.44,5800,0.0,0.0
2004-04-13,10.44,10.44,10.22,10.22,15300,0.0,0.0
2004-04-14,10.02,10.22,9.82,9.82,22800,0.0,0.0
2004-04-15,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-04-16,9.41,9.41,9.28,9.28,8400,0.0,0.0
2004-04-19,9.37,9.73,9.2,9.49,5200,0.0,0.0
2004-04-20,9.41,9.45,9.2,9.2,1000,0.0,0.0
2004-04-21,9.2,10.63,9.2,9.82,3500,0.0,0.0
2004-04-22,10.43,10.43,10.43,10.43,1100,0.0,0.0
2004-04-23,10.43,10.43,10.43,10.43,0,0.0,0.0
2004-04-26,10.43,10.43,9.2,9.2,600,0.0,0.0
2004-04-27,9.2,9.2,9.2,9.2,0,0.0,0.0
2004-04-28,10.63,10.63,9.41,9.49,2800,0.0,0.0
2004-04-29,9.61,9.61,9.61,9.61,3600,0.0,0.0
2004-04-30,9.65,9.65,9.65,9.65,200,0.0,0.0
2004-05-03,9.65,9.65,9.65,9.65,3300,0.0,0.0
2004-05-04,9.82,9.82,9.82,9.82,400,0.0,0.0
2004-05-05,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-05-06,9.97,9.98,9.65,9.86,4700,0.0,0.0
2004-05-07,9.98,9.98,9.82,9.9,4400,0.0,0.0
2004-05-10,9.9,9.9,9.82,9.82,5500,0.0,0.0
2004-05-11,9.82,9.9,9.82,9.9,3200,0.0,0.0
2004-05-12,9.86,9.86,9.86,9.86,2800,0.0,0.0
2004-05-13,9.86,9.9,9.86,9.86,9800,0.0,0.0
2004-05-14,9.86,10.02,9.86,10.02,5100,0.0,0.0
2004-05-17,9.9,9.9,9.82,9.82,5000,0.0,0.0
2004-05-18,9.82,9.82,9.69,9.69,43900,0.0,0.0
2004-05-19,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-05-20,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-05-21,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-05-24,9.75,9.75,9.68,9.69,18300,0.0,0.0
2004-05-25,9.71,9.71,9.63,9.63,6500,0.0,0.0
2004-05-26,9.63,9.63,9.63,9.63,0,0.0,0.0
2004-05-27,9.63,9.63,9.63,9.63,0,0.0,0.0
2004-05-28,9.63,9.63,9.63,9.63,0,0.0,0.0
2004-06-01,9.71,9.71,9.69,9.71,10000,0.0,0.0
2004-06-02,9.71,9.71,9.69,9.69,2000,0.0,0.0
2004-06-03,9.71,9.77,9.69,9.77,5400,0.0,0.0
2004-06-04,9.73,9.73,9.73,9.73,500,0.0,0.0
2004-06-07,9.71,9.73,9.69,9.73,3700,0.0,0.0
2004-06-08,9.73,9.73,9.73,9.73,0,0.0,0.0
2004-06-09,9.73,9.73,9.73,9.73,0,0.0,0.0
2004-06-10,9.65,9.65,9.65,9.65,600,0.0,0.0
2004-06-14,9.65,9.65,9.65,9.65,0,0.0,0.0
2004-06-15,9.7,9.73,9.7,9.73,2800,0.0,0.0
2004-06-16,9.82,9.82,9.82,9.82,100,0.0,0.0
2004-06-17,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-06-18,9.82,9.82,9.69,9.69,3000,0.0,0.0
2004-06-21,9.69,9.69,9.69,9.69,1400,0.0,0.0
2004-06-22,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-06-23,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-06-24,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-06-25,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-06-28,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-06-29,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-06-30,9.82,9.82,9.82,9.82,400,0.0,0.0
2004-07-01,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-07-02,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-07-06,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-07-07,9.82,9.82,9.82,9.82,0,0.0,0.0
2004-07-08,10.1,10.1,10.1,10.1,300,0.0,0.0
2004-07-09,10.18,10.18,9.77,9.77,1300,0.0,0.0
2004-07-12,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-07-13,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-07-14,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-07-15,9.77,9.9,9.77,9.9,400,0.0,0.0
2004-07-16,9.9,9.9,9.9,9.9,0,0.0,0.0
2004-07-19,9.9,9.9,9.9,9.9,0,0.0,0.0
2004-07-20,9.77,9.77,9.77,9.77,1000,0.0,0.0
2004-07-21,9.77,9.77,9.77,9.77,700,0.0,0.0
2004-07-22,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-07-23,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-07-26,9.73,9.74,9.73,9.74,700,0.0,0.0
2004-07-27,9.74,9.74,9.74,9.74,0,0.0,0.0
2004-07-28,9.74,9.74,9.74,9.74,0,0.0,0.0
2004-07-29,9.73,9.73,9.73,9.73,200,0.0,0.0
2004-07-30,9.77,9.77,9.77,9.77,100,0.05,0.0
2004-08-02,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-08-03,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-08-04,9.77,9.77,9.77,9.77,0,0.0,0.0
2004-08-05,9.86,9.86,9.77,9.86,1100,0.0,0.0
2004-08-06,9.77,9.77,9.73,9.73,2300,0.0,0.0
2004-08-09,9.73,9.73,9.73,9.73,0,0.0,0.0
2004-08-10,9.73,9.73,9.73,9.73,0,0.0,0.0
2004-08-11,9.69,9.69,9.69,9.69,200,0.0,0.0
2004-08-12,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-13,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-16,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-17,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-18,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-19,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-20,9.69,9.69,9.69,9.69,200,0.0,0.0
2004-08-23,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-24,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-25,9.69,9.69,9.69,9.69,1700,0.0,0.0
2004-08-26,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-27,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-30,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-08-31,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-09-01,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-09-02,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-09-03,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-09-07,9.69,9.69,9.69,9.69,200,0.0,0.0
2004-09-08,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-09-09,9.69,9.69,9.69,9.69,200,0.0,0.0
2004-09-10,9.69,9.69,9.69,9.69,0,0.0,0.0
2004-09-13,9.86,9.86,9.82,9.82,1100,0.0,0.0
2004-09-14,9.94,10.06,9.94,10.06,1200,0.0,0.0
2004-09-15,10.06,10.27,10.06,10.06,1700,0.0,0.0
2004-09-16,10.27,10.27,10.06,10.06,1700,0.0,0.0
2004-09-17,10.1,10.47,10.1,10.47,1400,0.0,0.0
2004-09-20,10.27,10.27,10.23,10.27,4300,0.0,0.0
2004-09-21,10.23,10.23,10.23,10.23,200,0.0,0.0
2004-09-22,10.47,10.47,10.23,10.27,5600,0.0,0.0
2004-09-23,10.27,10.47,10.27,10.43,3400,0.0,0.0
2004-09-24,10.43,10.43,10.43,10.43,500,0.0,0.0
2004-09-27,10.43,10.43,10.43,10.43,0,0.0,0.0
2004-09-28,10.35,10.35,10.35,10.35,300,0.0,0.0
2004-09-29,10.39,10.39,10.39,10.39,500,0.0,0.0
2004-09-30,10.39,10.39,10.39,10.39,0,0.0,0.0
2004-10-01,10.39,10.39,10.39,10.39,0,0.0,0.0
2004-10-04,10.39,10.39,10.39,10.39,0,0.0,0.0
2004-10-05,10.35,10.43,10.35,10.43,1400,0.0,0.0
2004-10-06,10.43,10.43,10.27,10.27,400,0.0,0.0
2004-10-07,10.27,10.27,10.27,10.27,0,0.0,0.0
2004-10-08,10.47,10.47,10.47,10.47,1700,0.0,0.0
2004-10-11,10.47,10.47,10.47,10.47,0,0.0,0.0
2004-10-12,10.47,10.47,10.47,10.47,0,0.0,0.0
2004-10-13,10.47,10.47,10.47,10.47,700,0.0,0.0
2004-10-14,10.27,10.47,10.27,10.47,2300,0.0,0.0
2004-10-15,10.47,10.47,10.47,10.47,0,0.0,0.0
2004-10-18,10.39,10.43,10.39,10.43,700,0.0,0.0
2004-10-19,10.43,10.43,10.43,10.43,0,0.0,0.0
2004-10-20,10.43,10.47,10.43,10.47,800,0.0,0.0
2004-10-21,10.51,10.51,10.51,10.51,200,0.0,0.0
2004-10-22,10.51,10.51,10.51,10.51,0,0.0,0.0
2004-10-25,10.51,10.51,10.51,10.51,0,0.0,0.0
2004-10-26,10.64,10.64,10.64,10.64,600,0.0,0.0
2004-10-27,10.43,10.68,10.43,10.68,800,0.0,0.0
2004-10-28,10.6,10.88,10.6,10.88,2000,0.0,0.0
2004-10-29,10.88,10.88,10.88,10.88,200,0.0,0.0
2004-11-01,10.88,11.17,10.88,11.17,900,0.0,0.0
