Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-10-22,23.2,24.0,22.2,22.9,1239700,0,0
2014-10-23,23.68,28.5,23.23,28.5,175100,0,0
2014-10-24,25.53,27.0,24.71,27.0,178000,0,0
2014-10-27,25.05,26.77,25.0,26.51,252700,0,0
2014-10-28,24.85,25.79,24.82,25.5,199400,0,0
2014-10-29,24.77,25.37,24.53,24.99,320800,0,0
2014-10-30,24.75,25.36,24.64,25.05,78600,0,0
2014-10-31,24.19,25.46,24.01,25.26,233700,0,0
2014-11-03,25.63,25.63,24.96,25.28,100600,0,0
2014-11-04,24.74,25.19,24.67,25.0,71700,0,0
2014-11-05,24.99,25.18,24.85,25.18,131700,0,0
2014-11-06,24.89,24.97,24.1,24.31,38200,0,0
2014-11-07,24.39,24.39,23.2,23.74,37500,0,0
2014-11-10,23.73,24.91,23.29,23.71,35600,0,0
2014-11-11,23.96,24.37,23.66,24.25,34800,0,0
2014-11-12,23.76,24.07,23.4,23.53,86100,0,0
2014-11-13,23.84,25.34,23.8,24.75,58400,0,0
2014-11-14,24.57,24.57,23.89,24.17,15600,0,0
2014-11-17,24.05,24.74,24.02,24.54,44800,0,0
2014-11-18,24.51,24.99,24.49,24.99,25700,0,0
2014-11-19,25.1,25.49,24.7,25.38,58300,0,0
2014-11-20,25.1,25.6,24.88,25.58,21700,0,0
2014-11-21,25.14,25.98,25.14,25.43,98200,0,0
2014-11-24,25.32,25.8,25.07,25.6,24300,0,0
2014-11-25,25.56,25.67,25.16,25.51,52900,0,0
2014-11-26,25.29,25.55,24.97,25.55,32800,0,0
2014-11-28,25.34,25.78,25.17,25.57,19600,0,0
2014-12-01,25.39,25.67,25.21,25.42,80000,0,0
2014-12-02,25.48,27.04,25.42,26.47,65200,0,0
2014-12-03,26.5,26.73,26.12,26.16,36300,0,0
2014-12-04,26.28,26.44,25.91,26.09,19300,0,0
2014-12-05,26.09,26.1,25.58,25.99,39800,0,0
2014-12-08,26.0,26.94,25.94,26.6,32900,0,0
2014-12-09,25.78,26.19,25.16,26.18,123600,0,0
2014-12-10,26.04,26.35,25.83,25.99,73300,0,0
2014-12-11,25.63,27.2,25.48,26.75,81200,0,0
2014-12-12,26.28,27.59,26.08,27.02,86700,0,0
2014-12-15,26.75,27.19,26.03,26.34,117600,0,0
2014-12-16,26.09,26.09,25.52,25.91,88400,0,0
2014-12-17,26.23,26.52,26.14,26.31,30000,0,0
2014-12-18,25.9,26.47,25.9,26.44,37300,0,0
2014-12-19,26.88,27.27,26.4,27.18,42300,0,0
2014-12-22,27.31,27.44,26.77,27.04,37800,0,0
2014-12-23,27.44,27.44,26.13,26.15,65500,0,0
2014-12-24,26.6,26.87,26.45,26.81,26000,0,0
2014-12-26,26.86,27.16,26.72,27.11,35700,0,0
2014-12-29,26.75,26.95,26.59,26.59,38400,0,0
2014-12-30,26.49,26.97,26.37,26.81,24000,0,0
2014-12-31,26.99,27.3,26.62,27.12,48600,0,0
2015-01-02,27.13,28.4,27.13,28.2,92000,0,0
2015-01-05,27.68,27.89,27.4,27.51,16000,0,0
2015-01-06,26.87,27.2,26.67,26.77,23900,0,0
2015-01-07,26.43,26.9,25.6,26.65,36000,0,0
2015-01-08,26.61,27.25,26.6,27.11,28300,0,0
2015-01-09,26.73,27.13,26.69,27.12,12400,0,0
2015-01-12,27.43,27.43,26.74,26.87,67500,0,0
2015-01-13,26.73,27.22,26.73,26.86,14200,0,0
2015-01-14,26.75,27.51,26.62,27.45,51300,0,0
2015-01-15,26.88,27.05,26.7,26.88,21000,0,0
2015-01-16,26.47,27.07,26.37,26.81,137200,0,0
2015-01-20,26.94,26.94,25.74,25.76,75900,0,0
2015-01-21,25.15,26.3,24.89,25.55,122900,0,0
2015-01-22,25.14,26.22,25.12,25.7,150300,0,0
2015-01-23,25.24,25.49,25.14,25.43,57500,0,0
2015-01-26,25.35,25.74,25.25,25.44,12800,0,0
2015-01-27,25.45,25.94,25.45,25.94,28800,0,0
2015-01-28,25.72,26.21,25.46,25.49,109900,0,0
2015-01-29,24.65,25.11,24.38,24.9,84500,0,0
2015-01-30,24.13,24.67,24.0,24.29,68300,0,0
2015-02-02,23.46,26.0,23.16,23.61,233900,0,0
2015-02-03,23.13,23.6,22.91,23.26,299200,0,0
2015-02-04,22.99,23.32,22.88,23.01,73300,0,0
2015-02-05,22.78,22.85,22.39,22.77,110500,0,0
2015-02-06,22.19,22.35,21.5,21.86,303900,0,0
2015-02-09,21.84,22.82,21.76,22.69,65700,0,0
2015-02-10,22.53,23.18,22.53,22.93,100800,0,0
2015-02-11,22.38,22.68,22.23,22.37,33100,0,0
2015-02-12,22.38,22.68,22.24,22.68,27700,0,0
2015-02-13,21.85,22.41,21.81,22.15,72800,0,0
2015-02-17,22.83,23.21,22.79,23.03,29500,0,0
2015-02-18,22.73,23.25,22.65,23.25,45200,0,0
2015-02-19,22.73,23.25,22.73,23.25,46700,0,0
2015-02-20,22.93,23.44,22.78,23.34,75000,0,0
2015-02-23,23.14,23.96,23.05,23.62,250400,0,0
2015-02-24,23.63,23.71,23.02,23.32,311200,0,0
2015-02-25,22.56,22.81,22.24,22.45,222300,0,0
2015-02-26,22.32,22.32,21.79,22.05,185500,0,0
2015-02-27,21.94,22.11,21.58,21.67,180900,0,0
2015-03-02,21.97,22.11,21.22,21.85,194300,0,0
2015-03-03,21.7,21.7,21.17,21.42,99200,0,0
2015-03-04,21.44,21.51,21.05,21.16,24600,0,0
2015-03-05,21.29,21.47,21.12,21.19,39100,0,0
2015-03-06,21.06,21.24,20.74,20.84,141900,0,0
2015-03-09,20.96,21.27,20.95,21.23,178600,0,0
2015-03-10,21.06,21.4,20.88,20.88,137400,0,0
2015-03-11,20.71,21.15,20.65,20.8,408600,0,0
2015-03-12,20.81,20.96,20.59,20.66,103000,0,0
2015-03-13,20.53,20.73,20.26,20.62,504500,0,0
2015-03-16,21.0,21.27,20.71,21.25,188200,0,0
2015-03-17,21.07,21.43,21.05,21.25,246900,0,0
2015-03-18,21.78,22.81,21.73,22.77,938300,0,0
2015-03-19,22.17,22.67,22.07,22.59,204400,0,0
2015-03-20,22.86,24.07,22.78,23.82,225700,0,0
2015-03-23,23.54,23.78,23.05,23.63,165700,0,0
2015-03-24,23.51,23.62,23.05,23.42,330200,0,0
2015-03-25,23.4,23.79,23.15,23.72,424300,0,0
2015-03-26,21.52,23.44,21.48,23.31,282000,0,0
2015-03-27,23.58,23.58,22.6,23.12,143900,0,0
2015-03-30,22.86,23.56,22.79,23.24,68900,0,0
2015-03-31,22.88,23.46,22.74,23.36,143300,0,0
2015-04-01,23.25,23.47,23.02,23.33,182100,0,0
2015-04-02,23.25,24.91,23.22,24.69,279900,0,0
2015-04-06,24.68,25.15,24.33,24.47,55000,0,0
2015-04-07,24.04,24.48,23.9,24.34,101100,0,0
2015-04-08,24.39,26.04,24.38,26.0,548800,0,0
2015-04-09,26.8,27.99,26.4,27.44,327500,0,0
2015-04-10,26.68,27.25,26.35,26.58,179300,0,0
2015-04-13,26.01,26.03,25.1,25.32,1145800,0,0
2015-04-14,25.26,25.96,25.26,25.42,119000,0,0
2015-04-15,25.55,25.72,25.31,25.45,80100,0,0
2015-04-16,25.59,25.7,25.35,25.47,29600,0,0
2015-04-17,25.49,25.49,24.81,25.02,38100,0,0
2015-04-20,25.24,25.54,24.87,25.35,64700,0,0
2015-04-21,25.51,25.84,25.51,25.67,106100,0,0
2015-04-22,25.78,25.93,25.6,25.66,40900,0,0
2015-04-23,25.51,25.95,25.51,25.88,22400,0,0
2015-04-24,26.03,26.34,25.78,26.29,45600,0,0
2015-04-27,26.15,26.31,25.57,25.61,28400,0,0
2015-04-28,25.65,26.04,25.63,25.82,49800,0,0
2015-04-29,25.73,26.28,25.72,26.02,157700,0,0
2015-04-30,25.95,25.96,24.95,25.06,59700,0,0
2015-05-01,25.43,25.48,25.11,25.26,22100,0,0
2015-05-04,26.9,27.29,26.6,27.22,145300,0,0
2015-05-05,27.08,27.11,26.26,26.28,80900,0,0
2015-05-06,26.07,26.07,25.47,25.54,115700,0,0
2015-05-07,25.57,25.57,25.16,25.38,26500,0,0
2015-05-08,25.35,25.67,25.14,25.21,34300,0,0
2015-05-11,25.04,25.3,25.0,25.21,35200,0,0
2015-05-12,25.4,25.62,25.09,25.59,44300,0,0
2015-05-13,25.93,26.06,25.56,25.72,36500,0,0
2015-05-14,25.68,25.68,25.1,25.52,25000,0,0
2015-05-15,25.79,25.79,25.31,25.52,35300,0,0
2015-05-18,25.28,25.4,25.12,25.32,34900,0,0
2015-05-19,25.22,25.44,25.0,25.43,37900,0,0
2015-05-20,25.28,25.66,25.28,25.6,17800,0,0
2015-05-21,25.33,25.35,24.94,25.09,546000,0,0
2015-05-22,24.91,25.2,24.63,24.66,97500,0,0
2015-05-26,24.91,24.91,23.75,23.76,32200,0,0
2015-05-27,23.85,23.85,23.64,23.75,37300,0,0
2015-05-28,23.97,24.04,23.56,23.8,55700,0,0
2015-05-29,23.76,23.87,23.4,23.54,27100,0,0
2015-06-01,23.78,23.78,23.05,23.06,35000,0,0
2015-06-02,23.38,23.82,23.25,23.78,26000,0,0
2015-06-03,23.88,24.39,23.71,23.92,98400,0,0
2015-06-04,24.77,25.62,24.21,24.53,235000,0,0
2015-06-05,24.5,24.5,23.68,23.75,41200,0,0
2015-06-08,24.54,26.44,24.42,26.1,200800,0,0
2015-06-09,26.56,27.24,26.0,27.05,185800,0,0
2015-06-10,26.93,27.71,26.82,27.71,224800,0,0
2015-06-11,27.5,27.71,26.65,27.67,94700,0,0
2015-06-12,26.52,27.48,26.52,27.27,258100,0,0
2015-06-15,26.78,27.45,26.45,27.24,228100,0,0
2015-06-16,26.4,27.44,26.24,27.12,251400,0,0
2015-06-17,26.62,27.62,26.62,27.22,216200,0,0
2015-06-18,26.83,27.96,26.83,27.4,86000,0,0
2015-06-19,26.29,26.9,26.27,26.51,337200,0,0
2015-06-22,26.91,27.68,26.91,27.49,123100,0,0
2015-06-23,27.25,27.65,27.25,27.48,139800,0,0
2015-06-24,27.5,28.24,27.48,28.0,187800,0,0
2015-06-25,27.99,28.54,27.93,28.17,74500,0,0
2015-06-26,28.05,29.73,28.03,29.38,178700,0,0
2015-06-29,28.61,29.65,28.49,29.15,180500,0,0
2015-06-30,29.44,30.04,28.75,29.78,239400,0,0
2015-07-01,30.7,32.49,30.12,30.4,293500,0,0
2015-07-02,30.15,30.9,30.03,30.51,140600,0,0
2015-07-06,29.76,30.8,29.54,30.6,160300,0,0
2015-07-07,31.68,32.48,31.59,32.44,206200,0,0
2015-07-08,32.93,33.29,31.26,32.0,246600,0,0
2015-07-09,31.83,33.0,31.68,32.32,119800,0,0
2015-07-10,34.12,35.36,33.87,35.36,154200,0,0
2015-07-13,36.21,37.29,35.08,36.85,323100,0,0
2015-07-14,36.92,38.43,36.92,38.37,188700,0,0
2015-07-15,38.94,42.63,38.46,41.51,3168400,0,0
2015-07-16,40.93,42.06,40.7,41.1,568700,0,0
