Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-06-26,1.65,1.65,1.58,1.61,19982700,0.0,0.0
1996-06-27,1.6,1.64,1.6,1.63,6264600,0.0,0.0
1996-06-28,1.62,1.64,1.62,1.62,4206700,0.0,0.0
1996-07-01,1.64,1.64,1.62,1.63,2459700,0.0,0.0
1996-07-02,1.64,1.64,1.62,1.62,2759400,0.0,0.0
1996-07-03,1.64,1.67,1.62,1.65,5943600,0.0,0.0
1996-07-05,1.65,1.67,1.62,1.65,976900,0.0,0.0
1996-07-08,1.65,1.69,1.62,1.65,1557400,0.0,0.0
1996-07-09,1.67,1.69,1.65,1.67,503500,0.0,0.0
1996-07-10,1.65,1.69,1.64,1.65,2089900,0.0,0.0
1996-07-11,1.65,1.65,1.6,1.62,1448700,0.0,0.0
1996-07-12,1.62,1.62,1.6,1.62,546300,0.0,0.0
1996-07-15,1.64,1.64,1.58,1.62,903300,0.0,0.0
1996-07-16,1.6,1.64,1.58,1.62,2082300,0.0,0.0
1996-07-17,1.64,1.65,1.62,1.64,753900,0.0,0.0
1996-07-18,1.65,1.65,1.64,1.65,378000,0.0,0.0
1996-07-19,1.65,1.65,1.64,1.65,746700,0.0,0.0
1996-07-22,1.67,1.67,1.64,1.64,484800,0.0,0.0
1996-07-23,1.65,1.65,1.64,1.64,262000,0.0,0.0
1996-07-24,1.64,1.65,1.64,1.64,1251000,0.0,0.0
1996-07-25,1.64,1.65,1.64,1.65,123400,0.0,0.0
1996-07-26,1.65,1.65,1.64,1.64,1005900,0.0,0.0
1996-07-29,1.67,1.67,1.65,1.67,382900,0.0,0.0
1996-07-30,1.65,1.67,1.65,1.65,399700,0.0,0.0
1996-07-31,1.65,1.65,1.64,1.65,393400,0.0,0.0
1996-08-01,1.64,1.65,1.64,1.64,1235800,0.0,0.0
1996-08-02,1.65,1.67,1.64,1.67,2019100,0.0,0.0
1996-08-05,1.67,1.68,1.65,1.68,1985800,0.0,0.0
1996-08-06,1.65,1.72,1.65,1.72,1010400,0.0,0.0
1996-08-07,1.71,1.74,1.71,1.72,1644900,0.0,0.0
1996-08-08,1.71,1.76,1.71,1.74,333000,0.0,0.0
1996-08-09,1.72,1.76,1.72,1.72,76500,0.0,0.0
1996-08-12,1.74,1.74,1.71,1.74,234900,0.0,0.0
1996-08-13,1.74,1.74,1.69,1.7,405900,0.0,0.0
1996-08-14,1.72,1.74,1.69,1.72,311800,0.0,0.0
1996-08-15,1.75,1.76,1.72,1.76,143700,0.0,0.0
1996-08-16,1.76,1.81,1.76,1.77,308400,0.0,0.0
1996-08-19,1.81,1.81,1.76,1.77,131100,0.0,0.0
1996-08-20,1.79,1.79,1.76,1.76,342900,0.0,0.0
1996-08-21,1.76,1.79,1.76,1.77,124300,0.0,0.0
1996-08-22,1.79,1.79,1.76,1.76,467100,0.0,0.0
