Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-12,10.02,10.1,10.0,10.01,1489300,0,0
2018-10-15,10.01,10.01,10.0,10.0,163900,0,0
2018-10-16,10.0,10.01,10.0,10.0,142700,0,0
2018-10-17,10.0,10.0,10.0,10.0,1000,0,0
2018-10-18,10.0,10.0,9.97,9.97,93200,0,0
2018-10-19,10.0,10.0,9.97,9.98,7200,0,0
2018-10-22,9.98,10.0,9.97,10.0,14700,0,0
2018-10-23,9.98,9.98,9.98,9.98,5000,0,0
2018-10-24,9.97,10.0,9.96,9.96,7700,0,0
2018-10-25,10.0,10.0,10.0,10.0,2200,0,0
2018-10-26,9.99,9.99,9.95,9.99,7400,0,0
2018-10-29,9.98,9.98,9.98,9.98,100,0,0
2018-10-30,9.98,9.98,9.98,9.98,100,0,0
2018-10-31,9.99,9.99,9.9,9.98,6000,0,0
2018-11-01,9.98,9.98,9.98,9.98,0,0,0
2018-11-02,9.98,9.98,9.98,9.98,8300,0,0
2018-11-05,9.99,9.99,9.99,9.99,4400,0,0
2018-11-06,9.98,9.99,9.98,9.98,13300,0,0
2018-11-07,9.99,9.99,9.98,9.99,52500,0,0
2018-11-08,9.99,9.99,9.99,9.99,0,0,0
2018-11-09,9.99,9.99,9.98,9.98,5900,0,0
2018-11-12,9.98,9.99,9.98,9.99,19200,0,0
2018-11-13,9.99,9.99,9.99,9.99,0,0,0
2018-11-14,9.98,9.98,9.98,9.98,1000,0,0
2018-11-15,9.98,9.98,9.98,9.98,0,0,0
2018-11-16,9.97,9.98,9.96,9.98,11400,0,0
2018-11-19,9.98,9.98,9.96,9.96,6500,0,0
2018-11-20,9.96,9.96,9.95,9.96,3000,0,0
2018-11-21,9.95,9.97,9.95,9.97,9900,0,0
2018-11-23,9.99,9.99,9.99,9.99,100,0,0
2018-11-26,9.99,9.99,9.99,9.99,0,0,0
2018-11-27,9.97,9.97,9.96,9.96,1500,0,0
2018-11-28,9.96,9.96,9.96,9.96,0,0,0
2018-11-29,9.95,9.98,9.95,9.97,4500,0,0
2018-11-30,9.98,9.99,9.96,9.99,36100,0,0
2018-12-03,9.99,9.99,9.98,9.98,1100,0,0
2018-12-04,9.98,9.98,9.98,9.98,0,0,0
2018-12-06,9.98,9.98,9.98,9.98,300,0,0
2018-12-07,9.98,9.98,9.98,9.98,200,0,0
2018-12-10,9.97,9.99,9.95,9.99,2800,0,0
2018-12-11,9.98,9.99,9.98,9.99,300,0,0
2018-12-12,9.99,9.99,9.99,9.99,0,0,0
2018-12-13,9.99,9.99,9.99,9.99,0,0,0
2018-12-14,9.99,9.99,9.99,9.99,0,0,0
2018-12-17,9.99,9.99,9.99,9.99,0,0,0
2018-12-18,9.99,9.99,9.99,9.99,20600,0,0
2018-12-19,9.99,9.99,9.99,9.99,200,0,0
2018-12-20,9.99,9.99,9.99,9.99,0,0,0
2018-12-21,9.98,9.98,9.98,9.98,1000,0,0
2018-12-24,10.05,10.05,10.0,10.01,2300,0,0
2018-12-26,9.9,10.05,9.9,10.01,4600,0,0
2018-12-27,10.0,10.02,10.0,10.02,2600,0,0
2018-12-28,9.99,10.0,9.97,10.0,1200,0,0
2018-12-31,10.0,10.02,10.0,10.02,1300,0,0
2019-01-02,9.98,10.0,9.98,9.98,9700,0,0
2019-01-03,9.98,9.98,9.98,9.98,0,0,0
2019-01-04,9.98,9.98,9.98,9.98,0,0,0
2019-01-07,9.97,9.98,9.95,9.98,6100,0,0
2019-01-08,9.99,9.99,9.98,9.98,800,0,0
2019-01-09,9.98,9.98,9.98,9.98,0,0,0
2019-01-10,9.98,9.98,9.98,9.98,0,0,0
2019-01-11,9.98,9.98,9.98,9.98,0,0,0
2019-01-14,9.96,9.99,9.96,9.99,10600,0,0
2019-01-15,10.02,10.02,9.99,10.0,9900,0,0
2019-01-16,10.0,10.0,9.98,10.0,53600,0,0
2019-01-17,9.96,10.01,9.96,10.0,300,0,0
2019-01-18,9.98,9.98,9.98,9.98,70000,0,0
2019-01-22,9.98,10.01,9.98,9.98,35300,0,0
2019-01-23,9.98,10.05,9.97,9.98,4800,0,0
2019-01-24,9.98,10.01,9.98,9.98,6200,0,0
2019-01-25,9.98,9.98,9.98,9.98,0,0,0
2019-01-28,9.98,9.98,9.98,9.98,0,0,0
2019-01-29,9.96,9.99,9.96,9.98,23600,0,0
2019-01-30,9.99,9.99,9.98,9.99,1100,0,0
2019-01-31,10.02,10.02,9.98,9.99,46900,0,0
2019-02-01,9.99,9.99,9.99,9.99,0,0,0
2019-02-04,9.99,10.02,9.99,9.99,2900,0,0
2019-02-05,10.02,10.02,10.02,10.02,24600,0,0
2019-02-06,10.02,10.02,10.02,10.02,0,0,0
2019-02-07,10.01,10.02,10.0,10.0,283300,0,0
2019-02-08,10.0,10.0,10.0,10.0,0,0,0
2019-02-11,10.01,10.01,10.01,10.01,83200,0,0
2019-02-12,10.01,10.01,10.01,10.01,0,0,0
2019-02-13,10.03,10.05,10.02,10.05,59800,0,0
2019-02-14,10.04,10.04,10.0,10.01,10200,0,0
2019-02-15,10.04,10.04,10.0,10.0,16400,0,0
2019-02-19,10.0,10.0,10.0,10.0,0,0,0
2019-02-20,10.01,10.01,10.0,10.0,6200,0,0
2019-02-21,10.0,10.0,10.0,10.0,0,0,0
2019-02-22,10.0,10.0,10.0,10.0,64700,0,0
2019-02-25,10.02,10.02,10.02,10.02,40000,0,0
2019-02-26,10.02,10.02,10.02,10.02,1500,0,0
2019-02-27,10.01,10.01,10.01,10.01,1100,0,0
2019-02-28,10.05,10.06,10.03,10.05,129500,0,0
2019-03-01,10.05,10.05,10.05,10.05,5300,0,0
2019-03-04,10.04,10.04,10.04,10.04,300,0,0
2019-03-05,10.04,10.04,10.03,10.03,11600,0,0
2019-03-06,10.03,10.03,10.03,10.03,0,0,0
2019-03-07,10.03,10.03,9.95,10.03,20700,0,0
2019-03-08,10.02,10.03,10.02,10.03,10200,0,0
2019-03-11,10.03,10.03,10.02,10.02,1800,0,0
2019-03-12,10.03,10.04,10.02,10.02,6700,0,0
2019-03-13,10.02,10.02,10.02,10.02,0,0,0
2019-03-14,10.01,10.02,10.01,10.02,6200,0,0
2019-03-15,10.02,10.03,10.02,10.03,1400,0,0
2019-03-18,10.03,10.03,10.03,10.03,12700,0,0
2019-03-19,10.02,10.02,10.02,10.02,1100,0,0
2019-03-20,10.02,10.02,10.02,10.02,0,0,0
2019-03-21,10.01,10.01,10.0,10.01,18800,0,0
2019-03-22,10.01,10.01,10.01,10.01,0,0,0
2019-03-25,10.01,10.01,10.01,10.01,1600,0,0
2019-03-26,10.02,10.04,10.02,10.02,7800,0,0
2019-03-27,10.02,10.02,10.02,10.02,0,0,0
2019-03-28,10.02,10.06,10.02,10.05,7100,0,0
2019-03-29,10.05,10.14,10.05,10.14,43700,0,0
2019-04-01,10.13,10.13,10.13,10.13,300,0,0
2019-04-02,10.13,10.13,10.04,10.12,2800,0,0
2019-04-03,10.11,10.11,10.09,10.09,2200,0,0
2019-04-04,10.12,10.12,10.07,10.07,2000,0,0
2019-04-05,10.12,10.12,10.12,10.12,1800,0,0
2019-04-08,10.12,10.12,10.12,10.12,0,0,0
2019-04-09,10.12,10.13,10.12,10.13,3100,0,0
2019-04-10,10.13,10.13,10.13,10.13,0,0,0
2019-04-11,10.13,10.13,10.13,10.13,100,0,0
2019-04-12,10.13,10.13,10.13,10.13,0,0,0
2019-04-15,10.13,10.13,10.13,10.13,0,0,0
2019-04-16,10.13,10.13,10.13,10.13,0,0,0
2019-04-17,10.13,10.13,10.13,10.13,0,0,0
2019-04-18,10.13,10.13,10.13,10.13,0,0,0
2019-04-22,10.13,10.13,10.13,10.13,2700,0,0
2019-04-23,10.13,10.13,10.13,10.13,0,0,0
2019-04-24,10.13,10.13,10.13,10.13,0,0,0
2019-04-25,10.13,10.13,10.13,10.13,0,0,0
2019-04-26,10.13,10.13,10.13,10.13,0,0,0
2019-04-29,10.15,10.15,10.15,10.15,1800,0,0
2019-04-30,10.15,10.15,10.15,10.15,11800,0,0
2019-05-01,10.15,10.15,10.15,10.15,0,0,0
