Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-05-16,18.0,20.0,18.0,20.0,1100,0,0.0
2007-05-17,20.0,20.0,20.0,20.0,0,0,0.0
2007-05-18,18.4,19.2,18.4,19.2,1300,0,0.0
2007-05-21,18.4,20.0,18.4,19.2,1400,0,0.0
2007-05-22,18.8,19.2,18.8,19.2,400,0,0.0
2007-05-23,18.96,18.96,18.48,18.48,900,0,0.0
2007-05-24,18.56,19.2,18.56,18.72,4000,0,0.0
2007-05-25,18.96,19.2,18.88,19.2,2300,0,0.0
2007-05-29,19.2,19.2,19.2,19.2,100,0,0.0
2007-05-30,19.2,19.2,19.04,19.2,2700,0,0.0
2007-05-31,18.88,19.2,18.88,19.12,8200,0,0.0
2007-06-01,19.04,19.36,19.04,19.36,800,0,0.0
2007-06-04,19.2,19.2,18.96,19.2,1500,0,0.0
2007-06-05,19.2,19.6,19.2,19.6,200,0,0.0
2007-06-06,19.04,19.04,18.72,18.8,500,0,0.0
2007-06-07,19.2,19.6,18.72,18.8,4400,0,0.0
2007-06-08,18.8,18.8,18.8,18.8,0,0,0.0
2007-06-11,18.8,18.8,18.8,18.8,0,0,0.0
2007-06-12,18.72,18.96,18.4,18.96,3700,0,0.0
2007-06-13,19.2,19.2,19.2,19.2,0,0,0.0
2007-06-14,18.4,18.4,18.4,18.4,300,0,0.0
2007-06-15,18.4,18.4,18.0,18.0,600,0,0.0
2007-06-18,19.2,19.2,18.0,18.4,1200,0,0.0
2007-06-19,18.4,18.4,18.4,18.4,100,0,0.0
2007-06-20,18.4,18.4,18.4,18.4,0,0,0.0
2007-06-21,18.16,18.4,17.6,17.6,1700,0,0.0
2007-06-22,17.6,18.0,16.8,18.0,2700,0,0.0
2007-06-25,17.84,18.0,16.08,16.08,4900,0,0.0
2007-06-26,17.6,17.6,17.44,17.6,3100,0,0.0
2007-06-27,17.6,17.6,17.6,17.6,0,0,0.0
2007-06-28,17.6,17.6,17.6,17.6,400,0,0.0
2007-06-29,16.64,19.2,16.64,18.4,2300,0,0.0
2007-07-02,16.64,18.4,16.64,18.4,1000,0,0.0
2007-07-03,18.4,18.4,18.4,18.4,0,0,0.0
2007-07-05,18.4,18.4,18.4,18.4,0,0,0.0
2007-07-06,18.4,18.4,18.4,18.4,0,0,0.0
2007-07-09,17.76,17.76,17.6,17.6,1800,0,0.0
2007-07-10,17.6,17.6,16.0,16.0,9300,0,0.0
2007-07-11,16.24,18.0,16.08,18.0,900,0,0.0
2007-07-12,17.2,17.2,16.8,16.8,500,0,0.0
2007-07-13,18.0,18.0,15.6,16.24,1700,0,0.0
2007-07-16,16.4,18.0,16.0,17.6,3400,0,0.0
2007-07-17,16.48,16.56,16.48,16.56,600,0,0.0
2007-07-18,16.48,18.0,16.48,17.2,5800,0,0.0
2007-07-19,18.0,18.0,17.76,17.76,1900,0,0.0
2007-07-20,17.36,20.0,17.36,18.0,4300,0,0.0
2007-07-23,18.8,19.2,16.0,18.0,6400,0,0.0
2007-07-24,17.6,18.4,17.6,17.6,2500,0,0.0
2007-07-25,18.4,18.4,18.4,18.4,1000,0,0.0
2007-07-26,18.8,18.8,17.6,18.0,3100,0,0.0
2007-07-27,16.8,18.0,16.72,18.0,600,0,0.0
2007-07-30,18.8,18.8,18.0,18.0,2300,0,0.0
2007-07-31,18.0,18.0,18.0,18.0,0,0,0.0
2007-08-01,18.56,19.2,18.4,18.8,4200,0,0.0
2007-08-02,19.2,19.6,18.8,19.6,3200,0,0.0
2007-08-03,19.6,20.0,18.4,19.2,24900,0,0.0
2007-08-06,20.0,24.0,19.6,19.6,9400,0,0.0
2007-08-07,22.8,22.8,19.2,19.2,3900,0,0.0
2007-08-08,20.4,20.4,19.28,19.44,1700,0,0.0
2007-08-09,19.6,19.6,19.2,19.2,5600,0,0.0
2007-08-10,19.6,19.92,19.2,19.2,5900,0,0.0
2007-08-13,19.92,19.92,19.2,19.6,4600,0,0.0
2007-08-14,19.6,19.6,18.8,18.8,2300,0,0.0
2007-08-15,18.8,20.0,18.4,18.4,3300,0,0.0
2007-08-16,18.8,18.8,18.8,18.8,900,0,0.0
2007-08-17,18.8,18.8,18.4,18.8,1000,0,0.0
2007-08-20,19.6,20.0,19.6,19.76,4800,0,0.0
2007-08-21,19.36,19.36,18.4,18.56,7000,0,0.0
2007-08-22,18.64,19.2,18.64,19.2,800,0,0.0
2007-08-23,19.2,19.2,18.8,19.12,9600,0,0.0
2007-08-24,19.2,19.6,18.96,19.6,6400,0,0.0
2007-08-27,19.44,19.84,19.44,19.6,1000,0,0.0
2007-08-28,19.2,19.6,19.2,19.6,800,0,0.0
2007-08-29,19.6,19.76,19.2,19.52,2600,0,0.0
2007-08-30,19.6,20.0,19.6,20.0,900,0,0.0
2007-08-31,19.6,20.0,19.6,20.0,2800,0,0.0
2007-09-04,20.0,20.0,19.6,19.6,9300,0,0.0
2007-09-05,20.0,20.64,19.68,20.0,9000,0,0.0
2007-09-06,20.0,20.24,20.0,20.0,5300,0,0.0
2007-09-07,20.0,22.4,20.0,21.68,28200,0,0.0
2007-09-10,22.0,22.0,21.6,22.0,1000,0,0.0
2007-09-11,22.0,22.88,22.0,22.88,2000,0,0.0
2007-09-12,23.12,23.76,23.12,23.76,2000,0,0.0
2007-09-13,23.84,24.0,22.4,22.4,5200,0,0.0
2007-09-14,22.8,23.6,22.8,23.2,2000,0,0.0
2007-09-17,23.6,23.76,22.88,23.2,2000,0,0.0
2007-09-18,23.2,23.84,23.2,23.44,2500,0,0.0
2007-09-19,23.6,23.6,22.4,23.6,11700,0,0.0
2007-09-20,23.6,24.4,23.2,24.0,5800,0,0.0
2007-09-21,24.0,26.4,24.0,26.4,26200,0,0.0
2007-09-24,26.8,27.6,26.0,27.6,6300,0,0.0
2007-09-25,28.0,29.28,27.2,27.2,5200,0,0.0
2007-09-26,27.2,27.68,27.2,27.6,4900,0,0.0
2007-09-27,28.0,28.4,27.6,27.6,7900,0,0.0
2007-09-28,28.4,28.4,27.2,27.2,5800,0,0.0
2007-10-01,28.4,30.0,28.32,29.6,32000,0,0.0
2007-10-02,29.6,32.0,29.6,31.6,29700,0,0.0
2007-10-03,32.24,32.4,31.2,32.0,15700,0,0.0
2007-10-04,32.4,33.2,31.92,32.8,13100,0,0.0
2007-10-05,33.2,33.76,32.16,32.8,14100,0,0.0
2007-10-08,33.2,34.56,33.04,34.4,15600,0,0.0
2007-10-09,34.4,34.72,34.0,34.48,18700,0,0.0
2007-10-10,34.72,36.8,34.72,35.2,24400,0,0.0
2007-10-11,35.92,35.92,33.6,34.32,13800,0,0.0
2007-10-12,34.24,34.4,33.2,34.0,17500,0,0.0
2007-10-15,34.4,34.4,32.4,32.4,10900,0,0.0
2007-10-16,33.12,33.2,32.48,32.8,5100,0,0.0
2007-10-17,32.8,33.36,32.8,33.36,5100,0,0.0
2007-10-18,33.52,33.52,33.2,33.2,3300,0,0.0
2007-10-19,33.2,34.0,33.2,33.28,8600,0,0.0
2007-10-22,33.2,33.44,32.96,33.28,6500,0,0.0
2007-10-23,33.2,33.28,33.04,33.2,5300,0,0.0
2007-10-24,33.36,33.76,33.28,33.6,5200,0,0.0
2007-10-25,34.0,36.0,33.6,36.0,7400,0,0.0
2007-10-26,36.4,37.2,35.2,35.2,11800,0,0.0
2007-10-29,36.0,38.0,36.0,37.52,19700,0,0.0
2007-10-30,37.84,37.84,36.4,37.44,10700,0,0.0
2007-10-31,37.04,37.44,36.88,36.88,6800,0,0.0
2007-11-01,37.28,37.44,36.8,37.2,8300,0,0.0
2007-11-02,37.2,37.2,36.4,36.4,4500,0,0.0
2007-11-05,36.4,36.4,36.0,36.16,10700,0,0.0
2007-11-06,36.16,36.64,36.0,36.0,6400,0,0.0
2007-11-07,36.72,39.6,36.72,38.48,31300,0,0.0
2007-11-08,38.4,39.84,38.0,38.72,14100,0,0.0
2007-11-09,39.12,39.12,38.48,38.64,11800,0,0.0
2007-11-12,39.2,39.2,38.64,38.88,4800,0,0.0
2007-11-13,38.4,38.96,37.68,38.24,5200,0,0.0
2007-11-14,38.24,38.8,37.68,38.64,21200,0,0.0
2007-11-15,38.8,40.48,38.8,39.6,19600,0,0.0
2007-11-16,39.84,42.4,39.84,42.0,14600,0,0.0
2007-11-19,43.2,45.6,41.2,45.2,10200,0,0.0
2007-11-20,45.52,45.52,41.6,42.4,7300,0,0.0
2007-11-21,42.0,42.56,40.4,42.4,5300,0,0.0
2007-11-23,41.2,42.4,41.2,41.2,1400,0,0.0
2007-11-26,42.4,42.4,34.0,39.2,12700,0,0.0
2007-11-27,40.0,40.0,38.8,39.6,4000,0,0.0
2007-11-28,40.0,40.8,39.6,39.76,5400,0,0.0
2007-11-29,42.4,45.84,42.4,45.2,24700,0,0.0
2007-11-30,43.2,44.56,42.8,44.4,14400,0,0.0
2007-12-03,43.6,44.4,43.6,44.0,3900,0,0.0
2007-12-04,43.6,44.4,43.6,44.0,4600,0,0.0
2007-12-05,44.0,44.4,43.6,44.0,10800,0,0.0
2007-12-06,44.4,49.52,44.4,48.96,53700,0,0.0
2007-12-07,49.2,49.2,47.76,48.4,5500,0,0.0
2007-12-10,48.8,49.2,48.0,48.56,11200,0,0.0
2007-12-11,48.4,49.04,43.2,47.2,8400,0,0.0
2007-12-12,46.4,47.2,45.6,47.2,5400,0,0.0
2007-12-13,46.4,48.24,46.0,48.0,4200,0,0.0
2007-12-14,48.0,48.96,47.68,48.8,4300,0,0.0
2007-12-17,48.8,49.52,48.8,49.2,12900,0,0.0
2007-12-18,49.2,49.52,48.08,49.36,5100,0,0.0
2007-12-19,48.8,50.4,48.8,49.6,7000,0,0.0
2007-12-20,50.08,50.4,49.28,50.24,6500,0,0.0
2007-12-21,50.24,52.48,50.24,52.0,7300,0,0.0
2007-12-24,52.4,54.8,50.88,54.8,4200,0,0.0
