Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-07-23,16.29,16.29,15.89,15.96,520400,0.0,0
2012-07-24,16.09,16.38,15.94,16.18,504200,0.0,0
2012-07-25,16.24,16.28,16.06,16.21,366500,0.0,0
2012-07-26,16.33,16.33,16.13,16.16,239000,0.0,0
2012-07-27,16.18,16.26,16.16,16.23,207500,0.0,0
2012-07-30,16.26,16.26,16.16,16.24,185600,0.0,0
2012-07-31,16.3,16.4,16.2,16.4,293500,0.0,0
2012-08-01,16.4,16.4,16.3,16.36,146700,0.0,0
2012-08-02,16.32,16.38,16.3,16.33,135700,0.0,0
2012-08-03,16.36,16.37,16.24,16.29,132900,0.0,0
2012-08-06,16.28,16.32,16.26,16.3,105500,0.0,0
2012-08-07,16.32,16.36,16.27,16.32,134200,0.0,0
2012-08-08,16.27,16.33,16.24,16.32,206700,0.0,0
2012-08-09,16.33,16.33,16.26,16.28,158100,0.0,0
2012-08-10,16.28,16.3,16.23,16.24,118500,0.0,0
2012-08-13,16.28,16.28,16.16,16.19,206900,0.0,0
2012-08-14,16.19,16.19,16.01,16.06,262500,0.0,0
2012-08-15,15.99,16.09,15.99,16.09,238900,0.0,0
2012-08-16,16.09,16.13,15.97,16.03,128700,0.0,0
2012-08-17,15.86,15.92,15.73,15.89,265900,0.0,0
2012-08-20,15.93,15.95,15.81,15.91,207800,0.0,0
2012-08-21,15.93,15.93,15.85,15.89,146100,0.0,0
2012-08-22,15.91,15.91,15.81,15.87,111600,0.0,0
2012-08-23,15.91,15.96,15.87,15.93,95700,0.0,0
2012-08-24,15.96,16.06,15.95,16.01,103600,0.0,0
2012-08-27,16.03,16.09,15.98,16.04,62500,0.0,0
2012-08-28,16.06,16.18,16.05,16.17,100900,0.0,0
2012-08-29,16.19,16.36,16.17,16.3,153600,0.0,0
2012-08-30,16.32,16.36,16.29,16.34,127300,0.0,0
2012-08-31,16.36,16.36,16.16,16.16,100900,0.0,0
2012-09-04,16.25,16.36,16.25,16.32,70300,0.0,0
2012-09-05,16.36,16.4,16.14,16.34,187400,0.0,0
2012-09-06,16.33,16.4,16.27,16.33,123400,0.0,0
2012-09-07,16.39,16.43,16.26,16.43,82900,0.0,0
2012-09-10,16.4,16.42,16.29,16.34,121100,0.0,0
2012-09-11,16.33,16.46,16.33,16.38,173100,0.0,0
2012-09-12,16.45,16.45,16.34,16.36,96600,0.0,0
2012-09-13,16.4,16.4,16.33,16.35,73800,0.0,0
2012-09-14,16.4,16.4,16.36,16.4,55700,0.0,0
2012-09-17,16.39,16.42,16.3,16.3,60900,0.0,0
2012-09-18,16.32,16.36,16.3,16.36,71500,0.0,0
2012-09-19,16.4,16.4,16.26,16.32,42500,0.0,0
2012-09-20,16.32,16.35,16.21,16.32,134900,0.0,0
