Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-05,19.05,19.28,19.05,19.28,47100,0.0,0
2018-03-06,19.81,19.81,19.39,19.46,26700,0.0,0
2018-03-07,19.42,19.5,19.41,19.5,25100,0.0,0
2018-03-08,19.7,19.72,19.57,19.61,23300,0.0,0
2018-03-09,19.66,19.84,19.66,19.84,31200,0.0,0
2018-03-12,19.94,19.96,19.84,19.89,14800,0.0,0
2018-03-13,20.02,20.02,19.65,19.65,33100,0.0,0
2018-03-14,19.74,19.76,19.63,19.69,28900,0.0,0
2018-03-15,19.75,19.81,19.74,19.75,30300,0.0,0
2018-03-16,19.66,19.72,19.63,19.67,35400,0.0,0
2018-03-19,19.56,19.62,19.42,19.42,21900,0.0,0
2018-03-20,19.69,19.76,19.69,19.72,21000,0.0,0
2018-03-21,19.76,19.85,19.76,19.83,24600,0.0,0
2018-03-22,19.49,19.49,19.17,19.22,22100,0.0,0
2018-03-23,19.22,19.22,18.82,18.82,16900,0.0,0
2018-03-26,19.17,19.23,19.01,19.23,27800,0.0,0
2018-03-27,19.38,19.39,18.96,18.96,28500,0.0,0
2018-03-28,19.03,19.03,18.84,18.93,23500,0.0,0
2018-03-29,18.93,19.1,18.84,19.07,24800,0.0,0
2018-04-02,19.04,19.04,18.64,18.73,43800,0.0,0
2018-04-03,18.83,18.85,18.69,18.73,22500,0.0,0
2018-04-04,18.58,18.83,18.58,18.83,41100,0.0,0
2018-04-05,19.18,19.21,19.1,19.14,22900,0.0,0
2018-04-06,19.09,19.14,18.91,18.91,26200,0.0,0
2018-04-09,19.16,19.21,19.15,19.19,21800,0.0,0
2018-04-10,19.22,19.3,19.2,19.3,29300,0.0,0
2018-04-11,19.34,19.38,19.32,19.32,26600,0.0,0
2018-04-12,19.38,19.41,19.32,19.32,20400,0.0,0
2018-04-13,19.28,19.28,19.15,19.15,22000,0.0,0
2018-04-16,19.21,19.21,19.08,19.16,190600,0.0,0
2018-04-17,19.18,19.37,19.18,19.32,28500,0.0,0
2018-04-18,19.37,19.55,19.31,19.53,30100,0.0,0
2018-04-19,19.59,19.6,19.39,19.43,32300,0.0,0
2018-04-20,19.34,19.34,19.3,19.31,20800,0.0,0
2018-04-23,19.27,19.27,19.19,19.21,31000,0.0,0
2018-04-24,19.33,19.33,18.95,19.1,78200,0.0,0
2018-04-25,18.9,18.94,18.82,18.89,26000,0.0,0
2018-04-26,19.04,19.1,19.04,19.09,28700,0.0,0
2018-04-27,19.13,19.2,19.13,19.2,32000,0.0,0
2018-04-30,19.26,19.26,19.14,19.15,29200,0.0,0
2018-05-01,19.04,19.14,19.04,19.14,30700,0.0,0
2018-05-02,19.17,19.17,19.12,19.13,24300,0.0,0
2018-05-03,18.78,18.98,18.78,18.98,23000,0.0,0
2018-05-04,18.88,19.16,18.87,19.16,25700,0.0,0
2018-05-07,19.29,19.37,19.23,19.26,28200,0.0,0
2018-05-08,19.16,19.22,19.16,19.22,63000,0.0,0
2018-05-09,19.36,19.36,19.24,19.27,34000,0.0,0
2018-05-10,19.43,19.49,19.43,19.47,25600,0.0,0
2018-05-11,19.53,19.53,19.42,19.42,30100,0.0,0
2018-05-14,19.59,19.6,19.51,19.51,30000,0.0,0
2018-05-15,19.6,19.63,19.52,19.56,26300,0.0,0
2018-05-16,19.75,19.81,19.71,19.81,20600,0.0,0
2018-05-17,19.75,19.85,19.71,19.71,31200,0.0,0
2018-05-18,19.7,19.7,19.66,19.67,23900,0.0,0
2018-05-21,19.84,19.84,19.77,19.79,20600,0.0,0
2018-05-22,19.89,19.89,19.71,19.71,29500,0.0,0
2018-05-23,19.61,19.77,19.61,19.66,28600,0.0,0
2018-05-24,19.68,19.71,19.56,19.71,24200,0.0,0
2018-05-25,19.69,19.69,19.65,19.66,25700,0.0,0
2018-05-29,19.44,19.48,19.2,19.29,37000,0.0,0
2018-05-30,19.35,19.47,19.29,19.4,33000,0.0,0
2018-05-31,19.31,19.43,19.27,19.27,20500,0.0,0
2018-06-01,19.45,19.53,19.45,19.5,21600,0.0,0
2018-06-04,19.64,19.64,19.55,19.57,22100,0.0,0
2018-06-05,19.54,19.56,19.42,19.42,31400,0.0,0
2018-06-06,19.52,19.63,19.52,19.63,29700,0.0,0
2018-06-07,19.63,19.63,19.43,19.43,11900,0.0,0
2018-06-08,19.42,19.56,19.42,19.56,14100,0.0,0
2018-06-11,19.61,19.61,19.53,19.58,14000,0.0,0
2018-06-12,19.7,19.72,19.66,19.66,18800,0.0,0
2018-06-13,19.7,19.7,19.57,19.61,31600,0.0,0
2018-06-14,19.63,19.64,19.56,19.56,13100,0.0,0
2018-06-15,19.45,19.45,19.31,19.37,14500,0.0,0
2018-06-18,19.26,19.26,19.12,19.13,12100,0.0,0
2018-06-19,18.99,19.03,18.93,18.94,16100,0.0,0
2018-06-20,18.98,19.02,18.98,19.02,14600,0.0,0
2018-06-21,18.89,18.93,18.8,18.82,23700,0.0,0
2018-06-22,19.0,19.0,18.99,19.0,10800,0.0,0
2018-06-25,18.52,18.56,18.44,18.49,15100,0.0,0
2018-06-26,18.52,18.56,18.5,18.51,12700,0.0,0
2018-06-27,18.51,18.54,18.31,18.31,13000,0.0,0
2018-06-28,18.23,18.43,18.23,18.43,13800,0.0,0
2018-06-29,18.7,18.72,18.66,18.66,15000,0.0,0
