Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-10,49.95,49.95,49.86,49.88,3000,0,0
2010-08-11,48.84,48.92,48.58,48.58,6000,0,0
2010-08-12,48.58,48.58,48.58,48.58,0,0,0
2010-08-13,48.27,48.27,48.22,48.22,12000,0,0
2010-08-16,46.89,46.89,46.66,46.66,2000,0,0
2010-08-17,47.1,47.33,47.1,47.33,10100,0,0
2010-08-18,46.71,46.71,46.71,46.71,800,0,0
2010-08-19,46.06,46.06,46.06,46.06,10000,0,0
2010-08-20,46.02,46.02,46.0,46.02,11200,0,0
2010-08-23,46.38,46.38,46.29,46.29,8200,0,0
2010-08-24,45.66,45.66,45.19,45.19,9600,0,0
2010-08-25,44.62,45.54,44.62,45.54,16400,0,0
2010-08-26,45.52,45.52,45.09,45.09,7700,0,0
2010-08-27,46.75,46.77,46.75,46.77,2900,0,0
2010-08-30,46.15,46.18,45.45,45.45,400,0,0
2010-08-31,44.98,44.98,44.81,44.91,7900,0,0
2010-09-01,46.19,46.37,46.02,46.02,8100,0,0
2010-09-02,46.43,46.43,46.43,46.43,100,0,0
2010-09-03,47.77,47.77,47.32,47.32,3700,0,0
2010-09-07,46.26,46.26,46.15,46.15,2100,0,0
2010-09-08,46.53,46.53,46.53,46.53,100,0,0
2010-09-09,47.36,47.71,47.36,47.55,3300,0,0
2010-09-10,48.2,48.2,48.2,48.2,100,0,0
2010-09-13,47.92,47.92,47.92,47.92,100,0,0
2010-09-14,47.44,47.44,47.44,47.44,1500,0,0
2010-09-15,47.44,47.44,47.44,47.44,0,0,0
2010-09-16,48.36,48.36,48.18,48.18,600,0,0
2010-09-17,47.98,47.98,47.98,47.98,200,0,0
2010-09-20,47.8,47.85,47.8,47.85,300,0,0
2010-09-21,46.71,46.83,46.63,46.63,1000,0,0
2010-09-22,46.28,46.28,46.28,46.28,800,0,0
2010-09-23,46.4,46.4,46.4,46.4,500,0,0
2010-09-24,46.91,46.91,46.91,46.91,800,0,0
2010-09-27,45.9,45.9,45.9,45.9,800,0,0
2010-09-28,45.88,45.88,45.88,45.88,100,0,0
2010-09-29,45.4,45.4,45.4,45.4,1000,0,0
2010-09-30,45.4,45.4,45.4,45.4,0,0,0
2010-10-01,46.16,46.16,45.96,45.96,400,0,0
2010-10-04,45.53,45.53,45.53,45.53,300,0,0
2010-10-05,45.65,45.65,45.65,45.65,300,0,0
2010-10-06,44.55,44.55,44.53,44.53,700,0,0
2010-10-07,45.08,45.08,45.07,45.07,500,0,0
2010-10-08,44.85,45.17,44.85,45.17,1500,0,0
2010-10-11,45.22,45.25,45.22,45.25,2300,0,0
2010-10-12,45.52,45.52,45.52,45.52,300,0,0
2010-10-13,46.25,46.25,45.89,45.89,1300,0,0
2010-10-14,45.79,46.49,45.79,46.49,900,0,0
2010-10-15,46.49,46.49,46.49,46.49,0,0,0
2010-10-18,46.79,46.79,46.79,46.79,300,0,0
2010-10-19,46.8,46.82,46.47,46.47,3100,0,0
2010-10-20,46.43,46.43,46.43,46.43,800,0,0
2010-10-21,47.07,47.07,47.07,47.07,300,0,0
2010-10-22,47.07,47.07,47.07,47.07,0,0,0
2010-10-25,46.45,46.45,46.45,46.45,800,0,0
2010-10-26,47.8,47.8,47.8,47.8,800,0,0
2010-10-27,48.18,48.35,48.18,48.35,900,0,0
2010-10-28,48.07,48.07,48.03,48.03,400,0,0
2010-10-29,48.03,48.03,48.03,48.03,0,0,0
2010-11-01,47.73,47.73,47.73,47.73,300,0,0
2010-11-02,47.18,47.18,46.94,46.99,3900,0,0
2010-11-03,48.21,48.21,47.75,47.75,300,0,0
2010-11-04,46.83,46.83,46.83,46.83,300,0,0
2010-11-05,47.69,47.74,47.38,47.74,61100,0,0
2010-11-08,47.86,47.86,47.82,47.82,500,0,0
2010-11-09,48.15,48.94,48.15,48.94,10500,0,0
2010-11-10,49.48,49.68,49.48,49.68,3700,0,0
2010-11-11,48.95,48.95,48.86,48.86,400,0,0
2010-11-12,49.36,49.65,49.36,49.65,600,0,0
2010-11-15,50.15,50.8,50.15,50.8,1300,0,0
2010-11-16,50.83,51.38,49.93,49.93,4700,0,0
2010-11-17,50.02,50.36,49.81,50.36,5400,0,0
2010-11-18,50.74,51.16,50.66,50.66,2500,0,0
2010-11-19,50.24,50.29,50.18,50.18,2300,0,0
2010-11-22,49.68,49.9,49.57,49.57,3000,0,0
2010-11-23,49.09,49.46,49.08,49.32,9900,0,0
2010-11-24,50.05,50.81,49.98,50.71,19200,0,0
2010-11-26,50.2,50.28,49.97,50.02,4900,0,0
2010-11-29,49.52,49.84,49.49,49.54,8900,0,0
2010-11-30,48.68,49.29,48.58,49.25,26700,0,0
2010-12-01,50.47,51.06,50.42,50.97,29800,0,0
2010-12-02,50.95,51.23,50.6,51.21,19000,0,0
2010-12-03,50.5,51.38,50.5,51.32,5800,0,0
2010-12-06,51.01,51.01,50.49,50.49,1400,0,0
2010-12-07,51.72,52.83,51.6,52.46,30800,0,0
2010-12-08,53.0,53.92,52.98,53.11,14200,0,0
2010-12-09,53.21,53.5,52.6,52.97,14500,0,0
2010-12-10,53.31,53.35,53.07,53.22,9700,0,0
2010-12-13,53.79,53.96,53.03,53.19,28400,0,0
2010-12-14,54.01,54.99,53.81,54.99,38600,0,0
2010-12-15,54.68,55.59,54.47,55.21,64900,0,0
2010-12-16,55.33,55.59,54.73,54.73,47000,0,0
2010-12-17,54.39,54.48,53.37,53.62,37500,0,0
2010-12-20,53.46,54.2,53.08,53.83,32000,0,0
2010-12-21,53.89,54.04,53.72,53.72,4800,0,0
2010-12-22,53.5,54.14,53.5,53.98,6200,0,0
2010-12-23,54.04,54.38,54.04,54.26,6900,0,0
2010-12-27,54.28,54.39,53.59,53.6,22300,0,0
2010-12-28,54.25,55.12,54.21,55.12,21900,0,0
2010-12-29,54.9,55.05,53.5,53.74,6700,0,0
2010-12-30,53.93,54.26,53.72,53.86,45100,0,0
2010-12-31,53.29,57.93,52.92,53.62,28400,0,0
2011-01-03,54.08,54.25,53.22,53.49,87400,0,0
2011-01-04,53.38,53.63,53.04,53.35,5600,0,0
2011-01-05,54.22,55.22,54.22,54.9,30200,0,0
2011-01-06,54.73,54.73,54.31,54.49,13600,0,0
2011-01-07,53.58,53.84,53.58,53.8,15000,0,0
2011-01-10,53.58,53.86,53.47,53.57,17400,0,0
2011-01-11,53.64,54.37,53.63,53.92,54500,0,0
2011-01-12,54.49,54.58,53.92,54.25,41300,0,0
2011-01-13,54.3,54.3,53.29,53.54,2100,0,0
2011-01-14,53.1,53.89,53.0,53.84,39400,0,0
2011-01-18,54.2,54.74,54.2,54.32,47400,0,0
2011-01-19,53.97,54.02,53.78,53.78,3900,0,0
2011-01-20,54.32,54.9,54.32,54.9,4800,0,0
2011-01-21,55.06,55.06,54.46,54.46,4300,0,0
2011-01-24,54.32,54.35,54.13,54.34,4200,0,0
2011-01-25,54.06,54.52,53.19,53.4,83900,0,0
2011-01-26,53.89,54.59,53.85,54.54,43600,0,0
2011-01-27,54.42,54.58,54.02,54.15,32000,0,0
2011-01-28,54.54,54.54,53.31,53.56,23400,0,0
2011-01-31,53.63,54.02,53.63,54.02,9300,0,0
2011-02-01,54.66,54.93,54.52,54.66,6000,0,0
2011-02-02,54.33,54.82,54.31,54.82,7500,0,0
2011-02-03,54.97,55.48,54.96,55.39,21700,0,0
2011-02-04,55.62,56.44,55.62,56.32,49000,0,0
2011-02-07,56.65,56.67,56.19,56.19,12800,0,0
2011-02-08,56.27,56.96,56.1,56.86,23300,0,0
2011-02-09,56.69,57.03,55.82,56.13,47800,0,0
2011-02-10,56.37,56.74,56.15,56.65,15700,0,0
2011-02-11,56.06,56.12,55.56,56.12,24700,0,0
2011-02-14,55.98,55.98,55.31,55.48,12200,0,0
2011-02-15,55.58,55.71,55.31,55.39,11000,0,0
2011-02-16,55.44,55.64,55.44,55.45,4400,0,0
2011-02-17,55.21,55.21,54.95,55.08,5000,0,0
2011-02-18,55.33,55.64,55.2,55.24,29300,0,0
2011-02-22,54.7,54.75,53.87,53.93,15500,0,0
2011-02-23,53.5,53.94,53.41,53.94,3500,0,0
2011-02-24,53.35,53.38,53.05,53.13,1200,0,0
2011-02-25,53.41,53.41,53.05,53.05,1800,0,0
2011-02-28,53.05,53.21,53.0,53.06,11600,0,0
2011-03-01,53.57,53.7,53.06,53.06,2900,0,0
2011-03-02,53.32,53.34,53.32,53.34,700,0,0
2011-03-03,54.24,54.64,54.24,54.6,7800,0,0
2011-03-04,54.46,54.52,53.8,53.96,4500,0,0
2011-03-07,54.38,54.54,53.73,54.17,18200,0,0
2011-03-08,54.28,54.59,54.24,54.54,7600,0,0
2011-03-09,54.33,54.52,53.63,53.9,35100,0,0
2011-03-10,53.56,53.72,52.73,52.73,22600,0,0
2011-03-11,52.8,53.25,52.8,53.16,8100,0,0
2011-03-14,52.98,52.98,52.72,52.74,4500,0,0
2011-03-15,51.87,52.25,51.75,52.23,3900,0,0
2011-03-16,51.62,51.8,50.94,51.1,15300,0,0
2011-03-17,51.7,52.02,51.7,51.9,6800,0,0
2011-03-18,52.23,52.23,51.76,51.76,18100,0,0
2011-03-21,52.29,52.5,52.03,52.09,13600,0,0
2011-03-22,52.4,52.4,51.99,51.99,2500,0,0
2011-03-23,51.56,52.23,51.56,52.23,6100,0,0
2011-03-24,52.52,52.65,52.41,52.57,5600,0,0
2011-03-25,52.42,53.15,52.4,53.07,8300,0,0
2011-03-28,53.25,53.25,52.96,53.01,4300,0,0
2011-03-29,53.25,53.58,52.85,53.45,32800,0,0
2011-03-30,53.43,53.43,53.01,53.01,16600,0,0
2011-03-31,52.67,53.44,52.64,53.23,68500,0,0
2011-04-01,53.6,53.61,53.02,53.04,9900,0,0
2011-04-04,52.94,52.94,52.94,52.94,100,0,0
2011-04-05,53.11,53.51,52.94,53.34,68100,0,0
2011-04-06,53.6,54.15,53.53,54.13,22200,0,0
2011-04-07,54.29,54.51,53.96,54.4,108600,0,0
2011-04-08,54.71,54.81,54.45,54.65,35100,0,0
2011-04-11,54.75,54.78,54.58,54.58,4400,0,0
2011-04-12,54.03,54.03,53.58,53.82,7600,0,0
2011-04-13,54.08,54.08,53.42,53.42,1500,0,0
2011-04-14,53.29,53.63,53.18,53.5,14000,0,0
2011-04-15,52.87,52.87,52.55,52.58,4200,0,0
2011-04-18,52.98,53.21,52.3,52.3,23300,0,0
2011-04-19,52.31,52.31,52.01,52.09,33800,0,0
2011-04-20,52.12,52.55,52.12,52.55,5000,0,0
2011-04-21,52.24,52.42,52.09,52.42,13500,0,0
2011-04-25,52.32,52.35,51.97,51.99,30100,0,0
2011-04-26,51.74,51.76,51.43,51.43,30900,0,0
2011-04-27,51.71,52.09,51.65,51.96,41600,0,0
2011-04-28,51.58,51.69,51.42,51.51,1400,0,0
2011-04-29,51.61,51.61,51.18,51.2,3400,0,0
2011-05-02,51.22,51.32,50.92,51.1,22000,0,0
2011-05-03,50.71,50.97,50.67,50.73,10000,0,0
2011-05-04,50.29,50.42,50.28,50.35,4800,0,0
2011-05-05,49.96,50.04,49.51,49.57,23100,0,0
2011-05-06,50.08,50.26,49.41,49.81,50400,0,0
2011-05-09,49.65,49.7,49.57,49.6,3500,0,0
2011-05-10,49.86,50.14,49.84,50.14,24000,0,0
2011-05-11,50.25,50.25,49.63,49.73,600,0,0
2011-05-12,49.58,50.32,49.54,50.06,45000,0,0
2011-05-13,49.63,49.73,49.06,49.57,34900,0,0
2011-05-16,49.47,49.6,49.11,49.16,9400,0,0
2011-05-17,48.88,48.94,48.61,48.71,25200,0,0
2011-05-18,48.94,49.41,48.94,49.41,35400,0,0
2011-05-19,50.06,50.06,49.45,49.49,39700,0,0
2011-05-20,49.33,49.59,49.25,49.28,18600,0,0
2011-05-23,48.89,49.14,48.68,48.97,30400,0,0
2011-05-24,49.16,49.31,48.81,48.81,14800,0,0
2011-05-25,48.79,49.16,48.79,49.07,4300,0,0
2011-05-26,48.61,48.61,48.35,48.35,9000,0,0
2011-05-27,48.5,48.5,48.5,48.5,300,0,0
2011-05-31,48.48,48.48,48.13,48.24,7400,0,0
2011-06-01,47.76,47.76,47.08,47.09,9500,0,0
2011-06-02,47.5,48.2,47.5,48.19,2300,0,0
2011-06-03,47.49,48.19,47.49,47.83,6500,0,0
2011-06-06,48.32,48.32,47.94,47.99,6200,0,0
2011-06-07,48.43,48.59,48.0,48.0,10100,0,0
2011-06-08,47.6,47.71,47.32,47.47,29800,0,0
2011-06-09,47.24,48.1,47.24,48.1,23400,0,0
2011-06-10,47.3,47.51,47.3,47.51,6400,0,0
2011-06-13,47.79,47.83,47.31,47.76,22600,0,0
2011-06-14,48.5,48.97,48.5,48.96,11900,0,0
2011-06-15,48.6,48.6,47.66,47.66,3600,0,0
2011-06-16,47.37,47.37,46.99,47.15,16000,0,0
2011-06-17,47.41,47.41,47.29,47.3,1400,0,0
2011-06-20,47.41,47.41,47.31,47.33,1900,0,0
2011-06-21,47.51,47.79,47.51,47.56,9800,0,0
2011-06-22,47.48,47.84,47.48,47.74,13100,0,0
2011-06-23,47.2,47.2,46.8,47.09,29300,0,0
2011-06-24,47.06,47.06,46.56,46.98,30700,0,0
2011-06-27,46.87,47.77,46.85,47.73,64700,0,0
2011-06-28,47.93,48.74,47.82,48.66,143600,0,0
2011-06-29,48.76,49.42,48.65,49.28,214400,0,0
2011-06-30,49.28,50.31,49.21,49.67,219400,0,0
2011-07-01,50.65,50.65,49.4,49.9,70100,0,0
2011-07-05,49.54,50.21,49.26,49.41,95400,0,0
2011-07-06,49.19,49.41,48.95,49.12,30100,0,0
2011-07-07,49.54,49.75,49.39,49.41,49600,0,0
2011-07-08,48.59,48.59,48.06,48.15,58500,0,0
2011-07-11,47.67,47.79,47.04,47.1,43200,0,0
2011-07-12,46.69,47.16,46.69,46.73,24900,0,0
2011-07-13,46.96,47.42,46.46,46.53,41300,0,0
2011-07-14,47.04,47.53,46.75,47.52,33300,0,0
2011-07-15,47.93,47.93,47.25,47.25,16000,0,0
2011-07-18,47.18,47.79,47.16,47.62,7300,0,0
2011-07-19,47.72,47.73,46.48,46.48,32800,0,0
2011-07-20,46.86,47.28,46.84,47.23,5800,0,0
