Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-12-02,71.98,84.46,53.27,54.35,6383900,0.0,0
1999-12-03,58.79,63.59,55.73,56.63,1765300,0.0,0
1999-12-06,62.33,62.39,55.31,58.55,658100,0.0,0
1999-12-07,59.51,61.91,57.71,60.59,479000,0.0,0
1999-12-08,60.59,60.95,55.79,57.23,703300,0.0,0
1999-12-09,59.03,59.27,52.91,55.61,356400,0.0,0
1999-12-10,55.67,56.63,52.55,53.15,333700,0.0,0
1999-12-13,52.85,53.69,47.87,48.71,604600,0.0,0
1999-12-14,49.37,49.43,40.79,43.67,281800,0.0,0
1999-12-15,41.27,47.99,40.31,40.79,560600,0.0,0
1999-12-16,41.27,49.43,41.27,49.19,342800,0.0,0
1999-12-17,49.61,58.91,48.95,57.71,593400,0.0,0
1999-12-20,59.21,59.33,53.75,55.43,215900,0.0,0
1999-12-21,55.19,61.61,52.79,61.07,377900,0.0,0
1999-12-22,61.13,61.31,51.35,60.83,207800,0.0,0
1999-12-23,60.71,62.87,56.87,59.81,357700,0.0,0
1999-12-27,59.81,61.25,55.55,56.99,239700,0.0,0
1999-12-28,56.15,57.59,52.79,52.85,123700,0.0,0
1999-12-29,53.99,54.23,52.55,53.15,115800,0.0,0
1999-12-30,53.99,54.23,48.23,49.43,175400,0.0,0
1999-12-31,49.91,50.03,45.65,47.99,157100,0.0,0
2000-01-03,49.91,52.79,48.11,49.67,237600,0.0,0
2000-01-04,50.51,52.79,49.07,49.07,149600,0.0,0
2000-01-05,49.07,50.39,45.59,46.07,103800,0.0,0
2000-01-06,46.07,47.51,44.75,44.75,61600,0.0,0
2000-01-07,44.63,45.47,41.51,43.19,123100,0.0,0
2000-01-10,44.15,44.63,41.27,42.47,150200,0.0,0
2000-01-11,41.93,44.75,41.03,41.03,193000,0.0,0
2000-01-12,42.35,42.47,40.43,41.75,174400,0.0,0
2000-01-13,41.81,42.23,40.79,41.27,61600,0.0,0
2000-01-14,41.27,42.95,41.03,41.87,234400,0.0,0
2000-01-18,41.99,41.99,39.11,39.11,204300,0.0,0
2000-01-19,40.31,41.15,39.11,39.95,195500,0.0,0
2000-01-20,38.87,44.87,38.87,43.67,350000,0.0,0
2000-01-21,44.51,44.51,39.83,42.83,194800,0.0,0
2000-01-24,43.31,47.87,43.31,44.63,382400,0.0,0
2000-01-25,44.75,49.91,44.15,49.19,274300,0.0,0
2000-01-26,49.91,59.51,49.85,56.75,437800,0.0,0
2000-01-27,56.87,56.87,52.55,54.71,162900,0.0,0
2000-01-28,53.75,57.95,53.63,54.95,157000,0.0,0
2000-01-31,55.61,55.67,50.87,51.77,103300,0.0,0
2000-02-01,53.69,59.51,53.03,58.37,177900,0.0,0
2000-02-02,59.33,60.59,57.11,58.91,146000,0.0,0
2000-02-03,60.71,61.91,57.59,60.23,153700,0.0,0
2000-02-04,61.43,67.55,60.83,65.75,318400,0.0,0
2000-02-07,67.19,68.63,65.27,67.43,277700,0.0,0
2000-02-08,69.35,72.7,68.15,71.15,213400,0.0,0
2000-02-09,71.74,71.74,68.15,68.63,197000,0.0,0
2000-02-10,68.99,70.31,66.23,66.71,100100,0.0,0
2000-02-11,66.47,66.47,62.99,64.31,118900,0.0,0
2000-02-14,64.79,65.27,64.31,64.55,104200,0.0,0
2000-02-15,64.97,66.23,64.91,65.87,120400,0.0,0
2000-02-16,66.35,66.83,57.59,58.55,228300,0.0,0
2000-02-17,61.79,62.39,59.39,60.83,224800,0.0,0
2000-02-18,60.35,61.79,60.17,60.17,45500,0.0,0
2000-02-22,60.47,60.95,53.39,54.23,110200,0.0,0
2000-02-23,53.75,55.19,50.15,51.83,184200,0.0,0
2000-02-24,51.59,52.31,47.99,49.91,186200,0.0,0
2000-02-25,49.19,53.99,49.07,52.01,108900,0.0,0
2000-02-28,51.83,53.03,49.67,49.67,209100,0.0,0
2000-02-29,50.03,58.07,50.03,55.19,455900,0.0,0
2000-03-01,55.67,62.87,55.55,59.39,216100,0.0,0
2000-03-02,59.39,67.67,59.39,65.99,116700,0.0,0
2000-03-03,66.23,67.67,63.95,66.23,185300,0.0,0
2000-03-06,66.23,68.15,65.27,66.59,104700,0.0,0
2000-03-07,68.15,69.35,65.27,69.11,327500,0.0,0
2000-03-08,69.11,71.98,68.51,69.71,222600,0.0,0
2000-03-09,70.43,70.43,69.11,69.71,53800,0.0,0
2000-03-10,70.91,71.03,67.79,69.95,36000,0.0,0
2000-03-13,68.15,69.11,67.19,67.43,32700,0.0,0
2000-03-14,69.11,70.55,67.31,67.31,90200,0.0,0
2000-03-15,66.59,67.07,60.59,62.99,123500,0.0,0
2000-03-16,62.87,65.27,60.59,61.91,77700,0.0,0
2000-03-17,62.39,65.03,61.07,62.45,32500,0.0,0
2000-03-20,59.51,60.47,57.36,58.73,80400,0.0,0
2000-03-21,55.79,56.63,49.31,49.43,154800,0.0,0
2000-03-22,50.87,52.79,50.87,51.83,87900,0.0,0
2000-03-23,51.83,51.83,49.91,50.09,62400,0.0,0
2000-03-24,50.03,51.83,47.87,48.83,117900,0.0,0
2000-03-27,48.59,48.59,41.51,46.55,194400,0.0,0
2000-03-28,46.79,46.79,44.15,44.75,83300,0.0,0
2000-03-29,44.75,45.11,42.23,42.95,127900,0.0,0
2000-03-30,42.11,43.67,39.11,40.43,158900,0.0,0
2000-03-31,42.35,42.35,40.19,42.23,354800,0.0,0
