Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-08,21.55,22.95,19.67,21.45,3907900,0,0
2017-12-11,21.52,21.61,20.5,20.99,401100,0,0
2017-12-12,20.97,20.99,20.16,20.16,209100,0,0
2017-12-13,20.22,20.86,19.98,20.04,217400,0,0
2017-12-14,20.1,20.3,18.5,18.99,1329500,0,0
2017-12-15,19.25,19.59,18.77,19.04,620800,0,0
2017-12-18,19.05,19.5,18.57,18.71,472400,0,0
2017-12-19,18.72,18.72,18.2,18.28,359700,0,0
2017-12-20,18.3,18.75,17.5,17.7,587700,0,0
2017-12-21,18.01,18.08,16.39,16.45,491900,0,0
2017-12-22,16.6,16.6,15.75,15.78,669100,0,0
2017-12-26,15.9,16.5,15.02,15.46,299700,0,0
2017-12-27,15.48,16.39,15.35,15.85,382700,0,0
2017-12-28,15.94,16.02,14.83,15.04,385000,0,0
2017-12-29,15.15,15.8,14.72,15.64,264200,0,0
2018-01-02,16.0,16.46,15.92,16.13,567500,0,0
2018-01-03,16.41,16.78,16.25,16.65,358100,0,0
2018-01-04,16.7,16.76,16.01,16.08,279200,0,0
2018-01-05,16.88,17.63,16.33,16.8,672600,0,0
2018-01-08,16.8,16.9,16.4,16.48,372600,0,0
2018-01-09,16.46,16.54,15.49,15.5,273500,0,0
2018-01-10,15.5,15.57,14.96,15.36,296300,0,0
2018-01-11,15.43,16.98,15.17,16.53,459000,0,0
2018-01-12,16.64,17.25,16.43,17.16,314500,0,0
2018-01-16,17.16,17.8,16.86,17.1,383900,0,0
2018-01-17,17.11,17.76,16.65,17.62,209000,0,0
2018-01-18,17.62,18.45,17.5,18.32,279500,0,0
2018-01-19,18.41,20.04,18.41,19.76,525400,0,0
2018-01-22,19.8,23.0,19.8,21.56,514900,0,0
2018-01-23,21.7,22.25,21.09,21.85,392400,0,0
2018-01-24,22.31,22.31,21.55,21.8,204800,0,0
2018-01-25,21.83,21.9,19.09,21.15,265300,0,0
2018-01-26,21.37,22.31,20.89,22.2,133100,0,0
2018-01-29,22.32,24.02,22.32,23.95,330200,0,0
2018-01-30,23.75,23.93,22.89,23.67,373000,0,0
2018-01-31,23.82,24.0,23.11,23.26,383200,0,0
2018-02-01,23.32,23.66,21.06,21.18,136900,0,0
2018-02-02,20.87,20.87,19.58,20.39,145900,0,0
2018-02-05,20.12,20.85,19.2,19.26,168000,0,0
2018-02-06,18.76,19.93,18.49,19.38,236700,0,0
2018-02-07,19.4,20.48,19.27,20.27,237800,0,0
2018-02-08,20.3,21.0,20.3,20.89,173300,0,0
2018-02-09,21.12,21.62,20.37,21.49,176100,0,0
2018-02-12,21.61,21.78,20.7,21.22,100400,0,0
2018-02-13,21.26,21.29,20.47,20.59,76700,0,0
2018-02-14,20.56,21.17,20.54,20.93,51200,0,0
2018-02-15,21.09,23.55,21.0,23.34,207400,0,0
2018-02-16,23.42,25.02,23.3,24.8,381300,0,0
2018-02-20,24.86,25.79,23.4,23.68,246900,0,0
2018-02-21,23.9,24.78,22.72,23.02,176700,0,0
2018-02-22,22.9,23.39,22.12,22.42,176100,0,0
2018-02-23,22.73,23.3,21.94,22.4,309700,0,0
2018-02-26,22.37,23.2,21.4,22.16,243100,0,0
2018-02-27,22.05,22.11,21.48,21.51,269800,0,0
2018-02-28,21.54,23.44,21.0,22.89,289000,0,0
2018-03-01,22.98,23.0,21.55,21.57,331700,0,0
2018-03-02,21.55,22.99,21.0,22.59,233900,0,0
2018-03-05,22.59,22.99,21.1,22.55,319600,0,0
2018-03-06,22.63,22.99,21.63,21.96,259400,0,0
2018-03-07,21.75,22.28,21.13,21.57,203600,0,0
2018-03-08,21.7,21.75,20.34,20.56,237800,0,0
2018-03-09,20.52,20.87,20.15,20.37,220400,0,0
2018-03-12,19.96,20.31,18.56,20.18,466000,0,0
2018-03-13,20.31,20.96,19.43,20.12,213300,0,0
2018-03-14,20.18,22.14,19.68,21.89,378000,0,0
2018-03-15,21.98,22.06,19.51,19.58,343700,0,0
2018-03-16,19.73,21.7,19.61,21.53,2247100,0,0
2018-03-19,21.43,22.0,20.45,21.96,450500,0,0
2018-03-20,22.18,22.48,21.37,22.06,353800,0,0
2018-03-21,21.98,22.34,21.57,21.71,231700,0,0
2018-03-22,21.44,21.68,21.01,21.17,128100,0,0
2018-03-23,21.17,21.83,21.03,21.34,465100,0,0
2018-03-26,21.7,21.94,20.0,21.16,451700,0,0
2018-03-27,21.16,21.42,19.9,20.05,228000,0,0
2018-03-28,20.08,20.87,19.57,19.71,151000,0,0
2018-03-29,19.75,20.5,19.6,19.69,176900,0,0
2018-04-02,19.66,19.96,18.7,18.75,176100,0,0
2018-04-03,18.93,19.35,18.57,19.12,283400,0,0
2018-04-04,18.79,19.9,18.74,19.6,234200,0,0
2018-04-05,19.78,19.78,18.76,18.89,238900,0,0
2018-04-06,18.64,19.19,18.01,18.11,152700,0,0
2018-04-09,18.5,19.48,18.11,18.44,161100,0,0
2018-04-10,18.76,19.67,18.51,19.62,119900,0,0
2018-04-11,19.54,19.68,19.18,19.52,132000,0,0
2018-04-12,19.6,19.84,19.36,19.41,132200,0,0
2018-04-13,19.6,19.77,19.1,19.2,91600,0,0
2018-04-16,19.42,19.5,18.28,18.62,106200,0,0
2018-04-17,18.85,19.88,18.61,19.63,135100,0,0
2018-04-18,19.79,20.0,19.17,19.36,100200,0,0
2018-04-19,19.33,19.94,18.74,19.26,133600,0,0
2018-04-20,19.17,19.85,18.85,19.77,130600,0,0
2018-04-23,19.77,19.77,19.08,19.45,130200,0,0
2018-04-24,19.57,19.83,19.01,19.2,101400,0,0
2018-04-25,19.13,19.13,18.22,18.36,115600,0,0
2018-04-26,18.53,19.08,18.27,18.7,94700,0,0
