Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-19,5.0,5.0,5.0,5.0,100,0,0
2017-12-20,5.8,6.4,5.49,6.0,184400,0,0
2017-12-21,6.0,6.18,5.55,5.7,170800,0,0
2017-12-22,6.14,6.14,5.7,5.85,87300,0,0
2017-12-26,5.95,5.95,5.707,5.72,34800,0,0
2017-12-27,5.61,5.7751,5.61,5.77,29400,0,0
2017-12-28,5.98,5.98,5.7001,5.88,38900,0,0
2017-12-29,5.88,5.99,5.82,5.9,88900,0,0
2018-01-02,5.7501,5.8499,5.62,5.62,69800,0,0
2018-01-03,5.6,5.71,5.46,5.71,70900,0,0
2018-01-04,5.61,5.63,5.03,5.373,51800,0,0
2018-01-05,5.37,5.37,4.79,4.81,101800,0,0
2018-01-08,4.8,4.8,4.1699,4.56,76700,0,0
2018-01-09,4.5701,4.79,4.57,4.79,33400,0,0
2018-01-10,4.72,4.8599,4.65,4.8595,14200,0,0
2018-01-11,4.98,5.0,4.75,4.91,7200,0,0
2018-01-12,5.0,5.0,4.75,4.75,12300,0,0
2018-01-16,4.77,4.77,4.4654,4.51,9600,0,0
2018-01-17,4.54,4.76,4.54,4.6554,32700,0,0
2018-01-18,4.66,4.66,4.6,4.6,2900,0,0
2018-01-19,4.51,4.75,4.51,4.68,47100,0,0
2018-01-22,4.67,4.67,4.58,4.58,6400,0,0
2018-01-23,4.5799,4.5799,4.53,4.53,14200,0,0
2018-01-24,4.53,4.531,4.41,4.41,24400,0,0
2018-01-25,4.41,4.5,4.41,4.41,10700,0,0
2018-01-26,4.401,4.49,4.4001,4.41,5700,0,0
2018-01-29,4.5,4.501,4.41,4.42,6900,0,0
2018-01-30,4.4201,4.43,4.4,4.42,16600,0,0
2018-01-31,4.4,4.4001,4.36,4.39,30900,0,0
2018-02-01,4.36,4.3688,4.175,4.2,13600,0,0
2018-02-02,4.2,4.3,4.0,4.01,27100,0,0
2018-02-05,3.9501,4.0,3.78,3.9332,29400,0,0
2018-02-06,3.9,4.049,3.8,3.8,22700,0,0
2018-02-07,3.99,3.999,3.71,3.75,10100,0,0
2018-02-08,3.76,3.76,3.76,3.76,200,0,0
2018-02-09,3.9899,3.9899,3.7,3.7,11400,0,0
2018-02-12,3.89,3.89,3.78,3.78,2000,0,0
2018-02-13,3.89,3.89,3.81,3.81,4900,0,0
2018-02-14,3.88,4.08,3.88,4.07,11300,0,0
2018-02-15,4.2,4.7794,4.1999,4.7794,16400,0,0
2018-02-16,5.0,5.0,4.7548,4.7753,24700,0,0
2018-02-20,4.81,4.81,4.79,4.8,8100,0,0
2018-02-21,4.75,4.75,4.421,4.7499,3100,0,0
2018-02-22,4.7899,4.7899,4.4501,4.4501,4200,0,0
2018-02-23,4.81,4.81,4.6225,4.65,300,0,0
2018-02-26,4.61,4.61,4.58,4.58,10000,0,0
2018-02-27,4.56,4.56,4.14,4.14,3300,0,0
2018-02-28,4.5,4.56,3.94,4.0601,6600,0,0
2018-03-01,4.4899,4.5,4.41,4.45,3400,0,0
2018-03-02,4.44,4.44,4.4,4.41,3300,0,0
2018-03-05,4.4,4.4,4.4,4.4,100,0,0
2018-03-06,4.4,4.4,4.1215,4.1215,1100,0,0
2018-03-07,4.17,4.4,4.11,4.3999,8900,0,0
2018-03-08,4.3999,4.3999,4.3999,4.3999,0,0,0
2018-03-09,4.3,4.43,4.3,4.43,3200,0,0
2018-03-12,4.5,4.5,4.02,4.18,2200,0,0
2018-03-13,4.3551,4.3551,4.25,4.25,1700,0,0
2018-03-14,4.2513,4.4,4.25,4.25,5000,0,0
2018-03-15,4.5,4.55,4.3,4.46,5200,0,0
2018-03-16,4.499,4.499,4.33,4.33,5300,0,0
2018-03-19,4.24,4.24,4.24,4.24,1200,0,0
2018-03-20,4.05,4.15,3.551,3.551,48300,0,0
2018-03-21,3.57,4.1001,3.57,3.78,26200,0,0
2018-03-22,3.79,3.919,3.79,3.82,1800,0,0
2018-03-23,3.9299,3.9299,3.8875,3.8949,900,0,0
2018-03-26,3.92,3.92,3.815,3.815,1400,0,0
2018-03-27,3.88,3.97,3.87,3.9525,4600,0,0
2018-03-28,3.9846,3.9846,3.9333,3.9333,1100,0,0
2018-03-29,3.9,4.38,3.6252,4.07,53000,0,0
2018-04-02,4.0,4.18,3.9,3.92,27900,0,0
2018-04-03,3.63,3.9,3.6001,3.8216,26400,0,0
2018-04-04,3.8988,3.95,3.8988,3.95,2400,0,0
2018-04-05,3.94,3.95,3.8765,3.95,1400,0,0
2018-04-06,3.95,3.95,3.95,3.95,0,0,0
2018-04-09,3.8999,3.9,3.78,3.78,2100,0,0
2018-04-10,3.78,3.78,3.78,3.78,0,0,0
2018-04-11,3.74,3.78,3.74,3.7799,7000,0,0
