Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-08-07,26.33,26.33,26.33,26.33,100,0.0,0
2013-08-08,27.39,27.39,26.42,26.42,400,0.0,0
2013-08-09,27.23,27.23,27.23,27.23,200,0.0,0
2013-08-12,27.23,27.23,27.23,27.23,0,0.0,0
2013-08-13,27.18,27.18,27.18,27.18,500,0.0,0
2013-08-14,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-15,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-16,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-19,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-20,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-21,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-22,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-23,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-26,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-27,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-28,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-29,27.18,27.18,27.18,27.18,0,0.0,0
2013-08-30,27.18,27.18,27.18,27.18,0,0.0,0
2013-09-03,27.18,27.18,27.18,27.18,0,0.0,0
2013-09-04,27.08,27.08,26.28,26.28,700,0.0,0
2013-09-05,26.28,26.28,26.28,26.28,0,0.0,0
2013-09-06,27.19,27.19,27.19,27.19,100,0.0,0
2013-09-09,26.56,26.56,26.56,26.56,100,0.0,0
2013-09-10,26.56,26.56,26.56,26.56,0,0.0,0
2013-09-11,26.04,26.04,26.04,26.04,400,0.0,0
2013-09-12,26.04,26.04,26.04,26.04,0,0.0,0
2013-09-13,25.99,25.99,25.68,25.68,300,0.0,0
2013-09-16,25.68,25.68,25.68,25.68,0,0.0,0
2013-09-17,26.4,26.4,26.4,26.4,300,0.0,0
2013-09-18,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-19,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-20,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-23,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-24,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-25,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-26,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-27,26.4,26.4,26.4,26.4,0,0.0,0
2013-09-30,26.4,26.4,26.4,26.4,0,0.0,0
2013-10-01,26.4,26.4,26.4,26.4,0,0.0,0
2013-10-02,26.4,26.4,26.4,26.4,0,0.0,0
2013-10-03,26.4,26.4,26.4,26.4,0,0.0,0
2013-10-04,26.4,26.4,26.4,26.4,0,0.0,0
2013-10-07,26.4,26.4,26.4,26.4,0,0.0,0
2013-10-08,25.55,25.55,25.55,25.55,100,0.0,0
2013-10-09,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-10,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-11,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-14,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-15,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-16,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-17,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-18,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-21,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-22,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-23,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-24,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-25,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-28,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-29,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-30,25.55,25.55,25.55,25.55,0,0.0,0
2013-10-31,25.55,25.55,25.55,25.55,0,0.0,0
2013-11-01,25.55,25.55,25.55,25.55,0,0.0,0
2013-11-04,25.55,25.55,25.55,25.55,0,0.0,0
2013-11-05,25.55,25.55,25.55,25.55,0,0.0,0
2013-11-06,25.55,25.55,25.55,25.55,0,0.0,0
2013-11-07,25.55,25.55,25.55,25.55,0,0.0,0
2013-11-08,26.36,26.38,26.25,26.25,17900,0.0,0
2013-11-11,26.25,26.25,26.25,26.25,0,0.0,0
2013-11-12,26.25,26.25,26.25,26.25,0,0.0,0
2013-11-13,26.25,26.25,26.25,26.25,0,0.0,0
2013-11-14,26.25,26.25,26.25,26.25,0,0.0,0
2013-11-15,26.25,26.25,26.25,26.25,0,0.0,0
2013-11-18,26.25,26.25,26.25,26.25,0,0.0,0
2013-11-19,26.0,26.18,26.0,26.18,2300,0.0,0
2013-11-20,26.18,26.18,26.18,26.18,0,0.0,0
2013-11-21,26.21,26.21,26.21,26.21,100,0.0,0
2013-11-22,26.21,26.21,26.21,26.21,0,0.0,0
2013-11-25,26.21,26.21,26.21,26.21,0,0.0,0
2013-11-26,26.21,26.21,26.21,26.21,0,0.0,0
2013-11-27,26.21,26.21,26.21,26.21,0,0.0,0
2013-11-29,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-02,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-03,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-04,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-05,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-06,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-09,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-10,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-11,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-12,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-13,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-16,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-17,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-18,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-19,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-20,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-23,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-24,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-26,26.21,26.21,26.21,26.21,0,0.0,0
2013-12-27,27.34,27.34,27.34,27.34,100,0.0,0
2013-12-30,27.34,27.34,27.34,27.34,0,0.0,0
2013-12-31,27.34,27.34,27.34,27.34,0,0.0,0
2014-01-02,27.59,27.59,27.41,27.41,4500,0.0,0
2014-01-03,27.41,27.41,27.41,27.41,0,0.0,0
2014-01-06,27.23,27.23,26.53,26.66,10400,0.0,0
2014-01-07,26.64,26.65,26.64,26.65,400,0.0,0
2014-01-08,26.65,26.65,26.65,26.65,0,0.0,0
2014-01-09,26.65,26.65,26.65,26.65,0,0.0,0
2014-01-10,26.65,26.65,26.65,26.65,0,0.0,0
2014-01-13,26.65,26.65,26.65,26.65,0,0.0,0
2014-01-14,26.65,26.65,26.65,26.65,0,0.0,0
2014-01-15,27.15,27.15,27.13,27.13,1000,0.0,0
2014-01-16,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-17,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-21,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-22,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-23,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-24,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-27,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-28,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-29,27.13,27.13,27.13,27.13,0,0.0,0
2014-01-30,27.13,27.13,27.13,27.13,0,0.0,0
