Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-03-12,1.91,2.0,1.76,1.91,2396000,0.0,0.0
1991-03-13,1.91,2.0,1.91,1.94,516000,0.0,0.0
1991-03-14,1.94,1.97,1.91,1.91,260800,0.0,0.0
1991-03-15,1.91,1.97,1.88,1.91,423200,0.0,0.0
1991-03-18,1.97,1.97,1.88,1.88,86400,0.0,0.0
1991-03-19,1.88,1.91,1.88,1.91,113600,0.0,0.0
1991-03-20,1.88,1.91,1.85,1.85,197200,0.0,0.0
1991-03-21,1.88,1.88,1.82,1.82,303600,0.0,0.0
1991-03-22,1.88,1.88,1.82,1.82,80800,0.0,0.0
1991-03-25,1.82,1.88,1.82,1.88,66000,0.0,0.0
1991-03-26,1.85,1.88,1.85,1.85,384000,0.0,0.0
1991-03-27,1.88,1.94,1.85,1.88,374000,0.0,0.0
1991-03-28,1.88,1.94,1.88,1.91,126400,0.0,0.0
1991-04-01,2.12,2.15,1.97,2.0,679200,0.0,0.0
1991-04-02,2.09,2.15,2.0,2.09,412800,0.0,0.0
1991-04-03,2.18,2.18,2.09,2.15,245600,0.0,0.0
1991-04-04,2.18,2.21,2.12,2.18,269600,0.0,0.0
1991-04-05,2.21,2.24,2.12,2.18,562400,0.0,0.0
1991-04-08,2.18,2.18,2.12,2.18,314000,0.0,0.0
1991-04-09,2.18,2.21,2.12,2.18,457600,0.0,0.0
1991-04-10,2.21,2.21,2.12,2.12,90400,0.0,0.0
1991-04-11,2.21,2.24,2.15,2.18,443600,0.0,0.0
1991-04-12,2.18,2.24,2.18,2.24,285600,0.0,0.0
1991-04-15,2.24,2.24,2.18,2.24,150400,0.0,0.0
1991-04-16,2.24,2.24,2.18,2.18,226400,0.0,0.0
1991-04-17,2.24,2.24,2.18,2.24,60000,0.0,0.0
1991-04-18,2.18,2.21,2.18,2.21,30800,0.0,0.0
1991-04-19,2.18,2.24,2.18,2.18,140800,0.0,0.0
1991-04-22,2.18,2.24,2.15,2.15,281600,0.0,0.0
1991-04-23,2.15,2.21,2.09,2.09,50000,0.0,0.0
1991-04-24,2.09,2.15,2.09,2.15,18400,0.0,0.0
1991-04-25,2.09,2.15,2.09,2.09,36000,0.0,0.0
1991-04-26,2.12,2.12,2.09,2.09,14400,0.0,0.0
1991-04-29,2.12,2.12,2.06,2.06,30000,0.0,0.0
1991-04-30,2.09,2.09,1.97,1.97,82800,0.0,0.0
1991-05-01,1.97,2.09,1.97,2.09,21200,0.0,0.0
1991-05-02,1.97,2.09,1.97,2.03,336000,0.0,0.0
1991-05-03,2.03,2.09,1.97,2.09,112000,0.0,0.0
1991-05-06,2.03,2.09,1.94,2.0,85200,0.0,0.0
1991-05-07,2.0,2.0,1.91,1.91,8800,0.0,0.0
1991-05-08,1.91,2.0,1.88,2.0,113600,0.0,0.0
1991-05-09,1.94,2.03,1.94,2.0,92400,0.0,0.0
1991-05-10,2.0,2.0,2.0,2.0,7200,0.0,0.0
1991-05-13,2.0,2.03,1.97,2.0,17200,0.0,0.0
1991-05-14,1.97,2.03,1.94,1.97,87200,0.0,0.0
1991-05-15,2.0,2.09,1.91,1.91,114000,0.0,0.0
1991-05-16,1.97,2.03,1.88,1.88,23200,0.0,0.0
1991-05-17,1.97,2.0,1.97,1.97,20400,0.0,0.0
1991-05-20,1.97,1.97,1.97,1.97,2000,0.0,0.0
1991-05-21,1.97,2.03,1.91,1.91,43200,0.0,0.0
1991-05-22,1.91,1.97,1.91,1.91,63200,0.0,0.0
1991-05-23,1.91,2.03,1.91,1.94,88000,0.0,0.0
1991-05-24,1.88,1.88,1.88,1.88,6000,0.0,0.0
1991-05-28,1.88,1.97,1.88,1.94,37200,0.0,0.0
1991-05-29,1.97,1.97,1.88,1.88,25600,0.0,0.0
1991-05-30,1.97,1.97,1.88,1.97,15600,0.0,0.0
1991-05-31,1.94,1.97,1.88,1.91,54000,0.0,0.0
1991-06-03,1.88,1.97,1.88,1.88,35200,0.0,0.0
1991-06-04,1.94,1.94,1.73,1.88,307600,0.0,0.0
1991-06-05,1.79,1.85,1.61,1.79,351200,0.0,0.0
1991-06-06,1.85,1.85,1.73,1.79,10800,0.0,0.0
1991-06-07,1.82,1.88,1.73,1.88,48800,0.0,0.0
1991-06-10,1.82,1.91,1.79,1.91,72000,0.0,0.0
1991-06-11,1.91,1.91,1.79,1.91,57200,0.0,0.0
1991-06-12,1.79,1.91,1.79,1.91,24000,0.0,0.0
1991-06-13,1.79,1.79,1.79,1.79,2000,0.0,0.0
1991-06-14,1.79,1.91,1.79,1.91,30800,0.0,0.0
1991-06-17,1.91,1.91,1.79,1.79,11600,0.0,0.0
1991-06-18,1.79,1.91,1.79,1.91,16800,0.0,0.0
1991-06-19,1.79,1.91,1.79,1.91,17200,0.0,0.0
1991-06-20,1.82,1.91,1.79,1.91,41600,0.0,0.0
1991-06-21,1.85,1.94,1.85,1.94,80000,0.0,0.0
1991-06-24,1.94,1.94,1.79,1.79,16400,0.0,0.0
1991-06-25,1.79,1.94,1.79,1.94,20400,0.0,0.0
1991-06-26,1.79,1.82,1.79,1.79,7600,0.0,0.0
1991-06-27,1.79,1.94,1.79,1.82,14400,0.0,0.0
1991-06-28,1.82,1.91,1.82,1.91,29600,0.0,0.0
1991-07-01,1.79,1.94,1.79,1.82,22800,0.0,0.0
1991-07-02,1.94,1.94,1.79,1.94,131600,0.0,0.0
1991-07-03,1.94,1.94,1.79,1.94,24400,0.0,0.0
1991-07-05,1.79,1.94,1.79,1.94,14400,0.0,0.0
1991-07-08,1.91,1.94,1.79,1.94,456000,0.0,0.0
1991-07-09,1.94,1.94,1.85,1.94,73200,0.0,0.0
1991-07-10,1.88,1.94,1.85,1.91,330800,0.0,0.0
1991-07-11,1.91,1.91,1.85,1.85,48800,0.0,0.0
1991-07-12,1.85,1.91,1.85,1.85,26000,0.0,0.0
1991-07-15,1.91,1.91,1.85,1.91,98000,0.0,0.0
1991-07-16,1.91,1.91,1.85,1.85,13200,0.0,0.0
1991-07-17,1.91,1.97,1.85,1.91,169200,0.0,0.0
1991-07-18,1.97,1.97,1.91,1.97,113200,0.0,0.0
1991-07-19,1.91,1.97,1.91,1.91,127200,0.0,0.0
1991-07-22,1.91,1.97,1.91,1.91,108400,0.0,0.0
1991-07-23,1.91,1.94,1.85,1.94,91600,0.0,0.0
1991-07-24,1.82,1.85,1.82,1.82,46000,0.0,0.0
1991-07-25,1.94,1.94,1.85,1.94,147600,0.0,0.0
1991-07-26,1.82,1.94,1.82,1.82,33600,0.0,0.0
1991-07-29,1.82,1.94,1.82,1.94,301200,0.0,0.0
1991-07-30,1.88,1.88,1.88,1.88,89200,0.0,0.0
1991-07-31,1.94,1.94,1.88,1.91,76800,0.0,0.0
1991-08-01,1.85,1.91,1.85,1.85,61600,0.0,0.0
1991-08-02,1.91,1.91,1.82,1.85,110000,0.0,0.0
1991-08-05,1.82,1.91,1.82,1.85,31200,0.0,0.0
1991-08-06,1.82,1.91,1.79,1.82,160000,0.0,0.0
1991-08-07,1.85,1.85,1.82,1.82,71200,0.0,0.0
1991-08-08,1.82,1.82,1.82,1.82,48000,0.0,0.0
1991-08-09,1.82,1.85,1.82,1.82,168400,0.0,0.0
1991-08-12,1.82,1.82,1.82,1.82,9200,0.0,0.0
1991-08-13,1.82,1.85,1.82,1.82,13600,0.0,0.0
1991-08-14,1.82,1.82,1.82,1.82,20400,0.0,0.0
1991-08-15,1.82,1.85,1.82,1.85,44400,0.0,0.0
1991-08-16,1.85,1.85,1.79,1.79,30000,0.0,0.0
1991-08-19,1.73,1.79,1.73,1.79,25200,0.0,0.0
1991-08-20,1.85,1.85,1.79,1.82,92800,0.0,0.0
1991-08-21,1.79,1.82,1.79,1.79,38400,0.0,0.0
1991-08-22,1.79,1.79,1.76,1.79,16000,0.0,0.0
1991-08-23,1.76,1.79,1.76,1.79,17600,0.0,0.0
1991-08-26,1.76,1.82,1.73,1.79,54400,0.0,0.0
1991-08-27,1.73,1.76,1.73,1.73,22800,0.0,0.0
1991-08-28,1.73,1.73,1.73,1.73,8400,0.0,0.0
1991-08-29,1.79,1.79,1.73,1.73,43600,0.0,0.0
1991-08-30,1.73,1.73,1.73,1.73,14400,0.0,0.0
1991-09-03,1.79,1.79,1.73,1.73,270000,0.0,0.0
1991-09-04,1.73,1.79,1.67,1.7,145600,0.0,0.0
1991-09-05,1.67,1.67,1.67,1.67,4000,0.0,0.0
1991-09-06,1.67,1.67,1.67,1.67,8000,0.0,0.0
1991-09-09,1.67,1.67,1.67,1.67,8000,0.0,0.0
1991-09-10,1.67,1.67,1.67,1.67,10800,0.0,0.0
1991-09-11,1.67,1.76,1.64,1.73,56400,0.0,0.0
1991-09-12,1.64,1.76,1.64,1.76,135200,0.0,0.0
1991-09-13,1.64,1.76,1.64,1.76,76800,0.0,0.0
1991-09-16,1.76,1.76,1.64,1.76,122400,0.0,0.0
1991-09-17,1.67,1.76,1.64,1.76,114400,0.0,0.0
1991-09-18,1.64,1.73,1.58,1.7,175200,0.0,0.0
1991-09-19,1.73,1.73,1.58,1.67,203600,0.0,0.0
1991-09-20,1.67,1.67,1.55,1.58,272800,0.0,0.0
1991-09-23,1.55,1.55,1.47,1.49,132000,0.0,0.0
1991-09-24,1.44,1.52,1.38,1.44,107200,0.0,0.0
1991-09-25,1.44,1.52,1.38,1.52,1456800,0.0,0.0
1991-09-26,1.52,1.61,1.47,1.61,318400,0.0,0.0
1991-09-27,1.61,1.7,1.61,1.67,88400,0.0,0.0
1991-09-30,1.67,1.7,1.61,1.7,20400,0.0,0.0
1991-10-01,1.64,1.73,1.64,1.73,45600,0.0,0.0
1991-10-02,1.64,1.73,1.64,1.73,32400,0.0,0.0
1991-10-03,1.67,1.73,1.67,1.73,13600,0.0,0.0
1991-10-04,1.64,1.73,1.61,1.61,55600,0.0,0.0
1991-10-07,1.61,1.67,1.61,1.61,34400,0.0,0.0
1991-10-08,1.58,1.67,1.58,1.58,65600,0.0,0.0
1991-10-09,1.67,1.67,1.58,1.64,40000,0.0,0.0
1991-10-10,1.64,1.76,1.61,1.67,24000,0.0,0.0
1991-10-11,1.73,1.73,1.61,1.7,122000,0.0,0.0
1991-10-14,1.73,1.73,1.61,1.61,13200,0.0,0.0
1991-10-15,1.67,1.67,1.58,1.58,134000,0.0,0.0
1991-10-16,1.58,1.67,1.58,1.58,50800,0.0,0.0
1991-10-17,1.58,1.64,1.58,1.61,130000,0.0,0.0
1991-10-18,1.58,1.64,1.58,1.58,78400,0.0,0.0
1991-10-21,1.58,1.64,1.58,1.58,20800,0.0,0.0
1991-10-22,1.58,1.73,1.58,1.73,149200,0.0,0.0
1991-10-23,1.64,1.76,1.64,1.67,66000,0.0,0.0
1991-10-24,1.64,1.73,1.64,1.73,44400,0.0,0.0
1991-10-25,1.73,1.73,1.67,1.73,45200,0.0,0.0
1991-10-28,1.7,1.73,1.67,1.73,56800,0.0,0.0
1991-10-29,1.67,1.73,1.67,1.67,71200,0.0,0.0
1991-10-30,1.73,1.73,1.67,1.67,31200,0.0,0.0
1991-10-31,1.67,1.73,1.67,1.67,58400,0.0,0.0
1991-11-01,1.73,1.73,1.67,1.67,30400,0.0,0.0
