Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-17,11.02,11.54,11.0,11.5,32588500,0,0
2019-07-18,11.59,11.88,11.0,11.05,9071600,0,0
2019-07-19,10.93,11.16,10.1,10.5,6048300,0,0
2019-07-22,10.5,10.51,9.63,10.05,5289300,0,0
2019-07-23,10.0,10.5,9.9,10.38,2765700,0,0
2019-07-24,10.5,10.59,9.9,10.2,2866800,0,0
2019-07-25,10.05,10.46,9.7,9.72,2186100,0,0
2019-07-26,9.9,10.2,9.73,10.08,2082900,0,0
2019-07-29,10.19,10.19,9.94,10.08,1375900,0,0
2019-07-30,10.0,10.12,9.98,10.02,986000,0,0
2019-07-31,9.94,10.15,9.73,9.77,874800,0,0
2019-08-01,9.79,9.83,8.85,9.33,2653100,0,0
2019-08-02,9.07,9.13,8.57,8.8,3626500,0,0
2019-08-05,8.49,8.5,7.87,8.18,3100100,0,0
2019-08-06,8.2,8.48,7.77,7.84,2023500,0,0
2019-08-07,7.96,8.4,7.9,8.39,1687000,0,0
2019-08-08,8.6,9.22,8.55,9.22,2626200,0,0
2019-08-09,9.06,9.58,9.06,9.56,2143100,0,0
2019-08-12,9.72,10.15,9.53,9.93,4430700,0,0
2019-08-13,10.67,10.98,8.82,8.84,4069700,0,0
2019-08-14,8.66,8.79,8.05,8.14,2518600,0,0
2019-08-15,8.22,8.38,8.08,8.31,2182000,0,0
2019-08-16,8.48,9.11,8.4,8.7,2960800,0,0
2019-08-19,9.0,9.1,8.27,8.45,4029000,0,0
2019-08-20,8.45,8.68,8.31,8.31,2197400,0,0
2019-08-21,8.41,8.52,8.01,8.22,2532700,0,0
2019-08-22,8.27,8.44,8.15,8.2,1530000,0,0
2019-08-23,8.21,8.25,7.86,8.07,2365600,0,0
2019-08-26,8.15,8.36,8.15,8.35,450400,0,0
2019-08-27,8.44,8.93,8.41,8.64,1730100,0,0
2019-08-28,8.8,8.86,8.45,8.82,646100,0,0
2019-08-29,8.96,9.38,8.95,9.2,1703300,0,0
2019-08-30,9.36,9.5,9.15,9.46,795500,0,0
2019-09-03,9.45,10.05,9.31,9.35,2846700,0,0
2019-09-04,9.67,10.13,9.61,9.98,1847700,0,0
2019-09-05,10.1,10.14,9.91,9.97,1138300,0,0
2019-09-06,10.08,10.17,9.85,9.96,866700,0,0
2019-09-09,10.04,10.27,9.71,9.78,1673700,0,0
2019-09-10,9.7,9.8,9.39,9.75,1048100,0,0
2019-09-11,9.77,9.84,9.48,9.57,970300,0,0
2019-09-12,9.56,9.79,9.36,9.39,561800,0,0
2019-09-13,9.45,9.59,9.41,9.5,1264000,0,0
2019-09-16,9.51,9.66,9.25,9.33,604400,0,0
2019-09-17,9.24,9.28,9.0,9.02,1076700,0,0
2019-09-18,9.0,9.14,8.95,9.04,762900,0,0
2019-09-19,9.0,9.38,8.99,9.16,1010400,0,0
2019-09-20,9.29,9.6,9.25,9.5,1170300,0,0
2019-09-23,9.4,9.4,9.06,9.06,771800,0,0
2019-09-24,9.06,9.18,8.77,8.78,1305900,0,0
2019-09-25,8.77,9.03,8.69,8.75,1337300,0,0
2019-09-26,8.72,8.89,8.61,8.61,724800,0,0
2019-09-27,8.6,8.68,8.09,8.19,2869700,0,0
2019-09-30,8.28,8.31,8.1,8.19,1168800,0,0
2019-10-01,8.13,8.3,8.09,8.19,834600,0,0
2019-10-02,8.14,8.15,8.05,8.12,1355200,0,0
2019-10-03,8.22,8.24,8.02,8.24,1275000,0,0
2019-10-04,8.2,8.57,8.2,8.51,340700,0,0
2019-10-07,8.43,8.43,8.11,8.11,708600,0,0
2019-10-08,8.0,8.11,7.92,7.93,1082000,0,0
2019-10-09,8.0,8.12,7.91,8.01,1197500,0,0
2019-10-10,7.96,8.14,7.88,8.11,1497300,0,0
2019-10-11,8.16,8.57,8.16,8.53,733900,0,0
2019-10-14,8.45,8.45,7.64,7.66,3806700,0,0
2019-10-15,7.8,7.86,7.41,7.47,2308500,0,0
2019-10-16,7.41,7.45,7.02,7.12,2960700,0,0
2019-10-17,7.15,7.4,7.01,7.37,1386300,0,0
2019-10-18,7.35,7.63,7.3,7.54,1771100,0,0
2019-10-21,7.65,7.68,7.42,7.57,1306000,0,0
2019-10-22,7.64,7.69,7.3,7.33,1305500,0,0
2019-10-23,7.4,7.88,7.32,7.81,1843500,0,0
2019-10-24,7.77,7.95,7.46,7.75,947700,0,0
2019-10-25,7.68,8.05,7.66,7.9,890900,0,0
2019-10-28,7.77,7.96,7.66,7.88,558900,0,0
2019-10-29,7.83,7.89,7.7,7.76,878000,0,0
2019-10-30,7.75,7.96,7.68,7.91,414300,0,0
2019-10-31,7.84,7.94,7.71,7.77,445700,0,0
2019-11-01,7.78,7.86,7.57,7.76,771100,0,0
2019-11-04,7.81,8.3,7.81,8.28,894200,0,0
2019-11-05,8.31,8.36,8.05,8.25,552700,0,0
2019-11-06,8.18,8.23,7.8,7.8,816500,0,0
2019-11-07,7.97,8.12,7.93,7.98,499900,0,0
2019-11-08,7.97,8.13,7.89,8.03,709100,0,0
2019-11-11,8.03,8.03,7.7,7.78,537800,0,0
2019-11-12,7.88,7.88,7.28,7.39,857500,0,0
2019-11-13,7.54,7.67,7.3,7.31,452800,0,0
2019-11-14,7.31,7.37,7.15,7.22,743400,0,0
2019-11-15,7.3,7.62,7.3,7.52,577500,0,0
2019-11-18,7.51,7.67,7.37,7.65,428300,0,0
2019-11-19,7.64,7.99,7.54,7.66,392200,0,0
2019-11-20,7.62,7.62,7.24,7.3,629800,0,0
2019-11-21,7.31,7.48,7.27,7.34,463000,0,0
2019-11-22,7.33,7.62,7.33,7.59,346200,0,0
