Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-13,9.15,9.33,9.15,9.33,1900,0,0
2019-09-16,9.3,9.62,9.3,9.62,6000,0,0
2019-09-17,9.64,9.74,9.64,9.71,1000,0,0
2019-09-18,9.75,9.77,9.7,9.7,1500,0,0
2019-09-19,9.7,10.48,9.7,10.15,7500,0,0
2019-09-20,10.15,10.15,10.15,10.15,100,0,0
2019-09-23,10.45,10.45,10.2,10.23,3000,0,0
2019-09-24,10.31,10.5,10.0,10.0,9200,0,0
2019-09-25,10.05,10.05,10.0,10.0,600,0,0
2019-09-26,10.15,10.15,9.9,9.9,7300,0,0
2019-09-27,9.96,10.0,9.6,9.64,16900,0,0
2019-09-30,9.7,9.7,9.7,9.7,600,0,0
2019-10-01,9.71,9.75,9.7,9.7,1400,0,0
2019-10-02,9.61,9.95,9.61,9.86,2000,0,0
2019-10-03,9.91,9.91,9.91,9.91,600,0,0
2019-10-04,9.91,9.91,9.91,9.91,100,0,0
2019-10-07,9.91,9.91,9.91,9.91,100,0,0
2019-10-08,9.92,9.96,9.9,9.9,1200,0,0
2019-10-09,9.95,9.95,9.95,9.95,100,0,0
2019-10-10,9.94,9.94,9.73,9.75,10500,0,0
2019-10-11,9.78,9.8,9.78,9.8,700,0,0
2019-10-14,9.82,9.82,9.82,9.82,100,0,0
2019-10-15,9.67,9.79,9.67,9.79,1300,0,0
2019-10-16,9.8,9.8,9.8,9.8,2000,0,0
2019-10-17,9.89,9.9,9.82,9.82,1500,0,0
2019-10-18,9.81,9.86,9.5,9.5,8700,0,0
2019-10-21,9.5,9.5,9.48,9.48,2800,0,0
2019-10-22,9.58,9.58,9.5,9.5,300,0,0
2019-10-23,9.5,9.5,9.22,9.22,6200,0,0
2019-10-24,9.49,9.49,9.49,9.49,100,0,0
2019-10-25,9.65,9.65,9.35,9.4,4200,0,0
2019-10-28,9.4,9.4,9.35,9.36,3500,0,0
2019-10-29,9.26,9.37,9.26,9.37,1700,0,0
2019-10-30,9.2,9.24,9.12,9.12,8800,0,0
2019-10-31,9.14,9.14,9.14,9.14,500,0,0
2019-11-01,9.14,9.14,9.14,9.14,0,0,0
2019-11-04,9.12,9.53,9.12,9.41,1000,0,0
2019-11-05,9.48,9.49,9.48,9.49,400,0,0
2019-11-06,9.32,9.35,9.31,9.35,1100,0,0
2019-11-07,9.44,9.48,9.44,9.48,700,0,0
2019-11-08,9.46,9.46,9.46,9.46,500,0,0
2019-11-11,9.46,9.46,9.46,9.46,100,0,0
2019-11-12,9.5,9.53,9.5,9.53,1900,0,0
2019-11-13,9.4,9.48,9.35,9.35,2900,0,0
2019-11-14,9.35,9.46,9.35,9.46,300,0,0
2019-11-15,9.46,9.46,9.46,9.46,0,0,0
2019-11-18,9.53,9.53,9.49,9.49,500,0,0
2019-11-19,9.49,9.49,9.49,9.49,100,0,0
2019-11-20,9.49,9.49,9.49,9.49,100,0,0
2019-11-21,9.48,9.48,9.02,9.11,11300,0,0
2019-11-22,9.05,9.06,7.78,7.78,8400,0,0
2019-11-25,8.4,8.41,8.17,8.17,1000,0,0
2019-11-26,8.27,8.27,8.26,8.26,500,0,0
2019-11-27,8.26,8.26,8.26,8.26,0,0,0
2019-11-29,8.26,8.26,8.26,8.26,0,0,0
2019-12-02,8.3,8.3,8.18,8.2,2100,0,0
2019-12-03,7.74,8.0,7.74,8.0,1600,0,0
2019-12-04,7.75,8.0,7.75,7.95,22300,0,0
2019-12-05,7.91,7.91,7.84,7.84,1400,0,0
2019-12-06,7.62,7.66,6.95,6.95,6400,0,0
2019-12-09,7.3,7.3,6.95,6.99,5200,0,0
2019-12-10,6.95,6.95,6.41,6.41,4800,0,0
2019-12-11,6.26,6.28,5.56,5.98,11100,0,0
2019-12-12,6.02,6.02,5.5,5.5,8500,0,0
2019-12-13,5.51,5.51,4.98,5.0,24300,0,0
2019-12-16,5.14,5.27,4.75,4.75,8700,0,0
2019-12-17,4.8,4.8,4.45,4.55,29000,0,0
2019-12-18,4.45,4.45,4.31,4.44,12200,0,0
2019-12-19,4.53,4.53,4.35,4.35,2100,0,0
2019-12-20,4.35,4.36,4.31,4.31,10300,0,0
2019-12-23,4.34,4.41,4.34,4.35,2900,0,0
2019-12-24,4.41,4.41,4.41,4.41,100,0,0
2019-12-26,4.7,4.8,4.35,4.75,12800,0,0
2019-12-27,4.6,4.77,4.57,4.77,27900,0,0
2019-12-30,4.8,5.36,4.8,5.36,15800,0,0
