Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-28,2.415,2.415,2.415,2.415,2000,0,0
2014-01-29,2.415,2.415,2.415,2.415,0,0,0
2014-01-30,2.399,2.399,2.399,2.399,100,0,0
2014-01-31,2.399,2.399,2.399,2.399,0,0,0
2014-02-03,2.399,2.399,2.399,2.399,0,0,0
2014-02-04,2.399,2.399,2.399,2.399,0,0,0
2014-02-05,2.278,2.3,2.278,2.3,300,0,0
2014-02-06,2.3,2.3,2.3,2.3,0,0,0
2014-02-07,2.3,2.3,2.3,2.3,0,0,0
2014-02-10,2.3,2.3,2.3,2.3,0,0,0
2014-02-11,2.3,2.3,2.3,2.3,0,0,0
2014-02-12,2.3,2.3,2.3,2.3,0,0,0
2014-02-13,2.3,2.3,2.3,2.3,0,0,0
2014-02-14,2.3,2.3,2.3,2.3,0,0,0
2014-02-18,2.3,2.3,2.3,2.3,0,0,0
2014-02-19,2.991,2.991,2.991,2.991,200,0,0
2014-02-20,2.96,2.96,2.96,2.96,300,0,0
2014-02-21,3.038,3.047,2.954,2.954,1000,0,0
2014-02-24,2.954,2.954,2.954,2.954,0,0,0
2014-02-25,2.954,2.954,2.954,2.954,0,0,0
2014-02-26,2.954,2.954,2.954,2.954,0,0,0
2014-02-27,2.954,2.954,2.954,2.954,0,0,0
2014-02-28,2.954,2.954,2.954,2.954,0,0,0
2014-03-03,2.954,2.954,2.954,2.954,0,0,0
2014-03-04,2.954,2.954,2.954,2.954,0,0,0
2014-03-05,2.954,2.954,2.954,2.954,0,0,0
2014-03-06,2.922,2.922,2.922,2.922,300,0,0
2014-03-07,2.835,2.835,2.835,2.835,1000,0,0
2014-03-10,2.835,2.835,2.835,2.835,0,0,0
2014-03-11,2.835,2.835,2.835,2.835,0,0,0
2014-03-12,2.835,2.835,2.835,2.835,0,0,0
2014-03-13,2.835,2.835,2.835,2.835,0,0,0
2014-03-14,2.895,2.895,2.895,2.895,3400,0,0
2014-03-17,2.895,2.895,2.895,2.895,0,0,0
2014-03-18,2.895,2.895,2.895,2.895,0,0,0
2014-03-19,2.895,2.895,2.895,2.895,0,0,0
