Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-12-16,11.46,11.61,11.46,11.61,6000,0,0
2014-07-14,14.2,14.2,14.2,14.2,0,0,0
2014-07-15,14.2,14.2,14.2,14.2,0,0,0
2014-07-16,14.2,14.2,14.2,14.2,0,0,0
2014-07-17,14.2,14.2,14.2,14.2,0,0,0
2014-07-18,14.2,14.2,14.2,14.2,0,0,0
2014-07-21,14.2,14.2,14.2,14.2,0,0,0
2014-07-22,14.2,14.2,14.2,14.2,0,0,0
2014-07-23,14.2,14.2,14.2,14.2,0,0,0
2014-07-24,14.2,14.2,14.2,14.2,0,0,0
2014-07-25,14.2,14.2,14.2,14.2,0,0,0
2014-07-28,14.2,14.2,14.2,14.2,0,0,0
2014-07-29,14.2,14.2,14.2,14.2,0,0,0
2014-07-30,14.2,14.2,14.2,14.2,0,0,0
2014-07-31,14.2,14.2,14.2,14.2,0,0,0
2014-08-01,14.2,14.2,14.2,14.2,0,0,0
2014-08-04,14.2,14.2,14.2,14.2,0,0,0
2014-08-05,11.85,11.85,11.85,11.85,0,0,0
2014-08-06,14.2,14.2,14.2,14.2,0,0,0
2014-08-07,14.2,14.2,14.2,14.2,0,0,0
2014-08-08,14.2,14.2,14.2,14.2,0,0,0
2014-08-11,14.2,14.2,14.2,14.2,0,0,0
2014-08-12,14.2,14.2,14.2,14.2,0,0,0
2014-08-13,14.2,14.2,14.2,14.2,0,0,0
2014-08-14,14.2,14.2,14.2,14.2,0,0,0
2014-08-15,14.2,14.2,14.2,14.2,0,0,0
2014-08-18,14.2,14.2,14.2,14.2,0,0,0
2014-08-19,14.2,14.2,14.2,14.2,0,0,0
2014-08-20,11.155,11.155,11.155,11.155,0,0,0
2014-08-21,14.2,14.2,14.2,14.2,0,0,0
2014-08-22,11.185,11.185,11.185,11.185,0,0,0
2014-08-25,14.2,14.2,14.2,14.2,0,0,0
2014-08-26,14.2,14.2,14.2,14.2,0,0,0
2014-08-27,14.2,14.2,14.2,14.2,0,0,0
2014-08-28,14.2,14.2,14.2,14.2,0,0,0
2014-08-29,14.2,14.2,14.2,14.2,0,0,0
2014-09-02,11.4,11.4,11.4,11.4,1800,0,0
2014-09-03,14.2,14.2,14.2,14.2,0,0,0
2014-09-04,11.525,11.525,11.525,11.525,1800,0,0
2014-09-05,11.54,11.54,11.54,11.54,0,0,0
2014-09-08,14.2,14.2,14.2,14.2,0,0,0
2014-09-09,14.2,14.2,14.2,14.2,0,0,0
2014-09-10,14.2,14.2,14.2,14.2,0,0,0
2014-09-11,14.2,14.2,14.2,14.2,0,0,0
2014-09-12,14.2,14.2,14.2,14.2,0,0,0
2014-09-15,14.2,14.2,14.2,14.2,0,0,0
