Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-05-07,4.0,4.25,4.0,4.25,2000,0,0.0
1998-05-08,4.25,4.25,4.25,4.25,0,0,0.0
1998-05-11,4.25,4.25,4.25,4.25,0,0,0.0
1998-05-12,4.25,4.25,4.25,4.25,0,0,0.0
1998-05-13,4.25,4.25,4.25,4.25,0,0,0.0
1998-05-14,5.0,5.25,5.0,5.25,3000,0,0.0
1998-05-15,5.25,5.25,4.75,5.12,800,0,0.0
1998-05-18,5.12,5.12,5.12,5.12,0,0,0.0
1998-05-19,5.12,5.25,5.12,5.25,600,0,0.0
1998-05-20,5.25,5.25,5.25,5.25,0,0,0.0
1998-05-21,4.88,5.25,4.88,5.25,200,0,0.0
1998-05-22,5.25,5.25,5.25,5.25,0,0,0.0
1998-05-26,5.25,5.25,4.88,4.88,3000,0,0.0
1998-05-27,4.88,4.88,4.88,4.88,0,0,0.0
1998-05-28,4.88,4.88,4.88,4.88,0,0,0.0
1998-05-29,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-01,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-02,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-03,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-04,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-05,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-08,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-09,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-10,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-11,4.88,4.88,4.88,4.88,0,0,0.0
1998-06-12,5.0,5.0,5.0,5.0,7000,0,0.0
1998-06-15,5.0,5.0,5.0,5.0,0,0,0.0
1998-06-16,5.0,5.0,5.0,5.0,0,0,0.0
1998-06-17,5.0,5.0,5.0,5.0,0,0,0.0
1998-06-18,5.0,5.0,5.0,5.0,0,0,0.0
1998-06-19,5.0,5.0,5.0,5.0,0,0,0.0
1998-06-22,5.0,5.94,4.62,4.62,10000,0,0.0
1998-06-23,4.62,4.62,4.62,4.62,0,0,0.0
1998-06-24,4.62,4.62,4.62,4.62,0,0,0.0
1998-06-25,4.62,4.62,4.62,4.62,0,0,0.0
1998-06-26,4.62,4.62,4.62,4.62,0,0,0.0
1998-06-29,4.62,4.62,4.62,4.62,0,0,0.0
1998-06-30,4.62,4.62,4.62,4.62,0,0,0.0
1998-07-01,4.62,4.62,4.62,4.62,2000,0,0.0
1998-07-02,5.0,5.0,4.5,4.5,1200,0,0.0
1998-07-06,4.0,4.0,3.5,3.5,200,0,0.0
1998-07-07,4.5,4.5,3.5,3.5,400,0,0.0
1998-07-08,3.5,3.5,3.5,3.5,400,0,0.0
