Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-16,0.75,0.8,0.5,0.8,84700,0,0
2008-01-17,0.85,0.85,0.3,0.5,476000,0,0
2008-01-18,0.28,0.6,0.28,0.5,120500,0,0
2008-01-22,0.49,0.49,0.3,0.4,14700,0,0
2008-01-23,0.35,0.4,0.3,0.4,43900,0,0
2008-01-24,0.3,0.45,0.3,0.43,14100,0,0
2008-01-25,0.4,0.44,0.4,0.44,19100,0,0
2008-01-28,0.4,0.47,0.3,0.45,169100,0,0
2008-01-29,0.3,0.45,0.3,0.45,66700,0,0
2008-01-30,0.3,0.46,0.3,0.45,44400,0,0
2008-01-31,0.38,0.42,0.38,0.4,50400,0,0
2008-02-01,0.3,0.39,0.3,0.39,34100,0,0
2008-02-04,0.35,0.4,0.35,0.4,18300,0,0
2008-02-05,0.3,0.41,0.3,0.41,24400,0,0
2008-02-06,0.3,0.41,0.3,0.4,45700,0,0
2008-02-07,0.3,0.4,0.3,0.3,113800,0,0
2008-02-08,0.25,0.3,0.25,0.27,16700,0,0
2008-02-11,0.25,0.31,0.25,0.28,39900,0,0
2008-02-12,0.28,0.3,0.25,0.28,56600,0,0
2008-02-13,0.26,0.3,0.25,0.25,148800,0,0
2008-02-14,0.21,0.25,0.21,0.21,12400,0,0
2008-02-15,0.25,0.25,0.25,0.25,1000,0,0
2008-02-19,0.25,0.25,0.25,0.25,10000,0,0
2008-02-20,0.25,0.31,0.25,0.27,19800,0,0
2008-02-21,0.3,0.42,0.27,0.34,133000,0,0
2008-02-22,0.34,0.35,0.34,0.35,8600,0,0
2008-02-25,0.35,0.35,0.35,0.35,0,0,0
2008-02-26,0.34,0.4,0.34,0.4,16500,0,0
2008-02-27,0.35,0.35,0.25,0.3,67400,0,0
2008-02-28,0.3,0.3,0.3,0.3,0,0,0
2008-02-29,0.28,0.28,0.28,0.28,1900,0,0
2008-03-03,0.28,0.28,0.28,0.28,1300,0,0
2008-03-04,0.28,0.33,0.28,0.33,1900,0,0
2008-03-05,0.38,0.4,0.3,0.4,44300,0,0
2008-03-06,0.4,0.4,0.38,0.4,11400,0,0
2008-03-07,0.35,0.37,0.35,0.37,16000,0,0
2008-03-10,0.38,0.4,0.28,0.3,14500,0,0
2008-03-11,0.27,0.3,0.25,0.27,32000,0,0
2008-03-12,0.32,0.32,0.25,0.25,71700,0,0
2008-03-13,0.26,0.3,0.26,0.3,24600,0,0
2008-03-14,0.25,0.32,0.25,0.25,3200,0,0
2008-03-17,0.3,0.38,0.3,0.3,14000,0,0
2008-03-18,0.28,0.3,0.25,0.3,2700,0,0
2008-03-19,0.27,0.4,0.25,0.38,2700,0,0
